34,2,1216(2)[1] 2412(27)[2] ,起點值,0.5271173741,預期報酬,33301.9651567944,風險,63177.5137673662,最佳解實驗#,4,最佳解世代數,1554,最佳解出現次數,7
35,2,1101(0)[1] 3008(42)[5] ,起點值,0.2349625019,預期報酬,18523.6679841897,風險,78836.6987517580,最佳解實驗#,1,最佳解世代數,1756,最佳解出現次數,50
36,9,2308(15)[20] 2311(16)[2] 2412(27)[6] 2474(29)[1] 2498(30)[5] 2912(41)[9] 3045(43)[16] 4904(46)[7] 9999(50)[32] ,起點值,0.7148390424,預期報酬,35470.5027078103,風險,49620.2649913784,最佳解實驗#,1,最佳解世代數,1905,最佳解出現次數,49
37,4,1303(4)[3] 2002(9)[18] 3673(47)[2] 9999(50)[29] ,起點值,0.4841405354,預期報酬,27798.1078224101,風險,57417.4352027522,最佳解實驗#,7,最佳解世代數,2141,最佳解出現次數,5
38,6,1326(5)[6] 1402(6)[18] 2890(37)[11] 3045(42)[13] 3231(43)[2] 4904(46)[27] ,起點值,0.8711012654,預期報酬,20515.5573122530,風險,23551.2886119988,最佳解實驗#,9,最佳解世代數,1512,最佳解出現次數,17
39,7,1216(2)[14] 2105(9)[18] 2357(23)[15] 2412(26)[29] 3008(41)[23] 3045(42)[30] 3481(44)[1] ,起點值,1.4702193661,預期報酬,25371.0866910867,風險,17256.6674580378,最佳解實驗#,10,最佳解世代數,1995,最佳解出現次數,4
40,7,2301(12)[3] 2308(14)[2] 2317(16)[17] 2412(26)[22] 3481(44)[1] 3673(45)[7] 9999(49)[18] ,起點值,0.6355159794,預期報酬,26016.9556007158,風險,40938.3185354717,最佳解實驗#,1,最佳解世代數,1737,最佳解出現次數,40
41,5,2301(12)[3] 2454(27)[10] 2498(29)[1] 2912(40)[6] 4904(46)[2] ,起點值,0.9753418188,預期報酬,53920.1045296167,風險,55283.2899114378,最佳解實驗#,1,最佳解世代數,1289,最佳解出現次數,45
42,9,1722(7)[1] 2207(11)[7] 2303(13)[3] 2324(17)[42] 2382(24)[4] 2409(25)[34] 3008(41)[2] 3231(43)[31] 9999(49)[36] ,起點值,0.5451637256,預期報酬,42247.6331425929,風險,77495.3122501538,最佳解實驗#,1,最佳解世代數,1385,最佳解出現次數,50
43,4,1216(2)[5] 2882(33)[1] 2912(40)[3] 9999(49)[9] ,起點值,0.4205351314,預期報酬,17105.8481781377,風險,40676.3832605778,最佳解實驗#,1,最佳解世代數,1512,最佳解出現次數,47
44,5,1402(6)[14] 2105(9)[8] 2324(17)[1] 2412(26)[2] 2892(39)[6] ,起點值,0.6547557080,預期報酬,31766.0638297872,風險,48515.9021022929,最佳解實驗#,1,最佳解世代數,2090,最佳解出現次數,50
45,6,1101(0)[5] 2324(17)[43] 2347(20)[1] 2354(22)[2] 2474(28)[4] 9999(49)[12] ,起點值,0.5355609468,預期報酬,41237.1670161945,風險,76998.0844669109,最佳解實驗#,1,最佳解世代數,1545,最佳解出現次數,11
