訓練日期,20140507 - 20140807
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11387881.960000000894070
真實報酬,1387881.960000000894070

夏普值報酬,0.130088196000000
夏普值風險,0.052215271109629
夏普值,2.491382180643530

預期報酬,28943.640607163826644
風險,139232.632607288425788
趨勢值,0.207879719467782
找到最佳解世代,2904
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,3
AAPL[0](3),INTC[11](1),NKE[19](8),
20140530,3549611.520000000484288,3475826.120000000111759,3548296.469999999739230,10573735.109999999403954
20140602,3525275.280000000260770,3468192.560000000521541,3539070.569999999366701,10532539.410000000149012
20140603,3575125.320000000298023,3519082.960000000428408,3485560.349999999627471,10579769.630000000819564
20140604,3615947.400000000372529,3511449.400000000372529,3512315.459999999497086,10639713.259999999776483
20140605,3630078.120000000111759,3519082.960000000428408,3500321.789999999571592,10649483.869999999180436
20140606,3619872.600000000093132,3583968.220000000670552,3516928.409999999217689,10720770.230000000447035
20140609,3677965.560000000055879,3550889.460000000428408,3537225.390000000130385,10766081.410000000149012
20140610,3699554.160000000149012,3592874.040000000037253,3520618.769999999087304,10813047.969999998807907
20140611,3684245.880000000353903,3553433.980000000447035,3466185.959999999497086,10703866.820000000298023
20140612,3622620.240000000223517,3557250.760000000242144,3449579.339999999850988,10629451.339999999850988
20140613,3582975.720000000204891,3800252.420000000391155,3442198.619999999646097,10825427.759999999776483
20140616,3619087.560000000055879,3818064.060000000521541,3439430.849999999627471,10876583.470000000670552
20140617,3614377.320000000298023,3810430.500000000000000,3464340.779999999329448,10889149.599999999627471
20140618,3618302.520000000484288,3807885.980000000447035,3515083.229999999515712,10941272.730000000447035
20140619,3605741.880000000353903,3828242.140000000130385,3489250.709999999497086,10923235.730000000447035
20140620,3568452.479999999981374,3842237.000000000000000,3464340.779999999329448,10875031.259999999776483
20140623,3565312.320000000298023,3846053.780000000260770,3480947.399999999441206,10892314.500000000000000
20140624,3543723.720000000204891,3880404.800000000279397,3458805.239999999757856,10882934.759999999776483
20140625,3546863.880000000353903,3928750.680000000167638,3527999.489999999757856,11003615.050000000745058
20140626,3568059.960000000428408,3916028.080000000540167,3545528.699999999720603,11029617.740000000223517
20140627,3610452.120000000111759,3935111.980000000447035,3583354.890000000130385,11128919.990000000223517
20140630,3647741.520000000484288,3931295.200000000186265,3577819.349999999627471,11156857.070000000298023
20140701,3670900.200000000186265,3941473.280000000260770,3598116.329999999608845,11210490.810000000521541
20140702,3669330.120000000111759,3941473.280000000260770,3588890.429999999701977,11199694.830000000074506
20140703,3690918.720000000204891,3961829.440000000409782,3619335.899999999441206,11272085.059999998658895
20140707,3767067.600000000093132,3947834.580000000540167,3628561.799999999348074,11343464.980000000447035
20140708,3742731.359999999869615,3917300.340000000316650,3583354.890000000130385,11243387.589999999850988
20140709,3744301.439999999944121,3930022.940000000409782,3630406.979999999515712,11304732.359999999403954
20140710,3730563.240000000223517,3977096.560000000521541,3575051.579999999608845,11282712.380000000819564
20140711,3737628.600000000093132,3975824.300000000279397,3565825.679999999701977,11279279.580000000074506
20140714,3785908.560000000055879,4006358.540000000037253,3596271.149999999441206,11388539.250000000000000
20140715,3741553.799999999813735,4034348.260000000242144,3599961.509999999776483,11375864.570000000298023
20140716,3720357.720000000204891,4408392.699999999254942,3548296.469999999739230,11677047.890000000596046
20140717,3654021.840000000316650,4287528.000000000000000,3530767.259999999776483,11472318.099999999627471
20140718,3706619.520000000484288,4287528.000000000000000,3575974.169999999459833,11570122.689999999478459
20140721,3687386.040000000037253,4333329.360000001266599,3543683.519999999087304,11564399.919999999925494
20140722,3718002.600000000093132,4426204.339999999850988,3553832.009999999776483,11698039.949999999254942
20140723,3814955.040000000037253,4389308.800000000745058,3569516.039999999571592,11773780.880000000819564
20140724,3808674.720000000204891,4357502.300000000745058,3625794.029999999329448,11791972.050000000745058
20140725,3833796.000000000000000,4357502.300000000745058,3585200.069999999366701,11776499.370000001043081
20140728,3886786.200000000186265,4354957.779999999329448,3616568.129999999888241,11858313.109999999403954
20140729,3861664.919999999925494,4349868.740000000223517,3602729.279999999329448,11814263.939999999478459
20140730,3852636.960000000428408,4370224.900000000372529,3672846.119999999646097,11895708.980000000447035
20140731,3752544.359999999869615,4311700.939999999478459,3558444.959999999497086,11622691.259999997913837
20140801,3773347.919999999925494,4292617.040000000968575,3541838.339999999850988,11607804.300000000745058
20140804,3752151.840000000316650,4332057.099999999627471,3559367.549999999348074,11643577.489999998360872
20140805,3733703.400000000372529,4175569.120000000111759,3548296.469999999739230,11457569.990000000223517
20140806,3727423.080000000074506,4179385.900000000372529,3558444.959999999497086,11465254.939999999478459
20140807,3708582.120000000111759,4157757.480000000447035,3521541.359999999869615,11387881.960000000894070
