訓練日期,20180209 - 20180514
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11604873.179999999701977
真實報酬,1604873.179999999701977

夏普值報酬,0.151787318000000
夏普值風險,0.035608094489044
夏普值,4.262719479322382

預期報酬,22752.666573426577088
風險,175224.041899469535565
趨勢值,0.129848999753586
找到最佳解世代,2190
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](2),INTC[11](1),MCD[15](15),
20180305,3358562.700000000186265,3879137.000000000000000,3166847.080000000074506,10404547.780000001192093
20180306,3373403.700000000186265,3953990.120000000111759,3170411.639999999664724,10497806.460000000894070
20180307,3379043.279999999795109,4001553.040000000037253,3195153.879999999888241,10575751.199999999254942
20180308,3364499.099999999627471,3956329.280000000260770,3238347.959999999962747,10559177.339999999850988
20180309,3479368.439999999944121,4069388.679999999701977,3297058.360000000335276,10845816.480000000447035
20180312,3466605.180000000167638,4017147.440000000409782,3307542.360000000335276,10791295.980000000447035
20180313,3456810.119999999646097,4037420.160000000149012,3317607.000000000000000,10811838.279999999329448
20180314,3417333.059999999590218,4043657.919999999925494,3318026.360000000335276,10779018.339999999850988
20180315,3430689.959999999962747,3967245.360000000335276,3388688.520000000484288,10786624.839999999850988
20180316,3425347.200000000186265,3989857.240000000223517,3404414.520000000484288,10819619.960000000894070
20180319,3380527.379999999888241,3963346.759999999776483,3334171.719999999739230,10678046.859999999403954
20180320,3398633.399999999906868,4019486.599999999627471,3341929.879999999888241,10760050.879999998956919
20180321,3474025.680000000167638,4020266.320000000298023,3326832.919999999925494,10821125.919999999925494
20180322,3374887.799999999813735,3963346.759999999776483,3292864.759999999776483,10631100.320000000298023
20180323,3353516.760000000242144,3848727.919999999925494,3249670.679999999701977,10451916.359999999403954
20180326,3423863.099999999627471,4092000.559999999590218,3313203.719999999739230,10829068.379999998956919
20180327,3403382.520000000018626,3991416.679999999701977,3302090.679999999701977,10696890.879999998956919
20180328,3327396.599999999627471,3867441.200000000186265,3321590.919999999925494,10516429.719999998807907
20180329,3384979.680000000167638,4060811.759999999776483,3279025.879999999888241,10724818.320000000298023
20180402,3331552.079999999608845,3814420.240000000223517,3307123.000000000000000,10453096.320000000298023
20180403,3408428.459999999962747,3879137.000000000000000,3363317.240000000223517,10650883.699999999254942
20180404,3398039.760000000242144,3897850.280000000260770,3391204.679999999701977,10687095.720000000670552
20180405,3481446.180000000167638,3928259.360000000335276,3437753.639999999664724,10847460.179999999701977
20180406,3406350.720000000204891,3804283.879999999888241,3381140.040000000037253,10591775.640000000596046
20180409,3442562.760000000242144,3863542.599999999627471,3380720.679999999701977,10686827.039999999105930
20180410,3527750.099999999627471,3997654.440000000409782,3413011.400000000372529,10938416.940000001341105
20180411,3539622.899999999906868,3984399.200000000186265,3424963.160000000149012,10948986.259999999776483
20180412,3539029.260000000242144,4110713.839999999850988,3388898.200000000186265,11038642.300000000745058
20180413,3559509.839999999850988,4043657.919999999925494,3391204.679999999701977,10994373.439999999478459
20180416,3582661.799999999813735,4085762.799999999813735,3389107.879999999888241,11057533.480000000447035
20180417,3582661.799999999813735,4174650.879999999888241,3408398.440000000409782,11165712.120000001043081
20180418,3675269.639999999664724,4180108.919999999925494,3392882.120000000111759,11248261.679999999701977
20180419,3672004.619999999646097,4071727.839999999850988,3345075.080000000074506,11088808.539999999105930
20180420,3630449.819999999832362,4017927.160000000149012,3329139.400000000372529,10977517.380000000819564
20180423,3668145.959999999962747,3984399.200000000186265,3333752.360000000335276,10986298.519999999552965
20180424,3637276.680000000167638,4011689.400000000372529,3298735.799999999813735,10947702.879999998956919
20180425,3642619.439999999944121,4006231.360000000335276,3269799.959999999962747,10918651.760000001639128
20180426,3687142.439999999944121,4136444.599999999627471,3331865.240000000223517,11155453.279999999329448
20180427,3758379.240000000223517,4111493.559999999590218,3319284.440000000409782,11189158.240000000223517
20180430,3713559.419999999925494,4024944.639999999664724,3510931.959999999962747,11249437.019999999552965
20180501,3706138.919999999925494,4158276.759999999776483,3427059.959999999962747,11291476.640000000596046
20180502,3724838.579999999608845,4078745.320000000298023,3369188.280000000260770,11172773.179999999701977
20180503,3740273.220000000204891,4076406.160000000149012,3356607.480000000447035,11173287.860000001266599
20180504,3726025.859999999869615,4115392.160000000149012,3460399.080000000074506,11301818.099999999627471
20180507,3708513.479999999981374,4158276.759999999776483,3459770.040000000037253,11326561.280000001192093
20180508,3756895.139999999664724,4181668.360000000335276,3454947.400000000372529,11393511.900000000372529
20180509,3820711.439999999944121,4237028.480000000447035,3443834.360000000335276,11501575.280000001192093
20180510,3823679.639999999664724,4286930.559999999590218,3461237.799999999813735,11571849.000000000000000
20180511,3853955.279999999795109,4262759.240000000223517,3467947.559999999590218,11584663.079999998211861
20180514,3870280.379999999422580,4280692.799999999813735,3453899.000000000000000,11604873.179999999701977
