代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12100272.959999999031425
真實報酬,2100272.959999999031425

夏普值報酬,0.201327296000000
夏普值風險,0.060190837708032
夏普值,3.344816315343170

二次趨勢線,86.723723293908392 x^2 + 6662.157666418019289 x + 10000000.000000000000000
二次加權預期報酬,21173.927364265353390
風險,126783.579832480711048
二次加權趨勢值,0.167008435889273
一次趨勢線,14824.898554141524073 x + 10000000.000000000000000
一次預期報酬,14824.898554141524073
一次風險,198710.832403418025933
一次趨勢值,0.074605387008014
找到最佳解世代,1895
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](2),DD[7](1),MRK[17](3),MSFT[18](12),
FS( 29 ),2514326.559999999590218,2588434.529999999795109,2400493.519999999552965,2812685.800000000279397,10315940.410000000149012
FS( 30 ),2511640.330000000074506,2587976.319999999832362,2410751.919999999925494,2798540.490000000223517,10308909.060000000521541
FS( 31 ),2502686.229999999515712,2566898.659999999683350,2441014.200000000186265,2781417.220000000204891,10292016.309999998658895
FS( 32 ),2513132.679999999701977,2583852.429999999701977,2428191.200000000186265,2840976.419999999925494,10366152.730000000447035
FS( 33 ),2500000.000000000000000,2616843.549999999813735,2452811.359999999869615,2830553.560000000521541,10400208.470000000670552
FS( 34 ),2499403.059999999590218,2625091.329999999608845,2465634.359999999869615,2817152.740000000223517,10407281.489999998360872
FS( 35 ),2508357.160000000149012,2601722.619999999646097,2462556.839999999850988,2769505.380000000353903,10342142.000000000000000
FS( 36 ),2497313.770000000018626,2590725.579999999608845,2465634.359999999869615,2735258.840000000316650,10288932.549999998882413
FS( 37 ),2467765.240000000223517,2561858.349999999627471,2468711.879999999888241,2760571.500000000000000,10258906.969999998807907
FS( 38 ),2451050.919999999925494,2586143.479999999515712,2493844.959999999962747,2784395.180000000167638,10315434.539999999105930
FS( 39 ),2473734.639999999664724,2587976.319999999832362,2510258.399999999906868,2797051.510000000242144,10369020.869999999180436
FS( 40 ),2519102.080000000074506,2545362.789999999571592,2547188.639999999664724,2802262.939999999944121,10413916.449999999254942
FS( 41 ),2517908.199999999720603,2531158.279999999795109,2543085.279999999795109,2780672.729999999981374,10372824.490000000223517
FS( 42 ),2527160.770000000018626,2551319.519999999552965,2555908.279999999795109,2799284.979999999981374,10433673.549999998882413
FS( 43 ),2525071.479999999515712,2549028.469999999739230,2555908.279999999795109,2838742.950000000186265,10468751.179999999701977
FS( 44 ),2514625.029999999795109,2609053.979999999515712,2573860.479999999981374,2862566.630000000353903,10560106.120000001043081
FS( 45 ),2503283.169999999925494,2526576.179999999701977,2552317.839999999850988,2852143.770000000018626,10434320.959999999031425
FS( 46 ),2506267.869999999646097,2537573.219999999739230,2529236.439999999944121,2899046.640000000130385,10472124.169999999925494
FS( 47 ),2519400.549999999813735,2519244.819999999832362,2503590.439999999944121,2829064.580000000074506,10371300.389999998733401
FS( 48 ),2551933.779999999795109,2562316.560000000055879,2533339.799999999813735,2855866.220000000204891,10503456.359999999403954
FS( 49 ),2569543.509999999776483,2662206.339999999850988,2542059.439999999944121,2881923.370000000111759,10655732.660000000149012
FS( 50 ),2579393.020000000018626,2726355.739999999757856,2535391.479999999981374,2837253.970000000204891,10678394.210000000894070
FS( 51 ),2545367.439999999944121,2678701.899999999906868,2510771.320000000298023,2800029.470000000204891,10534870.130000000819564
FS( 52 ),2554023.069999999366701,2659915.289999999571592,2478457.359999999869615,2770994.359999999869615,10463390.079999998211861
FS( 53 ),2568349.629999999888241,2709401.969999999739230,2481534.879999999888241,2731536.390000000130385,10490822.869999999180436
FS( 54 ),2608046.139999999664724,2714442.279999999795109,2466660.200000000186265,2745681.700000000186265,10534830.320000000298023
FS( 55 ),2594316.520000000018626,2753848.339999999850988,2456914.719999999739230,2718880.060000000521541,10523959.640000000596046
FS( 56 ),2631625.270000000018626,2839075.399999999906868,2508206.719999999739230,2723347.000000000000000,10702254.390000000596046
FS( 57 ),2612821.660000000149012,2864735.159999999683350,2502564.600000000093132,2698778.830000000074506,10678900.250000000000000
FS( 58 ),2654308.990000000223517,2856945.589999999850988,2529749.359999999869615,2739725.779999999795109,10780729.719999998807907
FS( 59 ),2685051.399999999441206,2863360.529999999795109,2531801.040000000037253,2726324.959999999962747,10806537.929999999701977
FS( 60 ),2713406.049999999813735,2898642.699999999720603,2534365.639999999664724,2760571.500000000000000,10906985.890000000596046
FS( 61 ),2720569.330000000074506,2927051.719999999739230,2550266.159999999683350,2787373.140000000130385,10985260.349999999627471
FS( 62 ),2712212.169999999925494,2910097.949999999720603,2553856.600000000093132,2776205.790000000037253,10952372.509999997913837
FS( 63 ),2712212.169999999925494,2910097.949999999720603,2561550.399999999906868,2776205.790000000037253,10960066.309999998658895
FS( 64 ),2710421.350000000093132,2897268.069999999832362,2567192.519999999552965,2785139.669999999925494,10960021.609999999403954
FS( 65 ),2682365.169999999925494,2862444.109999999869615,2538469.000000000000000,2766527.419999999925494,10849805.699999999254942
FS( 66 ),2680872.819999999366701,2849614.229999999515712,2550779.079999999608845,2747915.169999999925494,10829181.299999998882413
FS( 67 ),2645653.359999999869615,2844573.919999999459833,2551292.000000000000000,2689844.950000000186265,10731364.230000000447035
FS( 68 ),2654308.990000000223517,2812957.429999999701977,2570270.040000000037253,2710690.669999999925494,10748227.129999998956919
FS( 69 ),2660576.859999999869615,2816164.899999999906868,2553856.600000000093132,2662298.819999999832362,10692897.179999999701977
FS( 70 ),2677589.649999999441206,2779966.310000000055879,2540007.760000000242144,2645175.550000000279397,10642739.269999999552965
FS( 71 ),2701467.250000000000000,2786839.459999999962747,2558472.879999999888241,2683144.540000000037253,10729924.129999998956919
FS( 72 ),2682962.109999999869615,2733687.099999999627471,2724658.959999999962747,2604228.599999999627471,10745536.769999999552965
FS( 73 ),2702959.600000000093132,2783173.779999999795109,2718503.919999999925494,2663787.800000000279397,10868425.099999999627471
FS( 74 ),2758176.549999999813735,2809291.750000000000000,2693883.760000000242144,2736747.819999999832362,10998099.880000000819564
FS( 75 ),2746237.750000000000000,2811582.799999999813735,2692857.919999999925494,2746426.189999999944121,10997104.660000000149012
FS( 76 ),2729224.959999999497086,2810666.379999999888241,2664647.320000000298023,2708457.200000000186265,10912995.859999999403954
FS( 77 ),2704153.479999999515712,2997157.849999999627471,2658492.279999999795109,2692822.910000000149012,11052626.519999999552965
FS( 78 ),2675500.359999999869615,2980662.289999999571592,2633872.120000000111759,2674955.149999999906868,10964989.919999999925494
FS( 79 ),2640877.839999999850988,2918345.729999999515712,2646695.120000000111759,2684633.520000000018626,10890552.209999999031425
FS( 80 ),2571931.270000000018626,2832660.459999999962747,2666186.079999999608845,2740470.270000000018626,10811248.080000000074506
FS( 81 ),2724747.910000000149012,2812499.219999999739230,2694396.680000000167638,2682400.050000000279397,10914043.860000001266599
FS( 82 ),2759967.369999999646097,2809749.959999999962747,2711835.959999999962747,2700267.810000000521541,10981821.100000001490116
FS( 83 ),2704750.419999999925494,2918803.939999999944121,2677983.239999999757856,2729302.919999999925494,11030840.519999999552965
FS( 84 ),2781755.679999999701977,2956835.369999999646097,2744662.839999999850988,2744192.720000000204891,11227446.609999999403954
FS( 85 ),2802947.049999999813735,2969665.250000000000000,2716965.159999999683350,2817152.740000000223517,11306730.199999999254942
FS( 86 ),2758475.020000000018626,2916054.679999999701977,2671315.279999999795109,2715902.099999999627471,11061747.079999998211861
FS( 87 ),2760862.779999999795109,2933924.869999999646097,2744662.839999999850988,2706223.729999999981374,11145674.219999998807907
FS( 88 ),2744745.399999999441206,2926593.509999999776483,2745688.680000000167638,2666765.760000000242144,11083793.349999999627471
FS( 89 ),2800559.289999999571592,2974705.560000000055879,2757998.760000000242144,2693567.399999999906868,11226831.009999999776483
FS( 90 ),2831600.169999999925494,2975621.979999999515712,2809290.760000000242144,2721858.020000000018626,11338370.929999999701977
FS( 91 ),2820556.779999999795109,2991201.119999999646097,2815445.799999999813735,2739725.779999999795109,11366929.479999998584390
FS( 92 ),2834286.399999999441206,3056266.939999999944121,2856992.320000000298023,2767271.910000000149012,11514817.570000000298023
FS( 93 ),2870401.270000000018626,3026025.080000000074506,2821087.919999999925494,2789606.609999999869615,11507120.879999998956919
FS( 94 ),2868610.449999999720603,3021442.979999999515712,2826217.120000000111759,2800029.470000000204891,11516300.020000001415610
FS( 95 ),2881743.129999999888241,3048019.159999999683350,2843656.399999999906868,2800773.959999999962747,11574192.649999998509884
FS( 96 ),2882041.600000000093132,3052601.259999999776483,2856479.399999999906868,2785884.160000000149012,11577006.419999999925494
FS( 97 ),2871595.149999999441206,3030148.969999999739230,2823139.600000000093132,2792584.569999999832362,11517468.289999999105930
FS( 98 ),2892786.520000000018626,3075969.969999999739230,2862634.439999999944121,2810452.330000000074506,11641843.259999999776483
FS( 99 ),2910097.779999999795109,3064514.719999999739230,2873918.680000000167638,2827575.599999999627471,11676106.779999999329448
FS( 100 ),2904725.319999999366701,3063598.299999999813735,2881612.479999999981374,2805985.390000000130385,11655921.490000000223517
FS( 101 ),2877564.549999999813735,3081468.489999999757856,2867763.639999999664724,2794818.040000000037253,11621614.719999998807907
FS( 102 ),2901143.679999999701977,3120874.549999999813735,2886228.760000000242144,2789606.609999999869615,11697853.599999999627471
FS( 103 ),2886220.179999999701977,3165320.919999999459833,2906232.639999999664724,2818641.720000000204891,11776415.459999999031425
FS( 104 ),2894278.869999999646097,3178609.009999999776483,2923159.000000000000000,2852143.770000000018626,11848190.649999998509884
FS( 105 ),2874579.850000000093132,3160738.819999999832362,2893922.560000000055879,2812685.800000000279397,11741927.030000001192093
FS( 106 ),2895771.219999999739230,3227637.479999999515712,2926749.439999999944121,2859588.669999999925494,11909746.809999998658895
FS( 107 ),2876370.669999999925494,3256962.919999999459833,2917516.879999999888241,2837253.970000000204891,11888104.439999999478459
FS( 108 ),2913082.479999999515712,3248256.929999999701977,2937007.839999999850988,2840231.930000000167638,11938579.179999999701977
FS( 109 ),2896666.629999999888241,3230844.950000000186265,2947779.159999999683350,2821619.680000000167638,11896910.419999999925494
FS( 110 ),2887712.529999999795109,3251464.399999999441206,2940085.359999999869615,2815663.760000000242144,11894926.049999998882413
FS( 111 ),2890398.759999999776483,3214349.390000000130385,2907771.399999999906868,2830553.560000000521541,11843073.110000001266599
FS( 112 ),2889801.819999999366701,3199228.459999999497086,2913926.439999999944121,2849165.810000000521541,11852122.529999999329448
FS( 113 ),2853686.949999999720603,3180441.849999999627471,2861608.600000000093132,2820875.189999999944121,11716612.589999997988343
FS( 114 ),2847120.609999999869615,3174485.119999999646097,2856992.320000000298023,2806729.880000000353903,11685327.930000001564622
FS( 115 ),2855477.770000000018626,3197395.619999999646097,2885715.839999999850988,2832787.029999999795109,11771376.259999999776483
FS( 116 ),2877564.549999999813735,3240925.569999999832362,2890845.040000000037253,2944460.529999999795109,11953795.689999999478459
FS( 117 ),2866521.160000000149012,3237259.890000000130385,2871867.000000000000000,2923614.810000000521541,11899262.860000001266599
FS( 118 ),2871595.149999999441206,3278498.789999999571592,2851350.200000000186265,3002530.750000000000000,12003974.890000000596046
FS( 119 ),2906814.609999999869615,3276207.739999999757856,2803648.639999999664724,2989874.419999999925494,11976545.409999998286366
FS( 120 ),2890697.229999999515712,3273000.270000000018626,2758511.680000000167638,3015187.080000000074506,11937396.259999999776483
FS( 121 ),2942631.009999999776483,3304616.759999999776483,2830833.399999999906868,3003275.240000000223517,12081356.410000000149012
FS( 122 ),2919051.879999999888241,3225346.429999999701977,2873405.760000000242144,2962328.290000000037253,11980132.359999999403954
FS( 123 ),2938452.429999999701977,3131413.379999999888241,2858531.079999999608845,2930315.220000000204891,11858712.109999999403954
FS( 124 ),2966508.609999999869615,3145159.679999999701977,2871354.079999999608845,3000297.279999999795109,11983319.649999998509884
FS( 125 ),2965911.669999999925494,3170819.439999999944121,2911874.760000000242144,3051667.090000000316650,12100272.959999999031425
