代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12344562.729999998584390
真實報酬,2344562.729999998584390

夏普值報酬,0.225756273000000
夏普值風險,0.056627697818266
夏普值,3.986675808797936

預期報酬,20043.247003619799216
風險,197624.070276382233715
趨勢值,0.101421081832738
找到最佳解世代,2464
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](17),PFE[20](2),UNH[23](1),
20110127,3228678.749999999534339,3517988.989999999757856,3903808.799999999813735,10650477.539999999105930
20110128,3182214.000000000000000,3455167.879999999422580,3778267.199999999720603,10415650.079999998211861
20110131,3199149.750000000000000,3468493.569999999366701,3789344.399999999441206,10456988.719999998807907
20110201,3190464.750000000000000,3658860.569999999366701,3883500.600000000093132,10732826.919999999925494
20110202,3197847.000000000000000,3609365.149999999906868,3872423.400000000372529,10679636.550000000745058
20110203,3206097.750000000000000,3649342.219999999739230,3973041.299999999813735,10828482.269999999552965
20110204,3215651.250000000000000,3674089.929999999701977,3922270.800000000279397,10812012.980000000447035
20110207,3189596.250000000000000,3624594.509999999310821,3859500.000000000000000,10673691.759999999776483
20110208,3272538.000000000000000,3647438.549999999813735,3874269.599999999627471,10794247.149999998509884
20110209,3297290.250000000465661,3626498.179999999701977,3883500.600000000093132,10807290.029999999329448
20110210,3289908.000000000000000,3622690.839999999850988,3916732.199999999720603,10829332.039999999105930
20110211,3306409.500000000000000,3584617.439999999478459,3912116.700000000186265,10803144.640000000596046
20110214,3310752.000000000000000,3626498.179999999701977,3919501.500000000000000,10856752.679999999701977
20110215,3306843.750000000465661,3626498.179999999701977,3879808.200000000186265,10813151.129999998956919
20110216,3301198.500000000000000,3670282.589999999850988,3923193.899999999906868,10894675.990000000223517
20110217,3299461.500000000000000,3687415.619999999646097,3931501.800000000279397,10918379.919999999925494
20110218,3305975.250000000000000,3653149.560000000055879,3954579.300000000279397,10913705.110000001266599
20110222,3287302.500000000000000,3596039.459999999497086,3965656.500000000000000,10848999.459999999031425
20110223,3265155.750000000000000,3571291.750000000000000,3961040.999999999534339,10797489.500000000000000
20110224,3266024.249999999534339,3597943.129999999422580,3946271.399999999906868,10810239.779999999329448
20110225,3232587.000000000000000,3590328.449999999720603,3925040.100000000093132,10747956.549999998882413
20110228,3286434.000000000465661,3662667.909999999217689,3930578.699999999720603,10879681.609999999403954
20110301,3252128.250000000000000,3643631.209999999497086,3918578.400000000372529,10814338.859999999403954
20110302,3243443.250000000000000,3653149.560000000055879,4021042.500000000000000,10917636.310000000521541
20110303,3310752.000000000000000,3763562.419999999459833,4134583.799999999813735,11208899.219999998807907
20110304,3301632.750000000000000,3742622.049999999813735,4103198.400000000372529,11147454.199999999254942
20110307,3312923.250000000465661,3733103.699999999720603,4021042.500000000000000,11067070.449999999254942
20110308,3280354.500000000465661,3746429.389999999664724,4045966.199999999720603,11072751.089999999850988
20110309,3290776.500000000000000,3742622.049999999813735,4106890.800000000279397,11140290.349999999627471
20110310,3329859.000000000465661,3685511.949999999720603,4042273.799999999813735,11057645.750000000000000
20110311,3332030.250000000000000,3706452.319999999366701,4023811.800000000279397,11062295.369999999180436
20110314,3285999.750000000000000,3771177.099999999161810,3984118.499999999534339,11041296.349999999627471
20110315,3262116.000000000000000,3761658.750000000000000,3949963.799999999813735,10973739.550000000745058
20110316,3186556.500000000000000,3674089.929999999701977,3864115.500000000000000,10724762.929999999701977
20110317,3187425.000000000465661,3784502.789999999571592,3901962.600000000093132,10873891.390000000596046
20110318,3169620.750000000000000,3841612.889999999664724,3932424.899999999906868,10943659.539999999105930
20110321,3203058.000000000000000,3803539.489999999757856,3986887.799999999813735,10993486.289999999105930
20110322,3207834.750000000000000,3795924.810000000055879,3945348.300000000279397,10949108.860000001266599
20110323,3236495.250000000000000,3792117.469999999739230,3946271.399999999906868,10974885.119999999180436
20110324,3253865.250000000465661,3864456.929999999701977,4043196.899999999441206,11161520.079999998211861
20110325,3267761.250000000000000,3873975.279999999795109,4038581.399999999906868,11180318.929999999701977
20110328,3256905.000000000000000,3858745.919999999459833,4049658.599999999627471,11165310.519999999552965
20110329,3272972.250000000000000,3879686.289999999571592,4105967.699999999720603,11258627.239999998360872
20110330,3292079.250000000000000,3872071.609999999403954,4190892.899999999906868,11355044.759999999776483
20110331,3304238.250000000000000,3866360.599999999161810,4172430.900000000372529,11343030.750000000000000
20110401,3299895.750000000000000,3879686.289999999571592,4210278.000000000000000,11389861.039999999105930
20110404,3317265.750000000000000,3910145.009999999310821,4209354.900000000372529,11436766.660000000149012
20110405,3326384.999999999534339,3893011.979999999515712,4162276.800000000279397,11381674.779999999329448
20110406,3331596.000000000000000,3862553.259999999310821,4150276.500000000000000,11344426.759999999776483
20110407,3300764.250000000000000,3870167.939999999478459,4101352.199999999720603,11272285.389999998733401
20110408,3302067.000000000465661,3894915.649999999906868,4096736.700000000186265,11293720.350000001490116
20110411,3311186.250000000000000,3934892.719999999739230,4091198.100000000093132,11337278.070000000298023
20110412,3328990.500000000000000,3894915.649999999906868,4136430.000000000000000,11360337.150000000372529
20110413,3338978.250000000000000,3894915.649999999906868,4092121.199999999720603,11326016.099999999627471
20110414,3346794.749999999534339,3900626.659999999217689,4137353.100000000093132,11384775.509999997913837
20110415,3360256.500000000000000,3908241.339999999850988,4152122.699999999720603,11420621.539999999105930
20110418,3343755.000000000000000,3883493.629999999422580,4020119.399999999441206,11247369.029999997466803
20110419,3326384.999999999534339,3908241.339999999850988,4057966.500000000000000,11292593.839999999850988
20110420,3404550.000000000465661,3881589.959999999497086,4083813.300000000279397,11369954.259999999776483
20110421,3339846.750000000000000,3767369.759999999310821,4413360.000000000000000,11520577.509999999776483
20110425,3349400.250000000000000,3833998.209999999497086,4404129.000000000000000,11587528.459999999031425
20110426,3341149.500000000000000,3843516.560000000055879,4370897.400000000372529,11555564.460000000894070
20110427,3381534.750000000000000,3927278.039999999571592,4450284.000000000000000,11759097.789999999105930
20110428,3388482.750000000000000,3965351.439999999478459,4532439.900000000372529,11886275.089999999850988
20110429,3400641.750000000000000,3992002.819999999366701,4544440.199999999254942,11937085.769999999552965
20110502,3414972.000000000000000,4001521.169999999459833,4604441.699999999254942,12020935.869999999180436
20110503,3427999.500000000000000,3891108.310000000055879,4585979.699999999254942,11905088.509999999776483
20110504,3433644.749999999534339,3929181.709999999497086,4574902.500000000000000,11937729.959999999031425
20110505,3413234.999999999534339,3881589.959999999497086,4576748.699999999254942,11871574.659999998286366
20110506,3417577.500000000000000,3912048.679999999701977,4626596.099999999627471,11956223.279999999329448
20110509,3444066.750000000000000,3921567.029999999795109,4658904.599999999627471,12024539.379999998956919
20110510,3461436.749999999534339,3971062.449999999720603,4662597.000000000000000,12095097.199999999254942
20110511,3452751.750000000000000,3923470.699999999720603,4617365.099999999627471,11993588.549999998882413
20110512,3502690.500000000000000,3976773.459999999497086,4622903.699999999254942,12102368.659999998286366
20110513,3506164.500000000000000,3982484.469999999739230,4610903.400000000372529,12099553.370000001043081
20110516,3523534.500000000000000,3993906.489999999757856,4631211.599999999627471,12148653.589999999850988
20110517,3514415.250000000465661,4024365.209999999497086,4614595.800000000745058,12153377.260000001639128
20110518,3539167.500000000000000,4031979.889999999664724,4671828.000000000000000,12242976.390000000596046
20110519,3583026.750000000000000,4003424.839999999850988,4666289.400000000372529,12252741.990000000223517
20110520,3575210.250000000000000,3938700.060000000055879,4591518.300000000745058,12105429.610000001266599
20110523,3582592.500000000000000,3919663.359999999403954,4537978.500000000000000,12040235.359999999403954
20110524,3588672.000000000000000,3906337.669999999459833,4427206.500000000000000,11922217.169999999925494
20110525,3592146.000000000000000,3955833.089999999850988,4418898.599999999627471,11966878.689999999478459
20110526,3579552.750000000465661,3978677.129999999422580,4403205.900000000372529,11961436.780000001192093
20110527,3544378.500000000000000,3984388.139999999664724,4458591.900000000372529,11987359.539999999105930
20110531,3540904.500000000465661,4083378.979999999515712,4518593.400000000372529,12142877.880000000819564
20110601,3516586.500000000000000,4007232.179999999701977,4463207.400000000372529,11987027.080000000074506
20110602,3506598.750000000000000,3997713.829999999608845,4559209.800000000745058,12063523.380000000819564
20110603,3497479.500000000465661,3967255.109999999403954,4509362.400000000372529,11974098.009999999776483
20110606,3504427.500000000000000,3948218.409999999217689,4444745.400000000372529,11897392.309999998658895
20110607,3523534.500000000000000,3948218.409999999217689,4428129.599999999627471,11899883.509999997913837
20110608,3523968.750000000465661,3936796.389999999664724,4449360.900000000372529,11910127.040000000968575
20110609,3528745.500000000000000,3950122.079999999608845,4670904.900000000372529,12149773.480000000447035
20110610,3489663.000000000000000,3828287.199999999720603,4561056.000000000000000,11879007.199999999254942
20110613,3505730.250000000000000,3894915.649999999906868,4533363.000000000000000,11934009.900000000372529
20110614,3537864.750000000000000,3917759.689999999478459,4578594.900000000372529,12034220.339999999850988
20110615,3527877.000000000000000,3843516.560000000055879,4555517.400000000372529,11926911.960000000894070
20110616,3552629.250000000000000,3853034.909999999217689,4584133.500000000000000,11989798.660000000149012
20110617,3583461.000000000000000,3856842.250000000000000,4611826.500000000000000,12052130.750000000000000
20110620,3590843.250000000000000,3858745.919999999459833,4732752.599999999627471,12182342.769999999552965
20110621,3595620.000000000000000,3889204.639999999664724,4820447.099999999627471,12305272.739999998360872
20110622,3589106.250000000465661,3860649.589999999850988,4779830.699999999254942,12229587.539999999105930
20110623,3573473.250000000465661,3931085.379999999422580,4721675.400000000372529,12226235.030000001192093
20110624,3553932.000000000000000,3822576.189999999478459,4657981.500000000000000,12034490.689999999478459
20110627,3574775.999999999534339,3839709.219999999739230,4710598.199999999254942,12125084.419999998062849
20110628,3662928.749999999534339,3912048.679999999701977,4778907.599999999627471,12353886.029999999329448
20110629,3672482.249999999534339,3934892.719999999739230,4757676.300000000745058,12365052.269999999552965
20110630,3661625.999999999534339,3921567.029999999795109,4761368.699999999254942,12344562.729999998584390
