代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11968771.489999998360872
真實報酬,1968771.489999998360872

夏普值報酬,0.188177149000000
夏普值風險,0.047933111410637
夏普值,3.925827960298867

預期報酬,14548.983821483581778
風險,146005.463749328191625
趨勢值,0.099646845041787
找到最佳解世代,1703
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
WMT[28](2),XOM[29](1),
20160211,5327895.319999999366701,5105835.949999999254942,10433731.269999999552965
20160212,5398042.080000001005828,5197560.439999999478459,10595602.519999999552965
20160216,5375203.600000000558794,5209747.609999999403954,10584951.210000000894070
20160217,5392332.459999999962747,5259779.149999999441206,10652111.609999999403954
20160218,5230016.120000000111759,5288643.500000000000000,10518659.620000001043081
20160219,5274061.759999999776483,5291850.649999999441206,10565912.410000000149012
20160222,5353180.780000000260770,5284794.919999999925494,10637975.699999999254942
20160223,5422511.880000000819564,5210389.040000000037253,10632900.920000001788139
20160224,5474714.120000000111759,5228990.509999998845160,10703704.629999998956919
20160225,5549754.840000000782311,5260420.580000000074506,10810175.420000001788139
20160226,5424958.860000000335276,5243743.399999999441206,10668702.259999999776483
20160229,5411092.640000000596046,5141114.599999999627471,10552207.240000000223517
20160301,5420880.559999999590218,5213596.189999999478459,10634476.750000000000000
20160302,5400489.059999999590218,5304679.250000000000000,10705168.309999998658895
20160303,5394779.440000000409782,5285436.349999999627471,10680215.789999999105930
20160304,5446981.680000000633299,5278380.620000000111759,10725362.300000000745058
20160307,5537519.940000000409782,5417570.929999998770654,10955090.869999999180436
20160308,5549754.840000000782311,5300189.239999999292195,10849944.080000000074506
20160309,5508156.180000000633299,5285436.349999999627471,10793592.530000001192093
20160310,5498368.259999999776483,5271324.889999999664724,10769693.149999998509884
20160311,5478792.419999999925494,5271966.319999999366701,10750758.739999998360872
20160314,5494289.959999999962747,5286077.779999999329448,10780367.739999998360872
20160315,5553833.140000000596046,5312376.409999999217689,10866209.550000000745058
20160316,5545676.540000000037253,5315583.559999999590218,10861260.099999999627471
20160317,5501630.900000000372529,5394479.449999999254942,10896110.349999999627471
20160318,5460847.900000000372529,5400893.750000000000000,10861741.650000000372529
20160321,5544045.219999999739230,5363690.809999999590218,10907736.029999999329448
20160322,5535888.620000000111759,5395762.309999999590218,10931650.929999999701977
20160323,5502446.559999999590218,5372029.399999999441206,10874475.959999999031425
20160324,5546492.200000000186265,5386782.290000000037253,10933274.490000000223517
20160328,5556280.120000000111759,5402176.609999999403954,10958456.730000000447035
20160329,5548939.180000000633299,5422060.939999999478459,10971000.120000001043081
20160330,5611745.000000000000000,5421419.509999998845160,11033164.509999997913837
20160331,5586459.540000000037253,5361766.519999999552965,10948226.059999998658895
20160401,5632952.160000000149012,5321356.429999998770654,10954308.589999999850988
20160404,5636214.799999999813735,5334185.029999999329448,10970399.829999998211861
20160405,5598694.440000000409782,5273249.179999998770654,10871943.619999999180436
20160406,5631320.840000000782311,5343806.479999999515712,10975127.320000000298023
20160407,5564436.719999999739230,5283512.059999999590218,10847948.779999999329448
20160408,5551386.160000000149012,5337392.179999998770654,10888778.339999999850988
20160411,5497552.600000000558794,5344447.909999999217689,10842000.509999999776483
20160412,5611745.000000000000000,5410515.199999999254942,11022260.199999999254942
20160413,5640293.100000000558794,5441303.839999998919666,11081596.939999999478459
20160414,5611745.000000000000000,5479789.639999999664724,11091534.640000000596046
20160415,5632952.160000000149012,5450283.859999999403954,11083236.019999999552965
20160418,5698204.959999999962747,5502239.689999999478459,11200444.649999998509884
20160419,5690864.019999999552965,5529821.179999998770654,11220685.199999999254942
20160420,5645187.059999999590218,5567665.549999998882413,11212852.609999999403954
20160421,5584828.219999999739230,5567024.120000000111759,11151852.339999999850988
20160422,5605219.719999999739230,5614489.939999999478459,11219709.660000000149012
20160425,5666394.219999999739230,5601661.339999998919666,11268055.559999998658895
20160426,5652528.000000000000000,5620904.239999999292195,11273432.239999998360872
20160427,5662315.919999999925494,5674142.929999998770654,11336458.849999997764826
20160428,5620717.259999999776483,5646561.439999999478459,11267278.699999999254942
20160429,5454322.620000000111759,5670294.349999999627471,11124616.969999998807907
20160502,5513050.140000000596046,5717118.739999999292195,11230168.879999998956919
20160503,5464926.200000000186265,5651692.879999998956919,11116619.079999998211861
20160504,5480423.740000000223517,5640788.569999999366701,11121212.309999998658895
20160505,5482055.059999999590218,5647202.870000000111759,11129257.929999999701977
20160506,5566883.700000000186265,5677350.080000000074506,11244233.780000001192093
20160509,5623979.900000000372529,5681198.659999999217689,11305178.559999998658895
20160510,5610929.340000000782311,5772281.719999998807907,11383211.059999998658895
20160511,5416802.259999999776483,5696592.979999999515712,11113395.239999998360872
20160512,5452691.299999999813735,5751755.959999999962747,11204447.259999999776483
20160513,5296900.240000000223517,5686971.529999999329448,10983871.769999999552965
20160516,5384991.519999999552965,5745341.659999999217689,11130333.179999999701977
20160517,5309950.799999999813735,5742775.939999999478459,11052726.739999998360872
20160518,5150897.099999999627471,5731230.199999999254942,10882127.299999998882413
20160519,5644371.400000000372529,5779978.879999998956919,11424350.279999999329448
20160520,5698204.959999999962747,5756245.969999998807907,11454450.929999999701977
20160523,5668841.200000000186265,5747265.949999999254942,11416107.149999998509884
20160524,5729200.040000000037253,5751755.959999999962747,11480956.000000000000000
20160525,5748775.880000000819564,5789600.330000000074506,11538376.210000000894070
20160526,5778955.299999999813735,5760094.549999998882413,11539049.849999997764826
20160527,5770798.700000000186265,5773564.580000000074506,11544363.280000001192093
20160531,5773245.680000000633299,5710063.009999998845160,11483308.689999999478459
20160601,5750407.200000000186265,5724174.469999998807907,11474581.669999998062849
20160602,5787111.900000000372529,5678632.939999999478459,11465744.839999999850988
20160603,5780586.620000000111759,5668370.059999999590218,11448956.679999999701977
20160606,5795268.500000000000000,5730588.769999999552965,11525857.269999999552965
20160607,5793637.180000000633299,5818464.679999998770654,11612101.859999999403954
20160608,5814028.680000000633299,5823596.120000000111759,11637624.800000000745058
20160609,5798531.140000000596046,5815898.959999999962747,11614430.100000001490116
20160610,5802609.440000000409782,5771640.290000000037253,11574249.730000000447035
20160613,5752854.180000000633299,5810767.519999999552965,11563621.699999999254942
20160614,5787111.900000000372529,5800504.639999999664724,11587616.539999999105930
20160615,5800978.120000000111759,5783186.029999999329448,11584164.149999998509884
20160616,5815660.000000000000000,5851177.609999999403954,11666837.609999999403954
20160617,5787111.900000000372529,5819106.109999999403954,11606218.009999999776483
20160620,5799346.799999999813735,5844763.309999999590218,11644110.109999999403954
20160621,5828710.559999999590218,5871061.939999999478459,11699772.500000000000000
20160622,5852364.700000000186265,5847970.459999999962747,11700335.160000000149012
20160623,5880912.799999999813735,5888380.549999998882413,11769293.349999997764826
20160624,5869493.559999999590218,5733795.919999999925494,11603289.480000000447035
20160627,5831973.200000000186265,5699800.129999998956919,11531773.329999998211861
20160628,5832788.860000000335276,5831293.279999999329448,11664082.140000000596046
20160629,5910276.559999999590218,5930714.929999998770654,11840991.489999998360872
20160630,5955953.519999999552965,6012817.969999998807907,11968771.489999998360872
