代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11678522.059999998658895
真實報酬,1678522.059999998658895

夏普值報酬,0.159152206000000
夏普值風險,0.051981647715513
夏普值,3.061699907456068

預期報酬,14870.774834528547217
風險,244922.956857886252692
趨勢值,0.060716133045695
找到最佳解世代,2040
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](4),MSFT[18](1),NKE[19](3),
20180411,3690060.280000000260770,3579610.759999999776483,3561414.199999999720603,10831086.240000000223517
20180412,3807043.720000000204891,3646635.719999999739230,3611506.799999999813735,11065187.239999998360872
20180413,3744941.399999999906868,3627151.719999999739230,3583796.000000000000000,10955890.119999999180436
20180416,3783935.879999999888241,3669626.839999999850988,3573670.899999999906868,11027234.619999999180436
20180417,3866257.560000000055879,3743666.039999999571592,3597651.400000000372529,11207576.000000000000000
20180418,3871312.399999999906868,3758084.199999999720603,3527841.500000000000000,11157239.099999999627471
20180419,3770937.720000000204891,3745224.759999999776483,3502795.200000000186265,11018958.679999999701977
20180420,3721111.439999999944121,3701970.279999999795109,3521979.600000000093132,10945062.320000000298023
20180423,3690060.280000000260770,3715609.079999999608845,3564078.699999999720603,10969749.059999998658895
20180424,3715334.480000000447035,3628710.439999999944121,3568874.799999999813735,10912920.719999998807907
20180425,3710279.640000000130385,3597146.359999999869615,3552887.800000000279397,10860314.800000000745058
20180426,3830873.679999999701977,3673133.959999999962747,3626428.000000000000000,11130436.640000000596046
20180427,3807765.839999999850988,3733924.039999999571592,3706895.899999999906868,11248586.779999999329448
20180430,3727610.520000000018626,3644297.639999999664724,3644546.600000000093132,11016455.759999999776483
20180501,3851093.040000000037253,3701970.279999999795109,3629092.499999999534339,11182156.820000000298023
20180502,3777436.800000000279397,3643907.959999999962747,3637618.900000000372529,11058964.660000000149012
20180503,3775270.439999999944121,3665730.039999999571592,3565144.500000000465661,11006145.980000000447035
20180504,3811376.439999999944121,3708205.159999999683350,3629092.499999999534339,11148675.099999999627471
20180507,3851093.040000000037253,3749511.239999999757856,3695172.100000000093132,11295777.379999998956919
20180508,3872756.640000000130385,3733534.359999999869615,3648276.899999999441206,11254568.899999998509884
20180509,3924027.160000000149012,3777568.199999999720603,3621099.000000000000000,11322695.359999999403954
20180510,3970242.839999999850988,3815367.159999999683350,3619500.300000000279397,11405111.300000000745058
20180511,3947857.120000000111759,3807183.879999999888241,3646678.200000000186265,11401720.199999999254942
20180514,3964465.879999999888241,3820043.319999999832362,3668527.100000000093132,11453037.299999998882413
20180515,3893698.120000000111759,3792376.039999999571592,3703698.500000000000000,11389773.660000000149012
20180516,3945690.760000000242144,3785751.479999999981374,3801752.100000000093132,11533195.339999999850988
20180517,3957966.800000000279397,3747952.520000000018626,3780436.100000000093132,11486356.419999999925494
20180518,3957966.800000000279397,3754966.759999999776483,3800686.299999999813735,11513620.859999999403954
20180521,3922582.919999999925494,3803287.079999999608845,3803883.699999999720603,11529754.699999999254942
20180522,3931970.480000000447035,3799390.279999999795109,3800153.399999999906868,11531515.160000000149012
20180523,3986851.600000000093132,3844593.159999999683350,3801752.100000000093132,11633197.859999999403954
20180524,3953634.080000000074506,3830954.359999999869615,3846515.700000000186265,11631105.140000000596046
20180525,4003460.359999999869615,3832902.759999999776483,3850246.000000000000000,11686610.119999999180436
20180529,3994794.919999999925494,3819263.959999999962747,3779370.300000000279397,11593430.179999999701977
20180530,4020791.240000000223517,3855893.879999999888241,3849180.200000000186265,11725866.320000000298023
20180531,3986129.480000000447035,3851607.399999999906868,3826265.500000000000000,11664003.380000000819564
20180601,4121888.040000000037253,3927595.000000000000000,3877423.900000000372529,11926907.940000001341105
20180604,4103835.040000000037253,3961886.839999999850988,3934444.199999999720603,12000167.080000000074506
20180605,4082171.439999999944121,3982150.199999999720603,3946168.000000000000000,12010490.640000000596046
20180606,4118277.439999999944121,3993840.599999999627471,3983471.000000000000000,12095590.039999999105930
20180607,4035233.640000000130385,3931102.119999999646097,3984003.900000000372529,11950340.660000000149012
20180608,3975297.679999999701977,3960328.119999999646097,3991464.500000000465661,11927091.299999998882413
20180611,3937025.320000000298023,3937726.679999999701977,3974944.600000000093132,11849697.599999999627471
20180612,3958688.919999999925494,3947858.359999999869615,3958957.600000000558794,11865505.879999998956919
20180613,3973853.439999999944121,3929933.079999999608845,3949365.399999999906868,11853152.919999999925494
20180614,4010681.560000000055879,3952144.839999999850988,3980806.500000000000000,11943633.900000000372529
20180615,3979630.399999999906868,3901876.119999999646097,4041557.100000000093132,11923064.619999999180436
20180618,3843149.720000000204891,3930322.759999999776483,4029300.399999999906868,11802773.880000000819564
20180619,3822208.240000000223517,3930322.759999999776483,3957358.900000000372529,11709890.900000000372529
20180620,3822208.240000000223517,3969680.439999999944121,3981872.299999999813735,11773761.980000000447035
20180621,3768771.359999999869615,3941233.799999999813735,3940306.100000000093132,11650312.259999999776483
20180622,3791157.080000000074506,3912787.159999999683350,3913128.200000000186265,11617073.440000001341105
20180625,3661897.600000000093132,3834071.799999999813735,3855574.999999999534339,11351545.400000000372529
20180626,3586797.120000000111759,3860959.719999999739230,3866765.899999999906868,11314523.740000000223517
20180627,3521084.199999999720603,3800949.000000000000000,3802284.999999999534339,11124319.199999999254942
20180628,3556468.080000000074506,3843424.119999999646097,3820936.500000000000000,11220829.699999999254942
20180629,3589685.600000000093132,3842644.759999999776483,4246190.700000000186265,11678522.059999998658895
