訓練日期,20140430 - 20140731
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10923815.080000000074506
真實報酬,923815.080000000074506

夏普值報酬,0.083681508000000
夏普值風險,0.032716096866502
夏普值,2.557808418940142

預期報酬,18190.782282496125845
風險,55768.589860680382117
趨勢值,0.326183292924204
找到最佳解世代,3107
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,6
CSCO[4](3),DIS[6](4),INTC[11](7),JNJ[12](16),MMM[16](9),VZ[26](6),
20140609,1784685.320000000065193,1811626.120000000111759,1756670.199999999953434,1702792.239999999757856,1760807.319999999832362,1766443.999999999767169,10583029.200000001117587
20140610,1799077.919999999925494,1796155.229999999981374,1777440.399999999906868,1717308.719999999739230,1756566.719999999972060,1764662.250000000000000,10611215.240000000223517
20140611,1801956.439999999944121,1786830.310000000055879,1757929.000000000000000,1704441.839999999850988,1749781.760000000009313,1759316.999999999767169,10560260.349999999627471
20140612,1774610.500000000000000,1754828.879999999888241,1759817.200000000186265,1691410.000000000000000,1733546.319999999832362,1747557.449999999720603,10461774.349999999627471
20140613,1777489.019999999785796,1754828.879999999888241,1880032.600000000093132,1691410.000000000000000,1737059.960000000195578,1752546.349999999860302,10593370.810000000521541
20140616,1765255.310000000055879,1765425.379999999888241,1888844.200000000186265,1690090.319999999832362,1736575.319999999832362,1757178.899999999906868,10603373.430000001564622
20140617,1763096.419999999925494,1762458.359999999869615,1885067.800000000046566,1681512.399999999906868,1741058.239999999990687,1753615.399999999906868,10586812.620000001043081
20140618,1772451.609999999869615,1771359.419999999925494,1883809.000000000000000,1696028.879999999888241,1748812.480000000214204,1761098.749999999767169,10633564.139999998733401
20140619,1778208.649999999906868,1775386.089999999850988,1893879.400000000139698,1712524.879999999888241,1750751.040000000037253,1762880.499999999767169,10673634.559999998658895
20140620,1786844.209999999729916,1755252.739999999757856,1900802.800000000046566,1736609.039999999804422,1758868.760000000009313,1760029.699999999720603,10698411.249999998137355
20140623,1777489.019999999785796,1753981.160000000149012,1902691.000000000000000,1728031.119999999878928,1745904.639999999897555,1772145.599999999627471,10680246.539999999105930
20140624,1765255.310000000055879,1752285.720000000204891,1919684.800000000046566,1725391.760000000009313,1733788.639999999897555,1756109.849999999860302,10652520.080000000074506
20140625,1778928.279999999795109,1778141.180000000167638,1943602.000000000000000,1744692.080000000074506,1740573.600000000093132,1760742.399999999674037,10746683.540000000968575
20140626,1773890.869999999878928,1789797.330000000074506,1937308.000000000232831,1742877.520000000018626,1741542.879999999888241,1753615.399999999906868,10739036.000000001862645
20140627,1777489.019999999785796,1807811.379999999888241,1946749.000000000000000,1731990.159999999683350,1741058.239999999990687,1757535.249999999767169,10762637.049999998882413
20140630,1788283.469999999972060,1817136.299999999813735,1944860.800000000046566,1725886.639999999897555,1735606.040000000037253,1743637.599999999860302,10755414.849999999627471
20140701,1804834.959999999729916,1832607.189999999944121,1949896.000000000000000,1746506.639999999897555,1751599.159999999916181,1759316.999999999767169,10844764.949999999254942
20140702,1801236.810000000055879,1831971.399999999906868,1949896.000000000000000,1746341.679999999934807,1759716.879999999888241,1769651.149999999674037,10858817.919999999925494
20140703,1812750.890000000130385,1840448.600000000093132,1959966.400000000139698,1739083.439999999944121,1761897.760000000009313,1771432.899999999906868,10885583.990000000223517
20140707,1815629.409999999916181,1835150.350000000093132,1953043.000000000232831,1756404.239999999757856,1755839.760000000009313,1772858.299999999813735,10888929.059999998658895
20140708,1804115.329999999841675,1819679.459999999962747,1937937.399999999906868,1744032.239999999757856,1751599.159999999916181,1737579.649999999674037,10794947.240000000223517
20140709,1830741.640000000130385,1848501.939999999944121,1944231.400000000139698,1749310.959999999962747,1753053.080000000074506,1742568.549999999813735,10868411.570000000298023
20140710,1830741.640000000130385,1840872.459999999962747,1967519.200000000186265,1745351.919999999925494,1743481.439999999711290,1768938.449999999720603,10896909.109999999403954
20140711,1836498.679999999934807,1841508.250000000000000,1966889.800000000046566,1733804.719999999739230,1748570.159999999916181,1793170.249999999767169,10920445.859999999403954
20140714,1830741.640000000130385,1838753.160000000149012,1981995.399999999906868,1738423.599999999860302,1756930.199999999953434,1800653.599999999860302,10947501.599999999627471
20140715,1847293.130000000121072,1825825.430000000167638,1995842.200000000186265,1703782.000000000000000,1757657.159999999916181,1807067.899999999906868,10937471.820000000298023
20140716,1869601.659999999916181,1808871.029999999795109,2180885.799999999813735,1686296.239999999757856,1771105.919999999692664,1815976.649999999906868,11132741.299999998882413
20140717,1844414.609999999869615,1802089.270000000018626,2121092.799999999813735,1655778.639999999897555,1739240.839999999850988,1793170.249999999767169,10955790.410000000149012
20140718,1864564.250000000000000,1818619.810000000055879,2121092.799999999813735,1679367.919999999925494,1754870.480000000214204,1808493.299999999813735,11047012.559999998658895
20140721,1860246.469999999972060,1817136.299999999813735,2143751.200000000186265,1670625.039999999804422,1748449.000000000000000,1806711.549999999813735,11046923.559999998658895
20140722,1867442.769999999785796,1827097.009999999776483,2189697.400000000372529,1690420.239999999757856,1758384.120000000111759,1816689.349999999627471,11149734.889999998733401
20140723,1848012.760000000009313,1823494.200000000186265,2171444.799999999813735,1685801.359999999869615,1753053.080000000074506,1814194.899999999674037,11096005.099999999627471
20140724,1858807.209999999729916,1839600.879999999888241,2155709.799999999813735,1685966.319999999832362,1758505.279999999795109,1819183.799999999813735,11117777.289999999105930
20140725,1868882.029999999795109,1827520.870000000111759,2155709.799999999813735,1684481.679999999934807,1758384.120000000111759,1827379.849999999860302,11122362.349999999627471
20140728,1865283.880000000121072,1847018.430000000167638,2154451.000000000000000,1684481.679999999934807,1763351.679999999934807,1838070.349999999860302,11152661.019999999552965
20140729,1850171.649999999906868,1826885.080000000074506,2151933.399999999441206,1682007.279999999795109,1745056.520000000018626,1851967.999999999767169,11108025.929999997839332
20140730,1844414.609999999869615,1848290.009999999776483,2162003.799999999813735,1687615.919999999925494,1741664.040000000037253,1844484.649999999674037,11128477.029999999329448
20140731,1815629.409999999916181,1820103.319999999832362,2133051.400000000372529,1651159.760000000009313,1707133.439999999711290,1796733.749999999767169,10923815.080000000074506
