訓練日期,20130626 - 20130926
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12160054.969999998807907
真實報酬,2160054.969999998807907

夏普值報酬,0.207305497000000
夏普值風險,0.052076638629149
夏普值,3.980777224818145

預期報酬,34341.336315913104045
風險,156677.423209078173386
趨勢值,0.219184970064808
找到最佳解世代,2416
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),BA[2](7),DD[7](1),
20130821,4159120.500000000000000,3510350.680000000167638,3809418.250000000000000,11478890.429999999701977
20130822,4163756.499999999534339,3551902.540000000037253,3814460.000000000000000,11530120.039999999105930
20130823,4147530.499999999534339,3563388.420000000391155,3973635.250000000000000,11684555.169999999925494
20130826,4163756.499999999534339,3565077.520000000018626,3964272.000000000000000,11693107.019999999552965
20130827,4044959.000000000000000,3486703.279999999795109,3852633.250000000000000,11384296.529999999329448
20130828,4064082.499999999534339,3488730.199999999720603,3841109.250000000000000,11393922.949999999254942
20130829,4070456.999999999534339,3544808.320000000298023,3848311.750000000000000,11463578.070000000298023
20130830,4033368.999999999534339,3510688.500000000000000,3836067.500000000000000,11380126.000000000000000
20130903,4044959.000000000000000,3547510.880000000353903,3840389.000000000000000,11432859.880000000819564
20130904,4128406.999999999534339,3593454.400000000372529,3874961.000000000000000,11596823.400000000372529
20130905,4100011.500000000000000,3602913.360000000335276,3939783.500000000000000,11642709.359999999403954
20130906,4124350.500000000000000,3583319.799999999813735,3954908.749999999534339,11662580.049999998882413
20130909,4190413.500000000000000,3621155.640000000130385,3980837.750000000000000,11792407.890000000596046
20130910,4094796.000000000000000,3654262.000000000000000,4101119.500000000000000,11850178.500000000000000
20130911,3872267.999999999534339,3690070.920000000391155,4087434.750000000000000,11649774.669999999925494
20130912,3913412.500000000000000,3709326.660000000149012,3985879.500000000465661,11608619.660000000149012
20130913,3848508.500000000000000,3761013.120000000111759,4089595.500000000000000,11699118.120000001043081
20130916,3726234.000000000000000,3907627.000000000000000,4082393.000000000000000,11716255.000000000000000
20130917,3769696.500000000000000,3956273.080000000074506,4073029.750000000000000,11799000.330000000074506
20130918,3846769.999999999534339,3999851.860000000335276,4191150.750000000000000,12037773.609999999403954
20130919,3909935.500000000000000,4021472.340000000316650,4165221.750000000000000,12096630.589999999850988
20130920,3869370.500000000000000,3940057.719999999739230,4072309.500000000000000,11881738.719999998807907
20130923,4061764.500000000000000,3969785.880000000353903,4024773.000000000000000,12056324.380000000819564
20130924,4049015.500000000465661,4020121.060000000055879,4011808.500000000000000,12080946.060000000521541
20130925,3986429.500000000465661,4003567.880000000353903,4088155.000000000000000,12078153.380000000819564
20130926,4025255.999999999534339,4032958.219999999739230,4101839.750000000000000,12160054.969999998807907
