訓練日期,20111122 - 20120227
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12079422.200000001117587
真實報酬,2079422.200000001117587

夏普值報酬,0.199242220000000
夏普值風險,0.057235518237767
夏普值,3.481094015298526

預期報酬,33736.362602893284929
風險,85538.842570419918047
趨勢值,0.394398165665146
找到最佳解世代,2769
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,4
AAPL[0](7),MSFT[18](6),PFE[20](23),WMT[28](17),
20111208,2646527.800000000279397,2540000.000000000000000,2662182.879999999888241,2558241.040000000037253,10406951.720000000670552
20111209,2666444.199999999720603,2570000.000000000000000,2710969.599999999627471,2573242.520000000018626,10520656.319999998435378
20111212,2654589.199999999720603,2551000.000000000000000,2688554.079999999608845,2563094.459999999962747,10457237.739999998360872
20111213,2633724.399999999906868,2576000.000000000000000,2737340.799999999813735,2541474.680000000167638,10488539.880000000819564
20111214,2575397.800000000279397,2559000.000000000000000,2750526.399999999906868,2543680.779999999795109,10428604.980000000447035
20111215,2566862.200000000186265,2556000.000000000000000,2787446.079999999608845,2556917.379999999888241,10467225.660000000149012
20111216,2581088.200000000186265,2600000.000000000000000,2772941.919999999925494,2571036.419999999925494,10525066.539999999105930
20111219,2589149.600000000093132,2553000.000000000000000,2787446.079999999608845,2549416.640000000130385,10479012.320000000298023
20111220,2682092.800000000279397,2603000.000000000000000,2829640.000000000000000,2611628.659999999683350,10726361.460000000894070
20111221,2685886.399999999906868,2576000.000000000000000,2858648.319999999832362,2620453.060000000055879,10740987.780000001192093
20111222,2700112.399999999906868,2581000.000000000000000,2852055.519999999552965,2611628.659999999683350,10744796.580000000074506
20111223,2732358.000000000000000,2603000.000000000000000,2878426.719999999739230,2646926.260000000242144,10860710.980000000447035
20111227,2754171.200000000186265,2604000.000000000000000,2870515.359999999869615,2639866.739999999757856,10868553.300000000745058
20111228,2727616.000000000465661,2582000.000000000000000,2838869.919999999925494,2635454.540000000037253,10783940.460000000894070
20111229,2744213.000000000000000,2602000.000000000000000,2862604.000000000000000,2646926.260000000242144,10855743.259999999776483
20111230,2743738.800000000279397,2596000.000000000000000,2853374.079999999608845,2636778.199999999720603,10829891.080000000074506
20120103,2785942.600000000093132,2677000.000000000000000,2896886.559999999590218,2661927.739999999757856,11021756.899999998509884
20120104,2800642.800000000279397,2740000.000000000000000,2870515.359999999869615,2634572.100000000093132,11045730.259999999776483
20120105,2831940.000000000000000,2768000.000000000000000,2848099.839999999850988,2621776.720000000204891,11069816.560000000521541
20120106,2861340.400000000372529,2811000.000000000000000,2844144.159999999683350,2603245.479999999981374,11119730.040000000968575
20120109,2857072.600000000093132,2774000.000000000000000,2877108.159999999683350,2611187.439999999944121,11119368.199999999254942
20120110,2867030.800000000279397,2784000.000000000000000,2892930.879999999888241,2605010.359999999869615,11148972.039999999105930
20120111,2862288.800000000279397,2772000.000000000000000,2887656.639999999664724,2620894.279999999795109,11142839.720000000670552
20120112,2854701.600000000093132,2800000.000000000000000,2899523.679999999701977,2625306.479999999981374,11179531.759999999776483
20120113,2843795.000000000000000,2825000.000000000000000,2879745.279999999795109,2627071.359999999869615,11175611.639999998733401
20120117,2876989.000000000000000,2826000.000000000000000,2892930.879999999888241,2640749.180000000167638,11236669.059999998658895
20120118,2906863.600000000093132,2823000.000000000000000,2896886.559999999590218,2647808.699999999720603,11274558.859999999403954
20120119,2897853.800000000279397,2812000.000000000000000,2879745.279999999795109,2674281.899999999906868,11263880.980000000447035
20120120,2847114.399999999906868,2971000.000000000000000,2887656.639999999664724,2691930.699999999720603,11397701.739999998360872
20120123,2895482.800000000279397,2973000.000000000000000,2862604.000000000000000,2687518.500000000000000,11418605.300000000745058
20120124,2848062.800000000279397,2934000.000000000000000,2856011.199999999720603,2708697.060000000055879,11346771.060000000521541
20120125,3025887.800000000279397,2956000.000000000000000,2863922.559999999590218,2712226.819999999832362,11558037.179999999701977
20120126,3012136.000000000465661,2950000.000000000000000,2852055.519999999552965,2690165.819999999832362,11504357.339999999850988
20120127,3030155.600000000093132,2923000.000000000000000,2832277.119999999646097,2678694.100000000093132,11464126.819999998435378
20120130,3069040.000000000000000,2961000.000000000000000,2845462.719999999739230,2704726.080000000074506,11580228.799999998882413
20120131,3092275.799999999813735,2953000.000000000000000,2821728.639999999664724,2707373.399999999906868,11574377.839999999850988
20120201,3090379.000000000000000,2989000.000000000000000,2809861.599999999627471,2743553.439999999944121,11632794.039999999105930
20120202,3083266.000000000000000,2995000.000000000000000,2783490.399999999906868,2732964.159999999683350,11594720.560000000521541
20120203,3114089.000000000000000,3024000.000000000000000,2795357.439999999478459,2736935.140000000130385,11670381.580000000074506
20120206,3143015.200000000186265,3020000.000000000000000,2762393.439999999478459,2730316.840000000316650,11655725.480000000447035
20120207,3176209.200000000186265,3035000.000000000000000,2775579.040000000037253,2721933.659999999683350,11708721.900000000372529
20120208,3229319.599999999627471,3066000.000000000000000,2770304.799999999813735,2718845.119999999646097,11784469.519999997690320
20120209,3340756.600000000093132,3077000.000000000000000,2787446.079999999608845,2733846.600000000093132,11939049.279999999329448
20120210,3342653.399999999906868,3050000.000000000000000,2775579.040000000037253,2731199.279999999795109,11899431.720000000670552
20120213,3404773.600000000093132,3058000.000000000000000,2808543.040000000037253,2726345.859999999869615,11997662.500000000000000
20120214,3451245.200000000186265,3025000.000000000000000,2812498.719999999739230,2745318.319999999832362,12034062.240000000223517
20120215,3371579.599999999627471,3005000.000000000000000,2783490.399999999906868,2725022.199999999720603,11885092.199999999254942
20120216,3401928.399999999906868,3129000.000000000000000,2812498.719999999739230,2737376.359999999869615,12080803.480000000447035
20120217,3401454.200000000186265,3125000.000000000000000,2794038.879999999888241,2756790.040000000037253,12077283.120000001043081
20120221,3487758.600000000093132,3144000.000000000000000,2797994.559999999590218,2650456.020000000018626,12080209.179999999701977
20120222,3475429.400000000372529,3127000.000000000000000,2816454.399999999906868,2585596.680000000167638,12004480.480000000447035
20120223,3498191.000000000000000,3137000.000000000000000,2772941.919999999925494,2582949.359999999869615,11991082.279999999329448
20120224,3538972.199999999720603,3148000.000000000000000,2792720.319999999832362,2593979.859999999869615,12073672.379999998956919
20120227,3561733.800000000279397,3135000.000000000000000,2803268.799999999813735,2579419.600000000093132,12079422.200000001117587
