代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11275084.874000000000
真實報酬,1275084.873999999800

夏普值報酬,0.118808487400
夏普值風險,0.039541760512
夏普值,3.004633224760

預期報酬,22083.742612450777
風險,55540.406689554715
起點值,0.397615788734
找到最佳解世代,3682
找到最佳解實驗#,46
找到最佳解次數,1

投資組合檔數,11
1326(5),2207(10),2880(29),2882(31),2885(34),2887(36),3008(41),3045(42),3481(44),4904(45),4938(46),
FS( 21 ),899134.701499999970,886005.243000000020,961290.524999999910,972725.415999999850,936499.218750000000,971885.474999999860,909090.000000000000,919916.659250000140,1000115.610000000100,936426.163999999990,1134886.469999999700,10527985.482499998000
FS( 22 ),913490.892999999920,893930.020000000020,961290.524999999910,977902.405999999960,939406.297749999910,969197.422499999990,909090.000000000000,923530.596500000100,1000115.610000000100,936426.163999999990,1127001.516000000100,10551391.450750003000
FS( 23 ),911121.424499999960,888653.472499999920,945819.289499999960,968583.823999999910,936499.218750000000,959341.229999999630,909090.000000000000,920792.765250000170,1025114.498250000100,926072.184000000010,1107647.537999999700,10498745.444750000000
FS( 24 ),908751.956000000010,894806.125999999930,950976.368000000020,974796.211999999820,936499.218750000000,965613.352499999920,909090.000000000000,912031.705250000120,1008448.572750000100,918266.875999999930,1101913.025999999800,10481203.413250001000
FS( 25 ),906382.487500000050,892157.896500000030,953186.544499999960,975831.609999999990,948127.534749999990,962925.299999999810,909090.000000000000,911046.086000000130,1045483.962750000100,914443.868000000020,1115532.491999999600,10534217.782000002000
FS( 26 ),907497.531500000040,894806.125999999930,950976.368000000020,975831.609999999990,963389.699499999990,969197.422499999990,909090.000000000000,914660.023250000090,1037151.000000000000,935151.827999999980,1092116.568000000000,10549878.176750001000
FS( 27 ),909867.000000000000,901834.885500000090,961290.524999999910,990327.181999999910,972110.936499999840,975469.544999999810,909090.000000000000,920792.765250000170,1025114.498250000100,941682.800000000050,1113620.987999999900,10621211.125500001000
FS( 28 ),908751.956000000010,907111.432999999960,958343.622999999910,989291.783999999870,975018.015499999980,985325.737499999810,909090.000000000000,919916.659250000140,1053816.925500000100,940408.464000000040,1125090.012000000300,10672174.609750001000
FS( 29 ),904013.018999999970,909759.662500000090,964237.426999999910,985150.191999999920,972110.936499999840,985325.737499999810,909090.000000000000,919040.553250000110,1037151.000000000000,945505.807999999960,1100001.521999999900,10631395.857750000000
FS( 30 ),907497.531500000040,901834.885500000090,966447.603500000080,982043.997999999790,972110.936499999840,995181.929999999820,909090.000000000000,918164.447250000320,1037151.000000000000,944231.471999999950,1076585.598000000000,10610349.402249997000
FS( 31 ),909867.000000000000,902710.991500000000,961290.524999999910,986185.589999999850,981558.943250000010,998765.999999999880,909090.000000000000,919916.659250000140,1028818.037250000100,944231.471999999950,1076585.598000000000,10619030.816249998000
FS( 32 ),912375.848999999930,905359.221000000140,966447.603500000080,992397.977999999770,972110.936499999840,1011310.244999999900,909090.000000000000,919916.659250000140,1037151.000000000000,944231.471999999950,1113620.987999999900,10684021.952249998000
FS( 33 ),923108.147499999960,916788.422000000020,966447.603500000080,994468.773999999980,969203.857500000160,1007726.174999999800,909090.000000000000,926158.914500000190,1025114.498250000100,946780.143999999970,1105736.034000000000,10690632.570249999000
FS( 34 ),929101.508999999960,914140.192499999890,964237.426999999910,995504.171999999790,981558.943250000010,1005038.122499999700,909090.000000000000,934153.381749999940,1028818.037250000100,944231.471999999950,1107647.537999999700,10713530.795249999000
FS( 35 ),926592.659999999920,910635.768500000010,950976.368000000020,993433.375999999930,987373.101250000180,1005038.122499999700,909090.000000000000,928787.232500000160,1028818.037250000100,938974.835999999890,1109559.041999999700,10689288.544000000000
FS( 36 ),934955.489999999870,911511.874499999920,964237.426999999910,993433.375999999930,987373.101250000180,998765.999999999880,909090.000000000000,927911.126500000130,1020485.074500000000,941682.800000000050,1111470.546000000100,10700926.815750001000
FS( 37 ),940948.851499999990,931741.958499999950,969394.505499999970,1002234.259000000000,1001908.496250000000,995181.929999999820,909090.000000000000,929663.338500000190,1025114.498250000100,941682.800000000050,1095939.575999999900,10742910.213500001000
FS( 38 ),932586.021500000030,937018.506000000050,974551.584000000030,999904.613499999980,999001.417249999940,1001454.052499999900,909090.000000000000,924406.702500000130,1041780.423750000000,935151.827999999980,1086382.055999999900,10741337.205000000000
FS( 39 ),940948.851499999990,940522.929999999930,979708.662499999980,1008705.496499999900,996094.338250000030,1005038.122499999700,909090.000000000000,921778.384500000160,1113073.549499999700,935151.827999999980,1072762.589999999900,10822884.753249999000
FS( 40 ),940948.851499999990,940522.929999999930,976761.760499999970,1010776.292499999700,986646.331499999970,998765.999999999880,909090.000000000000,918931.040000000150,1104740.586750000200,941682.800000000050,1049585.604000000100,10778462.196750002000
FS( 41 ),943318.319999999950,940522.929999999930,979708.662499999980,1020353.723999999900,1005542.345000000100,998765.999999999880,909090.000000000000,911374.625750000010,1179737.251500000200,935151.827999999980,1115532.491999999600,10939108.178750001000
FS( 42 ),954189.998999999950,947571.601000000020,979708.662499999980,1017247.529999999800,993187.259250000000,1005038.122499999700,909090.000000000000,905789.450000000190,1213069.102500000000,931328.819999999950,1092116.568000000000,10948347.114750000000
FS( 43 ),948196.637499999950,951076.024999999910,981918.839000000150,1011811.690499999800,1002635.266000000100,1005038.122499999700,909090.000000000000,911374.625750000010,1292695.191000000300,931328.819999999950,1095939.575999999900,11041114.793249998000
FS( 44 ),933840.445999999880,943171.159500000070,971604.682000000030,1009740.894499999900,1005542.345000000100,998765.999999999880,909090.000000000000,901080.380250000160,1309361.116500000200,922249.175999999980,1111470.546000000100,11015926.745749999000
FS( 45 ),927707.704000000030,944923.371500000120,974551.584000000030,1011811.690499999800,996094.338250000030,998765.999999999880,909090.000000000000,888924.409500000180,1288991.652000000000,915718.204000000030,1115532.491999999600,10972121.445749998000
FS( 46 ),925198.854999999860,944047.265499999980,969394.505499999970,1006375.850999999900,999001.417249999940,1001454.052499999900,909090.000000000000,898233.035750000040,1309361.116500000200,918266.875999999930,1138709.477999999900,11019142.453000000000
FS( 47 ),925198.854999999860,941399.036000000080,981918.839000000150,1025789.563499999900,996094.338250000030,1005038.122499999700,909090.000000000000,897356.929750000130,1276029.265500000000,929895.191999999920,1165948.409999999900,11053768.551500000000
FS( 48 ),923944.430499999900,937894.611999999960,981918.839000000150,1026824.961500000000,1014990.351749999900,1024750.507499999800,909090.000000000000,900094.761000000060,1255659.801000000200,931328.819999999950,1138709.477999999900,11045216.562250001000
FS( 49 ),923944.430499999900,951076.024999999910,987075.917499999860,1056074.955000000100,1033159.595499999800,1040878.822499999900,909090.000000000000,896371.310500000140,1246400.953500000300,935151.827999999980,1165948.409999999900,11145182.248000000000
FS( 50 ),923944.430499999900,942295.053499999920,974551.584000000030,1046238.673999999800,1023711.588750000100,1017582.367499999800,909090.000000000000,897356.929750000130,1246400.953500000300,940408.464000000040,1173594.425999999700,11095184.471499998000
FS( 51 ),917811.688499999810,949323.813000000080,979708.662499999980,1092572.734500000000,1039700.523250000000,1024750.507499999800,909090.000000000000,891662.240750000110,1280658.689250000100,942957.135999999940,1162125.402000000000,11190371.397250000000
FS( 52 ),921435.581499999970,938770.717999999880,987075.917499999860,1114057.242999999800,1039700.523250000000,1040878.822499999900,909090.000000000000,888924.409500000180,1276029.265500000000,935151.827999999980,1198921.854000000100,11250046.162750000000
FS( 53 ),916557.263999999970,926465.411000000080,976761.760499999970,1109915.650999999800,1027345.437500000000,1037294.752500000100,909090.000000000000,891662.240750000110,1277881.035000000100,927665.104000000050,1173594.425999999700,11174243.082250001000
FS( 54 ),922690.005999999940,939646.824000000020,987075.917499999860,1118457.684500000000,1020804.509750000000,1037294.752500000100,909090.000000000000,894509.585250000350,1290843.421500000200,926231.476000000020,1152328.943999999900,11198983.121000001000
FS( 55 ),928822.748000000140,944923.371500000120,987075.917499999860,1124928.922000000000,1020804.509750000000,1034606.699999999800,909090.000000000000,905789.450000000190,1299176.384250000100,924797.847999999880,1167859.913999999900,11247885.765000001000
FS( 56 ),930077.172499999990,940522.929999999930,981918.839000000150,1126999.717999999900,1033159.595499999800,1043566.874999999900,909090.000000000000,907651.175249999970,1290843.421500000200,923523.511999999990,1175505.929999999900,11262869.168750001000
FS( 57 ),936349.294999999930,949323.813000000080,992232.995999999930,1126999.717999999900,1033159.595499999800,1047150.944999999800,909090.000000000000,909512.900499999990,1299176.384250000100,922089.883999999960,1177656.372000000000,11302751.903249998000
FS( 58 ),933840.445999999880,948447.706999999940,995179.897999999930,1159355.905499999900,1049148.530000000000,1047150.944999999800,909090.000000000000,909512.900499999990,1303805.808000000000,924797.847999999880,1200833.357999999800,11381173.345999997000
FS( 59 ),939973.187999999850,952848.148500000130,1002547.153000000000,1157285.109500000000,1036793.444249999900,1053423.067499999900,909090.000000000000,907651.175249999970,1290843.421500000200,917948.291999999900,1171682.921999999800,11340095.921499999000
FS( 60 ),951123.628000000030,970430.003000000030,1012861.310000000100,1176698.822000000200,1033159.595499999800,1066863.330000000100,909090.000000000000,907651.175249999970,1307509.347000000100,908390.772000000000,1142532.486000000000,11386320.468750000000
FS( 61 ),953632.476999999840,1011766.277000000000,1010651.133500000000,1148743.075999999900,1030252.516499999900,1057007.137500000000,909090.000000000000,913236.351000000140,1222327.950000000000,917948.291999999900,1095939.575999999900,11270604.786499998000
FS( 62 ),962274.067999999970,1031976.449499999900,1023912.192499999900,1166862.541000000000,1039700.523250000000,1066863.330000000100,909090.000000000000,913236.351000000140,1248252.723000000000,917948.291999999900,1117443.996000000000,11397570.466249999000
FS( 63 ),946245.310500000020,978733.098500000080,1012861.310000000100,1155473.162999999700,1045514.681249999900,1050735.014999999900,909090.000000000000,907651.175249999970,1235290.336500000000,908390.772000000000,1125090.012000000300,11275084.874000000000
