代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11675037.175250001000
真實報酬,1675037.175250001300

夏普值報酬,0.158803717525
夏普值風險,0.041644356975
夏普值,3.813331002353

預期報酬,24641.628047259615
風險,63934.985519363014
起點值,0.385416964547
找到最佳解世代,3745
找到最佳解實驗#,22
找到最佳解次數,1

投資組合檔數,6
1102(1),2317(16),2324(17),2884(33),2887(36),3008(41),
Stock#,1102(1),2317(16),2324(17),2884(33),2887(36),3008(41),
張數,53,28,96,144,165,1,
FS( 33 ),1732385.059250000200,1724404.330999999800,1756365.375999999700,1784554.444000000100,1735834.082500000000,2128433.647250000400,10861980.939999999000
FS( 34 ),1706529.976500000300,1739178.663999999900,1770701.656000000000,1784554.444000000100,1722692.492500000200,2109637.191250000100,10833298.424250001000
FS( 35 ),1689117.369750000100,1728028.223999999900,1748719.359999999900,1751581.000000000200,1717764.396250000200,2100238.963250000000,10735453.313250000000
FS( 36 ),1680674.893750000500,1765382.198000000100,1756365.375999999700,1770218.164000000100,1722692.492500000200,2133132.761250000000,10828469.885500001000
FS( 37 ),1678564.274749999900,1784059.185000000100,1805108.728000000100,1778819.932000000000,1735834.082500000000,2222425.883000000400,11004816.085250001000
FS( 38 ),1684896.131749999900,1774581.311000000000,1785993.687999999800,1778819.932000000000,1735834.082500000000,2175434.742999999800,10935563.888250001000
FS( 39 ),1691227.988750000000,1780435.291999999900,1831869.784000000200,1778819.932000000000,1740762.178750000200,2133132.761250000000,10956251.936750000000
FS( 40 ),1689117.369750000100,1791585.731999999600,1831869.784000000200,1811793.375999999900,1758831.865000000200,2161327.445249999900,11044529.572000001000
FS( 41 ),1687006.750749999900,1793258.298000000200,1896860.919999999900,1807492.492000000100,1765402.660000000100,2133132.761250000000,11083157.882000001000
FS( 42 ),1691227.988750000000,1772908.744999999600,1885391.896000000200,1844766.820000000100,1788400.442500000100,2109637.191250000100,11092337.083500002000
FS( 43 ),1700198.119500000000,1784059.185000000100,1862453.848000000200,1816094.260000000200,1783472.346250000400,2090840.735250000100,11037122.493999999000
FS( 44 ),1682785.512750000200,1786010.512000000100,1847161.816000000100,1793156.212000000100,1765402.660000000100,2128433.647250000400,11002954.360000001000
FS( 45 ),1684896.131749999900,1782107.858000000000,1847161.816000000100,1816094.260000000200,1776901.551250000000,2133132.761250000000,11040298.378249999000
FS( 46 ),1706529.976500000300,1787683.078000000000,1850984.824000000300,1807492.492000000100,1771973.455000000100,2189532.085000000000,11114199.910500001000
