代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10917010.789999999105930
真實報酬,917010.789999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15886.349011612905088
風險,54323.185262666294875
起點值,0.292441412166801
找到最佳解世代,1967
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](6),HD[9](4),KO[14](23),MCD[15](2),MSFT[18](9),
FS( 11 ),1721766.159999999916181,1699344.880000000121072,1689622.649999999906868,1646331.280000000027940,1709718.969999999972060,1664535.439999999944121,10131323.379999998956919
FS( 12 ),1718752.869999999878928,1685519.200000000186265,1680067.719999999739230,1640350.480000000214204,1702334.480000000214204,1659209.039999999804422,10086237.789999999105930
FS( 13 ),1721909.649999999906868,1691489.380000000121072,1682673.609999999869615,1647527.440000000176951,1703449.120000000111759,1670927.120000000111759,10117980.320000000298023
FS( 14 ),1723057.569999999832362,1683005.440000000176951,1713323.839999999850988,1651913.360000000102445,1691188.080000000074506,1676786.159999999916181,10139278.449999999254942
FS( 15 ),1721479.179999999934807,1695260.020000000251457,1713199.750000000000000,1670653.200000000186265,1686590.189999999944121,1691700.080000000074506,10178886.419999999925494
FS( 16 ),1748885.769999999785796,1697459.560000000288710,1706002.529999999795109,1679425.040000000037253,1696900.610000000102445,1695961.199999999953434,10224638.709999999031425
FS( 17 ),1749746.709999999962747,1697773.780000000260770,1718163.350000000093132,1667064.720000000204891,1698154.580000000074506,1711674.079999999841675,10242581.220000000670552
FS( 18 ),1749890.199999999953434,1717255.420000000158325,1716550.180000000167638,1652710.800000000279397,1711808.919999999925494,1751888.399999999906868,10300107.920000001788139
FS( 19 ),1745298.519999999785796,1743021.459999999962747,1718287.439999999944121,1649919.760000000242144,1714038.199999999953434,1734577.599999999860302,10305146.979999998584390
FS( 20 ),1741280.799999999813735,1738465.270000000251457,1707243.430000000167638,1657495.440000000176951,1707768.349999999860302,1721794.239999999990687,10274051.530000001192093
FS( 21 ),1847463.399999999906868,1748677.420000000158325,1705506.169999999925494,1645135.120000000111759,1705678.400000000139698,1693298.000000000000000,10345762.509999999776483
FS( 22 ),1844306.619999999878928,1737836.830000000074506,1699425.759999999776483,1650717.200000000186265,1716824.800000000046566,1682378.879999999888241,10331494.089999999850988
FS( 23 ),1852198.570000000065193,1732966.420000000158325,1712207.029999999795109,1656299.280000000027940,1731036.459999999962747,1695961.199999999953434,10380672.959999999031425
FS( 24 ),1869560.859999999869615,1721497.389999999897555,1693717.620000000111759,1657096.720000000204891,1733962.390000000130385,1694895.919999999925494,10370734.900000000372529
FS( 25 ),1887353.619999999878928,1712542.120000000111759,1695703.060000000055879,1670653.200000000186265,1735913.010000000009313,1689303.199999999953434,10391472.210000000894070
FS( 26 ),1894671.609999999869615,1712542.120000000111759,1710966.129999999888241,1675437.840000000316650,1737027.650000000139698,1686906.320000000065193,10417555.669999999925494
FS( 27 ),1900124.229999999748543,1720240.510000000009313,1721265.600000000093132,1644736.400000000139698,1734380.380000000121072,1706081.360000000102445,10426832.480000000447035
FS( 28 ),1895819.530000000027940,1716626.980000000214204,1735411.859999999869615,1618022.160000000149012,1753050.599999999860302,1704483.439999999944121,10423418.570000000298023
FS( 29 ),1912607.859999999869615,1722754.270000000251457,1735660.040000000037253,1619617.040000000037253,1749149.360000000102445,1723658.479999999981374,10463451.050000000745058
FS( 30 ),1937431.630000000121072,1733437.750000000000000,1754149.450000000186265,1616028.560000000288710,1752911.270000000018626,1719663.679999999701977,10513626.339999999850988
FS( 31 ),1944462.639999999664724,1731081.100000000325963,1764448.919999999925494,1612440.080000000074506,1762246.380000000121072,1718598.399999999906868,10533281.520000001415610
FS( 32 ),1942166.799999999813735,1739407.929999999934807,1756383.069999999832362,1642742.800000000279397,1765311.640000000130385,1718332.079999999841675,10564348.320000000298023
FS( 33 ),1947475.929999999934807,1729195.780000000260770,1774500.209999999962747,1643938.959999999962747,1780637.939999999944121,1720995.280000000027940,10596748.099999999627471
FS( 34 ),1961537.949999999720603,1728410.230000000214204,1799566.390000000130385,1653109.520000000251457,1783981.859999999869615,1717533.119999999878928,10644143.070000000298023
FS( 35 ),1967421.040000000037253,1730138.440000000176951,1802420.459999999962747,1658691.600000000093132,1781334.589999999850988,1714070.959999999962747,10654081.089999999850988
FS( 36 ),1959098.619999999878928,1724011.150000000139698,1795719.600000000093132,1661083.919999999925494,1787186.450000000186265,1720995.280000000027940,10648099.019999999552965
FS( 37 ),1960963.989999999757856,1733280.639999999897555,1811106.759999999776483,1665868.560000000288710,1792480.990000000223517,1720995.280000000027940,10684700.220000000670552
FS( 38 ),1964838.219999999972060,1731866.650000000139698,1803040.910000000149012,1661482.640000000130385,1769352.209999999962747,1710608.800000000046566,10641193.429999999701977
FS( 39 ),1965699.160000000149012,1729667.110000000102445,1798201.399999999906868,1673045.520000000251457,1778547.990000000223517,1703950.799999999813735,10649115.980000000447035
FS( 40 ),2005876.359999999869615,1744592.560000000288710,1820165.330000000074506,1681019.919999999925494,1798054.190000000176951,1729517.519999999785796,10779229.879999998956919
FS( 41 ),1993966.689999999944121,1737522.610000000102445,1835924.759999999776483,1693380.239999999990687,1786629.129999999888241,1704749.760000000009313,10752177.189999999478459
FS( 42 ),2005732.869999999878928,1747734.760000000009313,1834187.500000000000000,1693778.959999999962747,1782031.240000000223517,1711141.439999999944121,10774610.769999999552965
FS( 43 ),1999419.310000000055879,1738779.490000000223517,1825749.379999999888241,1681817.360000000102445,1783842.530000000027940,1711674.079999999841675,10741286.150000000372529
FS( 44 ),2002002.130000000121072,1741764.580000000074506,1811975.390000000130385,1674241.680000000167638,1784399.849999999860302,1715136.239999999990687,10729523.869999999180436
FS( 45 ),1994540.649999999906868,1741450.360000000102445,1823143.489999999757856,1674241.680000000167638,1784678.510000000009313,1730849.119999999878928,10748907.809999998658895
FS( 46 ),1989948.969999999972060,1744435.450000000186265,1819420.790000000037253,1675836.560000000288710,1785375.159999999916181,1723924.800000000046566,10738945.730000000447035
FS( 47 ),1996549.509999999776483,1742707.240000000223517,1822274.859999999869615,1686203.280000000027940,1783145.880000000121072,1729251.200000000186265,10760135.969999998807907
FS( 48 ),1997410.449999999720603,1752133.840000000083819,1829472.080000000074506,1675836.560000000288710,1777990.669999999925494,1723392.159999999683350,10756239.760000001639128
FS( 49 ),1994397.160000000149012,1764545.530000000260770,1826121.649999999906868,1673444.239999999990687,1780637.939999999944121,1715402.559999999823049,10754553.080000000074506
FS( 50 ),2015490.189999999944121,1757632.690000000176951,1835924.759999999776483,1679425.040000000037253,1781752.580000000074506,1724457.439999999944121,10794686.699999999254942
FS( 51 ),2018790.459999999962747,1755118.929999999934807,1845603.779999999795109,1684608.400000000139698,1783145.880000000121072,1721527.919999999925494,10808799.370000001043081
FS( 52 ),2008746.160000000149012,1755904.480000000214204,1856399.609999999869615,1675836.560000000288710,1792341.659999999916181,1727653.280000000027940,10816885.750000000000000
FS( 53 ),2029839.189999999944121,1770829.929999999934807,1834063.410000000149012,1681817.360000000102445,1794292.280000000027940,1729251.200000000186265,10840097.370000001043081
FS( 54 ),2006593.810000000055879,1755747.370000000111759,1819296.700000000186265,1694576.400000000139698,1790669.700000000186265,1710076.159999999683350,10776964.140000000596046
FS( 55 ),2029265.229999999748543,1760932.000000000000000,1828603.450000000186265,1689791.760000000242144,1798750.839999999850988,1731914.399999999906868,10839261.679999999701977
FS( 56 ),2022090.729999999748543,1763445.760000000009313,1836421.120000000111759,1681418.640000000130385,1797357.540000000037253,1727653.280000000027940,10828391.069999998435378
FS( 57 ),2018073.009999999776483,1761874.660000000149012,1832946.600000000093132,1679425.040000000037253,1802094.760000000009313,1730582.800000000046566,10825000.870000001043081
FS( 58 ),2021516.769999999785796,1765645.300000000046566,1822523.040000000037253,1687399.440000000176951,1804184.710000000195578,1733778.639999999897555,10835051.900000000372529
FS( 59 ),2063415.850000000093132,1776171.670000000158325,1826618.009999999776483,1691785.360000000102445,1803627.389999999897555,1738838.720000000204891,10900461.000000001862645
FS( 60 ),2068007.530000000027940,1768001.950000000186265,1824632.569999999832362,1691386.640000000130385,1795128.260000000009313,1743632.479999999981374,10890793.430000001564622
FS( 61 ),2065281.219999999972060,1778214.100000000325963,1823515.759999999776483,1698563.600000000093132,1801816.099999999860302,1750024.159999999683350,10917418.939999999478459
FS( 62 ),2061406.989999999757856,1781513.410000000149012,1822026.680000000167638,1692184.080000000074506,1805856.670000000158325,1754018.959999999962747,10917010.789999999105930
