代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11391534.250000000000000
真實報酬,1391534.250000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21596.102927325584460
風險,126255.035001755619305
起點值,0.171051419272311
找到最佳解世代,1938
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),NKE[19](4),V[25](2),VZ[26](17),
FS( 31 ),2762864.620000000111759,2684028.080000000074506,2770707.120000000111759,2570504.630000000353903,10788104.450000001117587
FS( 32 ),2718041.719999999739230,2709760.819999999832362,2768384.359999999869615,2533396.930000000167638,10729583.829999998211861
FS( 33 ),2694907.319999999832362,2781500.580000000074506,2763949.999999999534339,2537107.700000000186265,10777465.600000001490116
FS( 34 ),2679725.370000000111759,2765904.979999999515712,2743678.640000000130385,2536577.590000000316650,10725886.580000000074506
FS( 35 ),2709944.679999999701977,2780720.799999999348074,2743678.640000000130385,2530746.380000000353903,10765090.500000000000000
FS( 36 ),2744212.509999999776483,2783060.139999999664724,2759093.319999999832362,2567323.970000000204891,10853689.939999999478459
FS( 37 ),2701992.229999999981374,2780330.910000000149012,2760149.120000000111759,2587468.150000000372529,10829940.410000000149012
FS( 38 ),2699100.429999999701977,2781500.580000000074506,2784854.839999999850988,2575805.730000000447035,10841261.580000000074506
FS( 39 ),2706040.750000000000000,2814251.340000000316650,2785065.999999999534339,2578456.280000000260770,10883814.370000001043081
FS( 40 ),2701703.049999999813735,2816980.569999999832362,2772185.239999999757856,2572094.960000000428408,10862963.820000000298023
FS( 41 ),2674953.899999999906868,2765125.199999999720603,2738610.799999999813735,2555131.440000000409782,10733821.339999999850988
FS( 42 ),2705173.209999999962747,2816200.790000000037253,2758670.999999999534339,2576335.840000000316650,10856380.839999999850988
FS( 43 ),2697365.350000000093132,2799435.519999999552965,2760360.279999999795109,2527035.610000000335276,10784196.759999997913837
FS( 44 ),2708932.549999999813735,2836864.959999999962747,2763105.359999999869615,2534457.150000000372529,10843360.019999999552965
FS( 45 ),2766913.140000000130385,2878583.189999999944121,2809982.879999999422580,2534987.260000000242144,10990466.469999998807907
FS( 46 ),2775299.359999999869615,2887160.769999999552965,2820329.719999999739230,2542938.910000000149012,11025728.759999997913837
FS( 47 ),2799156.709999999962747,2914453.069999999832362,2877765.239999999757856,2566263.750000000000000,11157638.769999999552965
FS( 48 ),2836460.929999999701977,2914842.959999999962747,2826242.199999999720603,2598070.350000000093132,11175616.439999999478459
FS( 49 ),2867692.370000000111759,2920301.419999999925494,2845246.600000000093132,2607082.220000000204891,11240322.610000001266599
FS( 50 ),2886633.659999999683350,2908214.830000000074506,2827720.319999999832362,2613443.540000000037253,11236012.350000001490116
FS( 51 ),2910780.189999999944121,2896518.129999999888241,2847780.520000000018626,2587468.150000000372529,11242546.990000000223517
FS( 52 ),2896321.189999999944121,2889500.109999999869615,2838067.159999999683350,2512722.640000000130385,11136611.099999999627471
FS( 53 ),2887067.429999999701977,2912503.620000000111759,2850736.759999999776483,2534987.260000000242144,11185295.069999998435378
FS( 54 ),2899646.759999999776483,2956951.080000000074506,2852848.359999999869615,2547709.900000000372529,11257156.099999999627471
FS( 55 ),2901815.609999999869615,2947983.609999999869615,2876075.959999999497086,2515903.300000000279397,11241778.480000000447035
FS( 56 ),2880416.290000000037253,2895348.459999999962747,2853059.520000000018626,2571034.740000000223517,11199859.009999999776483
FS( 57 ),2878536.620000000111759,2913283.399999999906868,2861294.759999999776483,2549300.230000000447035,11202415.009999999776483
FS( 58 ),2896321.189999999944121,2882871.979999999515712,2840812.239999999757856,2577926.170000000391155,11197931.580000000074506
FS( 59 ),2854390.089999999850988,2862987.590000000316650,2857705.040000000037253,2637828.600000000093132,11212911.319999998435378
FS( 60 ),2839497.319999999832362,2820879.469999999739230,2764794.640000000130385,2629346.840000000316650,11054518.269999999552965
FS( 61 ),2839208.140000000130385,2829067.160000000149012,2799002.560000000055879,2613443.540000000037253,11080721.400000002235174
FS( 62 ),2819833.080000000074506,2781890.469999999739230,2766695.080000000074506,2613973.650000000372529,10982392.280000001192093
FS( 63 ),2822580.290000000037253,2795536.620000000111759,2803014.600000000093132,2696140.700000000186265,11117272.210000000894070
FS( 64 ),2820989.799999999813735,3106668.840000000316650,2796890.959999999497086,2666984.650000000372529,11391534.250000000000000
