代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11327056.250000000000000
真實報酬,1327056.250000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21487.083581273684104
風險,73461.304712613171432
起點值,0.292495262170104
找到最佳解世代,2302
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,5
DIS[6](5),MSFT[18](12),PG[21](1),VZ[26](2),WMT[28](8),
FS( 23 ),2094199.040000000037253,1965473.179999999701977,2121169.049999999813735,2120894.479999999515712,2034943.550000000279397,10336679.299999998882413
FS( 24 ),2120365.439999999944121,1979561.709999999962747,2156839.040000000037253,2145157.040000000037253,2038076.420000000158325,10439999.650000000372529
FS( 25 ),2109093.759999999776483,2007341.909999999683350,2159561.940000000409782,2153523.439999999478459,2036630.480000000447035,10466151.529999999329448
FS( 26 ),2134052.479999999981374,2021033.579999999608845,2120079.889999999664724,2122567.759999999776483,2070851.060000000288710,10468584.769999999552965
FS( 27 ),2134253.759999999776483,2026391.189999999944121,2173448.729999999515712,2147666.959999999962747,2101697.780000000260770,10583458.420000001788139
FS( 28 ),2174711.040000000037253,2023613.169999999925494,2155477.589999999850988,2147666.959999999962747,2085310.460000000195578,10586779.220000000670552
FS( 29 ),2178937.919999999925494,2067466.199999999720603,2148125.759999999776483,2143483.759999999776483,2085069.470000000204891,10623083.109999999403954
FS( 30 ),2214161.919999999925494,2092071.520000000018626,2159561.940000000409782,2150595.199999999254942,2113506.290000000502914,10729896.869999999180436
FS( 31 ),2218187.520000000018626,2081753.159999999683350,2165552.320000000298023,2158124.959999999962747,2112060.350000000093132,10735678.310000000521541
FS( 32 ),2220200.319999999832362,2102389.879999999888241,2179166.820000000298023,2151431.839999999850988,2125314.800000000279397,10778503.660000000149012
FS( 33 ),2228050.239999999757856,2085920.189999999944121,2170725.830000000074506,2139300.559999999590218,2122422.919999999925494,10746419.740000000223517
FS( 34 ),2257034.560000000055879,2071633.229999999981374,2143769.120000000111759,2122986.080000000074506,2113988.270000000018626,10709411.259999999776483
FS( 35 ),2243951.359999999869615,2108739.639999999664724,2142407.669999999925494,2117547.919999999925494,2122181.930000000167638,10734828.519999999552965
FS( 36 ),2236101.439999999944121,2142472.739999999757856,2137778.740000000223517,2122986.080000000074506,2111819.360000000335276,10751158.359999999403954
FS( 37 ),2228251.520000000018626,2136321.409999999683350,2150848.660000000149012,2154778.399999999441206,2119772.030000000260770,10789972.019999999552965
FS( 38 ),2237912.959999999962747,2199223.719999999739230,2163918.580000000074506,2129679.199999999254942,2118326.090000000316650,10849060.549999998882413
FS( 39 ),2284811.200000000186265,2175213.689999999944121,2180800.559999999590218,2140973.839999999850988,2126278.760000000242144,10908078.049999998882413
FS( 40 ),2266897.279999999795109,2136718.270000000018626,2194142.769999999552965,2175694.399999999441206,2123868.860000000335276,10897321.579999998211861
FS( 41 ),2267098.560000000055879,2090880.939999999944121,2183795.750000000000000,2195773.759999999776483,2141943.110000000335276,10879492.120000001043081
FS( 42 ),2285817.600000000093132,2104969.469999999739230,2202311.469999999739230,2160216.559999999590218,2150377.760000000242144,10903692.859999999403954
FS( 43 ),2273942.080000000074506,2108938.069999999832362,2196048.799999999813735,2163981.439999999478459,2126519.750000000000000,10869430.140000000596046
FS( 44 ),2269513.919999999925494,2134535.539999999571592,2232807.950000000186265,2174439.439999999478459,2139051.230000000447035,10950348.079999998211861
FS( 45 ),2296485.439999999944121,2143861.750000000000000,2241793.519999999552965,2186570.719999999739230,2159294.390000000130385,11028005.820000000298023
FS( 46 ),2333722.239999999757856,2145647.619999999646097,2246967.030000000260770,2195355.439999999478459,2160981.320000000298023,11082673.649999998509884
FS( 47 ),2346201.600000000093132,2160529.869999999646097,2250234.509999999776483,2194518.799999999813735,2163391.220000000204891,11114876.000000000000000
FS( 48 ),2294271.359999999869615,2172634.099999999627471,2242338.099999999627471,2204558.479999999515712,2170138.939999999944121,11083940.979999998584390
FS( 49 ),2297894.399999999906868,2176205.839999999850988,2216470.549999999813735,2217526.399999999441206,2145075.980000000447035,11053173.169999999925494
FS( 50 ),2268104.959999999962747,2162911.029999999795109,2217287.419999999925494,2194937.120000000111759,2173271.810000000521541,11016512.340000001713634
FS( 51 ),2256833.279999999795109,2147235.059999999590218,2219738.030000000260770,2184479.120000000111759,2160258.350000000093132,10968543.839999999850988
FS( 52 ),2269513.919999999925494,2174023.109999999869615,2214019.940000000409782,2211669.919999999925494,2189418.140000000130385,11058645.030000001192093
FS( 53 ),2271526.719999999739230,2136321.409999999683350,2240976.649999999441206,2227147.759999999776483,2174235.770000000018626,11050208.309999998658895
FS( 54 ),2264079.359999999869615,2135924.549999999813735,2278824.959999999962747,2270234.719999999739230,2377149.350000000093132,11326212.939999999478459
FS( 55 ),2264079.359999999869615,2134733.969999999739230,2278824.959999999962747,2291987.359999999403954,2358111.140000000130385,11327736.789999999105930
FS( 56 ),2254216.639999999664724,2120645.439999999944121,2277463.509999999776483,2286130.879999999888241,2313527.990000000223517,11251984.459999999031425
FS( 57 ),2262267.839999999850988,2102985.169999999925494,2284543.049999999813735,2297007.199999999254942,2315455.910000000149012,11262259.169999998062849
FS( 58 ),2253210.239999999757856,2124415.609999999869615,2270656.259999999776483,2264796.559999999590218,2305575.320000000298023,11218653.989999998360872
FS( 59 ),2254417.919999999925494,2134337.109999999869615,2266571.910000000149012,2270653.040000000037253,2293766.810000000521541,11219746.790000000968575
FS( 60 ),2253008.959999999962747,2151005.229999999981374,2269839.389999999664724,2291569.040000000037253,2288224.040000000502914,11253646.660000000149012
FS( 61 ),2261060.159999999683350,2174816.829999999608845,2272017.709999999962747,2294497.280000000260770,2278343.450000000186265,11280735.429999999701977
FS( 62 ),2266092.159999999683350,2187913.209999999962747,2273106.870000000111759,2286130.879999999888241,2315214.919999999925494,11328458.039999999105930
FS( 63 ),2263475.520000000018626,2222836.889999999664724,2273379.160000000149012,2282784.320000000298023,2304852.350000000093132,11347328.240000000223517
FS( 64 ),2252807.680000000167638,2221447.879999999888241,2271200.839999999850988,2290314.080000000074506,2315937.890000000130385,11351708.370000001043081
FS( 65 ),2254820.479999999981374,2228988.219999999739230,2258675.500000000000000,2274417.919999999925494,2310154.130000000353903,11327056.250000000000000
