代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11353290.650000000372529
真實報酬,1353290.650000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21757.448164838766388
風險,83897.307898498969735
起點值,0.259334282706204
找到最佳解世代,2491
找到最佳解實驗#,1
找到最佳解次數,10

stock[index](rank)
投資組合檔數,3
AAPL[0](1),JNJ[12](12),WMT[28](7),
FS( 50 ),4248859.000000000000000,3417219.839999999385327,3461267.399999999906868,11127347.240000000223517
FS( 51 ),4244970.040000000037253,3400908.509999999310821,3463593.479999999981374,11109473.029999999329448
FS( 52 ),4285642.080000001005828,3398837.229999999981374,3517674.839999999850988,11202155.150000000372529
FS( 53 ),4255988.759999999776483,3390811.020000000018626,3508079.760000000242144,11154880.539999999105930
FS( 54 ),4306545.240000000223517,3493857.199999999720603,3456324.479999999981374,11256727.919999999925494
FS( 55 ),4328258.600000000558794,3491009.189999999944121,3496449.359999999869615,11315718.150000000372529
FS( 56 ),4315133.360000000335276,3490750.279999999329448,3485982.000000000000000,11291866.640000000596046
FS( 57 ),4264900.959999999962747,3519748.199999999720603,3463884.239999999757856,11248534.400000000372529
FS( 58 ),4245780.240000000223517,3532693.699999999720603,3485109.719999999739230,11263584.660000000149012
FS( 59 ),4242053.319999999366701,3574896.029999999329448,3470571.719999999739230,11287522.069999998435378
FS( 60 ),4316429.680000000633299,3551853.040000000037253,3457778.279999999795109,11326062.000000000000000
FS( 61 ),4282725.360000000335276,3551594.129999999422580,3465628.799999999813735,11299949.289999999105930
FS( 62 ),4340249.559999999590218,3566610.909999999683350,3453126.120000000111759,11359987.589999999850988
FS( 63 ),4330689.200000000186265,3559879.250000000000000,3462721.200000000186265,11353290.650000000372529
