代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11305380.440000001341105
真實報酬,1305380.440000001341105

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20655.468116502681369
風險,77977.118800644748262
起點值,0.264891399351522
找到最佳解世代,2174
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
AAPL[0](3),DD[7](20),GS[8](11),MSFT[18](10),PG[21](15),XOM[29](1),
FS( 21 ),1764688.800000000046566,1716457.609999999869615,1699265.020000000251457,1762952.080000000307336,1804528.899999999906868,1723446.470000000204891,10471342.880000000819564
FS( 22 ),1792900.239999999990687,1707904.449999999720603,1698636.100000000093132,1763944.720000000204891,1783958.879999999888241,1721120.989999999990687,10468469.380000000819564
FS( 23 ),1785249.680000000167638,1717068.550000000046566,1686162.520000000251457,1757492.560000000055879,1767108.969999999972060,1736817.979999999981374,10449904.260000001639128
FS( 24 ),1776164.640000000130385,1694463.769999999785796,1698636.100000000093132,1763448.400000000139698,1775862.170000000158325,1740693.779999999795109,10449272.859999999403954
FS( 25 ),1799116.320000000065193,1670637.109999999869615,1710271.119999999878928,1783797.520000000018626,1779801.109999999869615,1784877.899999999906868,10528505.080000000074506
FS( 26 ),1794573.800000000046566,1684383.260000000009313,1697587.899999999906868,1818539.920000000158325,1781989.410000000149012,1782746.209999999962747,10559824.500000000000000
FS( 27 ),1779272.680000000167638,1707904.449999999720603,1714044.640000000130385,1894973.200000000186265,1812187.949999999953434,1806582.379999999888241,10714969.300000000745058
FS( 28 ),1750344.000000000000000,1682244.969999999972060,1673374.479999999748543,1861223.440000000176951,1801465.279999999795109,1782164.839999999850988,10550821.009999999776483
FS( 29 ),1778077.280000000260770,1725621.709999999962747,1710375.939999999944121,1875120.400000000139698,1805623.050000000046566,1797086.670000000158325,10691909.050000000745058
FS( 30 ),1772817.520000000251457,1725316.239999999757856,1717398.880000000121072,1865690.320000000298023,1800152.300000000046566,1801543.839999999850988,10682923.099999999627471
FS( 31 ),1776164.640000000130385,1711264.620000000111759,1707440.979999999748543,1854274.960000000195578,1811969.119999999878928,1795923.929999999934807,10657042.250000000000000
FS( 32 ),1778316.359999999869615,1722567.010000000009313,1707965.080000000074506,1893980.560000000055879,1827287.219999999972060,1794373.610000000102445,10724493.839999999850988
FS( 33 ),1803897.920000000158325,1744560.849999999860302,1710690.399999999906868,1887032.080000000307336,1845231.279999999795109,1806582.379999999888241,10797998.910000000149012
FS( 34 ),1793139.320000000065193,1750059.309999999823049,1723268.800000000046566,1878098.320000000298023,1856610.439999999944121,1846309.329999999841675,10847489.519999999552965
FS( 35 ),1771383.040000000037253,1734480.340000000083819,1736685.760000000009313,1846333.840000000316650,1850702.029999999795109,1849797.550000000046566,10789386.560000000521541
FS( 36 ),1774491.080000000074506,1727149.059999999823049,1746329.199999999953434,1823503.120000000344589,1845668.939999999944121,1849216.179999999934807,10766361.580000000074506
FS( 37 ),1758950.879999999888241,1707904.449999999720603,1729558.000000000000000,1840378.000000000000000,1853327.989999999990687,1834875.720000000204891,10724999.040000000968575
FS( 38 ),1779989.920000000158325,1724094.359999999869615,1751255.739999999990687,1856260.239999999990687,1852890.330000000074506,1835069.510000000009313,10799564.099999999627471
FS( 39 ),1775447.400000000139698,1725316.239999999757856,1762052.199999999953434,1864697.680000000167638,1859017.570000000065193,1841270.790000000037253,10827805.879999998956919
FS( 40 ),1788835.879999999888241,1696907.529999999795109,1776517.359999999869615,1868171.920000000158325,1869083.750000000000000,1842821.110000000102445,10842341.549999998882413
FS( 41 ),1821828.920000000158325,1687437.959999999962747,1761423.280000000027940,1853778.640000000363216,1852233.840000000083819,1826930.329999999841675,10803636.970000000670552
FS( 42 ),1864624.239999999990687,1700878.639999999897555,1763310.040000000037253,1866186.640000000363216,1844355.959999999962747,1817822.199999999953434,10857181.719999998807907
FS( 43 ),1899290.840000000083819,1699351.290000000037253,1770857.080000000074506,1892491.600000000325963,1843042.979999999981374,1811620.920000000158325,10916658.710000000894070
FS( 44 ),1882794.320000000065193,1739367.859999999869615,1779033.040000000037253,1908373.840000000316650,1823785.939999999944121,1812396.079999999841675,10945755.080000000074506
FS( 45 ),1934196.520000000251457,1684383.260000000009313,1761528.100000000093132,1901425.360000000335276,1834508.609999999869615,1829255.810000000055879,10945301.660000002011657
FS( 46 ),1929654.000000000000000,1691714.540000000037253,1768341.399999999906868,1932693.520000000018626,1824004.769999999785796,1834681.929999999934807,10981094.159999998286366
FS( 47 ),1939695.359999999869615,1679495.739999999757856,1735427.919999999925494,1886039.440000000176951,1809561.989999999990687,1824217.270000000018626,10874441.719999998807907
FS( 48 ),1912679.320000000065193,1708209.919999999925494,1752723.219999999972060,1903906.960000000195578,1849607.879999999888241,1853673.350000000093132,10980804.650000000372529
FS( 49 ),1934674.680000000167638,1774802.379999999888241,1757544.939999999944121,1921278.160000000149012,1855297.459999999962747,1857355.360000000102445,11100956.980000000447035
FS( 50 ),1931566.640000000130385,1817568.179999999934807,1779137.859999999869615,1891498.960000000195578,1830569.670000000158325,1854836.089999999850988,11105181.400000000372529
FS( 51 ),1917221.840000000083819,1785799.300000000046566,1756811.199999999953434,1866682.960000000195578,1838666.379999999888241,1826736.540000000037253,10991922.219999998807907
FS( 52 ),1914591.959999999962747,1773275.029999999795109,1764463.060000000055879,1847326.480000000214204,1801027.619999999878928,1848053.439999999944121,10948741.589999999850988
FS( 53 ),1893552.920000000158325,1806265.790000000037253,1765091.979999999748543,1821021.520000000018626,1802559.430000000167638,1847084.489999999990687,10935580.129999998956919
FS( 54 ),1904072.440000000176951,1809625.959999999962747,1791925.899999999906868,1830451.600000000325963,1787678.989999999990687,1884098.379999999888241,11007857.269999999552965
FS( 55 ),1895465.560000000055879,1835896.379999999888241,1787104.180000000167638,1812584.080000000307336,1770610.250000000000000,1874990.250000000000000,10976654.699999999254942
FS( 56 ),1881120.760000000242144,1892713.800000000046566,1832700.880000000121072,1815562.000000000000000,1802778.259999999776483,1929057.660000000149012,11153937.359999999403954
FS( 57 ),1859603.560000000055879,1909820.120000000111759,1831967.140000000130385,1799183.440000000176951,1792274.420000000158325,1926925.970000000204891,11119778.650000002235174
FS( 58 ),1875143.760000000242144,1904627.129999999888241,1836055.119999999878928,1826481.040000000037253,1790961.439999999944121,1912391.720000000204891,11145664.210000000894070
FS( 59 ),1947106.840000000083819,1908903.709999999962747,1849786.540000000037253,1817547.280000000027940,1779363.449999999953434,1909097.290000000037253,11211809.109999999403954
FS( 60 ),1938978.119999999878928,1932424.899999999906868,1846537.119999999878928,1840378.000000000000000,1779363.449999999953434,1922856.379999999888241,11260541.969999998807907
FS( 61 ),1926067.800000000046566,1951364.040000000037253,1849576.899999999906868,1858245.520000000018626,1789210.800000000046566,1955413.100000000093132,11329882.160000000149012
FS( 62 ),1912918.400000000139698,1940061.649999999906868,1848528.699999999953434,1850800.720000000204891,1794681.550000000046566,1967234.290000000037253,11314229.310000002384186
FS( 63 ),1894031.080000000074506,1940061.649999999906868,1842029.859999999869615,1850800.720000000204891,1794462.719999999972060,1943979.489999999990687,11265369.520000001415610
FS( 64 ),1916265.520000000251457,1931508.489999999757856,1858067.319999999832362,1856756.560000000055879,1781551.750000000000000,1961226.800000000046566,11305380.440000001341105
