代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13209915.289999999105930
真實報酬,3209915.289999999105930

夏普值報酬,0.312291529000000
夏普值風險,0.095215661928356
夏普值,3.279833618496290

二次趨勢線,-315.088028552330400 x^2 + 64538.558635487752326 x + 10000000.000000000000000
二次加權預期報酬,11393.711152994690565
風險,433845.884380379167851
二次加權趨勢值,0.026262116486981
一次趨勢線,34645.048954295707517 x + 10000000.000000000000000
一次預期報酬,34645.048954295707517
一次風險,712199.846901523182169
一次趨勢值,0.048645122720851
找到最佳解世代,2382
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
FS( 63 ),13407614.439999997615814,13407614.439999997615814
FS( 64 ),13677204.189999997615814,13677204.189999997615814
FS( 65 ),13281805.890000000596046,13281805.890000000596046
FS( 66 ),13145213.750000000000000,13145213.750000000000000
FS( 67 ),12645574.079999998211861,12645574.079999998211861
FS( 68 ),12109989.109999997541308,12109989.109999997541308
FS( 69 ),13040972.379999998956919,13040972.379999998956919
FS( 70 ),13173969.989999998360872,13173969.989999998360872
FS( 71 ),13457937.859999997541308,13457937.859999997541308
FS( 72 ),13267427.769999997690320,13267427.769999997690320
FS( 73 ),13033783.319999998435378,13033783.319999998435378
FS( 74 ),13055350.500000000000000,13055350.500000000000000
FS( 75 ),12958298.189999997615814,12958298.189999997615814
FS( 76 ),12753409.979999998584390,12753409.979999998584390
FS( 77 ),12210635.949999999254942,12210635.949999999254942
FS( 78 ),12444280.399999998509884,12444280.399999998509884
FS( 79 ),12670735.789999999105930,12670735.789999999105930
FS( 80 ),12591656.129999998956919,12591656.129999998956919
FS( 81 ),12534143.649999998509884,12534143.649999998509884
FS( 82 ),13008621.609999997541308,13008621.609999997541308
FS( 83 ),13191942.640000000596046,13191942.640000000596046
FS( 84 ),13393236.319999998435378,13393236.319999998435378
FS( 85 ),13554990.169999999925494,13554990.169999999925494
FS( 86 ),13511855.810000000521541,13511855.810000000521541
FS( 87 ),13145213.750000000000000,13145213.750000000000000
FS( 88 ),12886407.589999999850988,12886407.589999999850988
FS( 89 ),12803733.399999998509884,12803733.399999998509884
FS( 90 ),12487414.759999999776483,12487414.759999999776483
FS( 91 ),12864840.409999998286366,12864840.409999998286366
FS( 92 ),13019405.199999999254942,13019405.199999999254942
FS( 93 ),13058945.029999999329448,13058945.029999999329448
FS( 94 ),13335723.839999999850988,13335723.839999999850988
FS( 95 ),13723933.079999998211861,13723933.079999998211861
FS( 96 ),13961172.060000000521541,13961172.060000000521541
FS( 97 ),14072602.489999998360872,14072602.489999998360872
FS( 98 ),13874903.339999999850988,13874903.339999999850988
FS( 99 ),14061818.899999998509884,14061818.899999998509884
FS( 100 ),13914443.169999999925494,13914443.169999999925494
FS( 101 ),13813796.329999998211861,13813796.329999998211861
FS( 102 ),13695176.839999999850988,13695176.839999999850988
FS( 103 ),13777851.029999999329448,13777851.029999999329448
FS( 104 ),13155997.339999999850988,13155997.339999999850988
FS( 105 ),12915163.829999998211861,12915163.829999998211861
FS( 106 ),12760599.039999999105930,12760599.039999999105930
FS( 107 ),12681519.379999998956919,12681519.379999998956919
FS( 108 ),12767788.099999999627471,12767788.099999999627471
FS( 109 ),13281805.890000000596046,13281805.890000000596046
FS( 110 ),13253049.649999998509884,13253049.649999998509884
FS( 111 ),13332129.310000000521541,13332129.310000000521541
FS( 112 ),13213509.819999998435378,13213509.819999998435378
FS( 113 ),12929541.949999999254942,12929541.949999999254942
FS( 114 ),12976270.839999999850988,12976270.839999999850988
FS( 115 ),12911569.299999998882413,12911569.299999998882413
FS( 116 ),12832489.640000000596046,12832489.640000000596046
FS( 117 ),12609628.779999999329448,12609628.779999999329448
FS( 118 ),12933136.479999998584390,12933136.479999998584390
FS( 119 ),13055350.500000000000000,13055350.500000000000000
FS( 120 ),13299778.539999999105930,13299778.539999999105930
FS( 121 ),13346507.429999999701977,13346507.429999999701977
FS( 122 ),13314156.659999998286366,13314156.659999998286366
FS( 123 ),13562179.229999998584390,13562179.229999998584390
FS( 124 ),13400425.379999998956919,13400425.379999998956919
FS( 125 ),13253049.649999998509884,13253049.649999998509884
FS( 126 ),13209915.289999999105930,13209915.289999999105930
