代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11579814.039999999105930
真實報酬,1579814.039999999105930

夏普值報酬,0.149281404000000
夏普值風險,0.063751263152604
夏普值,2.341622685069935

二次趨勢線,270.652539026413649 x^2 + -20768.183603195881005 x + 10000000.000000000000000
二次加權預期報酬,25242.748031294438988
風險,230474.200207768066321
二次加權趨勢值,0.109525265771781
一次趨勢線,5112.567422765167976 x + 10000000.000000000000000
一次預期報酬,5112.567422765167976
一次風險,544074.791303172241896
一次趨勢值,0.009396809968937
找到最佳解世代,1965
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),MCD[15](1),
Stock#,HD[9](2),MCD[15](1),
張數,136128,58377,
FS( 94 ),5181050.240000001154840,5531814.469999999739230,10712864.710000000894070
FS( 95 ),5206914.560000000521541,5490950.569999999366701,10697865.129999998956919
FS( 96 ),5182411.520000000484288,5514885.139999998733401,10697296.660000000149012
FS( 97 ),5151102.080000001005828,5437827.500000000000000,10588929.580000001937151
FS( 98 ),5121153.919999999925494,5387623.279999999329448,10508777.199999999254942
FS( 99 ),5156547.200000001117587,5413892.929999998770654,10570440.129999998956919
FS( 100 ),5044922.240000001154840,5387039.509999999776483,10431961.750000000000000
FS( 101 ),5050367.360000000335276,5408639.000000000000000,10459006.359999999403954
FS( 102 ),4971413.120000001043081,5363104.939999999478459,10334518.060000000521541
FS( 103 ),4964606.720000000670552,5376531.649999998509884,10341138.369999999180436
FS( 104 ),5077592.959999999962747,5473437.469999999739230,10551030.429999999701977
FS( 105 ),5303565.440000000409782,5455924.369999999180436,10759489.809999998658895
FS( 106 ),5338958.720000000670552,5576180.989999999292195,10915139.710000000894070
FS( 107 ),5355294.080000001005828,5575013.449999999254942,10930307.530000001192093
FS( 108 ),5436970.879999999888241,5586688.849999999627471,11023659.730000000447035
FS( 109 ),5476448.000000000000000,5566256.899999998509884,11042704.899999998509884
FS( 110 ),5488699.520000000484288,5604785.719999999739230,11093485.240000000223517
FS( 111 ),5544512.000000000000000,5630471.599999999627471,11174983.599999999627471
FS( 112 ),5432887.040000000037253,5657908.789999999105930,11090795.829999998211861
FS( 113 ),5476448.000000000000000,5722707.259999999776483,11199155.259999999776483
FS( 114 ),5451944.959999999962747,5748976.909999999217689,11200921.869999999180436
FS( 115 ),5378435.839999999850988,5720955.949999999254942,11099391.789999999105930
FS( 116 ),5328068.480000000447035,5698188.919999998994172,11026257.399999998509884
FS( 117 ),5366184.320000000298023,5729128.729999999515712,11095313.050000000745058
FS( 118 ),5502312.320000000298023,5691183.679999998770654,11193496.000000000000000
FS( 119 ),5472364.160000001080334,5676589.429999998770654,11148953.589999999850988
FS( 120 ),5710588.160000001080334,5768825.089999998919666,11479413.250000000000000
FS( 121 ),5717394.560000000521541,5791008.349999999627471,11508402.910000000149012
FS( 122 ),5706504.320000000298023,5755982.149999998509884,11462486.469999998807907
FS( 123 ),5729646.080000001005828,5846466.500000000000000,11576112.580000001937151
FS( 124 ),5747342.720000000670552,5869817.299999998882413,11617160.019999999552965
FS( 125 ),5653414.400000000372529,5813191.609999999403954,11466606.009999999776483
FS( 126 ),5718755.839999999850988,5884995.319999999366701,11603751.160000000149012
FS( 127 ),5722839.680000000633299,5856974.359999999403954,11579814.039999999105930
