代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13428054.349999997764826
真實報酬,3428054.349999997764826

夏普值報酬,0.334105435000000
夏普值風險,0.091858127553524
夏普值,3.637189695656720

二次趨勢線,197.540476789354898 x^2 + 2782.625562532997719 x + 10000000.000000000000000
二次加權預期報酬,35574.344709565899393
風險,189310.432095631724223
二次加權趨勢值,0.187915395447385
一次趨勢線,21227.670082020984410 x + 10000000.000000000000000
一次預期報酬,21227.670082020984410
一次風險,391774.960192554339301
一次趨勢值,0.054183325222183
找到最佳解世代,1980
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](5),HD[9](1),MRK[17](10),
FS( 32 ),3674439.799999999813735,3507438.279999999795109,3273555.970000000204891,10455435.050000000745058
FS( 33 ),3694036.599999999627471,3639029.480000000447035,3322188.129999999888241,10655255.210000000894070
FS( 34 ),3487657.799999999813735,3583356.279999999795109,3296858.879999999888241,10367873.960000000894070
FS( 35 ),3458262.599999999627471,3616760.199999999720603,3323201.299999999813735,10398225.099999997764826
FS( 36 ),3436828.599999999627471,3731143.320000000298023,3378925.650000000372529,10546898.570000000298023
FS( 37 ),3550122.599999999627471,3714947.480000000447035,3397162.710000000428408,10662233.790000000968575
FS( 38 ),3479696.599999999627471,3648139.640000000130385,3334346.169999999925494,10462183.410000000149012
FS( 39 ),3504804.999999999534339,3699763.879999999888241,3398175.879999999888241,10602745.759999997913837
FS( 40 ),3540324.199999999720603,3782767.560000000055879,3476189.970000000204891,10799282.730000000447035
FS( 41 ),3542773.799999999813735,3656237.560000000055879,3557243.570000000298023,10756255.929999999701977
FS( 42 ),3541548.999999999534339,3623845.879999999888241,3495440.200000000186265,10660836.079999998211861
FS( 43 ),3468673.399999999906868,3597527.640000000130385,3450860.720000000204891,10517062.759999999776483
FS( 44 ),3476634.600000000093132,3643078.440000000409782,3464031.930000000167638,10583745.970000000670552
FS( 45 ),3526238.999999999534339,3689641.480000000447035,3498479.710000000428408,10714361.190000001341105
FS( 46 ),3501743.000000000000000,3683568.040000000037253,3446808.040000000502914,10632120.080000000074506
FS( 47 ),3496843.799999999813735,3779730.840000000316650,3477203.140000000130385,10753778.780000001192093
FS( 48 ),3553797.000000000000000,3840465.239999999757856,3492400.689999999944121,10886663.929999999701977
FS( 49 ),3458262.599999999627471,3761510.520000000018626,3423505.129999999888241,10643279.250000000000000
FS( 50 ),3370077.000000000000000,3765559.480000000447035,3543059.189999999944121,10678696.669999999925494
FS( 51 ),3365177.799999999813735,3852612.120000000577420,3644376.189999999944121,10862167.109999999403954
FS( 52 ),3318023.000000000000000,3871844.680000000167638,3613981.090000000316650,10803849.769999999552965
FS( 53 ),3401921.799999999813735,3853624.360000000335276,3620060.109999999869615,10875607.269999999552965
FS( 54 ),3366402.599999999627471,3830342.840000000316650,3555217.230000000447035,10751963.669999999925494
FS( 55 ),3302100.600000000093132,3808073.560000000055879,3529887.980000000447035,10640063.140000000596046
FS( 56 ),3280054.199999999720603,3834391.800000000279397,3541032.850000000558794,10655479.850000001490116
FS( 57 ),3228612.599999999627471,3751388.120000000577420,3458966.080000000074506,10438967.800000000745058
FS( 58 ),3294139.399999999906868,3755437.080000000540167,3425531.470000000204891,10475108.950000001117587
FS( 59 ),3210853.000000000000000,3696727.160000000614673,3362714.930000000167638,10270296.089999999850988
FS( 60 ),3180845.399999999906868,3691665.959999999962747,3359675.419999999925494,10232187.779999999329448
FS( 61 ),3290464.999999999534339,3775681.879999999888241,3471124.120000000111759,10537272.000000000000000
FS( 62 ),3264744.199999999720603,3943713.720000000204891,3493413.859999999869615,10701872.779999999329448
FS( 63 ),3343743.799999999813735,3970031.959999999962747,3622086.450000000186265,10935863.210000000894070
FS( 64 ),3393960.600000000093132,3982178.840000000316650,3614994.260000000242144,10991134.700000001117587
FS( 65 ),3409270.600000000093132,4042913.239999999757856,3594730.859999999869615,11046915.699999999254942
FS( 66 ),3438053.399999999906868,4072268.199999999720603,3572441.120000000111759,11082763.719999998807907
FS( 67 ),3420293.799999999813735,4081378.360000000335276,3586625.500000000000000,11088298.660000000149012
FS( 68 ),3403758.999999999534339,4122880.199999999720603,3607902.070000000298023,11134542.269999999552965
FS( 69 ),3417844.199999999720603,4039876.520000000018626,3565348.930000000167638,11023070.650000000372529
FS( 70 ),3443564.999999999534339,4072268.199999999720603,3614994.260000000242144,11130828.459999999031425
FS( 71 ),3428254.999999999534339,4054047.879999999888241,3587638.669999999925494,11069942.549999998882413
FS( 72 ),3401309.399999999906868,3999386.919999999925494,3545085.530000000260770,10945782.850000001490116
FS( 73 ),3325984.199999999720603,3961934.040000000037253,3602836.220000000204891,10890755.460000000894070
FS( 74 ),3314961.000000000000000,3990276.760000000242144,3683889.820000000298023,10989128.580000000074506
FS( 75 ),3333333.000000000000000,4091500.760000000242144,3672744.950000000186265,11097579.710000000894070
FS( 76 ),3343743.799999999813735,4069231.480000000447035,3695034.689999999944121,11108010.970000000670552
FS( 77 ),3463774.199999999720603,4246373.480000000447035,3755824.890000000130385,11465973.570000000298023
FS( 78 ),3468673.399999999906868,4251434.679999999701977,3782167.310000000055879,11502276.390000000596046
FS( 79 ),3487045.399999999906868,4243336.759999999776483,3805470.220000000204891,11535853.380000000819564
FS( 80 ),3528688.599999999627471,4260544.839999999850988,3839918.000000000000000,11629152.439999999478459
FS( 81 ),3556858.999999999534339,4273703.960000000894070,3824720.450000000186265,11655284.410000000149012
FS( 82 ),3522564.600000000093132,4203859.400000000372529,3792299.010000000242144,11518724.009999999776483
FS( 83 ),3543998.599999999627471,4252446.919999999925494,3822694.109999999869615,11619140.629999998956919
FS( 84 ),3543386.199999999720603,4255483.640000000596046,3819654.600000000558794,11618525.440000001341105
FS( 85 ),3597889.799999999813735,4265606.040000000968575,3880444.799999999813735,11743941.640000000596046
FS( 86 ),3616874.199999999720603,4326340.439999999478459,3884497.480000000447035,11827713.119999999180436
FS( 87 ),3657292.599999999627471,4361768.839999999850988,3925024.280000000260770,11944086.719999998807907
FS( 88 ),3695261.399999999906868,4372903.480000000447035,3897668.689999999944121,11965834.570000000298023
FS( 89 ),3689749.799999999813735,4375940.199999999254942,3889563.330000000074506,11955254.329999998211861
FS( 90 ),3702610.199999999720603,4406307.400000000372529,3902734.540000000502914,12011653.140000000596046
FS( 91 ),3696486.199999999720603,4399221.720000000670552,3891589.669999999925494,11987298.589999999850988
FS( 92 ),3686687.799999999813735,4392136.040000000968575,3911853.070000000298023,11990677.910000000149012
FS( 93 ),3672602.599999999627471,4404282.919999999925494,3882471.140000000130385,11959357.660000000149012
FS( 94 ),3715470.600000000093132,4427564.439999999478459,3933129.640000000130385,12076165.679999999701977
FS( 95 ),3754051.799999999813735,4542959.800000000745058,3938195.489999999757856,12235208.089999999850988
FS( 96 ),3742416.199999999720603,4596608.519999999552965,3977709.120000000111759,12316734.839999999850988
FS( 97 ),3676889.399999999906868,4505506.919999999925494,3971630.100000000558794,12154027.420000001788139
FS( 98 ),3739354.199999999720603,4542959.800000000745058,3928063.790000000502914,12210378.790000000968575
FS( 99 ),3678114.199999999720603,4551057.720000000670552,3929076.960000000428408,12158249.880000000819564
FS( 100 ),3907764.199999999720603,4581424.919999999925494,3918945.260000000242144,12408135.379999998956919
FS( 101 ),3890004.600000000093132,4550045.480000000447035,3929076.960000000428408,12369128.040000000968575
FS( 102 ),3913275.799999999813735,4541947.560000000521541,3902734.540000000502914,12357958.900000000372529
FS( 103 ),3963492.599999999627471,4531825.160000000149012,3940221.830000000074506,12435540.589999999850988
FS( 104 ),3993500.199999999254942,4493360.040000000968575,3877405.290000000502914,12364266.530000001192093
FS( 105 ),3991050.600000000093132,4501457.960000000894070,3913879.410000000614673,12406388.970000000670552
FS( 106 ),3981864.599999999627471,4500445.720000000670552,3894629.180000000167638,12376940.500000000000000
FS( 107 ),4021670.600000000093132,4572314.759999999776483,3887536.989999999757856,12481523.349999999627471
FS( 108 ),4059027.000000000000000,4575351.480000000447035,3890576.500000000000000,12524955.980000000447035
FS( 109 ),4101895.000000000000000,4601669.720000000670552,3913879.410000000614673,12617445.130000000819564
FS( 110 ),4170483.799999999348074,4572314.759999999776483,3892602.840000000316650,12635402.399999998509884
FS( 111 ),4314397.799999999813735,4582437.160000000149012,3865247.250000000000000,12762083.210000000894070
FS( 112 ),4316847.399999999441206,4588510.599999999627471,3840931.169999999925494,12746290.169999999925494
FS( 113 ),4397071.799999999813735,4649245.000000000000000,3861194.570000000298023,12907512.370000001043081
FS( 114 ),4457087.000000000000000,4662404.120000001043081,3871326.270000000484288,12990818.390000000596046
FS( 115 ),4354203.799999999813735,4626975.720000000670552,3852076.040000000502914,12833256.560000000521541
FS( 116 ),4393397.399999999441206,4649245.000000000000000,3864234.080000000074506,12906877.479999998584390
FS( 117 ),4392785.000000000000000,4728199.720000000670552,3906787.220000000204891,13027772.940000001341105
FS( 118 ),4504241.799999999813735,4749456.759999999776483,3863220.910000000614673,13116920.469999998807907
FS( 119 ),4488319.400000000372529,4714028.359999999403954,3872339.439999999944121,13074688.199999999254942
FS( 120 ),4517714.599999999627471,4752493.480000000447035,3901721.370000000111759,13171930.449999999254942
FS( 121 ),4570381.000000000000000,4755530.199999999254942,3870313.100000000558794,13196225.300000000745058
FS( 122 ),4599776.200000000186265,4750469.000000000000000,3865247.250000000000000,13215493.449999999254942
FS( 123 ),4684287.399999999441206,4780836.199999999254942,3888550.160000000614673,13353674.759999997913837
FS( 124 ),4745527.399999999441206,4815252.359999999403954,3867273.590000000316650,13428054.349999997764826
