代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11524605.580000000074506
真實報酬,1524605.580000000074506

夏普值報酬,0.143760558000000
夏普值風險,0.040320121809555
夏普值,3.565479258198372

二次趨勢線,-2.463561699836305 x^2 + 12059.252357684938033 x + 10000000.000000000000000
二次加權預期報酬,11643.731617645884398
風險,109433.192765573679935
二次加權趨勢值,0.106400364673531
一次趨勢線,11825.525592937245165 x + 10000000.000000000000000
一次預期報酬,11825.525592937245165
一次風險,109522.257684495169087
一次趨勢值,0.107973720072531
找到最佳解世代,1753
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,3
JPM[13](2),MRK[17](9),NKE[19](1),
FS( 20 ),3711912.600000000558794,3207403.399999999441206,3581371.920000000391155,10500688.919999999925494
FS( 21 ),3723931.000000000000000,3194262.919999999925494,3553086.780000000260770,10471281.699999999254942
FS( 22 ),3733545.720000000204891,3169077.000000000000000,3536405.799999999813735,10439029.519999999552965
FS( 23 ),3725733.760000000242144,3174552.199999999720603,3570493.020000000018626,10470779.980000000447035
FS( 24 ),3659031.640000000130385,3112134.919999999925494,3514648.000000000000000,10285815.560000000521541
FS( 25 ),3695687.760000000242144,3135130.759999999776483,3533504.759999999776483,10364324.279999999329448
FS( 26 ),3603146.080000000074506,3097899.399999999441206,3500142.799999999813735,10201189.279999999329448
FS( 27 ),3619971.840000000316650,3069428.359999999869615,3457352.459999999962747,10146753.660000000149012
FS( 28 ),3687875.800000000279397,3075451.080000000074506,3518999.560000000055879,10282327.440000001341105
FS( 29 ),3665641.760000000242144,3077093.640000000130385,3474758.699999999720603,10217495.099999999627471
FS( 30 ),3716719.960000000428408,3127465.479999999515712,3497241.759999999776483,10341428.199999999254942
FS( 31 ),3702297.880000000353903,3091876.679999999701977,3500868.060000000055879,10295043.620000001043081
FS( 32 ),3710710.760000000242144,3156484.039999999571592,3536405.799999999813735,10403601.599999999627471
FS( 33 ),3677660.160000000614673,3187145.159999999683350,3565416.199999999720603,10430222.519999999552965
FS( 34 ),3710710.760000000242144,3207403.399999999441206,3698138.780000000260770,10616253.940000001341105
FS( 35 ),3674054.640000000130385,3215616.199999999720603,3679282.020000000018626,10568953.859999999403954
FS( 36 ),3633192.080000000074506,3210141.000000000000000,3650271.620000000111759,10493605.699999999254942
FS( 37 ),3582113.880000000353903,3189882.759999999776483,3590075.040000000037253,10362072.679999999701977
FS( 38 ),3577907.440000000409782,3153746.439999999944121,3602404.459999999962747,10334059.339999999850988
FS( 39 ),3578508.359999999869615,3161959.239999999757856,3621986.479999999981374,10362455.080000000074506
FS( 40 ),3663238.080000000074506,3194262.919999999925494,3658974.740000000223517,10516476.740000000223517
FS( 41 ),3640403.120000000111759,3147176.199999999720603,3638667.459999999962747,10426247.780000001192093
FS( 42 ),3602545.160000000614673,3113229.959999999497086,3610382.320000000298023,10326158.440000001341105
FS( 43 ),3636797.600000000558794,3126370.439999999944121,3614008.620000000111759,10377177.660000000149012
FS( 44 ),3633793.000000000000000,3130750.599999999627471,3616909.659999999683350,10381454.259999999776483
FS( 45 ),3656627.960000000428408,3144438.599999999627471,3612558.100000000093132,10413625.660000000149012
FS( 46 ),3668646.359999999869615,3129108.039999999571592,3656798.959999999962747,10454554.359999999403954
FS( 47 ),3693885.000000000000000,3144438.599999999627471,3652447.399999999906868,10490772.000000000000000
FS( 48 ),3707706.160000000614673,3134583.239999999757856,3625612.780000000260770,10467903.179999999701977
FS( 49 ),3729940.200000000186265,3106112.199999999720603,3600228.680000000167638,10436282.080000000074506
FS( 50 ),3788229.440000000409782,3162506.759999999776483,3609657.060000000055879,10560394.259999999776483
FS( 51 ),3858537.080000000074506,3200285.640000000130385,3620535.959999999962747,10679359.679999999701977
FS( 52 ),3834500.280000000260770,3166886.919999999925494,3622711.740000000223517,10624099.940000001341105
FS( 53 ),3776211.040000000502914,3114325.000000000000000,3574119.320000000298023,10464656.360000001266599
FS( 54 ),3800247.840000000316650,3154293.959999999497086,3626338.040000000037253,10580880.839999999850988
FS( 55 ),3744362.280000000260770,3157031.559999999590218,3637216.939999999944121,10538611.779999999329448
FS( 56 ),3782220.240000000223517,3158674.119999999646097,3632140.120000000111759,10573035.480000000447035
FS( 57 ),3773807.359999999869615,3148818.759999999776483,3666952.600000000093132,10589579.719999998807907
FS( 58 ),3761788.960000000428408,3153746.439999999944121,3661150.520000000018626,10576686.919999999925494
FS( 59 ),3746165.040000000502914,3126370.439999999944121,3660425.259999999776483,10532961.740000000223517
FS( 60 ),3771403.680000000167638,3284056.199999999720603,3621261.220000000204891,10676722.099999999627471
FS( 61 ),3821880.960000000428408,3267630.599999999627471,3632865.380000000353903,10722377.940000001341105
FS( 62 ),3801449.680000000167638,3261060.359999999869615,3584272.959999999962747,10646784.000000000000000
FS( 63 ),3822481.880000000353903,3277485.959999999497086,3654623.180000000167638,10754592.019999999552965
FS( 64 ),3889184.000000000000000,3320192.520000000018626,3656798.959999999962747,10866176.480000000447035
FS( 65 ),3869954.560000000521541,3311979.719999999739230,3641568.500000000000000,10823503.780000001192093
FS( 66 ),3841110.400000000372529,3299386.759999999776483,3634315.899999999906868,10774814.060000000521541
FS( 67 ),3875963.760000000242144,3301576.839999999385327,3679282.020000000018626,10856823.619999999180436
FS( 68 ),3935454.839999999850988,3325667.719999999739230,3714819.759999999776483,10975943.320000000298023
FS( 69 ),3933051.160000000614673,3285151.239999999757856,3727874.439999999944121,10946077.839999999850988
FS( 70 ),3927642.880000000353903,3254490.119999999646097,3712643.979999999981374,10894777.980000000447035
FS( 71 ),3937257.600000000093132,3240254.599999999627471,3704666.120000000111759,10882179.320000000298023
FS( 72 ),3969106.359999999869615,3273105.799999999813735,3751082.759999999776483,10993295.919999999925494
FS( 73 ),3958890.719999999739230,3297744.199999999720603,3806927.780000000260770,11063563.699999999254942
FS( 74 ),3991340.400000000372529,3285698.759999999776483,3798949.920000000391155,11075990.080000000074506
FS( 75 ),4026794.680000000633299,3313622.279999999795109,3794598.359999999869615,11135016.320000000298023
FS( 76 ),3994945.920000000391155,3310337.159999999683350,3793873.100000000093132,11099157.179999999701977
FS( 77 ),4005161.560000000521541,3290626.439999999944121,3785895.240000000223517,11081684.240000000223517
FS( 78 ),3994345.000000000000000,3251205.000000000000000,3787345.759999999776483,11032896.759999999776483
FS( 79 ),3949876.920000000391155,3228756.679999999701977,3750357.500000000000000,10928992.099999999627471
FS( 80 ),3994345.000000000000000,3255585.159999999683350,3729324.959999999962747,10979256.120000001043081
FS( 81 ),3978120.160000000614673,3268725.640000000130385,3709742.939999999944121,10956589.740000000223517
FS( 82 ),3952881.520000000484288,3333880.520000000018626,3687259.880000000353903,10974022.920000001788139
FS( 83 ),3970909.120000000111759,3326215.239999999757856,3690160.920000000391155,10987286.279999999329448
FS( 84 ),3967303.600000000093132,3298291.719999999739230,3703215.600000000093132,10968811.919999999925494
FS( 85 ),4008166.160000000614673,3306504.520000000018626,3717720.799999999813735,11032392.480000000447035
FS( 86 ),3985932.120000000111759,3256132.679999999701977,3697413.520000000018626,10939479.320000000298023
FS( 87 ),4051432.400000000372529,3229851.719999999739230,3700314.560000000055879,10981599.679999999701977
FS( 88 ),4019583.640000000130385,3223281.479999999515712,3678556.759999999776483,10921422.879999998956919
FS( 89 ),4037010.320000000763685,3221638.919999999925494,3675655.720000000204891,10934305.960000000894070
FS( 90 ),4101909.680000000633299,3263797.959999999497086,3747456.459999999962747,11113165.100000001490116
FS( 91 ),4117533.600000000093132,3225471.559999999590218,3767038.479999999981374,11110044.640000000596046
FS( 92 ),4101308.760000000242144,3168529.479999999515712,3763412.180000000167638,11033251.419999999925494
FS( 93 ),4085684.839999999850988,3127465.479999999515712,3748181.720000000204891,10961333.039999999105930
FS( 94 ),4108519.800000000745058,3159769.159999999683350,3791697.320000000298023,11059987.280000001192093
FS( 95 ),4094698.640000000130385,3170719.559999999590218,3798949.920000000391155,11064369.119999999180436
FS( 96 ),4133157.520000000484288,3207950.919999999925494,3843916.040000000037253,11185025.480000000447035
FS( 97 ),4091093.120000000111759,3177837.319999999832362,3863498.060000000055879,11132429.500000000000000
FS( 98 ),4143974.080000000074506,3221091.399999999441206,3872926.439999999944121,11237992.919999999925494
FS( 99 ),4191446.760000000242144,3232041.799999999813735,3887431.640000000130385,11310921.200000001117587
FS( 100 ),4147579.600000000093132,3188787.719999999739230,3851893.899999999906868,11188262.220000000670552
FS( 101 ),4125345.560000000521541,3170172.039999999571592,3815630.899999999906868,11111149.500000000000000
FS( 102 ),4143373.160000000614673,3202475.719999999739230,3978814.399999999906868,11324664.280000001192093
FS( 103 ),4038212.160000000614673,3136773.319999999832362,3904837.880000000353903,11079824.360000001266599
FS( 104 ),4071863.680000000633299,3117062.599999999627471,3917167.299999999813735,11106094.580000000074506
FS( 105 ),4090492.199999999720603,3153746.439999999944121,3968660.759999999776483,11212900.399999998509884
FS( 106 ),4057441.600000000093132,3157579.080000000074506,3984616.479999999981374,11199638.160000000149012
FS( 107 ),4046024.120000000111759,3151008.839999999385327,3983165.959999999962747,11180199.919999998062849
FS( 108 ),4014175.359999999869615,3175099.719999999739230,4036109.939999999944121,11225386.019999999552965
FS( 109 ),3931849.320000000763685,3140058.439999999944121,3962858.680000000167638,11034767.440000001341105
FS( 110 ),3972711.880000000353903,3141701.000000000000000,3968660.759999999776483,11083074.640000000596046
FS( 111 ),4029198.359999999869615,3172909.640000000130385,4007824.799999999813735,11209933.800000000745058
FS( 112 ),4091694.040000000502914,3168529.479999999515712,4076724.500000000000000,11336949.019999999552965
FS( 113 ),4148781.440000000409782,3186050.119999999646097,4073823.459999999962747,11408656.019999999552965
FS( 114 ),4157795.240000000223517,3187692.679999999701977,4057867.740000000223517,11403356.660000000149012
FS( 115 ),4180029.280000000260770,3220543.879999999888241,4073823.459999999962747,11474397.620000001043081
FS( 116 ),4158997.080000000074506,3220543.879999999888241,4090504.439999999944121,11470046.400000000372529
FS( 117 ),4162001.680000000633299,3230399.239999999757856,4102833.859999999869615,11495235.779999999329448
FS( 118 ),4152386.959999999962747,3212331.080000000074506,4097757.040000000037253,11462476.080000000074506
FS( 119 ),4211277.120000001043081,3182765.000000000000000,4137646.339999999850988,11531689.460000000894070
FS( 120 ),4184836.640000000130385,3179479.879999999888241,4134020.040000000037253,11498337.559999998658895
FS( 121 ),4140969.479999999981374,3143343.559999999590218,4097757.040000000037253,11382071.079999998211861
FS( 122 ),4086886.680000000633299,3120347.719999999739230,4052065.659999999683350,11259301.060000000521541
FS( 123 ),4089290.359999999869615,3149366.279999999795109,4115163.280000000260770,11353820.919999999925494
FS( 124 ),4142772.240000000223517,3205213.319999999832362,4167382.000000000000000,11515368.560000000521541
FS( 125 ),4148781.440000000409782,3204118.279999999795109,4171008.299999999813735,11523909.019999999552965
FS( 126 ),4118134.520000000484288,3228209.159999999683350,4178260.899999999906868,11524605.580000000074506
