代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13439014.400000000372529
真實報酬,3439014.400000000372529

夏普值報酬,0.335201440000000
夏普值風險,0.094975290946100
夏普值,3.529354178975181

二次趨勢線,44.309954833695841 x^2 + 24872.475783276851871 x + 10000000.000000000000000
二次加權預期報酬,32287.008225448626035
風險,170017.064781613822561
二次加權趨勢值,0.189904514978665
一次趨勢線,29043.084081866814813 x + 10000000.000000000000000
一次預期報酬,29043.084081866814813
一次風險,187129.706785708374809
一次趨勢值,0.155202958315568
找到最佳解世代,2328
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](5),UNH[23](1),WBA[27](3),
FS( 69 ),3523967.810000000055879,4111684.220000000204891,4378370.580000000074506,12014023.609999999403954
FS( 70 ),3517016.189999999944121,4073198.640000000130385,4272229.540000000968575,11862445.370000001043081
FS( 71 ),3499102.399999999906868,4027251.569999999832362,4273923.280000001192093,11800278.250000000000000
FS( 72 ),3507123.499999999534339,4047672.489999999757856,4249081.759999999776483,11803878.750000000000000
FS( 73 ),3486001.270000000018626,4057882.949999999720603,4233838.099999999627471,11777723.320000000298023
FS( 74 ),3479584.389999999664724,4102259.179999999701977,4221981.919999999925494,11803826.489999998360872
FS( 75 ),3496696.069999999832362,4153704.189999999944121,4292554.419999999925494,11942955.679999999701977
FS( 76 ),3508460.350000000093132,4147813.540000000037253,4293683.580000000074506,11949958.470000000670552
FS( 77 ),3540277.379999999888241,4293116.240000000223517,4267712.900000000372529,12101107.519999999552965
FS( 78 ),3626637.889999999664724,4471013.869999999180436,4291989.839999999850988,12389642.599999997764826
FS( 79 ),3599366.149999999906868,4398362.519999999552965,4267712.900000000372529,12265442.570000000298023
FS( 80 ),3584660.799999999813735,4383046.830000000074506,4281827.400000000372529,12249536.030000001192093
FS( 81 ),3542148.969999999739230,4320213.230000000447035,4230450.620000001043081,12092813.820000000298023
FS( 82 ),3733585.889999999664724,4259343.179999999701977,4164959.339999999850988,12157889.410000000149012
FS( 83 ),3951225.069999999832362,4295865.210000000894070,4210125.740000000223517,12457217.020000001415610
FS( 84 ),3886788.899999999906868,4172554.270000000018626,4163830.180000000167638,12223174.349999999627471
FS( 85 ),3910584.829999999608845,4213396.109999999403954,4228192.300000000745058,12352174.240000000223517
FS( 86 ),3939460.790000000037253,4233817.029999999329448,4222546.500000000000000,12395825.320000000298023
FS( 87 ),3936252.350000000093132,4238136.839999999850988,4215771.540000000968575,12390161.730000000447035
FS( 88 ),3973149.409999999683350,4273480.740000000223517,4222546.500000000000000,12469177.650000000372529
FS( 89 ),3957107.209999999962747,4225570.119999999180436,4299329.380000000819564,12482007.710000000894070
FS( 90 ),3945877.670000000391155,4181979.309999999590218,4313443.880000000819564,12441301.860000001266599
FS( 91 ),3958176.689999999944121,4279371.390000000596046,4329816.699999999254942,12567365.779999999329448
FS( 92 ),3954968.249999999534339,4313929.869999999180436,4490157.419999999925494,12759056.539999999105930
FS( 93 ),3959513.540000000037253,4313537.160000000149012,4514434.359999999403954,12787486.059999998658895
FS( 94 ),4003362.219999999739230,4297828.759999999776483,4444991.019999999552965,12746183.000000000000000
FS( 95 ),4008442.249999999534339,4310395.480000000447035,4403776.679999999701977,12722615.410000000149012
FS( 96 ),4041863.499999999534339,4310788.189999999478459,4391920.500000000000000,12744573.189999999478459
FS( 97 ),4110844.959999999962747,4320998.650000000372529,4352964.480000000447035,12784809.089999999850988
FS( 98 ),4232765.679999999701977,4422710.540000000968575,4354658.220000000670552,13010135.440000001341105
FS( 99 ),4137314.590000000316650,4571154.919999999925494,4437086.900000000372529,13145557.410000000149012
FS( 100 ),4127689.270000000018626,4533062.050000000745058,4538711.300000000745058,13199463.620000001043081
FS( 101 ),4091059.579999999608845,4478868.070000000298023,4517257.259999999776483,13087185.910000000149012
FS( 102 ),4056836.219999999739230,4463552.379999998956919,4609848.380000000819564,13130237.979999998584390
FS( 103 ),4033307.659999999683350,4462374.250000000000000,4690583.320000000298023,13186266.230000000447035
FS( 104 ),4112181.810000000055879,4492612.919999999925494,4721070.640000000596046,13325866.370000001043081
FS( 105 ),4159506.299999999813735,4432135.580000000074506,4697922.859999999403954,13289565.739999998360872
FS( 106 ),4126887.159999999683350,4469835.740000000223517,4687195.839999999850988,13283919.740000000223517
FS( 107 ),4130095.600000000093132,4507928.609999999403954,4697358.280000001192093,13335383.490000000223517
FS( 108 ),4094000.649999999906868,4432921.000000000000000,4649368.980000000447035,13176291.630000000819564
FS( 109 ),4137581.959999999962747,4512248.419999999925494,4714295.679999999701977,13364127.059999998658895
FS( 110 ),4075284.749999999534339,4416427.179999999701977,4670258.439999999478459,13161971.369999999180436
FS( 111 ),4041863.499999999534339,4426637.640000000596046,4658402.259999999776483,13126904.400000000372529
FS( 112 ),4065124.689999999944121,4511463.000000000000000,4756639.179999999701977,13333227.869999999180436
FS( 113 ),4052558.299999999813735,4525993.269999999552965,4726716.439999999478459,13305269.009999999776483
FS( 114 ),4108705.999999999534339,4654409.439999999478459,4898913.339999999850988,13662029.779999999329448
FS( 115 ),4131165.079999999608845,4618280.119999999180436,4870119.759999999776483,13619565.959999999031425
FS( 116 ),4163784.219999999739230,4710959.679999999701977,4922061.120000001043081,13796806.019999999552965
FS( 117 ),4120470.280000000260770,4742376.480000000447035,4932223.560000000521541,13795071.320000002160668
FS( 118 ),4130897.709999999962747,4678757.460000000894070,4981342.019999999552965,13790998.190000001341105
FS( 119 ),4085712.180000000167638,4674830.359999999403954,4963840.040000000968575,13724383.580000000074506
FS( 120 ),4054697.260000000242144,4638701.040000000968575,4968356.679999999701977,13661755.980000000447035
FS( 121 ),3963256.719999999739230,4576652.859999999403954,4848665.720000000670552,13388576.299999998882413
FS( 122 ),3961652.499999999534339,4565264.269999999552965,4767366.199999999254942,13294283.969999998807907
FS( 123 ),3979833.659999999683350,4634381.230000000447035,4815355.500000000000000,13429571.390000000596046
FS( 124 ),4082771.109999999869615,4751801.519999999552965,4854876.099999999627471,13689449.729999998584390
FS( 125 ),4012720.170000000391155,4645377.109999999403954,4780916.120000001043081,13439014.400000000372529
