代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12002893.479999998584390
真實報酬,2002893.479999998584390

夏普值報酬,0.191589348000000
夏普值風險,0.053264935158719
夏普值,3.596913193062218

二次趨勢線,73.178094418046442 x^2 + 6947.773666484364185 x + 10000000.000000000000000
二次加權預期報酬,19095.337339880075888
風險,104521.529601033282233
二次加權趨勢值,0.182692861583335
一次趨勢線,13780.668024795959354 x + 10000000.000000000000000
一次預期報酬,13780.668024795959354
一次風險,164528.969459682382876
一次趨勢值,0.083758307549437
找到最佳解世代,1930
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),KO[14](9),MCD[15](1),UNH[23](8),WMT[28](2),
FS( 17 ),2128409.979999999981374,2071196.839999999850988,2078834.270000000018626,2025970.340000000083819,1968021.000000000232831,10272432.429999999701977
FS( 18 ),2141926.820000000298023,2071694.719999999739230,2077652.599999999860302,2021124.199999999953434,1972549.000000000000000,10284947.339999999850988
FS( 19 ),2132793.820000000298023,2060741.359999999869615,2071069.010000000009313,2006213.000000000000000,1961512.000000000000000,10232329.190000001341105
FS( 20 ),2132245.840000000316650,2071196.839999999850988,2072925.919999999925494,2001242.599999999860302,1960097.000000000232831,10237708.199999999254942
FS( 21 ),2115623.779999999795109,2064226.519999999785796,2054863.250000000000000,1988816.599999999860302,1956135.000000000232831,10179665.150000000372529
FS( 22 ),2121651.560000000055879,2081154.439999999711290,2019413.149999999906868,2006337.260000000009313,1943117.000000000000000,10171673.410000000149012
FS( 23 ),2119276.979999999981374,2073686.239999999757856,2017049.810000000055879,2012053.219999999972060,1954437.000000000000000,10176503.250000000000000
FS( 24 ),2130053.919999999925494,2078665.039999999804422,2020763.629999999888241,2015408.240000000223517,1958681.999999999767169,10203572.830000000074506
FS( 25 ),2153799.720000000204891,2078167.159999999916181,2038657.489999999990687,2018266.219999999972060,1931797.000000000232831,10220687.589999999850988
FS( 26 ),2173527.000000000000000,2057256.199999999720603,2033086.760000000009313,2012550.260000000009313,1944531.999999999767169,10220952.219999998807907
FS( 27 ),2175718.919999999925494,2043315.559999999823049,2030048.179999999934807,2007952.640000000130385,1930948.000000000000000,10187983.299999998882413
FS( 28 ),2187409.160000000149012,2043813.439999999711290,2040683.209999999962747,2011804.699999999953434,1939438.000000000000000,10223148.509999999776483
FS( 29 ),2178276.160000000149012,2038834.639999999897555,2061278.029999999795109,2017644.920000000158325,1923590.000000000000000,10219623.750000000000000
FS( 30 ),2174440.300000000279397,2035349.479999999981374,2051149.429999999934807,2010686.360000000102445,1899817.999999999767169,10171443.570000000298023
FS( 31 ),2191975.660000000149012,2052277.399999999674037,2072250.679999999934807,1996520.719999999972060,1936325.000000000000000,10249349.459999999031425
FS( 32 ),2191793.000000000000000,2055762.559999999823049,2071575.439999999944121,1960236.800000000279397,1927552.000000000000000,10206919.800000000745058
FS( 33 ),2187957.140000000130385,2048294.359999999869615,2062628.510000000009313,1972165.760000000009313,1913685.000000000232831,10184730.769999999552965
FS( 34 ),2191975.660000000149012,2057256.199999999720603,2063978.989999999990687,1971668.719999999972060,1901233.000000000232831,10186112.570000000298023
FS( 35 ),2193436.939999999944121,2062732.879999999888241,2049123.709999999962747,1976763.379999999888241,1886234.000000000232831,10168290.910000000149012
FS( 36 ),2191427.680000000167638,2086133.239999999757856,2043552.979999999981374,1993662.740000000223517,1907459.000000000232831,10222235.640000000596046
FS( 37 ),2226315.740000000223517,2097086.599999999627471,2056044.919999999925494,2003727.800000000279397,1893026.000000000000000,10276201.060000000521541
FS( 38 ),2227411.700000000186265,2081652.319999999832362,2057564.209999999962747,2022491.060000000055879,1888498.000000000000000,10277617.289999999105930
FS( 39 ),2227594.360000000335276,2063728.639999999897555,2074107.589999999850988,2025473.300000000279397,1858217.000000000000000,10249120.890000000596046
FS( 40 ),2221749.240000000223517,2060243.479999999981374,2076808.549999999813735,2014289.900000000139698,1879725.000000000000000,10252816.170000001788139
FS( 41 ),2216634.760000000242144,2069703.199999999720603,2069212.099999999860302,2014414.159999999916181,1888780.999999999767169,10258745.219999998807907
FS( 42 ),2351803.160000000149012,2054268.919999999692664,2066679.949999999953434,2021994.020000000251457,1874348.000000000000000,10369094.050000000745058
FS( 43 ),2347784.640000000130385,2061239.239999999757856,2080184.750000000000000,1997763.319999999832362,1887649.000000000000000,10374620.949999999254942
FS( 44 ),2357830.940000000409782,2068209.559999999823049,2097403.370000000111759,2011556.180000000167638,1881989.000000000000000,10416989.050000000745058
FS( 45 ),2379932.799999999813735,2069205.319999999832362,2100948.379999999888241,1994656.819999999832362,1879159.000000000232831,10423902.319999998435378
FS( 46 ),2402582.640000000130385,2086133.239999999757856,2103311.719999999739230,1994905.340000000083819,1893026.000000000000000,10479958.939999999478459
FS( 47 ),2411898.299999999813735,2092107.800000000046566,2104662.200000000186265,1992171.620000000111759,1919062.000000000000000,10519901.919999999925494
FS( 48 ),2418839.379999999888241,2053771.039999999804422,2101454.809999999590218,1993787.000000000000000,1955003.000000000000000,10522855.230000000447035
FS( 49 ),2413359.580000000074506,2020413.079999999608845,2124075.349999999627471,1997639.060000000055879,1925005.000000000000000,10480492.070000000298023
FS( 50 ),2434730.799999999813735,2022404.599999999627471,2119348.669999999925494,2013047.300000000279397,1917930.000000000000000,10507461.369999999180436
FS( 51 ),2466330.980000000447035,2017923.679999999934807,2123906.540000000037253,2027212.939999999944121,1943117.000000000000000,10578491.140000000596046
FS( 52 ),2475281.319999999832362,2013442.759999999776483,2135216.809999999590218,2041627.099999999860302,1943966.000000000000000,10609533.990000000223517
FS( 53 ),2472358.760000000242144,2051281.639999999897555,2138930.629999999888241,2033674.460000000195578,1949060.000000000232831,10645305.490000000223517
FS( 54 ),2479117.180000000167638,2052775.279999999562278,2157499.729999999515712,1958745.680000000167638,1963210.000000000232831,10611347.869999999180436
FS( 55 ),2497017.859999999869615,2064226.519999999785796,2161551.169999999925494,1995402.379999999888241,2022074.000000000000000,10740271.929999999701977
FS( 56 ),2504506.920000000391155,2071196.839999999850988,2158343.780000000260770,1995402.379999999888241,2029431.999999999767169,10758881.919999999925494
FS( 57 ),2493912.640000000130385,2074184.119999999646097,2165433.799999999813735,2020627.159999999916181,2018112.000000000000000,10772269.719999998807907
FS( 58 ),2496287.220000000204891,2080158.679999999934807,2171848.580000000074506,2026343.120000000111759,2048676.000000000000000,10823313.600000001490116
FS( 59 ),2501219.040000000502914,2074682.000000000000000,2143826.120000000111759,2055171.439999999944121,2030280.999999999767169,10805179.600000001490116
FS( 60 ),2502315.000000000465661,2089120.519999999785796,2154967.580000000074506,2055171.439999999944121,2007358.000000000232831,10808932.540000000968575
FS( 61 ),2553459.799999999813735,2099078.119999999180436,2178600.980000000447035,2086982.000000000000000,1993774.000000000000000,10911894.899999998509884
FS( 62 ),2538299.020000000484288,2114512.399999999441206,2164758.559999999590218,2079153.620000000111759,2002547.000000000232831,10899270.599999999627471
FS( 63 ),2553277.140000000130385,2115010.279999999329448,2159187.830000000074506,2090212.760000000009313,1981888.000000000000000,10899576.009999999776483
FS( 64 ),2545240.100000000093132,2100073.879999999888241,2161382.360000000335276,2096425.760000000009313,1977642.999999999767169,10880765.100000001490116
FS( 65 ),2548527.980000000447035,2090614.159999999916181,2162057.599999999627471,2091455.360000000102445,1977360.000000000232831,10870015.099999999627471
FS( 66 ),2539029.660000000149012,2090614.159999999916181,2162395.219999999739230,2086609.219999999972060,1975379.000000000000000,10854027.259999999776483
FS( 67 ),2533184.540000000502914,2092605.679999999934807,2163239.269999999552965,2087851.819999999832362,1977077.000000000000000,10853958.310000000521541
FS( 68 ),2541586.899999999906868,2105550.559999999590218,2160538.309999999590218,2112331.040000000037253,1983868.999999999767169,10903875.809999998658895
FS( 69 ),2542682.859999999869615,2092605.679999999934807,2154292.339999999850988,2115189.020000000018626,1979624.000000000000000,10884393.900000000372529
FS( 70 ),2538847.000000000465661,2089618.399999999674037,2157499.729999999515712,2100899.120000000111759,2001415.000000000000000,10888279.250000000000000
FS( 71 ),2565698.020000000484288,2097086.599999999627471,2158850.209999999962747,2134697.839999999850988,1997453.000000000000000,10953785.669999999925494
FS( 72 ),2569899.200000000186265,2103559.040000000037253,2160538.309999999590218,2128733.360000000335276,1993491.000000000000000,10956220.910000000149012
FS( 73 ),2557113.000000000465661,2092605.679999999934807,2171679.769999999552965,2108851.759999999776483,1977926.000000000000000,10908176.210000000894070
FS( 74 ),2583964.020000000484288,2100073.879999999888241,2174043.110000000335276,2087727.560000000055879,1980473.000000000000000,10926281.570000000298023
FS( 75 ),2554373.100000000093132,2116006.040000000037253,2169654.049999999813735,2083999.760000000009313,1978209.000000000232831,10902241.950000001117587
FS( 76 ),2583233.379999999888241,2110031.479999999515712,2179445.030000000260770,2075674.340000000083819,1988114.000000000000000,10936498.230000000447035
FS( 77 ),2574100.379999999888241,2099576.000000000000000,2177756.929999999701977,2054053.099999999860302,1977077.000000000000000,10882563.410000000149012
FS( 78 ),2568985.899999999906868,2097086.599999999627471,2183496.469999999739230,2050449.560000000055879,1970002.000000000000000,10870020.529999999329448
FS( 79 ),2573369.740000000223517,2107044.200000000186265,2186028.620000000111759,2045479.159999999916181,1971417.000000000000000,10883338.720000000670552
FS( 80 ),2626706.460000000428408,2112520.879999999888241,2185353.379999999888241,2054798.659999999916181,1990094.999999999767169,10969474.379999998956919
FS( 81 ),2632551.580000000074506,2112023.000000000000000,2175055.969999999739230,2031065.000000000000000,2001980.999999999767169,10952676.550000000745058
FS( 82 ),2629081.040000000502914,2120984.839999999850988,2183158.849999999627471,2050325.300000000279397,2026036.000000000000000,11009586.030000001192093
FS( 83 ),2624149.220000000204891,2113018.759999999776483,2188054.339999999850988,2038147.819999999832362,2039903.000000000000000,11003273.140000000596046
FS( 84 ),2624879.859999999869615,2111525.119999999180436,2188054.339999999850988,2057780.900000000139698,2032828.000000000000000,11015068.219999998807907
FS( 85 ),2644424.480000000447035,2124967.879999999888241,2182652.419999999925494,2050076.780000000027940,2037922.000000000232831,11040043.560000000521541
FS( 86 ),2630724.980000000447035,2119491.200000000186265,2201559.139999999664724,2055047.180000000167638,2027734.000000000232831,11034556.500000000000000
FS( 87 ),2624149.220000000204891,2124470.000000000000000,2197170.080000000074506,2054674.400000000139698,2021508.000000000232831,11021971.700000001117587
FS( 88 ),2618304.100000000093132,2121482.719999999739230,2193962.690000000409782,2063124.080000000074506,2063109.000000000232831,11059982.589999999850988
FS( 89 ),2615198.879999999888241,2125465.759999999776483,2194300.309999999590218,2056414.040000000037253,2067637.000000000000000,11059015.989999998360872
FS( 90 ),2587069.240000000223517,2123972.119999999180436,2214895.129999999888241,2060763.140000000130385,2078108.000000000232831,11064807.629999998956919
FS( 91 ),2590174.460000000428408,2137912.759999999776483,2215907.990000000223517,2057408.120000000111759,2078391.000000000000000,11079794.330000001937151
FS( 92 ),2576474.960000000428408,2130444.559999999590218,2207467.490000000223517,2049952.520000000251457,2070184.000000000232831,11034523.529999999329448
FS( 93 ),2590722.440000000409782,2144385.200000000186265,2217427.280000000260770,2077538.240000000223517,2079805.999999999767169,11109879.160000000149012
FS( 94 ),2579214.859999999869615,2164798.279999999329448,2233464.230000000447035,2095058.900000000139698,2091126.000000000000000,11163662.269999999552965
FS( 95 ),2569716.540000000502914,2152351.279999999329448,2239203.769999999552965,2103260.060000000055879,2096219.999999999767169,11160751.650000000372529
FS( 96 ),2601864.700000000186265,2145380.959999999962747,2249838.799999999813735,2131715.600000000093132,2116879.000000000000000,11245679.060000000521541
FS( 97 ),2598759.480000000447035,2144385.200000000186265,2252202.139999999664724,2126993.720000000204891,2120841.000000000000000,11243181.540000000968575
FS( 98 ),2623783.899999999906868,2154840.679999999701977,2266044.559999999590218,2141532.140000000130385,2116313.000000000000000,11302514.279999999329448
FS( 99 ),2640040.640000000130385,2146376.719999999739230,2392145.629999999888241,2162780.600000000093132,2123954.000000000000000,11465297.589999999850988
FS( 100 ),2624514.540000000502914,2152849.160000000149012,2377627.969999999739230,2167005.439999999944121,2134708.000000000000000,11456705.110000001266599
FS( 101 ),2626523.799999999813735,2141397.919999999925494,2378134.400000000372529,2170111.939999999944121,2134991.000000000000000,11451159.060000000521541
FS( 102 ),2623966.560000000055879,2148368.239999999292195,2362266.259999999776483,2173218.439999999944121,2127633.000000000000000,11435452.499999998137355
FS( 103 ),2677485.940000000409782,2151853.399999999441206,2382861.080000000074506,2169614.899999999906868,2129048.000000000000000,11510863.320000000298023
FS( 104 ),2694473.319999999832362,2160317.359999999403954,2384211.559999999590218,2164023.199999999720603,2137255.000000000000000,11540280.439999999478459
FS( 105 ),2686253.620000000111759,2156832.200000000186265,2407676.150000000372529,2144141.600000000093132,2144047.000000000000000,11538950.570000000298023
FS( 106 ),2676572.640000000130385,2173760.119999999180436,2421687.379999999888241,2162532.080000000074506,2160461.000000000000000,11595013.219999998807907
FS( 107 ),2720959.020000000484288,2175253.759999999776483,2430296.690000000409782,2163774.680000000167638,2164989.000000000000000,11655273.150000000372529
FS( 108 ),2794936.319999999832362,2185211.359999999403954,2435023.370000000111759,2167751.000000000000000,2154235.000000000000000,11737157.050000000745058
FS( 109 ),2812837.000000000465661,2166291.919999999925494,2437049.089999999850988,2152839.800000000279397,2171215.000000000000000,11740232.810000000521541
FS( 110 ),2799502.819999999832362,2169279.200000000186265,2439750.049999999813735,2154703.699999999720603,2170649.000000000000000,11733884.769999999552965
FS( 111 ),2812106.359999999869615,2174258.000000000000000,2434516.940000000409782,2153833.879999999888241,2154518.000000000000000,11729233.179999999701977
FS( 112 ),2851378.260000000242144,2170274.959999999962747,2453930.089999999850988,2135070.620000000111759,2142632.000000000000000,11753285.929999999701977
FS( 113 ),2844071.859999999869615,2177245.279999999329448,2469460.610000000335276,2131591.339999999850988,2159046.000000000000000,11781415.089999999850988
FS( 114 ),2839870.680000000167638,2183219.839999999850988,2486510.419999999925494,2089218.680000000167638,2125652.000000000000000,11724471.619999999180436
FS( 115 ),2744522.160000000149012,2187202.879999999888241,2471655.139999999664724,2098413.920000000391155,2125935.000000000000000,11627729.099999999627471
FS( 116 ),2786351.299999999813735,2180730.439999999478459,2481783.740000000223517,2130597.259999999776483,2194421.000000000000000,11773883.739999998360872
FS( 117 ),2795849.620000000111759,2185709.239999999292195,2501028.080000000074506,2144762.899999999906868,2229230.000000000000000,11856579.839999999850988
FS( 118 ),2812837.000000000465661,2199649.879999999888241,2501703.320000000298023,2170981.759999999776483,2223004.000000000000000,11908175.960000000894070
FS( 119 ),2809366.460000000428408,2210105.359999999403954,2495457.349999999627471,2177443.280000000260770,2221306.000000000000000,11913678.449999999254942
FS( 120 ),2800964.100000000093132,2241969.679999999701977,2523817.429999999701977,2182040.899999999906868,2211684.000000000000000,11960476.109999999403954
FS( 121 ),2810645.080000000074506,2260889.119999999180436,2528544.110000000335276,2212608.860000000335276,2216212.000000000000000,12028899.169999999925494
FS( 122 ),2805895.920000000391155,2259893.359999999403954,2529894.589999999850988,2205774.560000000055879,2211118.000000000000000,12012576.429999999701977
FS( 123 ),2806991.879999999888241,2261884.879999999888241,2531076.259999999776483,2194466.899999999906868,2211684.000000000000000,12006103.919999999925494
FS( 124 ),2790369.819999999832362,2263876.399999999441206,2547282.019999999552965,2176946.240000000223517,2224419.000000000000000,12002893.479999998584390
