代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11886282.019999999552965
真實報酬,1886282.019999999552965

夏普值報酬,0.179928202000000
夏普值風險,0.079312902708145
夏普值,2.268586772849546

二次趨勢線,135.257862732836543 x^2 + 4072.884126201305662 x + 10000000.000000000000000
二次加權預期報酬,26525.689339852178819
風險,340516.195953575544991
二次加權趨勢值,0.077898466079037
一次趨勢線,16702.383357279435586 x + 10000000.000000000000000
一次預期報酬,16702.383357279435586
一次風險,413652.536601235100534
一次趨勢值,0.040377809585103
找到最佳解世代,1819
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),HD[9](1),MCD[15](3),
FS( 62 ),3534706.500000000000000,3733330.919999999925494,3361136.799999999813735,10629175.219999998807907
FS( 63 ),3541813.799999999813735,3746426.089999999850988,3338054.400000000372529,10626295.289999999105930
FS( 64 ),3565504.799999999813735,3742854.680000000167638,3327562.399999999906868,10635922.880000000819564
FS( 65 ),3705281.699999999720603,3785711.600000000093132,3340152.800000000279397,10831147.099999999627471
FS( 66 ),3707650.799999999813735,3804759.120000000111759,3416219.800000000279397,10928630.720000000670552
FS( 67 ),3773985.599999999627471,3771425.959999999962747,3415170.599999999627471,10960583.160000000149012
FS( 68 ),3804783.899999999441206,3774997.370000000111759,3406777.000000000000000,10986559.269999999552965
FS( 69 ),3815444.850000000093132,3824997.110000000335276,3420941.199999999720603,11061384.160000000149012
FS( 70 ),3834397.649999999441206,3863092.150000000372529,3437728.400000000372529,11135219.199999999254942
FS( 71 ),3788200.199999999720603,3891663.429999999701977,3458712.400000000372529,11138577.029999999329448
FS( 72 ),3797676.600000000093132,3874996.849999999627471,3466056.799999999813735,11138731.250000000000000
FS( 73 ),3792938.400000000372529,3871425.440000000409782,3482319.399999999906868,11146684.240000000223517
FS( 74 ),3801230.250000000000000,3857139.799999999813735,3498057.400000000372529,11156428.449999999254942
FS( 75 ),3760955.549999999813735,3852377.919999999925494,3490188.400000000372529,11103522.870000001043081
FS( 76 ),3803599.349999999627471,3889282.490000000223517,3515369.200000000186265,11208252.039999999105930
FS( 77 ),3864011.399999999441206,3879758.730000000447035,3533205.599999999627471,11276976.730000000447035
FS( 78 ),3881779.650000000372529,3847616.040000000037253,3504352.600000000093132,11233749.290000000968575
FS( 79 ),3835582.200000000186265,3883330.139999999664724,3509598.600000000558794,11228511.940000001341105
FS( 80 ),3907839.750000000000000,3898806.250000000000000,3528484.200000000186265,11335131.199999999254942
FS( 81 ),3932715.300000000279397,3880949.200000000186265,3518516.799999999813735,11332182.300000000745058
FS( 82 ),3990758.249999999534339,3891663.429999999701977,3527435.000000000000000,11409857.679999999701977
FS( 83 ),3976543.649999999906868,3851187.450000000186265,3500155.799999999813735,11327887.899999998509884
FS( 84 ),3993127.350000000093132,3854758.860000000335276,3545271.399999999906868,11393158.610000001266599
FS( 85 ),4035771.149999999906868,3888092.019999999552965,3568878.400000000372529,11492742.570000000298023
FS( 86 ),4053539.399999999906868,3874996.849999999627471,3557337.200000000186265,11485874.449999999254942
FS( 87 ),4071307.649999999441206,3882139.669999999925494,3551566.600000000093132,11505014.919999999925494
FS( 88 ),4060646.699999999720603,3924996.589999999850988,3607174.200000000186265,11592818.489999998360872
FS( 89 ),4091444.999999999534339,3958329.750000000000000,3602977.400000000372529,11652753.150000000372529
FS( 90 ),4099736.849999999627471,3985710.559999999590218,3595108.400000000372529,11680556.809999998658895
FS( 91 ),4102105.950000000186265,4088090.980000000447035,3615567.800000000279397,11805765.730000000447035
FS( 92 ),4157779.799999999813735,4164281.059999999590218,3641797.800000000279397,11963859.660000000149012
FS( 93 ),4212269.099999999627471,4183328.580000000074506,3628158.199999999720603,12023756.879999998956919
FS( 94 ),4186209.000000000000000,4167852.469999999739230,3621338.400000000372529,11975400.870000001043081
FS( 95 ),4181470.799999999348074,4186899.990000000223517,3668027.800000000279397,12036399.589999999850988
FS( 96 ),4138826.999999999534339,4188090.459999999962747,3690061.000000000465661,12016979.459999999031425
FS( 97 ),4386397.950000000186265,4198804.690000000409782,3691110.200000000186265,12276313.839999999850988
FS( 98 ),4509591.149999999441206,4252375.839999999850988,3726258.400000000372529,12488226.389999998733401
FS( 99 ),4583033.250000000000000,4332137.330000000074506,3732553.600000000558794,12647725.179999999701977
FS( 100 ),4560526.799999999813735,4344042.030000000260770,3725733.799999999813735,12630303.629999998956919
FS( 101 ),4433779.950000000186265,4201185.629999999888241,3700028.400000000372529,12334994.980000000447035
FS( 102 ),4426672.649999999441206,4189280.929999999701977,3690061.000000000465661,12306015.579999998211861
FS( 103 ),4546312.200000000186265,4233328.320000000298023,3751963.799999999813735,12531605.320000000298023
FS( 104 ),4418380.799999999813735,4194042.809999999590218,3703176.000000000465661,12315600.609999999403954
FS( 105 ),4507222.049999999813735,4270232.889999999664724,3746717.800000000279397,12524173.740000000223517
FS( 106 ),4376921.549999999813735,4216661.740000000223517,3705799.000000000000000,12299383.289999999105930
FS( 107 ),4331908.649999999441206,4195233.280000000260770,3706848.199999999720603,12233991.129999998956919
FS( 108 ),4167256.199999999720603,4042853.120000000111759,3641797.800000000279397,11851908.120000001043081
FS( 109 ),3990758.249999999534339,3979758.209999999962747,3567829.200000000186265,11538346.660000000149012
FS( 110 ),4297556.700000000186265,4201185.629999999888241,3702651.399999999906868,12201394.730000000447035
FS( 111 ),4341385.049999999813735,4241661.610000000335276,3697405.400000000372529,12280453.060000000521541
FS( 112 ),4434964.500000000000000,4272613.830000000074506,3707372.800000000279397,12414952.130000000819564
FS( 113 ),4372183.349999999627471,4198804.690000000409782,3698454.600000000093132,12269443.639999998733401
FS( 114 ),4295187.599999999627471,4190471.400000000372529,3650716.000000000465661,12136376.000000000000000
FS( 115 ),4302294.899999999441206,4236899.730000000447035,3679569.000000000000000,12218764.629999998956919
FS( 116 ),4270312.049999999813735,4134519.309999999590218,3673273.799999999813735,12078106.160000000149012
FS( 117 ),4202792.699999999254942,4092852.860000000335276,3640748.600000000558794,11936395.160000000149012
FS( 118 ),4023925.649999999906868,3915472.830000000074506,3549468.199999999720603,11488867.679999999701977
FS( 119 ),4100921.399999999441206,3930948.940000000409782,3559960.200000000186265,11591831.539999999105930
FS( 120 ),4175548.049999999813735,3954758.339999999850988,3549468.199999999720603,11679775.589999999850988
FS( 121 ),4149487.949999999720603,4045234.059999999590218,3558911.000000000465661,11753634.009999999776483
FS( 122 ),4130535.149999999441206,4052376.879999999888241,3462909.200000000186265,11645822.230000000447035
FS( 123 ),4286895.750000000000000,4113090.849999999627471,3525336.600000000093132,11925324.199999999254942
FS( 124 ),4347307.799999999813735,4030948.419999999925494,3508024.800000000279397,11886282.019999999552965
