代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11410335.609999999403954
真實報酬,1410335.609999999403954

夏普值報酬,0.132333561000000
夏普值風險,0.042521632433352
夏普值,3.112146769233719

二次趨勢線,49.066988116066142 x^2 + 6230.686318505657255 x + 10000000.000000000000000
二次加權預期報酬,14375.806345772642089
風險,160247.273259767011041
二次加權趨勢值,0.089710146408974
一次趨勢線,10812.242437776911174 x + 10000000.000000000000000
一次預期報酬,10812.242437776911174
一次風險,181487.830972082738299
一次趨勢值,0.059575578042145
找到最佳解世代,1759
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),VZ[26](1),WMT[28](4),
FS( 93 ),4105415.299999999813735,3277653.750000000000000,3234096.000000000000000,10617166.050000000745058
FS( 94 ),4158908.299999999813735,3331105.829999999608845,3293638.200000000186265,10783653.329999998211861
FS( 95 ),4107555.020000000018626,3298440.669999999925494,3234618.299999999813735,10640614.989999998360872
FS( 96 ),4190290.859999999869615,3331105.829999999608845,3267523.200000000186265,10788920.890000000596046
FS( 97 ),4128952.219999999739230,3297698.280000000260770,3177687.600000000093132,10604339.099999999627471
FS( 98 ),4202415.939999999478459,3405344.829999999608845,3232006.799999999813735,10839768.570000000298023
FS( 99 ),4222386.660000000149012,3492204.459999999962747,3274313.099999999627471,10988905.219999998807907
FS( 100 ),4250916.259999999776483,3491462.069999999832362,3314007.899999999906868,11056387.230000000447035
FS( 101 ),4294780.519999999552965,3582033.649999999906868,3342734.399999999906868,11219549.570000000298023
FS( 102 ),4310471.800000000745058,3639940.069999999832362,3340122.899999999906868,11290535.770000001415610
FS( 103 ),4364321.419999999925494,3638455.289999999571592,3354225.000000000000000,11357002.709999999031425
FS( 104 ),4414248.220000000670552,3709724.729999999981374,3465997.199999999720603,11589971.150000000372529
FS( 105 ),4443847.679999999701977,3768373.539999999571592,3525539.399999999906868,11737761.619999999180436
FS( 106 ),4420310.759999999776483,3705270.389999999664724,3492112.199999999720603,11617694.349999999627471
FS( 107 ),4331869.000000000000000,3757980.079999999608845,3461296.499999999534339,11551146.580000000074506
FS( 108 ),4302982.779999999329448,3743874.669999999925494,3469131.000000000000000,11515989.449999999254942
FS( 109 ),4115400.660000000149012,3783963.729999999981374,3499424.399999999906868,11398789.790000000968575
FS( 110 ),4138580.959999999962747,3766888.760000000242144,3494201.400000000372529,11399672.120000001043081
FS( 111 ),4172816.479999999981374,3723087.750000000000000,3437270.700000000186265,11333175.929999999701977
FS( 112 ),4191717.340000000316650,3710467.119999999646097,3436226.100000000093132,11338411.560000000521541
FS( 113 ),4162831.120000000111759,3666666.109999999869615,3411677.999999999534339,11241176.230000000447035
FS( 114 ),4205625.519999999552965,3720118.189999999944121,3456595.800000000279397,11382340.509999999776483
FS( 115 ),4250203.019999999552965,3729769.260000000242144,3441971.400000000372529,11421944.679999999701977
FS( 116 ),4230945.539999999105930,3735708.379999999888241,3452939.699999999720603,11419594.619999999180436
FS( 117 ),4178522.399999999906868,3781736.559999999590218,3349002.000000000000000,11309261.959999999031425
FS( 118 ),4155698.719999999739230,3775797.439999999944121,3377206.199999999720603,11308703.359999999403954
FS( 119 ),4196353.400000000372529,3791387.629999999888241,3427869.299999999813735,11415611.330000000074506
FS( 120 ),4168893.660000000149012,3758722.470000000204891,3472264.800000000279397,11399881.930000001564622
FS( 121 ),4174599.580000000074506,3772827.879999999888241,3505692.000000000000000,11453120.460000000894070
FS( 122 ),4221316.800000000745058,3794357.189999999944121,3553743.600000000093132,11569418.589999999850988
FS( 123 ),4174599.580000000074506,3787675.680000000167638,3473831.700000000186265,11436107.960000000894070
FS( 124 ),4179235.639999999664724,3766146.369999999646097,3464952.600000000093132,11410335.609999999403954
