代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11970935.199999999254942
真實報酬,1970935.199999999254942

夏普值報酬,0.188393520000000
夏普值風險,0.063634958756396
夏普值,2.960534958798332

二次趨勢線,106.946620677307365 x^2 + 3663.543578082065324 x + 10000000.000000000000000
二次加權預期報酬,21559.278104751494539
風險,184304.099635290855076
二次加權趨勢值,0.116976660570296
一次趨勢線,13729.734468525886768 x + 10000000.000000000000000
一次預期報酬,13729.734468525886768
一次風險,263764.508166605723090
一次趨勢值,0.052053001990145
找到最佳解世代,1822
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
V[25](1),
FS( 91 ),11285529.849999997764826,11285529.849999997764826
FS( 92 ),11310798.250000000000000,11310798.250000000000000
FS( 93 ),11247627.250000000000000,11247627.250000000000000
FS( 94 ),11051797.150000000372529,11051797.150000000372529
FS( 95 ),11054955.699999999254942,11054955.699999999254942
FS( 96 ),11269737.099999999627471,11269737.099999999627471
FS( 97 ),11500311.249999998137355,11500311.249999998137355
FS( 98 ),11557165.150000000372529,11557165.150000000372529
FS( 99 ),11582433.549999998882413,11582433.549999998882413
FS( 100 ),11696141.349999999627471,11696141.349999999627471
FS( 101 ),11626653.250000000000000,11626653.250000000000000
FS( 102 ),11591909.199999999254942,11591909.199999999254942
FS( 103 ),11629811.799999998882413,11629811.799999998882413
FS( 104 ),11702458.449999999254942,11702458.449999999254942
FS( 105 ),11822483.349999999627471,11822483.349999999627471
FS( 106 ),11737202.499999998137355,11737202.499999998137355
FS( 107 ),11655080.199999999254942,11655080.199999999254942
FS( 108 ),11692982.800000000745058,11692982.800000000745058
FS( 109 ),11724568.299999998882413,11724568.299999998882413
FS( 110 ),11730885.399999998509884,11730885.399999998509884
FS( 111 ),11740361.049999998882413,11740361.049999998882413
FS( 112 ),11759312.349999997764826,11759312.349999997764826
FS( 113 ),11677190.049999998882413,11677190.049999998882413
FS( 114 ),11623494.699999999254942,11623494.699999999254942
FS( 115 ),11595067.750000000000000,11595067.750000000000000
FS( 116 ),11775105.099999999627471,11775105.099999999627471
FS( 117 ),11901447.099999999627471,11901447.099999999627471
FS( 118 ),11778263.649999998509884,11778263.649999998509884
FS( 119 ),12040423.299999998882413,12040423.299999998882413
FS( 120 ),11904605.649999998509884,11904605.649999998509884
FS( 121 ),11939349.699999999254942,11939349.699999999254942
FS( 122 ),11825641.899999998509884,11825641.899999998509884
FS( 123 ),11797214.949999999254942,11797214.949999999254942
FS( 124 ),11737202.499999998137355,11737202.499999998137355
FS( 125 ),11970935.199999999254942,11970935.199999999254942
