代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11340785.679999999701977
真實報酬,1340785.679999999701977

夏普值報酬,0.125378568000000
夏普值風險,0.049404768479608
夏普值,2.537782725401314

二次趨勢線,163.881590037045356 x^2 + -10359.272891504877407 x + 10000000.000000000000000
二次加權預期報酬,17719.106201508890081
風險,228300.840100240398897
二次加權趨勢值,0.077612969771504
一次趨勢線,5434.576221481655921 x + 10000000.000000000000000
一次預期報酬,5434.576221481655921
一次風險,379475.062668593542185
一次趨勢值,0.014321300017092
找到最佳解世代,1548
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](1),MCD[15](3),WMT[28](2),
FS( 24 ),3188848.000000000000000,3525147.919999999925494,3277470.830000000540167,9991467.750000000000000
FS( 25 ),3166463.000000000000000,3534203.559999999590218,3297728.540000000502914,9998396.099999999627471
FS( 26 ),3235653.000000000000000,3542435.959999999962747,3344996.530000000726432,10123086.490000000223517
FS( 27 ),3203093.000000000000000,3523501.439999999478459,3319827.860000000335276,10046423.300000000745058
FS( 28 ),3140008.000000000000000,3513210.939999999478459,3306936.590000000316650,9960156.529999999329448
FS( 29 ),3174603.000000000000000,3498392.619999999646097,3311233.680000000167638,9984230.299999998882413
FS( 30 ),3168498.000000000000000,3497157.759999999310821,3316144.640000000596046,9981801.400000000372529
FS( 31 ),3140008.000000000000000,3532145.459999999962747,3292203.710000000428408,9964358.169999999925494
FS( 32 ),3172568.000000000000000,3518562.000000000000000,3292203.710000000428408,9983334.710000000894070
FS( 33 ),3142043.000000000000000,3515269.040000000037253,3273173.740000000223517,9930486.780000001192093
FS( 34 ),3186813.000000000000000,3548610.259999999310821,3313075.290000000502914,10048499.550000000745058
FS( 35 ),3219373.000000000000000,3551079.979999999515712,3308164.330000000540167,10078618.310000000521541
FS( 36 ),3327228.000000000465661,3562193.720000000204891,3343768.790000000502914,10233191.510000001639128
FS( 37 ),3349613.000000000000000,3645340.959999999962747,3346838.140000000596046,10341793.100000001490116
FS( 38 ),3312983.000000000000000,3627229.680000000167638,3313075.290000000502914,10253288.970000000670552
FS( 39 ),3315018.000000000000000,3623113.479999999515712,3289748.230000000447035,10227880.710000000894070
FS( 40 ),3192918.000000000000000,3584832.819999999832362,3268876.650000000372529,10046628.470000000670552
FS( 41 ),3258038.000000000465661,3572072.599999999627471,3252916.030000000726432,10083027.630000000819564
FS( 42 ),3249898.000000000000000,3559724.000000000000000,3235727.670000000391155,10045350.669999999925494
FS( 43 ),3221408.000000000000000,3556019.419999999925494,3230202.840000000316650,10007631.259999999776483
FS( 44 ),3146113.000000000000000,3501273.959999999962747,3172499.060000000521541,9819887.019999999552965
FS( 45 ),3152218.000000000000000,3521031.720000000204891,3147944.260000000242144,9821194.980000000447035
FS( 46 ),3015873.000000000000000,3469167.599999999627471,3075507.600000000558794,9560549.199999999254942
FS( 47 ),3040293.000000000000000,3502097.199999999720603,3121547.850000000558794,9663939.050000000745058
FS( 48 ),2836793.000000000000000,3379846.059999999590218,3003070.940000000409782,9219711.000000000000000
FS( 49 ),2861213.000000000000000,3538319.759999999310821,3119706.240000000223517,9519240.000000000000000
FS( 50 ),2794058.000000000000000,3460935.199999999720603,2971763.570000000298023,9226757.769999999552965
FS( 51 ),3239723.000000000000000,3551491.599999999627471,3052794.410000000149012,9844010.009999999776483
FS( 52 ),3253968.000000000000000,3560547.239999999757856,3054022.150000000372529,9868538.390000000596046
FS( 53 ),3262108.000000000000000,3573719.079999999608845,3068141.160000000149012,9903969.240000000223517
FS( 54 ),3256003.000000000000000,3567544.779999999795109,3187231.940000000409782,10010780.719999998807907
FS( 55 ),3225478.000000000000000,3601709.239999999757856,3164518.750000000000000,9991706.990000000223517
FS( 56 ),3054538.000000000000000,3523913.059999999590218,3179251.630000000353903,9757703.689999999478459
FS( 57 ),3068783.000000000000000,3590595.500000000000000,3210559.000000000000000,9869938.500000000000000
FS( 58 ),3054538.000000000000000,3612411.359999999869615,3203806.430000000167638,9870756.789999999105930
FS( 59 ),3142043.000000000000000,3685268.099999999627471,3266421.170000000391155,10093733.269999999552965
FS( 60 ),3146113.000000000000000,3709965.299999999348074,3276243.090000000316650,10132322.389999998733401
FS( 61 ),3068783.000000000000000,3651515.259999999310821,3235113.800000000745058,9955413.060000000521541
FS( 62 ),3117623.000000000000000,3701732.899999999906868,3247391.200000000186265,10066748.100000001490116
FS( 63 ),3203093.000000000000000,3737132.220000000204891,3265193.430000000167638,10205419.650000000372529
FS( 64 ),3180708.000000000000000,3736720.599999999627471,3242480.240000000223517,10159909.839999999850988
FS( 65 ),3188848.000000000000000,3721490.659999999683350,3265193.430000000167638,10175533.089999999850988
FS( 66 ),3219373.000000000000000,3707495.579999999608845,3232044.450000000186265,10158914.030000001192093
FS( 67 ),3135938.000000000000000,3667156.819999999832362,3193984.510000000242144,9997080.330000000074506
FS( 68 ),3109483.000000000000000,3656043.079999999608845,3172499.060000000521541,9938026.140000000596046
FS( 69 ),3231583.000000000000000,3675389.220000000204891,3217925.440000000409782,10124898.660000000149012
FS( 70 ),3315018.000000000000000,3647399.059999999590218,3205034.170000000391155,10167452.230000000447035
FS( 71 ),3219373.000000000000000,3500039.099999999627471,3152855.220000000204891,9872268.320000000298023
FS( 72 ),3274318.000000000000000,3547787.019999999552965,3181093.240000000223517,10003199.259999999776483
FS( 73 ),3327228.000000000465661,3544905.680000000167638,3166974.230000000447035,10039108.910000000149012
FS( 74 ),3323157.999999999534339,3570837.739999999757856,3204420.300000000745058,10098417.039999999105930
FS( 75 ),3392348.000000000465661,3625171.579999999608845,3223450.270000000018626,10240970.849999999627471
FS( 76 ),3382173.000000000000000,3634227.220000000204891,3232044.450000000186265,10248445.670000001788139
FS( 77 ),3359788.000000000465661,3655631.459999999962747,3219767.050000000745058,10235187.510000001639128
FS( 78 ),3363858.000000000000000,3676212.459999999962747,3209945.130000000353903,10250016.589999999850988
FS( 79 ),3223443.000000000000000,3602532.479999999515712,3150399.740000000223517,9976376.219999998807907
FS( 80 ),3119658.000000000000000,3539554.619999999646097,3086557.260000000242144,9745770.879999998956919
FS( 81 ),3176638.000000000000000,3596358.180000000167638,3118478.500000000000000,9891475.679999999701977
FS( 82 ),3253968.000000000000000,3677447.319999999832362,3181707.110000000335276,10113123.429999999701977
FS( 83 ),3270248.000000000000000,3693912.119999999646097,3193984.510000000242144,10158145.629999998956919
FS( 84 ),3223443.000000000000000,3623525.099999999627471,3149785.870000000577420,9996754.970000000670552
FS( 85 ),3225478.000000000000000,3654396.599999999627471,3187845.810000000521541,10067721.410000000149012
FS( 86 ),3154253.000000000000000,3614881.079999999608845,3186004.200000000186265,9955139.280000001192093
FS( 87 ),3091168.000000000000000,3540789.479999999515712,3189687.420000000391155,9821645.900000000372529
FS( 88 ),3170533.000000000000000,3559724.000000000000000,3246163.460000000428408,9976421.460000000894070
FS( 89 ),3288563.000000000000000,3532968.699999999720603,3232044.450000000186265,10053577.149999998509884
FS( 90 ),3408628.000000000000000,3585656.059999999590218,3238183.150000000372529,10232468.210000000894070
FS( 91 ),3390313.000000000000000,3589360.639999999664724,3296500.800000000745058,10276175.440000001341105
FS( 92 ),3477818.000000000000000,3643282.859999999869615,3364640.370000000577420,10485742.230000000447035
FS( 93 ),3457467.999999999534339,3677447.319999999832362,3359115.540000000502914,10494031.859999999403954
FS( 94 ),3510378.000000000000000,3637108.559999999590218,3388581.300000000745058,10536068.859999999403954
FS( 95 ),3544973.000000000465661,3676212.459999999962747,3377531.640000000596046,10598718.100000001490116
FS( 96 ),3571428.000000000000000,3702144.519999999552965,3404541.920000000391155,10678115.439999999478459
FS( 97 ),3494098.000000000465661,3649457.159999999683350,3362798.760000000242144,10506354.919999999925494
FS( 98 ),3563288.000000000465661,3689795.919999999925494,3430938.330000000540167,10684023.250000000000000
FS( 99 ),3492063.000000000000000,3688972.680000000167638,3453037.650000000372529,10634074.330000000074506
FS( 100 ),3498168.000000000465661,3663863.859999999869615,3460404.090000000316650,10622436.950000001117587
FS( 101 ),3536833.000000000000000,3800110.079999999608845,3494166.940000000409782,10831111.019999999552965
FS( 102 ),3569393.000000000000000,3787349.859999999869615,3485572.760000000242144,10842316.619999999180436
FS( 103 ),3585673.000000000000000,3777470.979999999515712,3481275.670000000391155,10844420.650000000372529
FS( 104 ),3583638.000000000000000,3777882.599999999627471,3521791.090000000316650,10883312.689999999478459
FS( 105 ),3752543.000000000465661,3849092.859999999869615,3548801.370000000577420,11150438.230000000447035
FS( 106 ),3776962.999999999534339,3840037.220000000204891,3508285.950000000186265,11125287.169999999925494
FS( 107 ),3770858.000000000000000,3821925.939999999478459,3481889.540000000502914,11074674.480000000447035
FS( 108 ),3579568.000000000000000,3783233.659999999683350,3451809.910000000149012,10814612.570000000298023
FS( 109 ),3632478.000000000465661,3808754.099999999627471,3490483.720000000204891,10931716.820000000298023
FS( 110 ),3699633.000000000000000,3828100.239999999757856,3524860.440000000409782,11052594.679999999701977
FS( 111 ),3669108.000000000000000,3861441.459999999962747,3529771.400000000372529,11060321.859999999403954
FS( 112 ),3665038.000000000465661,3894782.680000000167638,3556781.680000000167638,11116603.360000001266599
FS( 113 ),3726087.999999999534339,3893959.439999999478459,3641495.740000000223517,11261544.179999999701977
FS( 114 ),3583638.000000000000000,3813693.540000000037253,3563534.250000000000000,10960866.789999999105930
FS( 115 ),3787138.000000000000000,3838802.359999999869615,3568445.210000000428408,11194386.570000000298023
FS( 116 ),3870573.000000000000000,3900545.359999999869615,3634129.300000000745058,11405248.660000000149012
FS( 117 ),3854293.000000000465661,3871731.959999999962747,3615099.330000000540167,11341125.290000000968575
FS( 118 ),3890923.000000000000000,3888608.379999999888241,3527315.920000000391155,11306848.300000000745058
FS( 119 ),3825803.000000000000000,3834274.540000000037253,3479434.060000000521541,11139512.600000001490116
FS( 120 ),3760683.000000000000000,3798875.220000000204891,3482503.410000000149012,11042062.630000000819564
FS( 121 ),3748473.000000000465661,3817398.119999999646097,3513196.910000000149012,11079069.030000001192093
FS( 122 ),3663003.000000000000000,3798463.599999999627471,3478206.320000000298023,10939673.919999999925494
FS( 123 ),3646723.000000000465661,3813693.540000000037253,3489869.850000000558794,10950287.390000000596046
FS( 124 ),3542938.000000000000000,3781587.180000000167638,3476978.580000000540167,10801504.759999999776483
FS( 125 ),3561253.000000000000000,3791054.439999999478459,3492325.330000000540167,10844633.769999999552965
FS( 126 ),3665038.000000000465661,3859383.359999999869615,3514424.650000000372529,11038847.010000001639128
FS( 127 ),3597883.000000000000000,3847034.759999999310821,3570900.690000000409782,11015819.449999999254942
FS( 128 ),3793243.000000000000000,3931828.479999999515712,3615713.200000000186265,11340785.679999999701977
