代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12496364.480000000447035
真實報酬,2496364.480000000447035

夏普值報酬,0.240936448000000
夏普值風險,0.071435670591133
夏普值,3.372775057702140

二次趨勢線,100.078667487675403 x^2 + 9712.480958398144139 x + 10000000.000000000000000
二次加權預期報酬,26458.977984669159923
風險,105288.383669286879012
二次加權趨勢值,0.251300068085169
一次趨勢線,19132.236015754122491 x + 10000000.000000000000000
一次預期報酬,19132.236015754122491
一次風險,205580.527605320588918
一次趨勢值,0.093064436785982
找到最佳解世代,2132
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),CVX[5](4),INTC[11](1),VZ[26](5),
FS( 66 ),2952536.270000000018626,2839434.459999999962747,2752609.280000000260770,2591035.230000000447035,11135615.240000002086163
FS( 67 ),2930903.849999999627471,2813791.299999999813735,2749477.760000000242144,2612043.360000000335276,11106216.269999999552965
FS( 68 ),2918692.000000000000000,2812441.659999999683350,2745302.400000000372529,2611504.689999999944121,11087940.750000000000000
FS( 69 ),2954978.639999999664724,2817165.399999999906868,2752609.280000000260770,2594267.250000000000000,11119020.570000000298023
FS( 70 ),2959514.469999999273568,2830886.739999999757856,2760960.000000000000000,2577568.480000000447035,11128929.689999999478459
FS( 71 ),2960212.289999999571592,2843708.319999999832362,2748433.919999999925494,2586187.200000000186265,11138541.730000000447035
FS( 72 ),2935090.770000000018626,2784998.979999999981374,2715031.040000000502914,2583493.850000000093132,11018614.640000000596046
FS( 73 ),2978355.609999999403954,2770827.759999999776483,2695198.080000000074506,2643286.220000000204891,11087667.669999999925494
FS( 74 ),3013595.520000000018626,2765654.140000000130385,2718162.560000000055879,2647595.580000000074506,11145007.800000000745058
FS( 75 ),3014293.339999999850988,2755531.839999999850988,2718162.560000000055879,2620662.080000000074506,11108649.820000000298023
FS( 76 ),3022318.270000000018626,2792871.879999999888241,2734864.000000000000000,2648672.920000000391155,11198727.070000000298023
FS( 77 ),3026854.099999999627471,2780950.059999999590218,2729644.799999999813735,2663755.680000000633299,11201204.640000000596046
FS( 78 ),3061047.279999999795109,2775101.620000000111759,2744258.560000000055879,2679377.110000000335276,11259784.570000000298023
FS( 79 ),3118617.429999999236315,2763179.799999999813735,2788099.840000000316650,2672913.070000000298023,11342810.139999998733401
FS( 80 ),3110243.589999999850988,2755981.719999999739230,2805845.120000000111759,2679377.110000000335276,11351447.539999999105930
FS( 81 ),3167115.919999999459833,2751482.919999999925494,2814195.840000000316650,2678299.770000000018626,11411094.449999999254942
FS( 82 ),3155252.979999999981374,2762055.100000000093132,2851774.080000000074506,2691227.850000000093132,11460310.009999999776483
FS( 83 ),3133620.559999999590218,2749008.579999999608845,2845511.040000000502914,2696075.879999999888241,11424216.059999998658895
FS( 84 ),3177932.129999999422580,2756656.539999999571592,2887264.640000000130385,2655136.960000000428408,11476990.269999999552965
FS( 85 ),3214218.770000000018626,2752157.739999999757856,2881001.600000000558794,2647595.580000000074506,11494973.689999999478459
FS( 86 ),3226779.529999999795109,2778475.719999999739230,2887264.640000000130385,2654598.290000000502914,11547118.180000001564622
FS( 87 ),3217707.869999999646097,2793546.699999999720603,2940500.480000000447035,2662139.670000000391155,11613894.720000000670552
FS( 88 ),3269346.549999999813735,2797595.620000000111759,2913360.640000000130385,2670219.720000000204891,11650522.530000001192093
FS( 89 ),3288536.599999999627471,2819414.799999999813735,2947807.359999999869615,2667526.370000000577420,11723285.130000000819564
FS( 90 ),3274929.109999999403954,2815815.759999999776483,2915448.320000000298023,2659446.320000000298023,11665639.509999999776483
FS( 91 ),3220150.239999999757856,2836735.179999999701977,2918579.840000000316650,2641670.210000000428408,11617135.470000000670552
FS( 92 ),3184910.329999999608845,2862603.279999999795109,3117953.280000000260770,2649211.590000000316650,11814678.480000000447035
FS( 93 ),3217010.049999999813735,2891395.599999999627471,3132567.040000000502914,2656214.300000000279397,11897186.990000000223517
FS( 94 ),3212823.129999999422580,2897918.860000000335276,3126304.000000000000000,2650827.600000000093132,11887873.589999999850988
FS( 95 ),3216312.229999999981374,2930535.159999999683350,3124216.320000000298023,2662139.670000000391155,11933203.380000000819564
FS( 96 ),3205147.109999999403954,2968999.899999999906868,3140917.760000000242144,2664833.020000000018626,11979897.789999999105930
FS( 97 ),3172000.659999999683350,2976872.799999999813735,3152400.000000000000000,2660523.660000000149012,11961797.119999999180436
FS( 98 ),3169209.379999999422580,2991268.959999999497086,3155531.520000000018626,2678838.439999999944121,11994848.299999998882413
FS( 99 ),3150019.329999999608845,2964051.220000000204891,3183715.200000000186265,2654598.290000000502914,11952384.040000000968575
FS( 100 ),3152810.609999999403954,2951904.459999999497086,3223381.120000000111759,2661601.000000000000000,11989697.189999997615814
FS( 101 ),3171651.750000000000000,2944931.319999999366701,3212942.720000000204891,2650827.600000000093132,11980353.389999998733401
FS( 102 ),3209334.029999999795109,2932334.680000000167638,3228600.320000000298023,2656752.970000000204891,12027022.000000001862645
FS( 103 ),3242480.479999999981374,2936608.540000000037253,3225468.799999999813735,2635744.840000000316650,12040302.660000000149012
FS( 104 ),3263066.169999999459833,2936383.599999999627471,3233819.520000000018626,2659446.320000000298023,12092715.609999999403954
FS( 105 ),3261670.529999999795109,2929410.459999999497086,3233819.520000000018626,2675067.750000000000000,12099968.259999999776483
FS( 106 ),3280860.579999999608845,2951004.699999999720603,3250520.960000000428408,2677761.100000000093132,12160147.339999999850988
FS( 107 ),3348549.119999999646097,2934809.020000000018626,3239038.720000000204891,2679915.780000000260770,12202312.640000000596046
FS( 108 ),3326916.699999999254942,2921987.439999999944121,3213986.560000000055879,2626587.450000000186265,12089478.149999998509884
FS( 109 ),3328312.339999999850988,2955503.499999999534339,3224424.960000000428408,2634128.830000000074506,12142369.630000000819564
FS( 110 ),3316100.489999999757856,2929860.339999999850988,3263047.040000000502914,2673990.410000000149012,12182998.280000001192093
FS( 111 ),3322380.869999999646097,2889821.020000000018626,3262003.200000000186265,2710619.970000000204891,12184825.060000000521541
FS( 112 ),3365296.799999999813735,2907591.279999999795109,3287055.359999999869615,2721932.040000000502914,12281875.480000000447035
FS( 113 ),3325869.969999999273568,2907591.279999999795109,3310019.840000000316650,2731628.100000000093132,12275109.189999999478459
FS( 114 ),3307028.829999999608845,2944256.499999999534339,3616908.799999999813735,2745094.850000000093132,12613288.979999998584390
FS( 115 ),3248063.039999999571592,2926036.360000000335276,3517744.000000000465661,2710619.970000000204891,12402463.370000001043081
FS( 116 ),3294816.979999999981374,2933009.499999999534339,3517744.000000000465661,2733782.780000000260770,12479353.260000001639128
FS( 117 ),3277720.389999999664724,2953254.099999999627471,3555322.240000000223517,2731089.430000000633299,12517386.160000000149012
FS( 118 ),3304935.369999999646097,2982271.360000000335276,3631522.560000000055879,2746172.189999999944121,12664901.480000000447035
FS( 119 ),3391116.139999999664724,3011513.559999999590218,3601251.200000000186265,2742401.500000000000000,12746282.399999998509884
FS( 120 ),3385533.579999999608845,3033332.739999999757856,3575155.200000000186265,2749942.879999999888241,12743964.399999998509884
FS( 121 ),3407863.819999999832362,3004540.419999999925494,3575155.200000000186265,2762332.290000000502914,12749891.730000002309680
FS( 122 ),3454966.669999999459833,2997117.399999999906868,3573067.520000000018626,2778492.390000000130385,12803643.980000000447035
FS( 123 ),3432636.429999999236315,2978672.319999999366701,3568892.160000000149012,2799500.520000000018626,12779701.429999997839332
FS( 124 ),3424611.500000000000000,2981146.659999999683350,3585593.600000000558794,2788188.450000000186265,12779540.210000000894070
FS( 125 ),3335639.449999999254942,2907141.399999999906868,3537576.960000000428408,2716006.670000000391155,12496364.480000000447035
