代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11058699.189999999478459
真實報酬,1058699.189999999478459

夏普值報酬,0.097169919000000
夏普值風險,0.035804082989872
夏普值,2.713934023320413

二次趨勢線,35.221746811572004 x^2 + 5305.787575545976324 x + 10000000.000000000000000
二次加權預期報酬,11152.597546266928475
風險,108734.340919788402971
二次加權趨勢值,0.102567389951754
一次趨勢線,8594.565139277108756 x + 10000000.000000000000000
一次預期報酬,8594.565139277108756
一次風險,124753.310380935101421
一次趨勢值,0.068892481594545
找到最佳解世代,2727
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,4
DIS[6](5),GS[8](2),MRK[17](17),NKE[19](1),
FS( 10 ),2515999.599999999627471,2295284.720000000204891,2705013.970000000204891,2441604.009999999776483,9957902.300000000745058
FS( 11 ),2538132.380000000353903,2279082.379999999888241,2755283.920000000391155,2446338.819999999832362,10018837.500000000000000
FS( 12 ),2526399.339999999850988,2258507.979999999981374,2736924.460000000428408,2462647.609999999869615,9984479.390000000596046
FS( 13 ),2511199.720000000204891,2278053.660000000149012,2717253.610000000335276,2460017.159999999683350,9966524.150000000372529
FS( 14 ),2537332.400000000372529,2340934.169999999925494,2736050.200000000186265,2521569.689999999944121,10135886.460000000894070
FS( 15 ),2525866.020000000018626,2321002.720000000204891,2731678.900000000372529,2529461.039999999571592,10108008.679999999701977
FS( 16 ),2532532.520000000018626,2320102.589999999850988,2746104.190000000409782,2534721.939999999944121,10133461.240000000223517
FS( 17 ),2505866.520000000018626,2269566.720000000204891,2734738.810000000521541,2485795.569999999832362,9995967.620000001043081
FS( 18 ),2471200.720000000204891,2225331.760000000242144,2686217.380000000353903,2454756.259999999776483,9837506.120000001043081
FS( 19 ),2485867.020000000018626,2263137.220000000204891,2714193.700000000186265,2495791.279999999795109,9958989.220000000670552
FS( 20 ),2425601.859999999869615,2217102.000000000000000,2635073.170000000391155,2426873.489999999757856,9704650.519999999552965
FS( 21 ),2451467.880000000353903,2256707.720000000204891,2661300.970000000204891,2417929.959999999962747,9787406.530000001192093
FS( 22 ),2509333.099999999627471,2317787.970000000204891,2667420.790000000502914,2455808.439999999944121,9950350.300000000745058
FS( 23 ),2700794.979999999981374,2299013.830000000074506,2581306.180000000167638,2434238.750000000000000,10015353.740000000223517
FS( 24 ),2737060.740000000223517,2324603.240000000223517,2586551.740000000223517,2455282.350000000093132,10103498.070000000298023
FS( 25 ),2720527.819999999832362,2358808.180000000167638,2569940.800000000279397,2414773.419999999925494,10064050.220000000670552
FS( 26 ),2712794.680000000167638,2343248.790000000037253,2549832.820000000298023,2398464.629999999888241,10004340.920000001788139
FS( 27 ),2717861.220000000204891,2373338.850000000093132,2572563.580000000540167,2440025.739999999757856,10103789.390000000596046
FS( 28 ),2716527.919999999925494,2413073.160000000149012,2567755.150000000372529,2402147.259999999776483,10099503.490000000223517
FS( 29 ),2762126.779999999795109,2440462.830000000074506,2573874.970000000204891,2420034.319999999832362,10196498.900000000372529
FS( 30 ),2777859.720000000204891,2430432.810000000055879,2570815.060000000521541,2421086.500000000000000,10200194.089999999850988
FS( 31 ),2776526.419999999925494,2443548.990000000223517,2569940.800000000279397,2416351.689999999944121,10206367.900000000372529
FS( 32 ),2769593.259999999776483,2426189.339999999850988,2570377.930000000167638,2462647.609999999869615,10228808.139999998733401
FS( 33 ),2770393.240000000223517,2431847.300000000279397,2548521.430000000167638,2464751.969999999739230,10215513.940000001341105
FS( 34 ),2787992.799999999813735,2462708.899999999906868,2550707.080000000540167,2497369.549999999813735,10298778.329999998211861
FS( 35 ),2799725.839999999850988,2447278.100000000093132,2548521.430000000167638,2499473.909999999683350,10294999.279999999329448
FS( 36 ),2791192.720000000204891,2471838.790000000037253,2551144.210000000428408,2509995.709999999962747,10324171.429999999701977
FS( 37 ),2815192.119999999646097,2465409.290000000037253,2556826.900000000372529,2546822.009999999776483,10384250.320000000298023
FS( 38 ),2788259.459999999962747,2471581.609999999869615,2577372.010000000242144,2551556.819999999832362,10388769.900000000372529
FS( 39 ),2775459.779999999795109,2440591.419999999925494,2559012.550000000279397,2554713.359999999869615,10329777.109999999403954
FS( 40 ),2823725.240000000223517,2466309.419999999925494,2560761.070000000298023,2597852.739999999757856,10448648.470000000670552
FS( 41 ),2835991.599999999627471,2459622.740000000223517,2550269.950000000186265,2577335.229999999981374,10423219.519999999552965
FS( 42 ),2815192.119999999646097,2439048.339999999850988,2530161.970000000204891,2565235.159999999683350,10349637.589999999850988
FS( 43 ),2800792.479999999981374,2444320.530000000260770,2534533.270000000018626,2589961.389999999664724,10369607.669999998062849
FS( 44 ),2768526.619999999646097,2403557.500000000000000,2484700.450000000186265,2549452.459999999962747,10206237.029999999329448
FS( 45 ),2806925.660000000149012,2416673.680000000167638,2503059.910000000149012,2563130.799999999813735,10289790.050000000745058
FS( 46 ),2749060.439999999944121,2349549.700000000186265,2473335.070000000298023,2538930.659999999683350,10110875.870000001043081
FS( 47 ),2743727.240000000223517,2368452.430000000167638,2450604.310000000521541,2507891.350000000093132,10070675.330000000074506
FS( 48 ),2857857.720000000204891,2442648.859999999869615,2455412.740000000223517,2552609.000000000000000,10308528.320000000298023
FS( 49 ),2838391.540000000037253,2434804.870000000111759,2456724.130000000353903,2520517.509999999776483,10250438.050000000745058
FS( 50 ),2863190.919999999925494,2467723.910000000149012,2496940.090000000316650,2536826.299999999813735,10364681.219999998807907
FS( 51 ),2852257.859999999869615,2450621.439999999944121,2468526.640000000130385,2539456.750000000000000,10310862.689999999478459
FS( 52 ),2879190.520000000018626,2473124.689999999944121,2520107.979999999981374,2565235.159999999683350,10437658.349999999627471
FS( 53 ),2863190.919999999925494,2442906.040000000037253,2544587.260000000242144,2586278.759999999776483,10436962.980000000447035
FS( 54 ),2891456.880000000353903,2483540.479999999981374,2560761.070000000298023,2682553.229999999981374,10618311.660000000149012
FS( 55 ),2885857.020000000018626,2468495.450000000186265,2567318.020000000018626,2668874.889999999664724,10590545.379999998956919
FS( 56 ),2856257.759999999776483,2459751.330000000074506,2562946.720000000204891,2647831.289999999571592,10526787.099999999627471
FS( 57 ),2799992.500000000000000,2409215.459999999962747,2546772.910000000149012,2604165.819999999832362,10360146.689999999478459
FS( 58 ),2806392.339999999850988,2407800.970000000204891,2517922.330000000540167,2613109.350000000093132,10345224.990000000223517
FS( 59 ),2812792.180000000167638,2418345.350000000093132,2524479.280000000260770,2627313.779999999795109,10382930.589999999850988
FS( 60 ),2829858.419999999925494,2456407.990000000223517,2550269.950000000186265,2654144.370000000111759,10490680.730000000447035
FS( 61 ),2797059.240000000223517,2417188.040000000037253,2512676.770000000018626,2639413.850000000093132,10366337.900000000372529
FS( 62 ),2811725.540000000037253,2471967.379999999888241,2485574.710000000428408,2618896.339999999850988,10388163.970000000670552
FS( 63 ),2826658.500000000000000,2463223.260000000242144,2496065.830000000540167,2621526.789999999571592,10407474.379999998956919
FS( 64 ),2816792.080000000074506,2469652.760000000242144,2499562.870000000111759,2623631.149999999906868,10409638.859999999403954
FS( 65 ),2811458.880000000353903,2474024.819999999832362,2510491.120000000111759,2620474.609999999869615,10416449.429999999701977
FS( 66 ),2836258.259999999776483,2476210.850000000093132,2498251.479999999981374,2652566.100000000093132,10463286.689999999478459
FS( 67 ),2847191.319999999832362,2506172.319999999832362,2510491.120000000111759,2649409.559999999590218,10513264.320000000298023
FS( 68 ),2851991.200000000186265,2515816.569999999832362,2502622.780000000260770,2629944.229999999981374,10500374.779999999329448
FS( 69 ),2840258.160000000149012,2515045.030000000260770,2479892.020000000018626,2611531.080000000074506,10446726.290000000968575
FS( 70 ),2844258.060000000055879,2542563.290000000037253,2524916.410000000149012,2618370.250000000000000,10530108.009999999776483
FS( 71 ),2852791.180000000167638,2586026.709999999962747,2555078.380000000353903,2626261.600000000093132,10620157.870000001043081
FS( 72 ),2882657.099999999627471,2574582.200000000186265,2528413.450000000186265,2627839.870000000111759,10613492.620000001043081
FS( 73 ),2845058.040000000037253,2537805.459999999962747,2486448.970000000204891,2592591.839999999850988,10461904.310000000521541
FS( 74 ),2885857.020000000018626,2547449.709999999962747,2518359.460000000428408,2630470.319999999832362,10582136.510000001639128
FS( 75 ),2871457.380000000353903,2531247.370000000111759,2520545.110000000335276,2638361.669999999925494,10561611.530000001192093
FS( 76 ),2878390.540000000037253,2550278.689999999944121,2521856.500000000000000,2634679.039999999571592,10585204.769999999552965
FS( 77 ),2906656.500000000000000,2563009.100000000093132,2513988.160000000149012,2659931.359999999869615,10643585.119999999180436
FS( 78 ),2920789.479999999981374,2546035.220000000204891,2517922.330000000540167,2655722.639999999664724,10640469.670000001788139
FS( 79 ),2937589.060000000055879,2527132.490000000223517,2496065.830000000540167,2655196.549999999813735,10615983.929999999701977
FS( 80 ),2931189.220000000204891,2539605.720000000204891,2621959.270000000018626,2626787.689999999944121,10719541.900000000372529
FS( 81 ),2928255.959999999962747,2553364.850000000093132,2608845.370000000111759,2635205.129999999888241,10725671.310000000521541
FS( 82 ),2899190.020000000018626,2525846.589999999850988,2603599.810000000521541,2599957.100000000093132,10628593.519999999552965
FS( 83 ),2947188.819999999832362,2540120.080000000074506,2616713.710000000428408,2650987.830000000074506,10755010.440000001341105
FS( 84 ),2960788.479999999981374,2562880.510000000242144,2650809.850000000093132,2652566.100000000093132,10827044.939999999478459
FS( 85 ),2954921.959999999962747,2537033.919999999925494,2644252.900000000372529,2641518.209999999962747,10777726.990000000223517
FS( 86 ),2925856.020000000018626,2523660.560000000055879,2634198.910000000149012,2636257.309999999590218,10719972.800000000745058
FS( 87 ),2913589.660000000149012,2538319.819999999832362,2635947.430000000167638,2668874.889999999664724,10756731.800000000745058
FS( 88 ),2936255.759999999776483,2578311.310000000055879,2655181.150000000372529,2694653.299999999813735,10864401.519999999552965
FS( 89 ),2895990.099999999627471,2594127.879999999888241,2622833.530000000260770,2704122.919999999925494,10817074.429999999701977
FS( 90 ),2913056.339999999850988,2578697.080000000074506,2598354.250000000000000,2693075.029999999795109,10783182.699999999254942
FS( 91 ),2911723.040000000037253,2590270.180000000167638,2586988.870000000111759,2687288.039999999571592,10776270.130000000819564
FS( 92 ),2931455.880000000353903,2605572.390000000130385,2613216.670000000391155,2720957.799999999813735,10871202.740000002086163
FS( 93 ),2941322.299999999813735,2610073.040000000037253,2632887.520000000018626,2761466.729999999981374,10945749.589999999850988
FS( 94 ),2942122.279999999795109,2631804.750000000000000,2623270.660000000149012,2755679.739999999757856,10952877.429999999701977
FS( 95 ),2948255.459999999962747,2641320.410000000149012,2645564.290000000502914,2752523.199999999720603,10987663.359999999403954
FS( 96 ),2938655.700000000186265,2637205.530000000260770,2642941.510000000242144,2751997.109999999869615,10970799.849999999627471
FS( 97 ),2943722.240000000223517,2635533.859999999869615,2627204.830000000540167,2746210.120000000111759,10952671.050000000745058
FS( 98 ),2940255.660000000149012,2672182.010000000242144,2595731.470000000204891,2747262.299999999813735,10955431.440000001341105
FS( 99 ),2918389.540000000037253,2653922.229999999981374,2577809.140000000130385,2720431.709999999962747,10870552.620000001043081
FS( 100 ),2943188.919999999925494,2688384.350000000093132,2599228.510000000242144,2705175.100000000093132,10935976.879999998956919
FS( 101 ),2947455.479999999981374,2680926.129999999888241,2609719.630000000353903,2690970.669999999925494,10929071.910000000149012
FS( 102 ),2943188.919999999925494,2651479.020000000018626,2661738.100000000093132,2674661.879999999888241,10931067.919999998062849
FS( 103 ),2958921.859999999869615,2672310.600000000093132,2655618.280000000260770,2676766.239999999757856,10963616.980000000447035
FS( 104 ),2953322.000000000000000,2654565.180000000167638,2633324.650000000372529,2686235.859999999869615,10927447.689999999478459
FS( 105 ),2964521.720000000204891,2678482.919999999925494,2639881.600000000093132,2696757.659999999683350,10979643.900000000372529
FS( 106 ),2941322.299999999813735,2685941.140000000130385,2599665.640000000130385,2682027.139999999664724,10908956.219999998807907
FS( 107 ),2941322.299999999813735,2706258.359999999869615,2578683.400000000372529,2684131.500000000000000,10910395.560000000521541
FS( 108 ),2914389.640000000130385,2697771.419999999925494,2573437.840000000316650,2668348.799999999813735,10853947.699999999254942
FS( 109 ),2893856.819999999832362,2687869.990000000223517,2572126.450000000186265,2666244.439999999944121,10820097.700000001117587
FS( 110 ),2933322.500000000000000,2740720.479999999981374,2605785.460000000428408,2718327.350000000093132,10998155.790000000968575
FS( 111 ),2949855.419999999925494,2751136.270000000018626,2575186.360000000335276,2732531.779999999795109,11008709.830000000074506
FS( 112 ),2931989.200000000186265,2739820.350000000093132,2529724.840000000316650,2729901.330000000074506,10931435.720000000670552
FS( 113 ),2938122.380000000353903,2723103.649999999906868,2496940.090000000316650,2718853.439999999944121,10877019.560000000521541
FS( 114 ),2961588.459999999962747,2746249.850000000093132,2522730.760000000242144,2750418.839999999850988,10980987.910000000149012
FS( 115 ),2973054.839999999850988,2738148.680000000167638,2531473.360000000335276,2755679.739999999757856,10998356.619999999180436
FS( 116 ),3019187.020000000018626,2759623.209999999962747,2561198.200000000186265,2788297.319999999832362,11128305.750000000000000
FS( 117 ),3003187.419999999925494,2741492.020000000018626,2537156.050000000279397,2802501.750000000000000,11084337.240000000223517
FS( 118 ),3027453.479999999981374,2784183.899999999906868,2571689.320000000298023,2809340.919999999925494,11192667.620000001043081
FS( 119 ),3050919.560000000055879,2808487.410000000149012,2580431.920000000391155,2819862.719999999739230,11259701.609999999403954
FS( 120 ),3033853.319999999832362,2757437.180000000167638,2545898.650000000372529,2794084.309999999590218,11131273.460000000894070
FS( 121 ),3051986.200000000186265,2736734.189999999944121,2531036.229999999981374,2767779.809999999590218,11087536.429999999701977
FS( 122 ),3066385.839999999850988,2741234.839999999850988,2556826.900000000372529,2886150.059999999590218,11250597.640000000596046
FS( 123 ),3014653.799999999813735,2670253.160000000149012,2504371.300000000279397,2832488.879999999888241,11021767.140000000596046
FS( 124 ),3043719.740000000223517,2684912.419999999925494,2488634.620000000111759,2841432.409999999683350,11058699.189999999478459
