代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13577709.380000000819564
真實報酬,3577709.380000000819564

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13905.021123862070453
風險,176971.522773619304644
起點值,0.078572082705359
找到最佳解世代,2279
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
AAPL[0](5),CAT[3](3),JPM[13](6),MSFT[18](1),V[25](9),
FS( 26 ),2031117.350000000093132,2003172.649999999906868,2114103.080000000074506,2036408.440000000176951,2109119.849999999627471,10293921.370000001043081
FS( 27 ),2043564.290000000037253,2043196.849999999860302,2105325.919999999925494,2038175.840000000083819,2127263.899999999441206,10357526.799999998882413
FS( 28 ),1990004.729999999981374,2038803.950000000186265,2108147.150000000372529,2030045.800000000046566,2120364.049999999813735,10287365.679999999701977
FS( 29 ),1944931.719999999972060,1971690.200000000186265,2089338.950000000419095,1986921.240000000223517,2078453.849999999860302,10071335.960000000894070
FS( 30 ),1988496.010000000009313,1999267.850000000093132,2102191.220000000670552,2016613.560000000055879,2120364.049999999813735,10226932.690000001341105
FS( 31 ),2035832.100000000093132,1958023.400000000139698,2085577.310000000288710,1998232.600000000093132,2092764.649999999906868,10170430.060000000521541
FS( 32 ),2107873.479999999515712,1977303.349999999860302,2081502.200000000419095,1988688.640000000130385,2082542.649999999906868,10237910.320000000298023
FS( 33 ),2179537.679999999701977,2001952.400000000139698,2089025.480000000214204,2021562.280000000027940,2095831.250000000000000,10387909.089999999850988
FS( 34 ),2167279.330000000074506,2002440.500000000000000,2063320.939999999944121,2023683.160000000149012,2097364.549999999813735,10354088.480000000447035
FS( 35 ),2142008.269999999552965,1998291.649999999906868,2074919.330000000074506,2012371.800000000046566,2108608.750000000000000,10336199.800000000745058
FS( 36 ),2141819.679999999701977,1993898.750000000000000,2083383.020000000018626,2008130.040000000270084,2107842.099999999627471,10335073.589999999850988
FS( 37 ),2141442.500000000000000,2037095.599999999860302,2095294.880000000353903,2041710.640000000130385,2126752.799999999813735,10442296.420000001788139
FS( 38 ),2161621.629999999888241,2037827.750000000000000,2112535.730000000447035,2043831.520000000251457,2130330.500000000000000,10486147.130000000819564
FS( 39 ),2125600.939999999478459,2011958.449999999953434,2108147.150000000372529,2030045.800000000046566,2109375.400000000372529,10385127.740000000223517
FS( 40 ),2128806.969999999739230,2010250.100000000093132,2062067.060000000288710,2011311.360000000102445,2090720.250000000000000,10303155.740000000223517
FS( 41 ),2132767.360000000335276,2022696.649999999906868,2080248.320000000065193,2048426.760000000242144,2099664.500000000000000,10383803.589999999850988
FS( 42 ),2148986.100000000558794,2113239.200000000186265,2091219.770000000018626,2051254.600000000093132,2120364.049999999813735,10525063.719999998807907
FS( 43 ),2115605.669999999925494,2134715.600000000093132,2057991.950000000419095,2028985.360000000102445,2093531.300000000046566,10430829.880000000819564
FS( 44 ),2132013.000000000000000,2166442.100000000093132,2087458.130000000353903,2036054.960000000195578,2113464.200000000186265,10535432.390000000596046
FS( 45 ),2122017.729999999515712,2154483.649999999906868,2084950.370000000344589,2029692.320000000298023,2117553.000000000000000,10508697.070000000298023
FS( 46 ),2131070.049999999813735,2135691.800000000279397,2087771.599999999860302,2023329.680000000167638,2114230.849999999627471,10492093.979999998584390
FS( 47 ),2132013.000000000000000,2182305.350000000093132,2121939.830000000074506,2037468.880000000121072,2130074.950000000186265,10603802.010000001639128
FS( 48 ),2147854.560000000521541,2179132.700000000186265,2127582.290000000037253,2041003.680000000167638,2130330.500000000000000,10625903.730000000447035
FS( 49 ),2151060.589999999850988,2159120.600000000093132,2135105.570000000298023,2043124.560000000055879,2118064.099999999627471,10606475.419999999925494
FS( 50 ),2188590.000000000000000,2153019.350000000093132,2151719.480000000447035,2051608.080000000074506,2124197.299999999813735,10669134.210000000894070
FS( 51 ),2193304.750000000000000,2134715.600000000093132,2141374.970000000670552,2021562.280000000027940,2096597.900000000139698,10587555.500000000000000
FS( 52 ),2212918.110000000335276,2137400.149999999906868,2135732.509999999776483,2018734.440000000176951,2101964.450000000186265,10606749.660000000149012
FS( 53 ),2206128.870000000111759,2122513.100000000093132,2123507.179999999701977,2012018.320000000298023,2092253.550000000046566,10556421.020000001415610
FS( 54 ),2218387.219999999739230,2139596.600000000093132,2116610.839999999850988,2029692.320000000298023,2107075.450000000186265,10611362.429999999701977
FS( 55 ),2216878.500000000000000,2130322.700000000186265,2105639.390000000596046,2022622.720000000204891,2099408.950000000186265,10574872.260000001639128
FS( 56 ),2215369.780000000260770,2128614.350000000093132,2122253.299999999813735,2038175.840000000083819,2084842.599999999860302,10589255.870000001043081
FS( 57 ),2208769.129999999888241,2147650.250000000000000,2142628.849999999627471,2033580.600000000093132,2116275.250000000000000,10648904.080000000074506
FS( 58 ),2207637.589999999850988,2114215.399999999906868,2139807.620000000111759,2023683.160000000149012,2108353.200000000186265,10593696.969999998807907
FS( 59 ),2198962.450000000186265,2106893.899999999906868,2147017.429999999701977,2108871.839999999850988,2104519.950000000186265,10666265.570000000298023
FS( 60 ),2218764.400000000372529,2098596.199999999720603,2158929.290000000037253,2156238.160000000149012,2125475.049999999813735,10758003.100000001490116
FS( 61 ),2230079.799999999813735,2061744.650000000139698,2156735.000000000000000,2155884.680000000167638,2096342.350000000093132,10700786.480000000447035
FS( 62 ),2179914.860000000335276,2053202.899999999906868,2167079.509999999776483,2143159.400000000372529,2089186.949999999953434,10632543.619999999180436
FS( 63 ),2158981.370000000111759,2025869.300000000046566,2170214.209999999962747,2124424.960000000428408,2093531.300000000046566,10573021.140000000596046
FS( 64 ),2144648.530000000260770,2047101.649999999906868,2166452.570000000298023,2116294.919999999925494,2101197.799999999813735,10575695.469999998807907
FS( 65 ),2141253.910000000149012,2036851.549999999813735,2171154.620000000111759,2118062.320000000298023,2108608.750000000000000,10575931.150000000372529
FS( 66 ),2102592.959999999962747,2007077.449999999953434,2162063.990000000223517,2113820.560000000055879,2085864.800000000046566,10471419.760000001639128
FS( 67 ),2104478.860000000335276,1979499.800000000046566,2152973.360000000335276,2100741.800000000279397,2059287.599999999860302,10396981.419999999925494
FS( 68 ),2071287.020000000018626,1983404.599999999860302,2143569.259999999776483,2092965.240000000223517,2061076.450000000186265,10352302.570000000298023
FS( 69 ),2052616.610000000102445,2008785.800000000046566,2124134.120000000111759,2075291.240000000223517,2053665.500000000000000,10314493.269999999552965
FS( 70 ),2082225.239999999990687,2043929.000000000000000,2190589.759999999776483,2135736.320000000298023,2108608.750000000000000,10561089.070000000298023
FS( 71 ),2094483.590000000083819,2066625.650000000139698,2195291.810000000521541,2137503.720000000204891,2118064.099999999627471,10611968.870000001043081
FS( 72 ),2091088.969999999972060,2225746.250000000000000,2296229.150000000372529,2126899.320000000298023,2127263.899999999441206,10867227.589999999850988
FS( 73 ),2032814.660000000149012,2280657.500000000000000,2402808.950000000186265,2074937.760000000242144,2092253.550000000046566,10883472.420000001788139
FS( 74 ),2044884.420000000158325,2269919.300000000279397,2404062.830000000074506,2086249.120000000344589,2092509.099999999860302,10897624.770000001415610
FS( 75 ),1993587.939999999944121,2298229.100000000093132,2492461.370000000111759,2054435.920000000158325,2003066.599999999860302,10841780.929999999701977
FS( 76 ),2019990.540000000037253,2304818.449999999720603,2487759.320000000298023,2080946.920000000158325,2007922.049999999813735,10901437.280000001192093
FS( 77 ),2074304.459999999962747,2278217.000000000000000,2426319.200000000186265,2108518.359999999869615,2046510.099999999860302,10933869.119999999180436
FS( 78 ),2073550.100000000093132,2264306.149999999906868,2445754.339999999850988,2143512.880000000353903,2071809.549999999813735,10998933.019999999552965
FS( 79 ),2075624.590000000083819,2253567.950000000186265,2436036.769999999552965,2133261.960000000428408,2065420.799999999813735,10963912.070000000298023
FS( 80 ),2107119.120000000111759,2267234.750000000000000,2446694.750000000000000,2151289.439999999944121,2087653.649999999906868,11059991.710000000894070
FS( 81 ),2108439.250000000000000,2284806.350000000093132,2461741.310000000521541,2160479.919999999925494,2042676.850000000093132,11058143.679999999701977
FS( 82 ),2097689.620000000111759,2347283.150000000372529,2472085.820000000298023,2135029.359999999869615,2033477.049999999813735,11085565.000000000000000
FS( 83 ),2108250.660000000149012,2338253.300000000279397,2471145.410000000149012,2139624.600000000093132,2047787.849999999860302,11105061.820000000298023
FS( 84 ),2104101.679999999701977,2316044.750000000000000,2455158.439999999478459,2142452.439999999944121,2020955.099999999860302,11038712.409999998286366
FS( 85 ),2102027.189999999478459,2295056.450000000186265,2473966.640000000596046,2159419.480000000447035,2022743.950000000186265,11053213.710000000894070
FS( 86 ),2084299.729999999981374,2332152.050000000279397,2513150.390000000596046,2130080.640000000130385,1975978.299999999813735,11035661.109999999403954
FS( 87 ),2064874.959999999962747,2348747.449999999720603,2563932.530000000260770,2092611.760000000242144,1927679.350000000093132,10997846.050000000745058
FS( 88 ),2072607.150000000139698,2321901.950000000186265,2557976.599999999627471,2094379.160000000149012,1935090.299999999813735,10981955.160000000149012
FS( 89 ),2057708.540000000037253,2305062.500000000000000,2610012.620000000111759,2128666.720000000204891,1975722.750000000000000,11077173.130000000819564
FS( 90 ),2073550.100000000093132,2323854.350000000093132,2623491.830000000074506,2119122.760000000242144,1970611.750000000000000,11110630.790000000968575
FS( 91 ),2093917.820000000065193,2375348.899999999906868,2635403.689999999478459,2169316.919999999925494,2026832.750000000000000,11300820.079999998211861
FS( 92 ),2114474.129999999888241,2349479.600000000093132,2668318.040000000037253,2156591.640000000130385,2026066.100000000093132,11314929.509999999776483
FS( 93 ),2148986.100000000558794,2331419.899999999906868,2679916.429999999701977,2190525.720000000204891,2022488.399999999906868,11373336.550000000745058
FS( 94 ),2136727.750000000000000,2320437.649999999906868,2656092.709999999962747,2197595.320000000298023,2006133.199999999953434,11316986.629999998956919
FS( 95 ),2172371.259999999776483,2343378.350000000093132,2657033.120000000111759,2226227.200000000186265,2024021.699999999953434,11423031.629999998956919
FS( 96 ),2172371.259999999776483,2287734.949999999720603,2656092.709999999962747,2215622.800000000279397,2022232.849999999860302,11354054.569999998435378
FS( 97 ),2184252.429999999701977,2307014.899999999906868,2695903.400000000372529,2212088.000000000000000,2031688.199999999953434,11430946.929999999701977
FS( 98 ),2187081.280000000260770,2259425.149999999906868,2662675.580000000074506,2202190.560000000055879,2002299.949999999720603,11313672.519999999552965
FS( 99 ),2199716.810000000521541,2262597.799999999813735,2678035.610000000335276,2248849.919999999925494,1995911.199999999720603,11385111.339999999850988
FS( 100 ),2205563.100000000558794,2302377.950000000186265,2712517.310000000521541,2246022.080000000074506,2002555.500000000000000,11469035.940000001341105
FS( 101 ),2207637.589999999850988,2289687.349999999627471,2719413.650000000372529,2246022.080000000074506,1996933.399999999906868,11459694.070000000298023
FS( 102 ),2193116.160000000149012,2297008.850000000093132,2723802.230000000447035,2246375.560000000055879,1990800.200000000186265,11451103.000000000000000
FS( 103 ),2197453.729999999515712,2301889.849999999627471,2728817.750000000000000,2235417.680000000167638,1997188.950000000186265,11460767.960000000894070
FS( 104 ),2211409.390000000596046,2307503.000000000000000,2731325.509999999776483,2236831.600000000093132,2002299.949999999720603,11489369.449999999254942
FS( 105 ),2201979.890000000596046,2273336.000000000000000,2711576.900000000372529,2226580.680000000167638,2001022.199999999953434,11414495.669999999925494
FS( 106 ),2201414.120000000111759,2276752.700000000186265,2692455.230000000447035,2223399.359999999869615,2001788.849999999860302,11395810.259999999776483
FS( 107 ),2184252.429999999701977,2263329.949999999720603,2704994.030000000260770,2196534.880000000353903,1993866.799999999813735,11342978.089999999850988
FS( 108 ),2190475.900000000372529,2293836.199999999720603,2734460.209999999962747,2212088.000000000000000,2031688.199999999953434,11462548.509999997913837
FS( 109 ),2188024.229999999515712,2283586.099999999627471,2724429.169999999925494,2202190.560000000055879,2048298.950000000186265,11446529.009999997913837
FS( 110 ),2199151.040000000037253,2269675.250000000000000,2699351.570000000298023,2202190.560000000055879,2072320.650000000139698,11442689.070000000298023
FS( 111 ),2223667.740000000223517,2270651.450000000186265,2699665.040000000037253,2221278.480000000447035,2100942.250000000000000,11516204.960000000894070
FS( 112 ),2244035.459999999962747,2254300.100000000093132,2701545.860000000335276,2214208.880000000353903,2089186.949999999953434,11503277.250000000000000
FS( 113 ),2246298.540000000037253,2289931.399999999906868,2709382.610000000335276,2213501.919999999925494,2077942.750000000000000,11537057.219999998807907
FS( 114 ),2258368.299999999813735,2309943.500000000000000,2729758.160000000149012,2233650.280000000260770,2090464.699999999953434,11622184.939999999478459
FS( 115 ),2248938.799999999813735,2293836.199999999720603,2703426.679999999701977,2213148.439999999944121,2079476.050000000046566,11538826.169999999925494
FS( 116 ),2244978.410000000149012,2305794.649999999906868,2717846.299999999813735,2216329.760000000242144,2074365.050000000046566,11559314.170000001788139
FS( 117 ),2263083.049999999813735,2283586.099999999627471,2619103.250000000000000,2210320.600000000093132,2076665.000000000000000,11452758.000000000000000
FS( 118 ),2262894.459999999962747,2277728.899999999906868,2631328.580000000074506,2209260.160000000149012,2085098.150000000139698,11466310.250000000000000
FS( 119 ),2258934.070000000298023,2278949.149999999906868,2611266.500000000000000,2202190.560000000055879,2088675.850000000093132,11440016.130000000819564
FS( 120 ),2263083.049999999813735,2308235.149999999906868,2622864.890000000596046,2217743.680000000167638,2091486.900000000139698,11503413.669999999925494
FS( 121 ),2264591.769999999552965,2305306.549999999813735,2624118.769999999552965,2225520.240000000223517,2099408.950000000186265,11518946.279999997466803
FS( 122 ),2262517.280000000260770,2348747.449999999720603,2655779.240000000223517,2245315.120000000111759,2127008.349999999627471,11639367.439999999478459
FS( 123 ),2298537.969999999739230,2395361.000000000000000,2696843.810000000521541,2250970.800000000279397,2144130.200000000186265,11785843.780000001192093
FS( 124 ),2299669.509999999776483,2372664.350000000093132,2719413.650000000372529,2271826.120000000111759,2127263.899999999441206,11790837.529999997466803
FS( 125 ),2299858.100000000558794,2415861.199999999720603,2725056.110000000335276,2325201.600000000093132,2140808.049999999813735,11906785.060000002384186
FS( 126 ),2293823.219999999739230,2362170.200000000186265,2696843.810000000521541,2302225.399999999906868,2139019.200000000186265,11794081.830000001937151
FS( 127 ),2288542.700000000186265,2334592.549999999813735,2652958.009999999776483,2285258.360000000335276,2113719.750000000000000,11675071.370000001043081
FS( 128 ),2428099.299999999813735,2321169.799999999813735,2662989.049999999813735,2247436.000000000000000,2106819.899999999441206,11766514.049999997019768
FS( 129 ),2423950.320000000298023,2288467.100000000093132,2651704.129999999888241,2232943.320000000298023,2103242.200000000186265,11700307.070000000298023
FS( 130 ),2434322.770000000484288,2276508.649999999906868,2732892.860000000335276,2250970.800000000279397,2199840.099999999627471,11894535.179999999701977
FS( 131 ),2457142.160000000149012,2266502.600000000093132,2720040.589999999850988,2249556.880000000353903,2193451.349999999627471,11886693.580000000074506
FS( 132 ),2480527.320000000298023,2277240.800000000279397,2718473.240000000223517,2242133.800000000279397,2192173.599999999627471,11910548.760000001639128
FS( 133 ),2490145.410000000149012,2267478.799999999813735,2694649.519999999552965,2238952.480000000447035,2174540.650000000372529,11865766.860000001266599
FS( 134 ),2497311.830000000074506,2293104.049999999813735,2733519.799999999813735,2264403.040000000037253,2187062.599999999627471,11975401.319999998435378
FS( 135 ),2491654.129999999888241,2350455.800000000279397,2727250.400000000372529,2262282.160000000149012,2195240.200000000186265,12026882.690000001341105
FS( 136 ),2513719.160000000149012,2403902.750000000000000,2763299.450000000186265,2287732.720000000204891,2209039.899999999441206,12177693.980000000447035
FS( 137 ),2546345.230000000447035,2393896.700000000186265,2807498.720000000670552,2282430.520000000018626,2219517.450000000186265,12249688.620000001043081
FS( 138 ),2555586.139999999664724,2416593.350000000093132,2839786.129999999888241,2281016.600000000093132,2237150.400000000372529,12330132.620000001043081
FS( 139 ),2552568.700000000186265,2398045.550000000279397,2837905.310000000521541,2280663.120000000111759,2233828.250000000000000,12303010.929999999701977
FS( 140 ),2559546.530000000260770,2412444.500000000000000,2828501.209999999962747,2284197.920000000391155,2235106.000000000000000,12319796.160000000149012
FS( 141 ),2578028.349999999627471,2394140.750000000000000,2852951.870000000111759,2279602.680000000167638,2246861.299999999813735,12351584.949999999254942
FS( 142 ),2585760.540000000037253,2396581.250000000000000,2854519.220000000670552,2275007.439999999944121,2243794.700000000186265,12355663.150000002235174
FS( 143 ),2574822.320000000298023,2331908.000000000000000,2856713.509999999776483,2284197.920000000391155,2253505.600000000558794,12301147.350000001490116
FS( 144 ),2577273.990000000223517,2330199.649999999906868,2831635.910000000149012,2284197.920000000391155,2259894.350000000558794,12283201.820000000298023
FS( 145 ),2582365.919999999925494,2378033.449999999720603,2834770.610000000335276,2270412.200000000186265,2248905.700000000186265,12314487.879999998956919
FS( 146 ),2583497.459999999962747,2358997.549999999813735,2840726.540000000037253,2261575.200000000186265,2247372.399999999441206,12292169.149999998509884
FS( 147 ),2636302.660000000149012,2405855.149999999906868,2934140.599999999627471,2295509.280000000260770,2274205.149999999441206,12546012.839999999850988
FS( 148 ),2620649.690000000409782,2302866.049999999813735,2888373.980000000447035,2262635.640000000130385,2262449.849999999627471,12336975.210000000894070
FS( 149 ),2636114.070000000298023,2321413.850000000093132,2909063.000000000000000,2271119.160000000149012,2269094.150000000372529,12406804.230000000447035
FS( 150 ),2627816.110000000335276,2334592.549999999813735,2881477.640000000596046,2271826.120000000111759,2272927.399999999441206,12388639.820000000298023
FS( 151 ),2631210.730000000447035,2341181.900000000372529,2865490.669999999925494,2276421.360000000335276,2275994.000000000000000,12390298.660000000149012
FS( 152 ),2621404.049999999813735,2275288.399999999906868,2859221.269999999552965,2297276.680000000167638,2273438.500000000000000,12326628.899999998509884
FS( 153 ),2615369.169999999925494,2230383.200000000186265,2870506.189999999478459,2288086.200000000186265,2277271.750000000000000,12281616.509999999776483
FS( 154 ),2624044.309999999590218,2252835.800000000279397,2861415.560000000521541,2295155.800000000279397,2293115.849999999627471,12326567.320000000298023
FS( 155 ),2625175.849999999627471,2260889.450000000186265,2863923.320000000298023,2287379.239999999757856,2302826.750000000000000,12340194.609999999403954
FS( 156 ),2621215.459999999962747,2241853.549999999813735,2868625.370000000111759,2276774.839999999850988,2288515.950000000186265,12296985.169999998062849
FS( 157 ),2648938.190000000409782,2278461.049999999813735,2875521.709999999962747,2288793.160000000149012,2297971.299999999813735,12389685.410000000149012
FS( 158 ),2653275.759999999776483,2266014.500000000000000,2872700.480000000447035,2284904.880000000353903,2301037.900000000372529,12377933.520000001415610
FS( 159 ),2640074.459999999962747,2267478.799999999813735,2842607.360000000335276,2293034.920000000391155,2306148.899999999441206,12349344.440000001341105
FS( 160 ),2667797.190000000409782,2328247.250000000000000,2822231.810000000521541,2295155.800000000279397,2279060.600000000558794,12392492.650000002235174
FS( 161 ),2637245.610000000335276,2255764.400000000372529,2739475.730000000447035,2269705.239999999757856,2250439.000000000000000,12152629.980000000447035
FS( 162 ),2667042.830000000074506,2255764.400000000372529,2743864.310000000521541,2298690.600000000093132,2262194.299999999813735,12227556.440000001341105
FS( 163 ),2657613.330000000074506,2250883.399999999906868,2739475.730000000447035,2293034.920000000391155,2270883.000000000000000,12211890.380000000819564
FS( 164 ),2652332.809999999590218,2248931.000000000000000,2736341.030000000260770,2296923.200000000186265,2279316.149999999441206,12213844.189999997615814
FS( 165 ),2656858.969999999739230,2233311.800000000279397,2734773.679999999701977,2301164.959999999962747,2273182.950000000186265,12199292.359999999403954
FS( 166 ),2711927.250000000000000,2268455.000000000000000,2777405.599999999627471,2307881.080000000540167,2277527.299999999813735,12343196.230000000447035
FS( 167 ),2717962.129999999888241,2266258.549999999813735,2767061.089999999850988,2314243.720000000204891,2279060.600000000558794,12344586.089999999850988
FS( 168 ),2714378.919999999925494,2275044.350000000093132,2790884.810000000521541,2322727.239999999757856,2274716.250000000000000,12377751.570000000298023
FS( 169 ),2709286.990000000223517,2263818.050000000279397,2753581.879999999888241,2328029.439999999944121,2271138.549999999813735,12325854.910000000149012
FS( 170 ),2710041.349999999627471,2251859.600000000093132,2743550.839999999850988,2317071.560000000055879,2283660.500000000000000,12306183.849999999627471
FS( 171 ),2730220.480000000447035,2297252.899999999906868,2736967.970000000670552,2323434.200000000186265,2268838.599999999627471,12356714.150000000372529
FS( 172 ),2716076.230000000447035,2299937.449999999720603,2701859.330000000074506,2317425.040000000037253,2275227.349999999627471,12310525.400000000372529
FS( 173 ),2709286.990000000223517,2338497.349999999627471,2710949.959999999962747,2323434.200000000186265,2276760.650000000372529,12358929.150000000372529
FS( 174 ),2703252.110000000335276,2331175.850000000093132,2701545.860000000335276,2321666.800000000279397,2267816.399999999441206,12325457.019999999552965
FS( 175 ),2700046.080000000074506,2370711.950000000186265,2692141.759999999776483,2316364.600000000093132,2270883.000000000000000,12350147.390000000596046
FS( 176 ),2671003.219999999739230,2369735.750000000000000,2687439.709999999962747,2314597.200000000186265,2270627.450000000186265,12313403.329999998211861
FS( 177 ),2674209.250000000000000,2315068.549999999813735,2677095.200000000186265,2305760.200000000186265,2266283.100000000558794,12238416.300000000745058
FS( 178 ),2660065.000000000000000,2272115.750000000000000,2645748.200000000186265,2295862.760000000242144,2271138.549999999813735,12144930.260000001639128
FS( 179 ),2674775.020000000484288,2297496.950000000186265,2691514.820000000298023,2314597.200000000186265,2295160.250000000000000,12273544.240000002086163
FS( 180 ),2662893.849999999627471,2303598.200000000186265,2669571.919999999925494,2311415.880000000353903,2293115.849999999627471,12240595.699999999254942
FS( 181 ),2653087.169999999925494,2281145.600000000093132,2647629.019999999552965,2299044.080000000540167,2293626.950000000186265,12174532.820000000298023
FS( 182 ),2686279.009999999776483,2310187.549999999813735,2681797.250000000000000,2315304.160000000149012,2329403.950000000186265,12322971.919999998062849
FS( 183 ),2683072.980000000447035,2301889.849999999627471,2649509.839999999850988,2347117.360000000335276,2329403.950000000186265,12310993.980000000447035
FS( 184 ),2708909.809999999590218,2362658.300000000279397,2742923.900000000372529,2387060.600000000093132,2347292.450000000186265,12548845.059999998658895
FS( 185 ),2725694.320000000298023,2548380.350000000093132,2766747.620000000111759,2400846.320000000298023,2353936.750000000000000,12795605.359999999403954
FS( 186 ),2709664.169999999925494,2554237.549999999813735,2772076.610000000335276,2397665.000000000000000,2346525.799999999813735,12780169.129999998956919
FS( 187 ),2711738.660000000149012,2505915.650000000372529,2746372.070000000298023,2413218.120000000111759,2340903.700000000186265,12718148.199999999254942
FS( 188 ),2709098.400000000372529,2495665.550000000279397,2727250.400000000372529,2419934.239999999757856,2331192.799999999813735,12683141.390000000596046
FS( 189 ),2764355.270000000484288,2489320.250000000000000,2729131.220000000670552,2453514.839999999850988,2332215.000000000000000,12768536.580000001937151
FS( 190 ),2781894.139999999664724,2477361.800000000279397,2711576.900000000372529,2449626.560000000055879,2364925.400000000372529,12785384.800000000745058
FS( 191 ),2773407.589999999850988,2478093.950000000186265,2727250.400000000372529,2441850.000000000000000,2362369.899999999441206,12782971.839999999850988
FS( 192 ),2763412.320000000298023,2425623.200000000186265,2730385.099999999627471,2432306.040000000037253,2366969.799999999813735,12718696.460000000894070
FS( 193 ),2809239.690000000409782,2431724.450000000186265,2727250.400000000372529,2439022.160000000149012,2353425.650000000372529,12760662.350000001490116
FS( 194 ),2885618.639999999664724,2425135.100000000093132,2730385.099999999627471,2436901.280000000260770,2349081.299999999813735,12827121.420000001788139
FS( 195 ),2904100.459999999962747,2423182.700000000186265,2719413.650000000372529,2440436.080000000540167,2351125.700000000186265,12838258.589999999850988
