代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12397731.519999999552965
真實報酬,2397731.519999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9753.287474320637557
風險,249071.056579929718282
起點值,0.039158654595383
找到最佳解世代,2327
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),KO[14](3),MCD[15](8),UNH[23](4),
FS( 61 ),2821056.459999999497086,2539695.390000000130385,2386687.000000000000000,2927853.759999999776483,10675292.609999999403954
FS( 62 ),2762368.719999999739230,2520252.750000000000000,2352340.000000000000000,2833698.239999999757856,10468659.709999999031425
FS( 63 ),2788835.739999999757856,2546176.270000000018626,2364859.000000000000000,2842006.079999999608845,10541877.089999999850988
FS( 64 ),2836016.079999999608845,2554277.370000000111759,2358439.000000000000000,2912622.720000000204891,10661355.169999999925494
FS( 65 ),2830262.379999999422580,2546176.270000000018626,2363896.000000000000000,2904314.880000000353903,10644649.529999999329448
FS( 66 ),2822782.569999999832362,2534834.729999999981374,2369995.000000000000000,2979777.759999999776483,10707390.059999998658895
FS( 67 ),2848098.849999999627471,2534024.620000000111759,2377057.000000000000000,2941700.160000000149012,10700880.629999998956919
FS( 68 ),2892402.339999999850988,2532404.400000000372529,2357797.000000000000000,2894622.399999999906868,10677226.140000000596046
FS( 69 ),2919444.729999999515712,2546986.380000000353903,2419108.000000000000000,2905699.520000000018626,10791238.629999998956919
FS( 70 ),2944185.639999999664724,2558327.919999999925494,2437405.000000000000000,2912622.720000000204891,10852541.279999999329448
FS( 71 ),2914266.399999999441206,2573720.009999999776483,2431948.000000000000000,2937546.239999999757856,10857480.649999998509884
FS( 72 ),2933253.609999999403954,2575340.229999999981374,2444146.000000000000000,2934084.640000000130385,10886824.480000000447035
FS( 73 ),2952240.819999999832362,2557517.810000000055879,2447356.000000000000000,2939623.200000000186265,10896737.830000000074506
FS( 74 ),2957994.519999999552965,2559948.140000000130385,2444467.000000000000000,2909853.439999999944121,10872263.099999999627471
FS( 75 ),2985036.909999999683350,2568049.239999999757856,2440294.000000000000000,2942392.479999999981374,10935772.629999998956919
FS( 76 ),2945336.379999999422580,2615035.620000000111759,2439010.000000000000000,2948623.360000000335276,10948005.359999999403954
FS( 77 ),2881470.309999999590218,2615035.620000000111759,2443825.000000000000000,2965931.360000000335276,10906262.289999999105930
FS( 78 ),2783082.039999999571592,2582631.219999999739230,2430022.000000000000000,2974239.200000000186265,10769974.460000000894070
FS( 79 ),2816453.500000000000000,2589112.100000000093132,2413651.000000000000000,2970777.599999999627471,10789994.199999999254942
FS( 80 ),2818179.609999999403954,2587491.880000000353903,2414293.000000000000000,2959700.479999999981374,10779664.970000000670552
FS( 81 ),2861907.729999999515712,2605314.299999999813735,2389576.000000000000000,2943777.120000000111759,10800575.149999998509884
FS( 82 ),2903334.369999999646097,2589112.100000000093132,2429380.000000000000000,2947931.040000000037253,10869757.509999999776483
FS( 83 ),2871113.649999999441206,2629617.600000000093132,2404021.000000000000000,2938930.880000000353903,10843683.130000000819564
FS( 84 ),2894128.449999999254942,2610174.959999999962747,2397601.000000000000000,3015778.399999999906868,10917682.809999998658895
FS( 85 ),2955693.039999999571592,2655541.120000000111759,2447356.000000000000000,3100933.759999999776483,11159523.919999999925494
FS( 86 ),2959145.259999999776483,2640959.140000000130385,2440615.000000000000000,3077394.880000000353903,11118114.280000001192093
FS( 87 ),2921170.839999999850988,2641769.250000000000000,2448961.000000000000000,3015778.399999999906868,11027679.490000000223517
FS( 88 ),2924047.689999999478459,2658781.560000000055879,2424886.000000000000000,3034471.040000000037253,11042186.289999999105930
FS( 89 ),2897005.299999999813735,2657971.450000000186265,2432590.000000000000000,3080164.160000000149012,11067730.910000000149012
FS( 90 ),2849249.589999999850988,2645009.689999999944121,2461480.000000000000000,3031701.759999999776483,10987441.039999999105930
FS( 91 ),2892977.709999999497086,2625567.049999999813735,2463085.000000000000000,3017855.360000000335276,10999485.120000001043081
FS( 92 ),2906211.219999999739230,2589922.209999999962747,2429059.000000000000000,2988085.599999999627471,10913278.029999999329448
FS( 93 ),2839468.299999999813735,2553467.259999999776483,2411404.000000000000000,2962469.759999999776483,10766809.320000000298023
FS( 94 ),2712311.529999999795109,2495139.340000000316650,2355550.000000000000000,2898084.000000000000000,10461084.870000001043081
FS( 95 ),2750861.319999999832362,2522683.080000000074506,2356192.000000000000000,2926469.120000000111759,10556205.519999999552965
FS( 96 ),2718065.229999999515712,2539695.390000000130385,2343031.000000000000000,2949315.680000000167638,10550107.299999998882413
FS( 97 ),2788835.739999999757856,2575340.229999999981374,2367748.000000000000000,2990162.560000000055879,10722086.529999999329448
FS( 98 ),2804370.729999999515712,2572909.900000000372529,2371279.000000000000000,2959008.160000000149012,10707567.789999999105930
FS( 99 ),2788260.369999999646097,2603694.080000000074506,2392465.000000000000000,2959700.479999999981374,10744119.929999999701977
FS( 100 ),2835440.709999999497086,2620706.390000000130385,2405305.000000000000000,3032394.079999999608845,10893846.179999999701977
FS( 101 ),2889525.489999999757856,2641769.250000000000000,2415577.000000000000000,3028932.479999999981374,10975804.220000000670552
FS( 102 ),2880319.569999999832362,2634478.260000000242144,2407552.000000000000000,3037240.319999999832362,10959590.150000000372529
FS( 103 ),2884922.529999999795109,2662022.000000000000000,2419429.000000000000000,3079471.839999999850988,11045845.369999999180436
FS( 104 ),2865359.949999999254942,2674983.760000000242144,2433553.000000000000000,3143165.279999999795109,11117061.989999998360872
FS( 105 ),2864784.579999999608845,2687135.410000000149012,2442541.000000000000000,3129318.880000000353903,11123779.870000001043081
FS( 106 ),2831988.489999999757856,2722780.250000000000000,2439331.000000000000000,3157704.000000000000000,11151803.740000000223517
FS( 107 ),2804370.729999999515712,2740602.669999999925494,2452171.000000000000000,3157011.680000000167638,11154156.080000000074506
FS( 108 ),2785383.519999999552965,2733311.680000000167638,2458912.000000000000000,3121703.360000000335276,11099310.559999998658895
FS( 109 ),2778479.079999999608845,2739792.560000000055879,2462764.000000000000000,3112703.200000000186265,11093738.839999999850988
FS( 110 ),2779054.449999999254942,2731691.459999999962747,2439973.000000000000000,3076010.239999999757856,11026729.149999998509884
FS( 111 ),2754313.539999999571592,2725210.580000000074506,2440936.000000000000000,3072548.640000000130385,10993008.759999999776483
FS( 112 ),2719215.969999999739230,2730071.240000000223517,2447677.000000000000000,3068394.720000000204891,10965358.929999999701977
FS( 113 ),2732449.479999999515712,2709818.490000000223517,2460838.000000000000000,3102318.399999999906868,11005424.369999999180436
FS( 114 ),2762944.089999999850988,2725210.580000000074506,2468221.000000000000000,3069087.040000000037253,11025462.710000000894070
FS( 115 ),2732449.479999999515712,2767336.299999999813735,2473999.000000000000000,3103010.720000000204891,11076795.500000000000000
FS( 116 ),2691598.209999999497086,2755184.649999999906868,2483950.000000000000000,3114087.839999999850988,11044820.699999999254942
FS( 117 ),2727846.519999999552965,2726830.799999999813735,2471752.000000000000000,3015086.079999999608845,10941515.399999998509884
FS( 118 ),2777328.339999999850988,2717109.479999999981374,2458912.000000000000000,3043471.200000000186265,10996821.019999999552965
FS( 119 ),2814727.389999999664724,2747893.660000000149012,2516692.000000000000000,3062856.160000000149012,11142169.210000000894070
FS( 120 ),2882621.049999999813735,2749513.879999999888241,2468863.000000000000000,3310014.399999999906868,11411012.330000000074506
FS( 121 ),2901608.259999999776483,2743843.109999999869615,2475925.000000000000000,3303091.200000000186265,11424467.570000000298023
FS( 122 ),2880319.569999999832362,2711438.709999999962747,2469826.000000000000000,3278167.680000000167638,11339751.959999999031425
FS( 123 ),2878018.089999999850988,2713869.040000000037253,2499679.000000000000000,3337707.200000000186265,11429273.330000000074506
FS( 124 ),2850400.329999999608845,2730881.350000000093132,2504815.000000000000000,3399323.680000000167638,11485420.359999999403954
FS( 125 ),2878018.089999999850988,2732501.569999999832362,2513803.000000000000000,3408323.839999999850988,11532646.500000000000000
FS( 126 ),2846372.739999999757856,2743033.000000000000000,2524396.000000000000000,3453324.640000000130385,11567126.380000000819564
FS( 127 ),2861907.729999999515712,2749513.879999999888241,2534026.000000000000000,3439478.239999999757856,11584925.849999999627471
FS( 128 ),2873415.129999999422580,2732501.569999999832362,2538199.000000000000000,3431170.399999999906868,11575286.099999999627471
FS( 129 ),2850400.329999999608845,2701717.390000000130385,2523112.000000000000000,3432555.040000000037253,11507784.759999999776483
FS( 130 ),2849249.589999999850988,2709818.490000000223517,2526322.000000000000000,3469940.319999999832362,11555330.400000000372529
FS( 131 ),2857304.769999999552965,2712248.819999999832362,2545903.000000000000000,3494171.520000000018626,11609628.109999999403954
FS( 132 ),2872264.389999999664724,2727640.910000000149012,2558743.000000000000000,3496940.799999999813735,11655589.099999999627471
FS( 133 ),2853852.549999999813735,2726830.799999999813735,2552323.000000000000000,3463017.120000000111759,11596023.469999998807907
FS( 134 ),2848674.219999999739230,2767336.299999999813735,2589238.000000000000000,3467171.040000000037253,11672419.559999998658895
FS( 135 ),2798617.029999999795109,2761665.530000000260770,2591806.000000000000000,3458170.880000000353903,11610259.440000001341105
FS( 136 ),2739353.919999999459833,2747893.660000000149012,2604646.000000000000000,3473401.919999999925494,11565295.500000000000000
FS( 137 ),2762944.089999999850988,2753564.430000000167638,2597905.000000000000000,3460940.160000000149012,11575353.679999999701977
FS( 138 ),2793438.699999999254942,2766526.189999999944121,2616202.000000000000000,3503864.000000000000000,11680030.889999998733401
FS( 139 ),2799192.399999999441206,2773007.069999999832362,2648623.000000000000000,3499710.079999999608845,11720532.549999998882413
FS( 140 ),2755464.279999999795109,2766526.189999999944121,2642845.000000000000000,3443632.160000000149012,11608467.629999998956919
FS( 141 ),2748559.839999999850988,2733311.680000000167638,2648302.000000000000000,3403477.599999999627471,11533651.119999999180436
FS( 142 ),2730723.369999999646097,2733311.680000000167638,2652796.000000000000000,3320399.200000000186265,11437230.250000000000000
FS( 143 ),2768122.419999999459833,2710628.600000000093132,2655364.000000000000000,3314168.319999999832362,11448283.339999999850988
FS( 144 ),2753738.169999999459833,2701717.390000000130385,2646055.000000000000000,3302398.880000000353903,11403909.439999999478459
FS( 145 ),2773300.750000000000000,2694426.399999999906868,2620054.000000000000000,3343938.079999999608845,11431719.230000000447035
FS( 146 ),2859030.879999999422580,2706578.049999999813735,2617486.000000000000000,3388938.880000000353903,11572033.810000000521541
FS( 147 ),2840043.669999999459833,2704147.720000000204891,2599510.000000000000000,3347399.680000000167638,11491101.070000000298023
FS( 148 ),2844646.629999999422580,2674983.760000000242144,2592127.000000000000000,3419400.959999999962747,11531158.349999999627471
FS( 149 ),2822782.569999999832362,2654731.010000000242144,2585386.000000000000000,3382015.680000000167638,11444915.259999999776483
FS( 150 ),2778479.079999999608845,2649870.350000000093132,2590522.000000000000000,3333553.279999999795109,11352424.709999999031425
FS( 151 ),2728997.259999999776483,2640959.140000000130385,2604646.000000000000000,3321091.520000000018626,11295693.919999999925494
FS( 152 ),2730723.369999999646097,2649060.240000000223517,2604967.000000000000000,3337014.880000000353903,11321765.490000000223517
FS( 153 ),2724969.669999999459833,2669312.990000000223517,2608498.000000000000000,3503171.680000000167638,11505952.339999999850988
FS( 154 ),2678940.069999999832362,2649060.240000000223517,2579608.000000000000000,3420785.599999999627471,11328393.910000000149012
FS( 155 ),2684693.769999999552965,2637718.700000000186265,2591485.000000000000000,3400016.000000000000000,11313913.469999998807907
FS( 156 ),2732449.479999999515712,2657971.450000000186265,2615239.000000000000000,3433939.680000000167638,11439599.609999999403954
FS( 157 ),2685844.509999999776483,2632047.930000000167638,2607856.000000000000000,3416631.680000000167638,11342380.119999999180436
FS( 158 ),2672611.000000000000000,2652300.680000000167638,2626153.000000000000000,3438093.599999999627471,11389158.279999999329448
FS( 159 ),2632335.099999999627471,2657971.450000000186265,2648944.000000000000000,3458863.200000000186265,11398113.750000000000000
FS( 160 ),2592059.199999999254942,2666882.660000000149012,2654401.000000000000000,3549557.120000000111759,11462899.980000000447035
FS( 161 ),2673761.739999999757856,2683894.970000000204891,2657932.000000000000000,3615327.520000000018626,11630916.230000000447035
FS( 162 ),2651897.679999999701977,2689565.740000000223517,2653117.000000000000000,3584865.439999999944121,11579445.859999999403954
FS( 163 ),2722668.189999999478459,2632047.930000000167638,2641561.000000000000000,3541249.279999999795109,11537526.399999998509884
FS( 164 ),2682392.289999999571592,2630427.709999999962747,2627116.000000000000000,3493479.200000000186265,11433415.199999999254942
FS( 165 ),2728997.259999999776483,2640959.140000000130385,2642524.000000000000000,3532941.439999999944121,11545421.839999999850988
FS( 166 ),2755464.279999999795109,2674983.760000000242144,2707687.000000000000000,3584173.120000000111759,11722308.160000000149012
FS( 167 ),2745682.989999999757856,2701717.390000000130385,2714749.000000000000000,3568249.759999999776483,11730399.140000000596046
FS( 168 ),2758916.500000000000000,2726020.689999999944121,2706724.000000000000000,3571019.040000000037253,11762680.230000000447035
FS( 169 ),2821631.829999999608845,2758425.089999999850988,2749417.000000000000000,3678328.640000000130385,12007802.560000000521541
FS( 170 ),2872264.389999999664724,2766526.189999999944121,2749096.000000000000000,3658943.680000000167638,12046830.259999999776483
FS( 171 ),2891251.599999999627471,2776247.510000000242144,2756158.000000000000000,3678328.640000000130385,12101985.750000000000000
FS( 172 ),2936130.459999999497086,2785158.720000000204891,2762578.000000000000000,3643712.640000000130385,12127579.820000000298023
FS( 173 ),2956843.779999999795109,2781918.280000000260770,2747812.000000000000000,3605635.040000000037253,12092209.100000001490116
FS( 174 ),2909663.439999999478459,2758425.089999999850988,2739787.000000000000000,3526710.560000000055879,11934586.089999999850988
FS( 175 ),2907937.329999999608845,2747893.660000000149012,2728231.000000000000000,3559249.599999999627471,11943311.589999999850988
FS( 176 ),2943034.899999999441206,2756804.870000000111759,2727268.000000000000000,3581403.839999999850988,12008511.609999999403954
FS( 177 ),2940733.419999999459833,2741412.780000000260770,2754553.000000000000000,3618789.120000000111759,12055488.320000000298023
FS( 178 ),2999421.159999999683350,2735742.010000000242144,2743960.000000000000000,3598019.520000000018626,12077142.689999999478459
FS( 179 ),3072493.149999999441206,2718729.700000000186265,2741392.000000000000000,3596634.880000000353903,12129249.730000000447035
FS( 180 ),3097809.429999999701977,2807841.799999999813735,2767393.000000000000000,3562018.880000000353903,12235063.110000001266599
FS( 181 ),3180087.339999999850988,2790019.379999999888241,2769319.000000000000000,3566172.799999999813735,12305598.519999999552965
FS( 182 ),3183539.559999999590218,2808651.910000000149012,2777986.000000000000000,3610481.279999999795109,12380658.749999998137355
FS( 183 ),3233021.379999999422580,2824854.109999999869615,2842828.000000000000000,3652020.479999999981374,12552723.969999998807907
FS( 184 ),3275598.759999999776483,2805411.470000000204891,2828704.000000000000000,3574480.640000000130385,12484194.870000001043081
FS( 185 ),3315874.659999999683350,2802981.140000000130385,2825494.000000000000000,3548864.799999999813735,12493214.600000001490116
FS( 186 ),3226692.309999999590218,2782728.390000000130385,2795641.000000000000000,3454016.959999999962747,12259078.660000000149012
FS( 187 ),3220363.239999999757856,2787589.049999999813735,2785690.000000000000000,3456093.919999999925494,12249736.209999999031425
FS( 188 ),3209431.209999999497086,2755184.649999999906868,2776060.000000000000000,3436016.640000000130385,12176692.500000000000000
FS( 189 ),3261214.509999999776483,2743843.109999999869615,2773171.000000000000000,3324553.120000000111759,12102781.739999998360872
FS( 190 ),3196773.069999999832362,2716299.370000000111759,2730478.000000000000000,3252551.839999999850988,11896102.279999999329448
FS( 191 ),3226692.309999999590218,2770576.740000000223517,2745886.000000000000000,3266398.239999999757856,12009553.290000000968575
FS( 192 ),3101837.019999999552965,2666072.549999999813735,2705440.000000000000000,3120318.720000000204891,11593668.290000000968575
FS( 193 ),3070767.039999999571592,2704957.830000000074506,2731120.000000000000000,3154242.399999999906868,11661087.269999999552965
FS( 194 ),2903334.369999999646097,2637718.700000000186265,2635783.000000000000000,2902930.239999999757856,11079766.310000000521541
FS( 195 ),3074219.259999999776483,2700907.280000000260770,2759368.000000000000000,3096779.839999999850988,11631274.379999998956919
FS( 196 ),2989639.869999999646097,2590732.320000000298023,2699020.000000000000000,2897391.680000000167638,11176783.869999999180436
FS( 197 ),3071917.779999999795109,2692806.180000000167638,2769640.000000000000000,3041394.239999999757856,11575758.200000001117587
FS( 198 ),3098960.169999999459833,2719539.810000000055879,2776702.000000000000000,3102318.399999999906868,11697520.380000000819564
FS( 199 ),3151318.839999999850988,2762475.640000000130385,2786974.000000000000000,3180550.560000000055879,11881319.040000000968575
FS( 200 ),3127153.299999999813735,2761665.530000000260770,2782159.000000000000000,3150088.479999999981374,11821066.310000000521541
FS( 201 ),3127153.299999999813735,2806221.580000000074506,2808802.000000000000000,3152165.439999999944121,11894342.319999998435378
FS( 202 ),3008627.079999999608845,2744653.220000000204891,2748133.000000000000000,3038624.959999999962747,11540038.260000001639128
FS( 203 ),2926349.169999999459833,2717919.589999999850988,2800135.000000000000000,2999162.720000000204891,11443566.480000000447035
FS( 204 ),2929801.389999999664724,2725210.580000000074506,2817148.000000000000000,3019240.000000000000000,11491399.969999998807907
FS( 205 ),3070767.039999999571592,2797310.370000000111759,2873965.000000000000000,3106472.319999999832362,11848514.730000000447035
FS( 206 ),3092055.729999999515712,2822423.780000000260770,2893225.000000000000000,3178473.599999999627471,11986178.109999999403954
FS( 207 ),3071917.779999999795109,2753564.430000000167638,2847643.000000000000000,3121703.360000000335276,11794828.570000000298023
FS( 208 ),3153044.949999999254942,2774627.290000000037253,2886805.000000000000000,3165319.520000000018626,11979796.759999997913837
FS( 209 ),3205403.619999999646097,2824854.109999999869615,2914411.000000000000000,3237320.799999999813735,12181989.530000001192093
FS( 210 ),3205403.619999999646097,2829714.770000000018626,2914090.000000000000000,3273321.439999999944121,12222529.830000000074506
FS( 211 ),3163401.609999999403954,2854018.069999999832362,2902213.000000000000000,3289937.120000000111759,12209569.800000000745058
FS( 212 ),3131756.259999999776483,2854018.069999999832362,2891299.000000000000000,3266398.239999999757856,12143471.570000000298023
FS( 213 ),3074794.629999999422580,2824854.109999999869615,2859841.000000000000000,3166011.839999999850988,11925501.579999998211861
FS( 214 ),3121399.599999999627471,2812702.459999999962747,2851174.000000000000000,3164627.200000000186265,11949903.259999997913837
FS( 215 ),3155921.799999999813735,2867789.939999999944121,2866261.000000000000000,3268475.200000000186265,12158447.940000001341105
FS( 216 ),3157647.909999999683350,2883182.030000000260770,2844433.000000000000000,3267782.880000000353903,12153045.820000000298023
FS( 217 ),3102987.759999999776483,2810272.129999999888241,2729515.000000000000000,3151473.120000000111759,11794248.010000001639128
FS( 218 ),3123125.709999999497086,2810272.129999999888241,2766751.000000000000000,3202704.799999999813735,11902853.640000000596046
FS( 219 ),3161675.500000000000000,2798930.589999999850988,2764504.000000000000000,3322476.160000000149012,12047586.250000000000000
FS( 220 ),3199649.919999999459833,2826474.330000000074506,2784727.000000000000000,3370246.239999999757856,12181097.490000000223517
FS( 221 ),3230144.529999999795109,2876701.149999999906868,2827099.000000000000000,3499017.759999999776483,12432962.439999999478459
FS( 222 ),3291709.119999999646097,2885612.359999999869615,2834161.000000000000000,3514248.799999999813735,12525731.280000001192093
FS( 223 ),3383192.949999999254942,2854828.180000000167638,2850853.000000000000000,3458170.880000000353903,12547045.009999999776483
FS( 224 ),3398152.569999999832362,2862119.169999999925494,2866903.000000000000000,3449863.040000000037253,12577037.780000001192093
FS( 225 ),3387795.909999999683350,2806221.580000000074506,2809444.000000000000000,3323860.799999999813735,12327322.289999999105930
FS( 226 ),3302641.149999999441206,2747083.549999999813735,2760331.000000000000000,3260167.360000000335276,12070223.059999998658895
FS( 227 ),3323354.469999999739230,2730881.350000000093132,2804629.000000000000000,3295475.680000000167638,12154340.500000000000000
FS( 228 ),3314148.549999999813735,2785158.720000000204891,2867866.000000000000000,3379246.399999999906868,12346419.669999999925494
FS( 229 ),3281927.829999999608845,2817563.120000000111759,2880706.000000000000000,3423554.880000000353903,12403751.830000000074506
FS( 230 ),3263515.989999999757856,2756804.870000000111759,2825815.000000000000000,3298244.959999999962747,12144380.820000000298023
