代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13965005.719999998807907
真實報酬,3965005.719999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15301.979688803665340
風險,332690.808743367320858
起點值,0.045994597045232
找到最佳解世代,1780
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),V[25](2),
FS( 101 ),5467312.999999999068677,5578573.079999999143183,11045886.079999998211861
FS( 102 ),5555053.400000000372529,5689739.959999999962747,11244793.359999999403954
FS( 103 ),5680306.000000000000000,5702372.559999999590218,11382678.559999998658895
FS( 104 ),5705737.999999999068677,5651842.160000000149012,11357580.160000000149012
FS( 105 ),5597016.200000000186265,5535622.240000000223517,11132638.440000001341105
FS( 106 ),5644701.200000000186265,5538148.760000000707805,11182849.960000000894070
FS( 107 ),5583664.399999999441206,5414349.280000000260770,10998013.679999999701977
FS( 108 ),5469220.399999999441206,5323394.559999999590218,10792614.959999999031425
FS( 109 ),5498467.200000000186265,5356239.319999999366701,10854706.519999999552965
FS( 110 ),5457140.199999999254942,5368871.919999999925494,10826012.119999999180436
FS( 111 ),5538522.599999999627471,5502777.480000000447035,11041300.080000000074506
FS( 112 ),5544244.799999999813735,5447194.040000000037253,10991438.839999999850988
FS( 113 ),5627534.600000000558794,5636683.040000000037253,11264217.640000000596046
FS( 114 ),5680306.000000000000000,5717531.679999999701977,11397837.679999999701977
FS( 115 ),5617997.599999999627471,5757956.000000000000000,11375953.599999999627471
FS( 116 ),5678398.599999999627471,5848910.719999999739230,11527309.320000000298023
FS( 117 ),5718454.000000000000000,5932285.879999999888241,11650739.879999998956919
FS( 118 ),5637071.599999999627471,5760482.520000000484288,11397554.120000001043081
FS( 119 ),5699380.000000000000000,5932285.879999999888241,11631665.879999998956919
FS( 120 ),5698108.400000000372529,5689739.959999999962747,11387848.359999999403954
FS( 121 ),5659324.600000000558794,5770588.599999999627471,11429913.199999999254942
FS( 122 ),5869774.399999999441206,5901967.639999999664724,11771742.039999999105930
FS( 123 ),5850064.600000000558794,5949971.520000000484288,11800036.120000001043081
FS( 124 ),5834805.399999999441206,5727637.760000000707805,11562443.160000000149012
FS( 125 ),5835441.200000000186265,5813539.440000000409782,11648980.640000000596046
FS( 126 ),5945434.600000000558794,5962604.120000000111759,11908038.720000000670552
FS( 127 ),5931447.000000000000000,6008081.480000000447035,11939528.480000000447035
FS( 128 ),5903471.799999999813735,5891861.559999999590218,11795333.359999999403954
FS( 129 ),5843706.599999999627471,5687213.440000000409782,11530920.039999999105930
FS( 130 ),5883126.200000000186265,5780694.679999999701977,11663820.879999998956919
FS( 131 ),5913008.799999999813735,5886808.520000000484288,11799817.320000000298023
FS( 132 ),5964508.599999999627471,5851437.240000000223517,11815945.839999999850988
FS( 133 ),6016008.400000000372529,5871649.399999999441206,11887657.800000000745058
FS( 134 ),6014736.799999999813735,5972710.200000000186265,11987447.000000000000000
FS( 135 ),5890755.799999999813735,5881755.480000000447035,11772511.280000001192093
FS( 136 ),5929539.600000000558794,5876702.440000000409782,11806242.040000000968575
FS( 137 ),6024909.600000000558794,6010608.000000000000000,12035517.600000001490116
FS( 138 ),5980403.599999999627471,5927232.839999999850988,11907636.439999999478459
FS( 139 ),6006471.399999999441206,6040926.240000000223517,12047397.640000000596046
FS( 140 ),5922545.799999999813735,5899441.120000000111759,11821986.919999999925494
FS( 141 ),5867867.000000000000000,5773115.120000000111759,11640982.120000001043081
FS( 142 ),5896477.999999999068677,5735217.319999999366701,11631695.319999998435378
FS( 143 ),5867231.200000000186265,5760482.520000000484288,11627713.720000000670552
FS( 144 ),5890755.799999999813735,5737743.839999999850988,11628499.640000000596046
FS( 145 ),5841163.400000000372529,5639209.559999999590218,11480372.960000000894070
FS( 146 ),5855786.799999999813735,5624050.440000000409782,11479837.240000000223517
FS( 147 ),5961329.600000000558794,5904494.160000000149012,11865823.760000001639128
FS( 148 ),5942255.599999999627471,5869122.879999999888241,11811378.480000000447035
FS( 149 ),6073230.399999999441206,6124301.399999999441206,12197531.799999998882413
FS( 150 ),6071958.799999999813735,6174831.799999999813735,12246790.599999999627471
FS( 151 ),6084674.799999999813735,6139460.520000000484288,12224135.320000000298023
FS( 152 ),6062421.799999999813735,6068717.959999999962747,12131139.759999999776483
FS( 153 ),6104384.600000000558794,6023240.599999999627471,12127625.199999999254942
FS( 154 ),6132359.799999999813735,6131880.959999999962747,12264240.759999999776483
FS( 155 ),6162242.400000000372529,6051032.319999999366701,12213274.719999998807907
FS( 156 ),6232816.200000000186265,6139460.520000000484288,12372276.720000000670552
FS( 157 ),6261427.200000000186265,6121774.879999999888241,12383202.080000000074506
FS( 158 ),6230908.799999999813735,6058611.879999999888241,12289520.679999999701977
FS( 159 ),6206112.599999999627471,6086403.599999999627471,12292516.199999999254942
FS( 160 ),6239810.000000000000000,6053558.839999999850988,12293368.839999999850988
FS( 161 ),6198482.999999999068677,6154619.639999999664724,12353102.639999998733401
FS( 162 ),6182587.999999999068677,6227888.719999999739230,12410476.719999998807907
FS( 163 ),6283044.399999999441206,6402218.599999999627471,12685263.000000000000000
FS( 164 ),6307204.799999999813735,6361794.280000000260770,12668999.080000000074506
FS( 165 ),6269056.799999999813735,6351688.200000000186265,12620745.000000000000000
FS( 166 ),6367605.799999999813735,6472961.160000000149012,12840566.960000000894070
FS( 167 ),6393037.799999999813735,6437589.879999999888241,12830627.679999999701977
FS( 168 ),6331365.199999999254942,6361794.280000000260770,12693159.480000000447035
FS( 169 ),6409568.599999999627471,6515912.000000000000000,12925480.599999999627471
FS( 170 ),6379050.199999999254942,6412324.679999999701977,12791374.879999998956919
FS( 171 ),6284316.000000000000000,6505805.919999999925494,12790121.919999999925494
FS( 172 ),6319285.000000000000000,6389586.000000000000000,12708871.000000000000000
FS( 173 ),6347260.199999999254942,6437589.879999999888241,12784850.079999998211861
FS( 174 ),6396216.799999999813735,6361794.280000000260770,12758011.080000000074506
FS( 175 ),6335180.000000000000000,6311263.879999999888241,12646443.879999998956919
FS( 176 ),6338994.799999999813735,6303684.319999999366701,12642679.119999999180436
FS( 177 ),6353618.200000000186265,6260733.480000000447035,12614351.679999999701977
FS( 178 ),6394309.399999999441206,6402218.599999999627471,12796528.000000000000000
FS( 179 ),6380321.799999999813735,6364320.799999999813735,12744642.599999999627471
FS( 180 ),6393037.799999999813735,6475487.679999999701977,12868525.480000000447035
FS( 181 ),6457253.599999999627471,6556336.319999999366701,13013589.919999998062849
FS( 182 ),6438179.600000000558794,6465381.599999999627471,12903561.199999999254942
FS( 183 ),6468697.999999999068677,6354214.719999999739230,12822912.719999998807907
FS( 184 ),6418469.799999999813735,6291051.719999999739230,12709521.519999999552965
FS( 185 ),6278593.799999999813735,6379479.919999999925494,12658073.719999998807907
FS( 186 ),6309112.200000000186265,6351688.200000000186265,12660800.400000000372529
FS( 187 ),6305933.200000000186265,6371900.359999999403954,12677833.559999998658895
FS( 188 ),6274779.000000000000000,6382006.440000000409782,12656785.440000001341105
FS( 189 ),6274779.000000000000000,6308737.359999999403954,12583516.359999999403954
FS( 190 ),6297667.799999999813735,6356741.240000000223517,12654409.039999999105930
FS( 191 ),6256340.799999999813735,6475487.679999999701977,12731828.480000000447035
FS( 192 ),6270328.400000000372529,6700347.959999999962747,12970676.359999999403954
FS( 193 ),6358704.600000000558794,6760984.440000000409782,13119689.040000000968575
FS( 194 ),6325642.999999999068677,6781196.599999999627471,13106839.599999997764826
FS( 195 ),6415926.599999999627471,6758457.919999999925494,13174384.519999999552965
FS( 196 ),6361247.799999999813735,6844359.599999999627471,13205607.399999998509884
FS( 197 ),6357432.999999999068677,7102064.639999999664724,13459497.639999998733401
FS( 198 ),6324371.399999999441206,7195545.879999999888241,13519917.279999999329448
FS( 199 ),6335815.799999999813735,7119750.280000000260770,13455566.080000000074506
FS( 200 ),6329457.799999999813735,7278921.040000000037253,13608378.839999999850988
FS( 201 ),6269692.599999999627471,7271341.480000000447035,13541034.080000000074506
FS( 202 ),6311019.600000000558794,7187966.319999999366701,13498985.919999999925494
FS( 203 ),6357432.999999999068677,7263761.919999999925494,13621194.919999998062849
FS( 204 ),6389222.999999999068677,7213231.520000000484288,13602454.519999999552965
FS( 205 ),6400031.599999999627471,7349663.599999999627471,13749695.199999999254942
FS( 206 ),6409568.599999999627471,7357243.160000000149012,13766811.759999999776483
FS( 207 ),6378414.399999999441206,7425459.200000000186265,13803873.599999999627471
FS( 208 ),6380957.599999999627471,7382508.359999999403954,13763465.959999999031425
FS( 209 ),6344081.200000000186265,7513887.399999999441206,13857968.599999999627471
FS( 210 ),6312291.200000000186265,7349663.599999999627471,13661954.800000000745058
FS( 211 ),6310383.799999999813735,7402720.520000000484288,13713104.320000000298023
FS( 212 ),6326278.799999999813735,7337031.000000000000000,13663309.800000000745058
FS( 213 ),6354254.000000000000000,7342084.040000000037253,13696338.039999999105930
FS( 214 ),6351075.000000000000000,7253655.839999999850988,13604730.839999999850988
FS( 215 ),6369513.200000000186265,7304186.240000000223517,13673699.440000001341105
FS( 216 ),6164785.599999999627471,7450724.399999999441206,13615510.000000000000000
FS( 217 ),6157156.000000000000000,7400194.000000000000000,13557350.000000000000000
FS( 218 ),6145711.599999999627471,7359769.679999999701977,13505481.279999999329448
FS( 219 ),6153341.200000000186265,7407773.559999999590218,13561114.759999999776483
FS( 220 ),6185767.000000000000000,7374928.799999999813735,13560695.800000000745058
FS( 221 ),6233452.000000000000000,7390087.919999999925494,13623539.919999999925494
FS( 222 ),6209291.599999999627471,7369875.760000000707805,13579167.359999999403954
FS( 223 ),6213742.200000000186265,7506307.839999999850988,13720050.039999999105930
FS( 224 ),6208655.799999999813735,7359769.679999999701977,13568425.480000000447035
FS( 225 ),6149526.399999999441206,7374928.799999999813735,13524455.199999999254942
FS( 226 ),6091032.799999999813735,7407773.559999999590218,13498806.359999999403954
FS( 227 ),6075137.799999999813735,7503781.319999999366701,13578919.119999999180436
FS( 228 ),6165421.399999999441206,7584629.959999999962747,13750051.359999999403954
FS( 229 ),6188946.000000000000000,7566944.319999999366701,13755890.320000000298023
FS( 230 ),6172415.199999999254942,7539152.599999999627471,13711567.799999998882413
FS( 231 ),6208020.000000000000000,7516413.919999999925494,13724433.919999999925494
FS( 232 ),6237266.799999999813735,7453250.919999999925494,13690517.719999998807907
FS( 233 ),6253797.599999999627471,7516413.919999999925494,13770211.519999999552965
FS( 234 ),6319920.799999999813735,7602315.599999999627471,13922236.399999998509884
FS( 235 ),6197847.200000000186265,7516413.919999999925494,13714261.120000001043081
FS( 236 ),6270328.400000000372529,7642739.919999999925494,13913068.320000000298023
FS( 237 ),6286859.199999999254942,7549258.679999999701977,13836117.879999998956919
FS( 238 ),6209927.400000000372529,7374928.799999999813735,13584856.199999999254942
FS( 239 ),6266513.599999999627471,7415353.120000000111759,13681866.719999998807907
FS( 240 ),6208020.000000000000000,7645266.440000000409782,13853286.440000001341105
FS( 241 ),6165421.399999999441206,7779172.000000000000000,13944593.399999998509884
FS( 242 ),6140625.199999999254942,7632633.839999999850988,13773259.039999999105930
FS( 243 ),6174322.599999999627471,7710955.959999999962747,13885278.559999998658895
FS( 244 ),6188946.000000000000000,7693270.319999999366701,13882216.320000000298023
FS( 245 ),6057971.200000000186265,7655372.520000000484288,13713343.720000000670552
FS( 246 ),6099934.000000000000000,7642739.919999999925494,13742673.919999999925494
FS( 247 ),6052249.000000000000000,7460830.480000000447035,13513079.480000000447035
FS( 248 ),6014101.000000000000000,7511360.879999999888241,13525461.879999998956919
FS( 249 ),6054156.399999999441206,7693270.319999999366701,13747426.719999998807907
FS( 250 ),6092940.199999999254942,7781698.520000000484288,13874638.719999998807907
FS( 251 ),6191489.199999999254942,7801910.679999999701977,13993399.879999998956919
FS( 252 ),6195939.799999999813735,7769065.919999999925494,13965005.719999998807907
