代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14033501.379999998956919
真實報酬,4033501.379999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18264.812144651739800
風險,344256.764444988337345
起點值,0.053055782866310
找到最佳解世代,3033
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),HD[9](8),MRK[17](16),PG[21](11),
FS( 34 ),2722250.050000000279397,2552772.760000000242144,2513621.499999999534339,2619938.560000000055879,10408582.870000001043081
FS( 35 ),2742340.450000000186265,2566224.640000000130385,2537232.099999999627471,2603072.200000000186265,10448869.390000000596046
FS( 36 ),2717227.450000000186265,2531042.799999999813735,2692517.199999999720603,2599792.630000000353903,10540580.080000000074506
FS( 37 ),2811401.200000000186265,2563120.359999999869615,2674355.199999999720603,2570745.010000000242144,10619621.769999999552965
FS( 38 ),2831491.600000000093132,2615893.120000000111759,2747003.199999999720603,2584331.799999999813735,10778719.719999998807907
FS( 39 ),2870416.750000000000000,2620032.159999999683350,2814202.599999999627471,2616190.480000000447035,10920841.990000000223517
FS( 40 ),2871672.400000000372529,2603476.000000000000000,2794224.399999999906868,2613379.420000000391155,10882752.220000000670552
FS( 41 ),2870416.750000000000000,2627275.479999999981374,2726116.899999999906868,2610099.850000000093132,10833908.980000000447035
FS( 42 ),2870416.750000000000000,2627275.479999999981374,2712495.399999999906868,2629308.760000000242144,10839496.390000000596046
FS( 43 ),2920642.750000000465661,2674874.439999999944121,2718852.099999999627471,2634462.370000000111759,10948831.660000000149012
FS( 44 ),2930687.950000000186265,2684187.279999999795109,2725208.799999999813735,2600729.649999999906868,10940813.679999999701977
FS( 45 ),2985936.550000000279397,2723508.159999999683350,2726116.899999999906868,2605414.750000000000000,11040976.359999999403954
FS( 46 ),2969613.100000000093132,2720403.879999999888241,2709771.099999999627471,2598387.100000000093132,10998175.179999999701977
FS( 47 ),2962079.200000000186265,2724542.919999999459833,2688884.799999999813735,2525768.049999999813735,10901274.969999998807907
FS( 48 ),2940733.150000000372529,2746272.879999999888241,2666182.299999999813735,2410983.100000000093132,10764171.429999999701977
FS( 49 ),2968357.450000000186265,2820775.600000000093132,2733381.699999999720603,2437688.170000000391155,10960202.919999999925494
FS( 50 ),2954545.300000000279397,2804219.439999999944121,2778786.699999999720603,2444247.310000000055879,10981798.750000000000000
FS( 51 ),2920642.750000000465661,2782489.479999999981374,2754267.999999999534339,2433003.070000000298023,10890403.300000000745058
FS( 52 ),2965846.150000000372529,2814567.039999999571592,2791500.099999999627471,2440030.720000000204891,11011944.009999999776483
FS( 53 ),3021094.750000000000000,2864235.520000000018626,2813294.499999999534339,2450337.939999999944121,11148962.709999999031425
FS( 54 ),2992214.799999999813735,2808358.479999999981374,2813294.499999999534339,2453617.510000000242144,11067485.289999999105930
FS( 55 ),2862882.850000000093132,2701778.199999999720603,2804213.499999999534339,2446121.350000000093132,10814995.899999998509884
FS( 56 ),2941988.800000000279397,2786628.520000000018626,2788775.799999999813735,2457365.590000000316650,10974758.710000000894070
FS( 57 ),2952034.000000000465661,2768002.839999999850988,2858699.499999999534339,2473763.439999999944121,11052499.779999999329448
FS( 58 ),2983425.250000000465661,2760759.520000000018626,2845986.099999999627471,2484070.660000000149012,11074241.530000001192093
FS( 59 ),3034906.900000000372529,2845609.839999999850988,2956774.299999999813735,2510307.220000000204891,11347598.259999999776483
FS( 60 ),3032395.600000000093132,2796976.120000000111759,2951325.699999999720603,2499062.980000000447035,11279760.400000000372529
FS( 61 ),3038673.850000000093132,2826984.159999999683350,2992190.200000000186265,2501874.040000000037253,11359722.250000000000000
FS( 62 ),3003515.650000000372529,2852853.159999999683350,2967671.499999999534339,2500000.000000000000000,11324040.310000000521541
FS( 63 ),3039929.500000000000000,2850783.640000000130385,2984925.399999999441206,2485944.700000000186265,11361583.239999998360872
FS( 64 ),3049974.700000000186265,2865270.279999999795109,2934979.899999999906868,2492035.330000000074506,11342260.210000000894070
FS( 65 ),3017327.800000000279397,2823879.879999999888241,2944968.999999999534339,2535138.250000000000000,11321314.929999999701977
FS( 66 ),2964590.500000000000000,2766968.079999999608845,2886850.599999999627471,2484070.660000000149012,11102479.839999999850988
FS( 67 ),2963334.850000000093132,2745238.120000000111759,2797856.799999999813735,2473763.439999999944121,10980193.209999999031425
FS( 68 ),2987192.200000000186265,2783524.239999999757856,2746095.099999999627471,2477043.010000000242144,10993854.549999998882413
FS( 69 ),3054997.299999999813735,2796976.120000000111759,2787867.699999999720603,2476574.500000000000000,11116415.619999999180436
FS( 70 ),3101456.350000000093132,2843540.319999999832362,2812386.399999999441206,2539354.840000000316650,11296737.910000000149012
FS( 71 ),3070065.100000000093132,2833192.719999999739230,2865056.199999999720603,2518740.399999999906868,11287054.419999999925494
FS( 72 ),3095178.100000000093132,2848714.120000000111759,2902288.299999999813735,2625560.680000000167638,11471741.199999999254942
FS( 73 ),3087644.200000000186265,2829053.679999999701977,2954958.099999999627471,2606820.280000000260770,11478476.260000001639128
FS( 74 ),3116524.149999999906868,2846644.600000000093132,2986741.599999999627471,2590890.939999999944121,11540801.289999999105930
FS( 75 ),3141637.149999999906868,2836297.000000000000000,2969487.700000000186265,2578241.170000000391155,11525663.020000001415610
FS( 76 ),3262179.550000000279397,2903556.399999999906868,2921358.399999999906868,2591359.450000000186265,11678453.800000000745058
FS( 77 ),3309894.250000000000000,2889069.760000000242144,2906828.799999999348074,2601666.670000000391155,11707459.479999998584390
FS( 78 ),3318683.800000000279397,2921147.319999999832362,2895023.499999999534339,2685529.959999999962747,11820384.579999998211861
FS( 79 ),3301104.700000000186265,2911834.479999999981374,2889574.899999999906868,2675222.740000000223517,11777736.820000000298023
FS( 80 ),3308638.600000000093132,2858026.959999999962747,2845077.999999999534339,2681781.880000000353903,11693525.440000001341105
FS( 81 ),3327473.350000000093132,2830088.439999999944121,2845077.999999999534339,2682250.390000000130385,11684890.179999999701977
FS( 82 ),3297337.750000000465661,2798010.879999999888241,2816018.799999999813735,2709892.480000000447035,11621259.910000000149012
FS( 83 ),3270969.100000000093132,2778350.439999999944121,2837813.199999999720603,2717857.149999999906868,11604989.890000000596046
FS( 84 ),3338774.200000000186265,2820775.600000000093132,2908645.000000000000000,2724884.799999999813735,11793079.600000001490116
FS( 85 ),3324962.050000000279397,2776280.919999999459833,2892299.199999999720603,2713172.049999999813735,11706714.219999998807907
FS( 86 ),3324962.050000000279397,2756620.479999999981374,2872320.999999999534339,2713640.560000000055879,11667544.089999999850988
FS( 87 ),3244600.450000000186265,2723508.159999999683350,2831456.499999999534339,2652734.260000000242144,11452299.369999999180436
FS( 88 ),3316172.500000000000000,2693500.120000000111759,2874137.199999999720603,2658824.890000000130385,11542634.710000000894070
FS( 89 ),3336262.899999999906868,2705917.239999999757856,2885034.399999999906868,2655545.320000000298023,11582759.859999999403954
FS( 90 ),3407834.950000000186265,2720403.879999999888241,2952233.799999999348074,2671943.170000000391155,11752415.799999998882413
FS( 91 ),3412857.550000000279397,2704882.479999999981374,2923174.599999999627471,2668195.090000000316650,11709109.719999998807907
FS( 92 ),3395278.450000000186265,2782489.479999999981374,2944968.999999999534339,2700990.790000000037253,11823727.719999998807907
FS( 93 ),3416624.500000000000000,2789732.799999999813735,2956774.299999999813735,2696774.200000000186265,11859905.800000000745058
FS( 94 ),3422902.750000000465661,2798010.879999999888241,2984017.299999999813735,2693963.140000000130385,11898894.070000000298023
FS( 95 ),3409090.600000000093132,2848714.120000000111759,2944060.899999999906868,2682718.899999999906868,11884584.520000001415610
FS( 96 ),3431692.299999999813735,2833192.719999999739230,2987649.699999999720603,2685061.450000000186265,11937596.169999998062849
FS( 97 ),3417880.149999999906868,2824914.640000000130385,3023973.699999999254942,2681781.880000000353903,11948550.369999999180436
FS( 98 ),3372676.750000000000000,2820775.600000000093132,3015800.799999999813735,2691152.080000000074506,11900405.229999998584390
FS( 99 ),3405323.650000000372529,2859061.719999999739230,3063021.999999999534339,2707549.930000000167638,12034957.299999998882413
FS( 100 ),3564791.200000000186265,2790767.559999999590218,3062113.899999999441206,2723479.270000000018626,12141151.929999999701977
FS( 101 ),3675288.399999999906868,2723508.159999999683350,2967671.499999999534339,2693494.630000000353903,12059962.689999999478459
FS( 102 ),3680311.000000000000000,2764898.559999999590218,2984925.399999999441206,2723479.270000000018626,12153614.229999998584390
FS( 103 ),3657709.299999999813735,2718334.359999999869615,2944968.999999999534339,2700522.280000000260770,12021534.940000001341105
FS( 104 ),3632596.300000000279397,2700743.439999999944121,2907736.899999999906868,2665852.540000000037253,11906929.179999999701977
FS( 105 ),3540933.850000000093132,2690395.839999999850988,2944968.999999999534339,2678970.820000000298023,11855269.509999999776483
FS( 106 ),3451782.699999999720603,2608649.799999999813735,2910461.199999999254942,2681313.370000000111759,11652207.070000000298023
FS( 107 ),3522099.100000000093132,2681083.000000000000000,2843261.799999999813735,2789539.180000000167638,11835983.079999998211861
FS( 108 ),3381466.300000000279397,2596232.679999999701977,2808753.999999999534339,2717388.640000000130385,11503841.620000001043081
FS( 109 ),3395278.450000000186265,2593128.399999999906868,2838721.299999999813735,2761897.090000000316650,11589025.239999998360872
FS( 110 ),3385233.250000000000000,2586919.839999999850988,2785143.399999999906868,2744562.220000000204891,11501858.710000000894070
FS( 111 ),3422902.750000000465661,2582780.799999999813735,2964039.099999999627471,2765645.170000000391155,11735367.820000000298023
FS( 112 ),3480662.649999999906868,2652109.719999999739230,2970395.799999999813735,2833110.609999999869615,11936278.779999997466803
FS( 113 ),3485685.250000000465661,2698673.919999999459833,2959498.600000000093132,2859815.680000000167638,12003673.449999999254942
FS( 114 ),3613761.550000000279397,2774211.399999999906868,3035778.999999999534339,2897764.990000000223517,12321516.939999999478459
FS( 115 ),3641385.850000000093132,2775246.159999999683350,3052124.799999999813735,2898233.500000000000000,12366990.309999998658895
FS( 116 ),3646408.450000000186265,2825949.399999999906868,3016708.899999999441206,2915568.370000000111759,12404635.120000001043081
FS( 117 ),3623806.750000000000000,2818706.079999999608845,2994914.499999999534339,2871996.939999999944121,12309424.269999999552965
FS( 118 ),3667754.500000000000000,2829053.679999999701977,3005811.699999999720603,2886520.750000000000000,12389140.629999998956919
FS( 119 ),3706679.649999999906868,2861131.239999999757856,3070286.799999999813735,2917442.410000000149012,12555540.099999999627471
FS( 120 ),3712957.899999999906868,2792837.079999999608845,3113875.599999999627471,2919316.450000000186265,12538987.029999997466803
FS( 121 ),3694123.150000000372529,2823879.879999999888241,3191064.099999999627471,2924001.549999999813735,12633068.679999999701977
FS( 122 ),3596182.450000000186265,2805254.199999999720603,3208317.999999999534339,2911820.290000000037253,12521574.940000001341105
FS( 123 ),3586137.250000000000000,2812497.520000000018626,3310933.299999999813735,2895422.439999999944121,12604990.509999999776483
FS( 124 ),3692867.500000000000000,2846644.600000000093132,3307300.899999999906868,2938993.870000000111759,12785806.870000001043081
FS( 125 ),3667754.500000000000000,2851818.399999999906868,3289138.899999999441206,2942273.439999999944121,12750985.240000000223517
FS( 126 ),3662731.900000000372529,2881826.439999999944121,3320922.399999999906868,2945553.010000000242144,12811033.750000000000000
FS( 127 ),3598693.750000000000000,2856992.199999999720603,3295495.599999999627471,2927281.120000000111759,12678462.669999998062849
FS( 128 ),3586137.250000000000000,2831123.199999999720603,3288230.799999999813735,2921190.490000000223517,12626681.740000000223517
FS( 129 ),3533399.950000000186265,2897347.839999999850988,3349073.500000000000000,2947427.049999999813735,12727248.339999999850988
FS( 130 ),3519587.800000000279397,2931494.919999999459833,3341808.699999999254942,2960545.330000000074506,12753436.749999998137355
FS( 131 ),3524610.399999999906868,2890104.520000000018626,3339084.399999999906868,2931029.200000000186265,12684828.519999999552965
FS( 132 ),3468106.150000000372529,2905625.919999999459833,3332727.700000000186265,2932903.240000000223517,12639363.009999999776483
FS( 133 ),3389000.199999999720603,2920112.559999999590218,3332727.700000000186265,2926812.609999999869615,12568653.070000000298023
FS( 134 ),3405323.650000000372529,2863200.760000000242144,3300944.199999999720603,2898702.010000000242144,12468170.619999999180436
FS( 135 ),3548467.750000000465661,2850783.640000000130385,3373592.199999999720603,2916036.880000000353903,12688880.470000000670552
FS( 136 ),3523354.750000000000000,2896313.079999999608845,3409008.099999999627471,2916036.880000000353903,12744712.810000000521541
FS( 137 ),3491963.500000000000000,2948051.079999999608845,3366327.399999999906868,2920721.980000000447035,12727063.960000000894070
FS( 138 ),3533399.950000000186265,2987371.959999999962747,3429894.399999999906868,2952112.149999999906868,12902778.460000000894070
FS( 139 ),3483173.949999999720603,3002893.359999999869615,3450780.699999999720603,2910414.760000000242144,12847262.769999999552965
FS( 140 ),3498241.750000000000000,2996684.799999999813735,3428078.199999999720603,2912288.799999999813735,12835293.550000000745058
FS( 141 ),3441737.500000000000000,2980128.640000000130385,3385397.500000000000000,2885583.730000000447035,12692847.370000001043081
FS( 142 ),3505775.650000000372529,2964607.239999999757856,3396294.699999999720603,2883709.689999999944121,12750387.279999999329448
FS( 143 ),3556001.649999999906868,2996684.799999999813735,3422629.599999999627471,2871996.939999999944121,12847312.989999998360872
FS( 144 ),3593671.150000000372529,3030831.879999999888241,3428078.199999999720603,2871996.939999999944121,12924578.169999999925494
FS( 145 ),3625062.400000000372529,3000823.839999999850988,3382673.199999999720603,2872465.450000000186265,12881024.890000000596046
FS( 146 ),3749371.750000000000000,3018414.760000000242144,3359062.600000000093132,2871059.920000000391155,12997909.029999999329448
FS( 147 ),3795830.800000000279397,3019449.520000000018626,3386305.599999999627471,2869654.390000000130385,13071240.310000000521541
FS( 148 ),3750627.400000000372529,3028762.359999999869615,3369051.699999999720603,2885115.220000000204891,13033556.679999999701977
FS( 149 ),3795830.800000000279397,3014275.719999999739230,3365419.299999999813735,2875276.510000000242144,13050802.330000000074506
FS( 150 ),3779507.350000000093132,2993580.520000000018626,3318198.099999999627471,2840606.770000000018626,12931892.739999998360872
FS( 151 ),3838522.899999999906868,2966676.760000000242144,3360878.799999999348074,2863563.760000000242144,13029642.219999998807907
FS( 152 ),3846056.799999999813735,2988406.719999999739230,3374500.299999999348074,2864500.780000000260770,13073464.599999997764826
FS( 153 ),3784529.950000000186265,2978059.120000000111759,3419905.299999999348074,2850913.990000000223517,13033408.359999999403954
FS( 154 ),3776996.049999999813735,3013240.959999999962747,3425353.899999999441206,2835453.160000000149012,13051044.070000000298023
FS( 155 ),3802109.050000000279397,2998754.319999999832362,3423537.700000000186265,2831705.080000000074506,13056106.150000000372529
FS( 156 ),3769462.149999999906868,2913904.000000000000000,3437159.199999999720603,2820460.840000000316650,12940986.189999999478459
FS( 157 ),3725514.400000000372529,2895278.319999999832362,3409916.199999999254942,2852788.030000000260770,12883496.949999999254942
FS( 158 ),3778251.700000000186265,2910799.719999999739230,3535233.999999999534339,2882304.160000000149012,13106589.580000000074506
FS( 159 ),3756905.650000000372529,2928390.640000000130385,3631492.600000000093132,2885115.220000000204891,13201904.110000001266599
FS( 160 ),3694123.150000000372529,2956329.159999999683350,3584271.399999999441206,2849508.459999999962747,13084232.170000001788139
FS( 161 ),3857357.649999999906868,2988406.719999999739230,3688702.899999999441206,2891674.359999999869615,13426141.629999998956919
FS( 162 ),3798342.100000000093132,2965642.000000000000000,3725935.000000000000000,2832173.590000000316650,13322092.689999999478459
FS( 163 ),3731792.649999999906868,2947016.319999999832362,3639665.499999999534339,2803594.480000000447035,13122068.949999999254942
FS( 164 ),3547212.100000000093132,2868374.559999999590218,3529785.399999999441206,2825614.450000000186265,12770986.509999997913837
FS( 165 ),3642641.500000000465661,2858026.959999999962747,3519796.299999999348074,2840606.770000000018626,12861071.529999999329448
FS( 166 ),3694123.150000000372529,2869409.319999999832362,3503450.499999999534339,2843417.830000000074506,12910400.800000000745058
FS( 167 ),3729281.350000000093132,2880791.679999999701977,3508899.099999999627471,2849039.950000000186265,12968012.079999998211861
FS( 168 ),3574836.399999999906868,2829053.679999999701977,3448056.399999999441206,2889800.320000000298023,12741746.800000000745058
FS( 169 ),3445504.450000000186265,2898382.600000000093132,3467126.499999999534339,2883709.689999999944121,12694723.240000000223517
FS( 170 ),3493219.149999999906868,2937703.479999999981374,3478023.699999999254942,2904324.130000000353903,12813270.459999999031425
FS( 171 ),3513309.550000000279397,3003928.120000000111759,3590628.099999999627471,2946958.540000000037253,13054824.309999998658895
FS( 172 ),3573580.750000000000000,2945981.559999999590218,3516163.899999999441206,2935245.790000000037253,12970972.000000000000000
FS( 173 ),3445504.450000000186265,2890104.520000000018626,3369051.699999999720603,2876682.040000000037253,12581342.710000000894070
FS( 174 ),3505775.650000000372529,2895278.319999999832362,3335451.999999999534339,2871996.939999999944121,12608502.910000000149012
FS( 175 ),3481918.300000000279397,2958398.679999999701977,3322738.600000000093132,2858410.149999999906868,12621465.730000000447035
FS( 176 ),3519587.800000000279397,2987371.959999999962747,3311841.399999999441206,2893548.399999999906868,12712349.560000000521541
FS( 177 ),3499497.400000000372529,2964607.239999999757856,3287322.700000000186265,2889331.810000000055879,12640759.150000000372529
FS( 178 ),3563535.549999999813735,2999789.079999999608845,3349073.500000000000000,2902918.600000000093132,12815316.729999998584390
FS( 179 ),3594926.799999999813735,3000823.839999999850988,3352705.899999999906868,2893548.399999999906868,12842004.939999999478459
FS( 180 ),3648919.750000000000000,3046353.279999999795109,3419905.299999999348074,2943678.970000000204891,13058857.299999998882413
FS( 181 ),3633851.950000000186265,3106369.359999999869615,3390846.100000000093132,2944615.990000000223517,13075683.400000000372529
FS( 182 ),3640130.199999999720603,3135342.640000000130385,3386305.599999999627471,2969915.530000000260770,13131693.969999998807907
FS( 183 ),3617528.500000000000000,3119821.239999999757856,3404467.600000000093132,2972726.590000000316650,13114543.929999999701977
FS( 184 ),3594926.799999999813735,3137412.159999999683350,3370867.899999999441206,2971321.060000000055879,13074527.919999999925494
FS( 185 ),3534655.600000000093132,3181906.839999999850988,3315473.799999999348074,2961482.350000000093132,12993518.589999997988343
FS( 186 ),3599949.400000000372529,3245027.199999999720603,3353613.999999999534339,2993341.030000000260770,13191931.629999998956919
FS( 187 ),3623806.750000000000000,3245027.199999999720603,3320922.399999999906868,2984439.340000000316650,13174195.689999999478459
FS( 188 ),3670265.800000000279397,3228471.039999999571592,3349073.500000000000000,2964761.920000000391155,13212572.259999999776483
FS( 189 ),3749371.750000000000000,3252270.520000000018626,3384489.399999999906868,2975537.649999999906868,13361669.320000000298023
FS( 190 ),3746860.450000000186265,3245027.199999999720603,3395386.599999999627471,2984907.850000000093132,13372182.099999999627471
FS( 191 ),3754394.350000000093132,3256409.559999999590218,3379040.799999999813735,2977411.689999999944121,13367256.400000000372529
FS( 192 ),3779507.350000000093132,3253305.279999999795109,3372684.099999999627471,2983033.810000000055879,13388530.540000000968575
FS( 193 ),3927674.050000000279397,3290556.640000000130385,3404467.600000000093132,2983970.830000000074506,13606669.120000001043081
FS( 194 ),3930185.350000000093132,3307112.799999999813735,3391754.199999999720603,2960545.330000000074506,13589597.679999999701977
FS( 195 ),4000501.750000000000000,3278139.520000000018626,3363603.099999999627471,2965698.939999999944121,13607943.309999998658895
FS( 196 ),4033148.649999999906868,3281243.799999999813735,3330003.399999999906868,2952112.149999999906868,13596508.000000000000000
FS( 197 ),4044449.500000000000000,3324703.720000000204891,3349073.500000000000000,2959608.310000000055879,13677835.030000001192093
FS( 198 ),4064539.899999999906868,3357816.040000000037253,3374500.299999999348074,2966635.959999999962747,13763492.199999999254942
FS( 199 ),4015569.550000000279397,3382650.279999999795109,3428078.199999999720603,2984439.340000000316650,13810737.369999999180436
FS( 200 ),4025614.750000000465661,3368163.639999999664724,3445332.099999999627471,2976474.670000000391155,13815585.160000000149012
FS( 201 ),4020592.150000000372529,3365059.360000000335276,3458045.499999999534339,2998963.150000000372529,13842660.160000000149012
FS( 202 ),4029381.700000000651926,3352642.239999999757856,3491645.200000000186265,2985844.870000000111759,13859514.010000001639128
FS( 203 ),3986689.600000000093132,3348503.199999999720603,3456229.299999999813735,2990998.480000000447035,13782420.580000000074506
FS( 204 ),4031893.000000000000000,3380580.760000000242144,3478023.699999999254942,2992872.520000000018626,13883369.979999998584390
FS( 205 ),4095931.149999999906868,3372302.680000000167638,3496185.699999999720603,3023325.670000000391155,13987745.199999999254942
FS( 206 ),4114765.900000000372529,3344364.159999999683350,3451688.799999999348074,2980222.750000000000000,13891041.609999999403954
FS( 207 ),4065795.550000000279397,3375406.959999999497086,3430802.500000000000000,2980691.260000000242144,13852696.269999999552965
FS( 208 ),4142390.200000000186265,3388858.839999999850988,3399018.999999999534339,2983970.830000000074506,13914238.869999999180436
FS( 209 ),4168758.850000000558794,3373337.439999999944121,3440791.599999999627471,2985844.870000000111759,13968732.760000001639128
FS( 210 ),4230285.699999999254942,3382650.279999999795109,3419905.299999999348074,2982565.299999999813735,14015406.579999998211861
FS( 211 ),4215217.900000000372529,3347468.439999999944121,3391754.199999999720603,2964293.410000000149012,13918733.949999999254942
FS( 212 ),4232797.000000000000000,3350572.720000000204891,3424445.799999999813735,2968510.000000000000000,13976325.519999999552965
FS( 213 ),4278000.400000000372529,3379545.999999999534339,3395386.599999999627471,2987250.399999999906868,14040183.400000000372529
FS( 214 ),4296835.150000000372529,3368163.639999999664724,3382673.199999999720603,2956797.250000000000000,14004469.240000000223517
FS( 215 ),4315669.900000000372529,3374372.199999999720603,3340900.599999999627471,2928218.140000000130385,13959160.839999999850988
FS( 216 ),4304369.050000000745058,3411623.559999999590218,3339992.500000000000000,2931029.200000000186265,13987014.309999998658895
FS( 217 ),4337015.949999999254942,3440596.839999999850988,3357246.399999999441206,2938993.870000000111759,14073853.059999998658895
FS( 218 ),4345805.500000000000000,3464396.319999999366701,3346349.199999999720603,2937588.340000000316650,14094139.359999999403954
FS( 219 ),4348316.800000000745058,3553385.680000000167638,3332727.700000000186265,2951643.640000000130385,14186073.820000000298023
FS( 220 ),4407332.349999999627471,3619610.319999999366701,3288230.799999999813735,2960545.330000000074506,14275718.799999998882413
FS( 221 ),4465092.250000000000000,3636166.479999999981374,3272793.099999999627471,2951643.640000000130385,14325695.470000000670552
FS( 222 ),4437467.950000001117587,3622714.599999999627471,3242825.799999999813735,2944615.990000000223517,14247624.340000001713634
FS( 223 ),4432445.349999999627471,3639270.760000000242144,3260079.699999999720603,2961950.859999999869615,14293746.669999998062849
FS( 224 ),4387241.949999999254942,3640305.520000000018626,3274609.299999999813735,2960545.330000000074506,14262702.099999999627471
FS( 225 ),4649672.800000000745058,3649618.360000000335276,3154740.100000000093132,2981159.770000000018626,14435191.030000001192093
FS( 226 ),4780260.400000000372529,3696182.559999999590218,3066654.399999999906868,2979285.730000000447035,14522383.090000001713634
FS( 227 ),4858110.699999999254942,3765511.479999999981374,3220123.299999999813735,2976943.180000000167638,14820688.660000000149012
FS( 228 ),4834253.349999999627471,3775859.080000000074506,3178350.699999999720603,2995683.580000000074506,14784146.709999999031425
FS( 229 ),4699898.800000000745058,3651687.879999999888241,3131129.499999999534339,2956797.250000000000000,14439513.429999999701977
FS( 230 ),4692364.900000000372529,3641340.279999999795109,3138394.299999999813735,2959608.310000000055879,14431707.790000000968575
