代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13478927.799999998882413
真實報酬,3478927.799999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13410.035627242052215
風險,189155.887019622488879
起點值,0.070894096073526
找到最佳解世代,1543
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),INTC[11](9),MSFT[18](1),UNH[23](3),
FS( 166 ),3110827.359999999869615,3019433.919999999925494,3123884.110000000335276,3085350.250000000000000,12339495.640000000596046
FS( 167 ),3130583.140000000130385,3027601.120000000111759,3125859.990000000223517,3077969.499999999534339,12362013.750000000000000
FS( 168 ),3117234.640000000130385,2991665.440000000409782,3111534.860000000335276,3055259.500000000000000,12275694.440000001341105
FS( 169 ),3116433.729999999981374,2994115.599999999627471,3107089.129999999888241,3047689.500000000000000,12265327.960000000894070
FS( 170 ),3092139.459999999962747,2962263.520000000484288,3069547.410000000149012,3028764.500000000000000,12152714.890000000596046
FS( 171 ),3100949.470000000204891,2989215.280000000260770,3091282.089999999850988,3055448.750000000000000,12236895.589999999850988
FS( 172 ),3097478.859999999869615,2973697.599999999627471,3077450.929999999701977,3064154.250000000000000,12212781.639999998733401
FS( 173 ),3113230.089999999850988,2968797.280000000260770,3077450.929999999701977,3069264.000000000000000,12228742.300000000745058
FS( 174 ),3147936.189999999944121,2979414.639999999664724,3104125.310000000055879,3073616.750000000000000,12305092.890000000596046
FS( 175 ),3176768.949999999720603,2990032.000000000000000,3094245.910000000149012,3064911.250000000000000,12325958.109999999403954
FS( 176 ),3179972.589999999850988,2984314.959999999962747,3093257.969999999739230,3057909.000000000465661,12315454.519999999552965
FS( 177 ),3197058.669999999925494,3017800.480000000447035,3121414.259999999776483,3063775.749999999534339,12400049.160000000149012
FS( 178 ),3183710.169999999925494,2998199.200000000186265,3092764.000000000000000,3072670.500000000465661,12347343.870000001043081
FS( 179 ),3178103.800000000279397,3004732.959999999962747,3097209.730000000447035,3062072.500000000000000,12342118.990000000223517
FS( 180 ),3203732.919999999925494,3005549.679999999701977,3088812.240000000223517,3040498.000000000000000,12338592.839999999850988
FS( 181 ),3203465.949999999720603,3002282.799999999813735,3087330.330000000074506,2985237.000000000000000,12278316.080000000074506
FS( 182 ),3197859.580000000074506,2986765.120000000111759,3077450.929999999701977,3003405.000000000000000,12265480.629999998956919
FS( 183 ),3203732.919999999925494,3016983.759999999776483,3099185.610000000335276,3002648.000000000000000,12322550.289999999105930
FS( 184 ),3205868.679999999701977,3003099.520000000484288,3110052.950000000186265,3010407.250000000000000,12329428.400000000372529
FS( 185 ),3202932.009999999776483,3072520.719999999739230,3137715.270000000018626,3036145.250000000000000,12449313.250000000000000
FS( 186 ),3253923.279999999795109,3087221.679999999701977,3145618.790000000037253,3051474.500000000000000,12538238.250000000000000
FS( 187 ),3255525.100000000093132,3067620.400000000372529,3174763.020000000018626,3080051.250000000000000,12577959.769999999552965
FS( 188 ),3255792.069999999832362,3101922.639999999664724,3249352.490000000223517,3084593.250000000000000,12691660.449999999254942
FS( 189 ),3247249.029999999795109,3056186.320000000298023,3217244.439999999944121,3067560.750000000000000,12588240.539999999105930
FS( 190 ),3239773.869999999646097,3007183.120000000111759,3193533.880000000353903,3067750.000000000000000,12508240.870000001043081
FS( 191 ),3437331.669999999925494,2982681.520000000484288,3140679.089999999850988,3079294.250000000000000,12639986.530000001192093
FS( 192 ),3431458.330000000074506,2995749.040000000037253,3120426.320000000298023,3042390.500000000000000,12590024.190000001341105
FS( 193 ),3446141.680000000167638,2982681.520000000484288,3145618.790000000037253,3063397.250000000000000,12637839.240000002086163
FS( 194 ),3478445.049999999813735,2962263.520000000484288,3143642.910000000149012,3037659.250000000000000,12622010.730000000447035
FS( 195 ),3511549.330000000074506,2968797.280000000260770,3133269.540000000037253,3038037.750000000000000,12651653.900000000372529
FS( 196 ),3525164.799999999813735,2971247.440000000409782,3128823.810000000055879,3033874.250000000000000,12659110.300000000745058
FS( 197 ),3535309.659999999683350,2896109.200000000186265,3164389.650000000372529,3036334.500000000000000,12632143.009999999776483
FS( 198 ),3527300.560000000055879,2886308.560000000521541,3161425.830000000074506,3042201.250000000000000,12617236.200000001117587
FS( 199 ),3558536.049999999813735,2923877.679999999701977,3196991.669999999925494,3065668.250000000000000,12745073.649999998509884
FS( 200 ),3604721.860000000335276,2934495.040000000037253,3189582.119999999646097,3087242.750000000000000,12816041.769999999552965
FS( 201 ),3617803.389999999664724,2944295.679999999701977,3187606.240000000223517,3109195.750000000000000,12858901.059999998658895
FS( 202 ),3613531.869999999646097,2973697.599999999627471,3187112.270000000018626,3097083.750000000000000,12871425.489999998360872
FS( 203 ),3623409.759999999776483,2979414.639999999664724,3192051.970000000204891,2982966.000000000000000,12777842.369999999180436
FS( 204 ),3649572.819999999832362,2982681.520000000484288,3185630.359999999869615,3038794.750000000000000,12856679.449999999254942
FS( 205 ),3660518.590000000316650,2945929.120000000111759,3179208.750000000000000,3038794.750000000000000,12824451.210000000894070
FS( 206 ),3645034.330000000074506,2954913.040000000037253,3192051.970000000204891,3077212.500000000000000,12869211.839999999850988
FS( 207 ),3648504.939999999944121,2983498.240000000223517,3192051.970000000204891,3085918.000000000000000,12909973.150000000372529
FS( 208 ),3655713.129999999888241,2981864.799999999813735,3172787.140000000130385,3129824.000000000000000,12940189.070000000298023
FS( 209 ),3657314.950000000186265,2956546.480000000447035,3160437.890000000130385,3129824.000000000000000,12904123.320000000298023
FS( 210 ),3732066.549999999813735,2934495.040000000037253,3207859.009999999776483,3178272.000000000000000,13052692.599999999627471
FS( 211 ),3709908.040000000037253,2932861.599999999627471,3161919.800000000279397,3166349.250000000000000,12971038.689999999478459
FS( 212 ),3731799.580000000074506,2932044.879999999888241,3173775.080000000074506,3183192.500000000000000,13020812.039999999105930
FS( 213 ),3720052.899999999906868,2905093.120000000111759,3174763.020000000018626,3192655.000000000000000,12992564.039999999105930
FS( 214 ),3724858.360000000335276,2923877.679999999701977,3181184.630000000353903,3185085.000000000000000,13015005.669999999925494
FS( 215 ),3710975.919999999925494,2909176.719999999739230,3210328.859999999869615,3177704.250000000000000,13008185.750000000000000
FS( 216 ),3702432.879999999888241,2925511.120000000111759,3197485.640000000130385,3179596.750000000000000,13005026.390000000596046
FS( 217 ),3714713.499999999534339,2932861.599999999627471,3207365.040000000502914,3216879.000000000000000,13071819.140000000596046
FS( 218 ),3716315.319999999832362,2871607.599999999627471,3196497.699999999720603,3221231.750000000000000,13005652.369999999180436
FS( 219 ),3710708.950000000186265,2873241.040000000037253,3181678.600000000093132,3199468.000000000000000,12965096.589999999850988
FS( 220 ),3749953.540000000037253,2866707.280000000260770,3198473.580000000074506,3250944.000000000000000,13066078.400000000372529
FS( 221 ),3756093.850000000093132,2869974.160000000149012,3193039.910000000149012,3241860.000000000000000,13060967.919999999925494
FS( 222 ),3737405.950000000186265,2880591.520000000484288,3204401.220000000204891,3211580.000000000000000,13033978.690000001341105
FS( 223 ),3776650.540000000037253,2893659.040000000037253,3207365.040000000502914,3179407.500000000000000,13057082.120000001043081
FS( 224 ),3733401.399999999906868,2861806.959999999962747,3171799.199999999720603,3173730.000000000000000,12940737.559999998658895
FS( 225 ),3775582.659999999683350,2888758.719999999739230,3212304.740000000223517,3161050.250000000000000,13037696.369999999180436
FS( 226 ),3762234.159999999683350,2880591.520000000484288,3204401.220000000204891,3128120.750000000000000,12975347.650000000372529
FS( 227 ),3754758.999999999534339,2871607.599999999627471,3209834.890000000130385,3122632.500000000000000,12958833.990000000223517
FS( 228 ),3761166.279999999795109,2890392.160000000149012,3215762.529999999795109,3115062.500000000000000,12982383.469999998807907
FS( 229 ),3839121.520000000018626,2907543.280000000260770,3225147.960000000428408,3129256.250000000000000,13101069.010000001639128
FS( 230 ),3847664.560000000055879,2905093.120000000111759,3234039.419999999925494,3093109.500000000000000,13079906.599999999627471
