代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13355587.039999999105930
真實報酬,3355587.039999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13144.986727895147851
風險,306594.319771515438333
起點值,0.042874201771550
找到最佳解世代,2249
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,2
HD[9](4),NKE[19](1),
FS( 21 ),5296632.800000000745058,5242873.250000000000000,10539506.050000000745058
FS( 22 ),5357058.000000000000000,5302166.250000000000000,10659224.250000000000000
FS( 23 ),5357058.000000000000000,5301026.000000000000000,10658084.000000000000000
FS( 24 ),5278505.240000000223517,5328392.000000000000000,10606897.240000000223517
FS( 25 ),5271364.080000000074506,5356898.250000000000000,10628262.330000000074506
FS( 26 ),5261476.320000000298023,5397947.250000000000000,10659423.570000000298023
FS( 27 ),5344423.640000000596046,5393386.250000000000000,10737809.890000000596046
FS( 28 ),5364199.160000001080334,5346636.000000000000000,10710835.160000000149012
FS( 29 ),5392214.480000000447035,5413910.750000000000000,10806125.230000000447035
FS( 30 ),5391115.840000000782311,5409349.750000000000000,10800465.589999999850988
FS( 31 ),5410342.040000000037253,5462941.500000000000000,10873283.539999999105930
FS( 32 ),5438357.360000000335276,5480045.250000000000000,10918402.609999999403954
FS( 33 ),5396609.040000000037253,5444697.500000000000000,10841306.539999999105930
FS( 34 ),5385073.320000000298023,5476624.500000000000000,10861697.820000000298023
FS( 35 ),5272462.720000000670552,5500569.750000000000000,10773032.470000000670552
FS( 36 ),5312013.760000000707805,5527935.750000000000000,10839949.510000001639128
FS( 37 ),5359804.599999999627471,5547320.000000000000000,10907124.599999999627471
FS( 38 ),5398806.320000000298023,5554161.500000000000000,10952967.820000000298023
FS( 39 ),5405398.160000001080334,5584948.250000000000000,10990346.410000000149012
FS( 40 ),5329042.680000000633299,5547320.000000000000000,10876362.679999999701977
FS( 41 ),5366945.760000000707805,5575826.250000000000000,10942772.010000001639128
FS( 42 ),5460330.160000001080334,5661345.000000000000000,11121675.160000000149012
FS( 43 ),5431765.520000000484288,5570125.000000000000000,11001890.519999999552965
FS( 44 ),5392214.480000000447035,5589509.250000000000000,10981723.730000000447035
FS( 45 ),5415835.240000000223517,5615735.000000000000000,11031570.240000000223517
FS( 46 ),5435610.760000000707805,5647662.000000000000000,11083272.760000001639128
FS( 47 ),5473513.840000000782311,5663625.500000000000000,11137139.339999999850988
FS( 48 ),5516910.120000001043081,5571265.250000000000000,11088175.370000001043081
FS( 49 ),5473513.840000000782311,5532496.750000000000000,11006010.589999999850988
FS( 50 ),5435061.440000000409782,5567844.500000000000000,11002905.940000001341105
FS( 51 ),5508121.000000000000000,5526795.500000000000000,11034916.500000000000000
FS( 52 ),5481204.320000000298023,5483466.000000000000000,10964670.320000000298023
FS( 53 ),5496035.959999999962747,5441276.750000000000000,10937312.710000000894070
FS( 54 ),5331789.280000000260770,5314709.000000000000000,10646498.280000001192093
FS( 55 ),5435061.440000000409782,5387685.000000000000000,10822746.440000001341105
FS( 56 ),5530093.800000000745058,5534777.250000000000000,11064871.050000000745058
FS( 57 ),5599308.120000001043081,5407069.250000000000000,11006377.370000001043081
FS( 58 ),5685551.360000000335276,5469783.000000000000000,11155334.359999999403954
FS( 59 ),5699833.680000000633299,5472063.500000000000000,11171897.179999999701977
FS( 60 ),5688847.280000000260770,5490307.500000000000000,11179154.780000001192093
FS( 61 ),5699284.360000000335276,5521094.250000000000000,11220378.609999999403954
FS( 62 ),5742131.320000000298023,5547320.000000000000000,11289451.320000000298023
FS( 63 ),5727849.000000000000000,5523374.750000000000000,11251223.750000000000000
FS( 64 ),5766301.400000000372529,5482325.750000000000000,11248627.150000000372529
FS( 65 ),5681706.120000001043081,5418471.750000000000000,11100177.870000001043081
FS( 66 ),5562503.680000000633299,5330672.500000000000000,10893176.179999999701977
FS( 67 ),5545474.760000000707805,5299885.750000000000000,10845360.510000001639128
FS( 68 ),5735539.480000000447035,5409349.750000000000000,11144889.230000000447035
FS( 69 ),5862432.400000000372529,5533637.000000000000000,11396069.400000000372529
FS( 70 ),5761906.840000000782311,5473203.750000000000000,11235110.589999999850988
FS( 71 ),5736088.800000000745058,5465222.000000000000000,11201310.800000000745058
FS( 72 ),5698185.720000000670552,5417331.500000000000000,11115517.220000000670552
FS( 73 ),5638309.840000000782311,5343215.250000000000000,10981525.089999999850988
FS( 74 ),5548770.680000000633299,5291904.000000000000000,10840674.679999999701977
FS( 75 ),5719609.200000000186265,5302166.250000000000000,11021775.449999999254942
FS( 76 ),5671818.360000000335276,5337514.000000000000000,11009332.359999999403954
FS( 77 ),5687199.320000000298023,5331812.750000000000000,11019012.070000000298023
FS( 78 ),5826726.599999999627471,5465222.000000000000000,11291948.599999999627471
FS( 79 ),5788274.200000000186265,5482325.750000000000000,11270599.949999999254942
FS( 80 ),5842656.879999999888241,5493728.250000000000000,11336385.129999998956919
FS( 81 ),5776738.480000000447035,5387685.000000000000000,11164423.480000000447035
FS( 82 ),5753667.040000000037253,5320410.250000000000000,11074077.289999999105930
FS( 83 ),5911871.200000000186265,5409349.750000000000000,11321220.949999999254942
FS( 84 ),5736088.800000000745058,5259977.000000000000000,10996065.800000000745058
FS( 85 ),5736638.120000001043081,5240592.750000000000000,10977230.870000001043081
FS( 86 ),5890997.040000000037253,5322690.750000000000000,11213687.789999999105930
FS( 87 ),5955267.480000000447035,5275940.500000000000000,11231207.980000000447035
FS( 88 ),5987128.040000000037253,5321550.500000000000000,11308678.539999999105930
FS( 89 ),5989874.640000000596046,5233751.250000000000000,11223625.890000000596046
FS( 90 ),5951422.240000000223517,5198403.500000000000000,11149825.740000000223517
FS( 91 ),6079413.800000000745058,5288483.250000000000000,11367897.050000000745058
FS( 92 ),6059638.280000000260770,5206385.250000000000000,11266023.530000001192093
FS( 93 ),6161262.480000000447035,5245153.750000000000000,11406416.230000000447035
FS( 94 ),6146430.840000000782311,5247434.250000000000000,11393865.089999999850988
FS( 95 ),6152473.360000000335276,5237172.000000000000000,11389645.359999999403954
FS( 96 ),6151924.040000000037253,5337514.000000000000000,11489438.039999999105930
FS( 97 ),6094245.440000000409782,5342075.000000000000000,11436320.440000001341105
FS( 98 ),6165657.040000000037253,5412770.500000000000000,11578427.539999999105930
FS( 99 ),6167854.320000000298023,5417331.500000000000000,11585185.820000000298023
FS( 100 ),6413400.360000000335276,5440136.500000000000000,11853536.859999999403954
FS( 101 ),6389230.280000000260770,5519954.000000000000000,11909184.280000001192093
FS( 102 ),6338143.520000000484288,5530216.250000000000000,11868359.769999999552965
FS( 103 ),6303536.360000000335276,5537057.750000000000000,11840594.109999999403954
FS( 104 ),6378793.200000000186265,5630558.250000000000000,12009351.449999999254942
FS( 105 ),6376046.599999999627471,5586088.500000000000000,11962135.099999999627471
FS( 106 ),6304085.680000000633299,5559862.750000000000000,11863948.429999999701977
FS( 107 ),6367257.480000000447035,5613454.500000000000000,11980711.980000000447035
FS( 108 ),6287056.760000000707805,5525655.250000000000000,11812712.010000001639128
FS( 109 ),6331002.360000000335276,5555301.750000000000000,11886304.109999999403954
FS( 110 ),6183235.280000000260770,5502850.250000000000000,11686085.530000001192093
FS( 111 ),6211250.599999999627471,5435575.500000000000000,11646826.099999999627471
FS( 112 ),6377694.559999999590218,5532496.750000000000000,11910191.309999998658895
FS( 113 ),6307381.599999999627471,5462941.500000000000000,11770323.099999999627471
FS( 114 ),6399667.360000000335276,5498289.250000000000000,11897956.609999999403954
FS( 115 ),6349129.919999999925494,5503990.500000000000000,11853120.419999999925494
FS( 116 ),6376595.919999999925494,5559862.750000000000000,11936458.669999999925494
FS( 117 ),6326058.480000000447035,5605472.750000000000000,11931531.230000000447035
FS( 118 ),6454050.040000000037253,5814138.500000000000000,12268188.539999999105930
FS( 119 ),6376046.599999999627471,5784492.000000000000000,12160538.599999999627471
FS( 120 ),6380441.160000001080334,5738882.000000000000000,12119323.160000000149012
FS( 121 ),6244759.120000001043081,5644241.250000000000000,11889000.370000001043081
FS( 122 ),6172798.200000000186265,5663625.500000000000000,11836423.699999999254942
FS( 123 ),6254646.879999999888241,5694412.250000000000000,11949059.129999998956919
FS( 124 ),6296944.520000000484288,5752565.000000000000000,12049509.519999999552965
FS( 125 ),6240913.879999999888241,5720638.000000000000000,11961551.879999998956919
FS( 126 ),6214546.520000000484288,5676168.250000000000000,11890714.769999999552965
FS( 127 ),6292000.640000000596046,5681869.500000000000000,11973870.140000000596046
FS( 128 ),6314522.760000000707805,5686430.500000000000000,12000953.260000001639128
FS( 129 ),6278816.959999999962747,5679589.000000000000000,11958405.960000000894070
FS( 130 ),6349679.240000000223517,5749144.250000000000000,12098823.490000000223517
FS( 131 ),6293648.599999999627471,5742302.750000000000000,12035951.349999999627471
FS( 132 ),6330453.040000000037253,5700113.500000000000000,12030566.539999999105930
FS( 133 ),6286507.440000000409782,5660204.750000000000000,11946712.190000001341105
FS( 134 ),6265083.959999999962747,5675028.000000000000000,11940111.960000000894070
FS( 135 ),6232124.760000000707805,5692131.750000000000000,11924256.510000001639128
FS( 136 ),6227730.200000000186265,5695552.500000000000000,11923282.699999999254942
FS( 137 ),6157966.559999999590218,5619155.750000000000000,11777122.309999998658895
FS( 138 ),6199714.879999999888241,5701253.750000000000000,11900968.629999998956919
FS( 139 ),6216743.800000000745058,5718357.500000000000000,11935101.300000000745058
FS( 140 ),6206856.040000000037253,5710375.750000000000000,11917231.789999999105930
FS( 141 ),6260140.080000000074506,5765107.750000000000000,12025247.830000000074506
FS( 142 ),6245857.760000000707805,5755985.750000000000000,12001843.510000001639128
FS( 143 ),6118964.840000000782311,5754845.500000000000000,11873810.339999999850988
FS( 144 ),6074469.919999999925494,5693272.000000000000000,11767741.919999999925494
FS( 145 ),5971747.080000000074506,5711516.000000000000000,11683263.080000000074506
FS( 146 ),5876714.720000000670552,5635119.250000000000000,11511833.970000000670552
FS( 147 ),6017889.959999999962747,5745723.500000000000000,11763613.460000000894070
FS( 148 ),6045905.280000000260770,5749144.250000000000000,11795049.530000001192093
FS( 149 ),5936041.280000000260770,5725199.000000000000000,11661240.280000001192093
FS( 150 ),5949774.280000000260770,5713796.500000000000000,11663570.780000001192093
FS( 151 ),6044806.640000000596046,5784492.000000000000000,11829298.640000000596046
FS( 152 ),6178291.400000000372529,5840364.250000000000000,12018655.650000000372529
FS( 153 ),6146980.160000001080334,5860888.750000000000000,12007868.910000000149012
FS( 154 ),6181038.000000000000000,5836943.500000000000000,12017981.500000000000000
FS( 155 ),6107978.440000000409782,5824400.750000000000000,11932379.190000001341105
FS( 156 ),6149177.440000000409782,5897376.750000000000000,12046554.190000001341105
FS( 157 ),6226631.559999999590218,5985176.000000000000000,12211807.559999998658895
FS( 158 ),6280464.919999999925494,5972633.250000000000000,12253098.169999999925494
FS( 159 ),6171150.240000000223517,5965791.750000000000000,12136941.990000000223517
FS( 160 ),6157966.559999999590218,5964651.500000000000000,12122618.059999998658895
FS( 161 ),6153022.680000000633299,5952108.750000000000000,12105131.429999999701977
FS( 162 ),6161262.480000000447035,5954389.250000000000000,12115651.730000000447035
FS( 163 ),6093696.120000001043081,5896236.500000000000000,11989932.620000001043081
FS( 164 ),6161262.480000000447035,5863169.250000000000000,12024431.730000000447035
FS( 165 ),6162910.440000000409782,5832382.500000000000000,11995292.940000001341105
FS( 166 ),6120612.800000000745058,5797034.750000000000000,11917647.550000000745058
FS( 167 ),6134345.800000000745058,5801595.750000000000000,11935941.550000000745058
FS( 168 ),6129951.240000000223517,5822120.250000000000000,11952071.490000000223517
FS( 169 ),6216194.480000000447035,5844925.250000000000000,12061119.730000000447035
FS( 170 ),6122810.080000000074506,5812998.250000000000000,11935808.330000000074506
FS( 171 ),6062934.200000000186265,5817559.250000000000000,11880493.449999999254942
FS( 172 ),6038764.120000001043081,5783351.750000000000000,11822115.870000001043081
FS( 173 ),6016791.320000000298023,5778790.750000000000000,11795582.070000000298023
FS( 174 ),6096442.720000000670552,5891675.500000000000000,11988118.220000000670552
FS( 175 ),6113471.640000000596046,5922462.250000000000000,12035933.890000000596046
FS( 176 ),6075568.559999999590218,5916761.000000000000000,11992329.559999998658895
FS( 177 ),6043158.680000000633299,5892815.750000000000000,11935974.429999999701977
FS( 178 ),6055243.720000000670552,5961230.750000000000000,12016474.470000000670552
FS( 179 ),6068427.400000000372529,5972633.250000000000000,12041060.650000000372529
FS( 180 ),6144233.559999999590218,6043328.750000000000000,12187562.309999998658895
FS( 181 ),6176094.120000001043081,6074115.500000000000000,12250209.620000001043081
FS( 182 ),6211250.599999999627471,6088938.750000000000000,12300189.349999999627471
FS( 183 ),6217293.120000001043081,6111743.750000000000000,12329036.870000001043081
FS( 184 ),6171699.559999999590218,6055871.500000000000000,12227571.059999998658895
FS( 185 ),6165657.040000000037253,5998859.000000000000000,12164516.039999999105930
FS( 186 ),6185432.559999999590218,6255415.250000000000000,12440847.809999998658895
FS( 187 ),6072272.640000000596046,6139109.750000000000000,12211382.390000000596046
FS( 188 ),6104682.520000000484288,6158494.000000000000000,12263176.519999999552965
FS( 189 ),6156318.599999999627471,6239451.750000000000000,12395770.349999999627471
FS( 190 ),6124458.040000000037253,6264537.250000000000000,12388995.289999999105930
FS( 191 ),6115119.599999999627471,6262256.750000000000000,12377376.349999999627471
FS( 192 ),6174446.160000001080334,6345495.000000000000000,12519941.160000000149012
FS( 193 ),6097541.360000000335276,6230329.750000000000000,12327871.109999999403954
FS( 194 ),6118415.520000000484288,6239451.750000000000000,12357867.269999999552965
FS( 195 ),6212898.559999999590218,6301025.250000000000000,12513923.809999998658895
FS( 196 ),6311776.160000001080334,6409349.000000000000000,12721125.160000000149012
FS( 197 ),6337044.879999999888241,6404788.000000000000000,12741832.879999998956919
FS( 198 ),6349129.919999999925494,6379702.500000000000000,12728832.419999999925494
FS( 199 ),6302437.720000000670552,6404788.000000000000000,12707225.720000000670552
FS( 200 ),6288155.400000000372529,6431013.750000000000000,12719169.150000000372529
FS( 201 ),6229927.480000000447035,6450398.000000000000000,12680325.480000000447035
FS( 202 ),6254646.879999999888241,6442416.250000000000000,12697063.129999998956919
FS( 203 ),6311776.160000001080334,6505130.000000000000000,12816906.160000000149012
FS( 204 ),6294747.240000000223517,6499428.750000000000000,12794175.990000000223517
FS( 205 ),6239815.240000000223517,6442416.250000000000000,12682231.490000000223517
FS( 206 ),6211250.599999999627471,6370580.500000000000000,12581831.099999999627471
FS( 207 ),6308480.240000000223517,6469782.250000000000000,12778262.490000000223517
FS( 208 ),6392526.200000000186265,6551880.250000000000000,12944406.449999999254942
FS( 209 ),6397470.080000000074506,6557581.500000000000000,12955051.580000000074506
FS( 210 ),6428781.320000000298023,6568984.000000000000000,12997765.320000000298023
FS( 211 ),6421090.840000000782311,6547319.250000000000000,12968410.089999999850988
FS( 212 ),6456247.320000000298023,6600911.000000000000000,13057158.320000000298023
FS( 213 ),6482065.360000000335276,6656783.250000000000000,13138848.609999999403954
FS( 214 ),6402963.280000000260770,6563282.750000000000000,12966246.030000001192093
FS( 215 ),6423288.120000001043081,6529075.250000000000000,12952363.370000001043081
FS( 216 ),6460092.559999999590218,6576965.750000000000000,13037058.309999998658895
FS( 217 ),6465036.440000000409782,6525654.500000000000000,12990690.940000001341105
FS( 218 ),6465036.440000000409782,6445837.000000000000000,12910873.440000001341105
FS( 219 ),6538096.000000000000000,6476623.750000000000000,13014719.750000000000000
FS( 220 ),6578196.360000000335276,6519953.250000000000000,13098149.609999999403954
FS( 221 ),6575449.760000000707805,6555301.000000000000000,13130750.760000001639128
FS( 222 ),6745738.959999999962747,6546179.000000000000000,13291917.960000000894070
FS( 223 ),6743541.680000000633299,6554160.750000000000000,13297702.429999999701977
FS( 224 ),6621592.640000000596046,6402507.500000000000000,13024100.140000000596046
FS( 225 ),6380990.480000000447035,6093499.750000000000000,12474490.230000000447035
FS( 226 ),6182136.640000000596046,5922462.250000000000000,12104598.890000000596046
FS( 227 ),6095893.400000000372529,5903078.000000000000000,11998971.400000000372529
FS( 228 ),6368356.120000001043081,6200683.250000000000000,12569039.370000001043081
FS( 229 ),6463388.480000000447035,6420751.500000000000000,12884139.980000000447035
FS( 230 ),6455698.000000000000000,6413910.000000000000000,12869608.000000000000000
FS( 231 ),6397470.080000000074506,6371720.750000000000000,12769190.830000000074506
FS( 232 ),6211250.599999999627471,6193841.750000000000000,12405092.349999999627471
FS( 233 ),6398568.720000000670552,6311287.500000000000000,12709856.220000000670552
FS( 234 ),6405160.559999999590218,6320409.500000000000000,12725570.059999998658895
FS( 235 ),6285408.800000000745058,6254275.000000000000000,12539683.800000000745058
FS( 236 ),6395822.120000001043081,6371720.750000000000000,12767542.870000001043081
FS( 237 ),6260689.400000000372529,6263397.000000000000000,12524086.400000000372529
FS( 238 ),6289254.040000000037253,6293043.500000000000000,12582297.539999999105930
FS( 239 ),6341439.440000000409782,6375141.500000000000000,12716580.940000001341105
FS( 240 ),6302437.720000000670552,6379702.500000000000000,12682140.220000000670552
FS( 241 ),6382089.120000001043081,6490306.750000000000000,12872395.870000001043081
FS( 242 ),6472177.599999999627471,6589508.500000000000000,13061686.099999999627471
FS( 243 ),6477121.480000000447035,6572404.750000000000000,13049526.230000000447035
FS( 244 ),6323861.200000000186265,6559862.000000000000000,12883723.199999999254942
FS( 245 ),6404061.919999999925494,6645380.750000000000000,13049442.669999999925494
FS( 246 ),6361214.959999999962747,6612313.500000000000000,12973528.460000000894070
FS( 247 ),6381539.800000000745058,6581526.750000000000000,12963066.550000000745058
FS( 248 ),6390878.240000000223517,6545038.750000000000000,12935916.990000000223517
FS( 249 ),6412851.040000000037253,7126566.250000000000000,13539417.289999999105930
FS( 250 ),6267830.559999999590218,6963510.500000000000000,13231341.059999998658895
FS( 251 ),6202461.480000000447035,6823259.750000000000000,13025721.230000000447035
FS( 252 ),6344186.040000000037253,7011401.000000000000000,13355587.039999999105930
