代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12258378.059999998658895
真實報酬,2258378.059999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10766.459276622570542
風險,361939.758790352905635
起點值,0.029746550400004
找到最佳解世代,2350
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),MCD[15](1),
FS( 63 ),5268196.259999999776483,5057680.040000000037253,10325876.300000000745058
FS( 64 ),5261927.899999999441206,5001558.919999999925494,10263486.820000000298023
FS( 65 ),5214467.459999999962747,4937643.199999999254942,10152110.660000000149012
FS( 66 ),5062683.599999999627471,4857099.000000000000000,9919782.599999999627471
FS( 67 ),5215362.940000000409782,4990646.480000000447035,10206009.420000001788139
FS( 68 ),5220735.819999999366701,4989087.560000000521541,10209823.379999998956919
FS( 69 ),5123128.500000000000000,4928809.319999999366701,10051937.820000000298023
FS( 70 ),5213124.240000000223517,5029099.839999999850988,10242224.080000000074506
FS( 71 ),5102980.200000000186265,4958948.440000000409782,10061928.640000000596046
FS( 72 ),5126262.679999999701977,4949594.919999999925494,10075857.599999999627471
FS( 73 ),5168797.979999999515712,5061837.160000000149012,10230635.140000000596046
FS( 74 ),5137008.440000000409782,5038973.000000000000000,10175981.440000001341105
FS( 75 ),5201930.740000000223517,5102369.080000000074506,10304299.820000000298023
FS( 76 ),5275360.099999999627471,5128351.080000000074506,10403711.179999999701977
FS( 77 ),5279389.759999999776483,5084181.679999999701977,10363571.439999999478459
FS( 78 ),5154470.299999999813735,5043130.120000000111759,10197600.419999999925494
FS( 79 ),5219840.339999999850988,5087299.520000000484288,10307139.859999999403954
FS( 80 ),5184916.620000000111759,5050924.719999999739230,10235841.339999999850988
FS( 81 ),5201483.000000000000000,5060278.239999999292195,10261761.239999998360872
FS( 82 ),5209094.580000000074506,5055601.480000000447035,10264696.060000000521541
FS( 83 ),5227004.179999999701977,5071190.679999999701977,10298194.859999999403954
FS( 84 ),5108800.819999999366701,4986489.359999999403954,10095290.179999999701977
FS( 85 ),5055519.759999999776483,5065474.640000000596046,10120994.400000000372529
FS( 86 ),5171036.679999999701977,5120036.839999999850988,10291073.519999999552965
FS( 87 ),5239988.639999999664724,5133027.839999999850988,10373016.480000000447035
FS( 88 ),5274912.360000000335276,5185511.480000000447035,10460423.839999999850988
FS( 89 ),5337148.219999999739230,5257221.799999999813735,10594370.019999999552965
FS( 90 ),5313865.740000000223517,5295155.520000000484288,10609021.260000001639128
FS( 91 ),5357296.520000000484288,5288400.199999999254942,10645696.719999998807907
FS( 92 ),5420427.860000000335276,5349717.719999999739230,10770145.580000000074506
FS( 93 ),5432516.839999999850988,5339844.560000000521541,10772361.400000000372529
FS( 94 ),5458038.020000000484288,5364787.279999999329448,10822825.300000000745058
FS( 95 ),5445053.559999999590218,5372062.239999999292195,10817115.799999998882413
FS( 96 ),5385056.399999999441206,5342962.399999999441206,10728018.799999998882413
FS( 97 ),5454008.360000000335276,5386612.160000000149012,10840620.519999999552965
FS( 98 ),5495648.179999999701977,5446890.399999999441206,10942538.579999998211861
FS( 99 ),5511766.819999999366701,5429742.279999999329448,10941509.099999997764826
FS( 100 ),5500573.319999999366701,5395965.679999999701977,10896539.000000000000000
FS( 101 ),5520721.620000000111759,5328412.480000000447035,10849134.100000001490116
FS( 102 ),5568182.059999999590218,5761272.600000000558794,11329454.660000000149012
FS( 103 ),5579375.559999999590218,5850650.679999999701977,11430026.239999998360872
FS( 104 ),5597285.160000000149012,5829345.440000000409782,11426630.600000001490116
FS( 105 ),5573107.200000000186265,5801284.879999999888241,11374392.080000000074506
FS( 106 ),5544004.099999999627471,5868838.080000000074506,11412842.179999999701977
FS( 107 ),5535497.040000000037253,5852209.600000000558794,11387706.640000000596046
FS( 108 ),5535944.780000000260770,5832982.919999999925494,11368927.699999999254942
FS( 109 ),5570420.759999999776483,5825707.959999999962747,11396128.719999998807907
FS( 110 ),5626388.259999999776483,5824149.040000000037253,11450537.300000000745058
FS( 111 ),5613851.540000000037253,5840777.520000000484288,11454629.060000000521541
FS( 112 ),5629074.700000000186265,5864161.319999999366701,11493236.019999999552965
FS( 113 ),5640715.940000000409782,5888064.759999999776483,11528780.699999999254942
FS( 114 ),5574450.419999999925494,5868318.440000000409782,11442768.859999999403954
FS( 115 ),5608478.660000000149012,5883388.000000000000000,11491866.660000000149012
FS( 116 ),5583852.959999999962747,5916125.319999999366701,11499978.279999999329448
FS( 117 ),5543556.360000000335276,5825707.959999999962747,11369264.320000000298023
FS( 118 ),5372967.419999999925494,5714505.000000000000000,11087472.419999999925494
FS( 119 ),5410577.580000000074506,5771145.759999999776483,11181723.339999999850988
FS( 120 ),5649670.740000000223517,5764910.080000000074506,11414580.820000000298023
FS( 121 ),5665789.379999999888241,5847532.839999999850988,11513322.219999998807907
FS( 122 ),5680117.059999999590218,5887545.120000000111759,11567662.179999999701977
FS( 123 ),5830109.959999999962747,5919243.160000000149012,11749353.120000001043081
FS( 124 ),5932642.419999999925494,5948343.000000000000000,11880985.419999999925494
FS( 125 ),5981893.819999999366701,5938469.839999999850988,11920363.660000000149012
FS( 126 ),6028906.520000000484288,5944705.520000000484288,11973612.040000000968575
FS( 127 ),6032936.180000000633299,5935871.640000000596046,11968807.820000000298023
FS( 128 ),5994430.540000000037253,5932234.160000000149012,11926664.699999999254942
FS( 129 ),6019056.240000000223517,5947303.719999999739230,11966359.960000000894070
FS( 130 ),5991296.360000000335276,5909370.000000000000000,11900666.359999999403954
FS( 131 ),5862347.240000000223517,5892221.879999999888241,11754569.120000001043081
FS( 132 ),6023533.639999999664724,6038240.719999999739230,12061774.359999999403954
FS( 133 ),5996669.240000000223517,6049672.799999999813735,12046342.039999999105930
FS( 134 ),5992639.580000000074506,6055388.839999999850988,12048028.419999999925494
FS( 135 ),5905778.020000000484288,6057987.040000000037253,11963765.060000000521541
FS( 136 ),5934433.379999999888241,6090204.719999999739230,12024638.099999999627471
FS( 137 ),5840407.979999999515712,6032005.040000000037253,11872413.019999999552965
FS( 138 ),5910703.159999999217689,6041358.560000000521541,11952061.719999998807907
FS( 139 ),5878465.879999999888241,6076174.440000000409782,11954640.320000000298023
FS( 140 ),5950552.020000000484288,6123461.679999999701977,12074013.699999999254942
FS( 141 ),5881152.319999999366701,6105793.919999999925494,11986946.239999998360872
FS( 142 ),5833691.879999999888241,6062144.160000000149012,11895836.039999999105930
FS( 143 ),5879361.360000000335276,6115667.080000000074506,11995028.440000001341105
FS( 144 ),5904882.540000000037253,6117226.000000000000000,12022108.539999999105930
FS( 145 ),5959954.560000000521541,6173347.120000000111759,12133301.679999999701977
FS( 146 ),5950552.020000000484288,6161395.399999999441206,12111947.419999999925494
FS( 147 ),5940701.740000000223517,6170748.919999999925494,12111450.660000000149012
FS( 148 ),5986371.219999999739230,6239341.399999999441206,12225712.619999999180436
FS( 149 ),5970700.319999999366701,6206084.440000000409782,12176784.759999999776483
FS( 150 ),5921448.919999999925494,6139050.879999999888241,12060499.800000000745058
FS( 151 ),5868615.599999999627471,6109951.040000000037253,11978566.640000000596046
FS( 152 ),5839960.240000000223517,6194132.719999999739230,12034092.960000000894070
FS( 153 ),5779515.340000000782311,6152561.520000000484288,11932076.860000001266599
FS( 154 ),5614747.020000000484288,6010180.160000000149012,11624927.179999999701977
FS( 155 ),5547586.020000000484288,6000826.640000000596046,11548412.660000000149012
FS( 156 ),5631761.139999999664724,6063703.080000000074506,11695464.219999998807907
FS( 157 ),5708324.679999999701977,6102676.080000000074506,11811000.759999999776483
FS( 158 ),5435651.020000000484288,5982119.600000000558794,11417770.620000001043081
FS( 159 ),5355953.299999999813735,6060065.600000000558794,11416018.900000000372529
FS( 160 ),5338491.440000000409782,5985237.440000000409782,11323728.880000000819564
FS( 161 ),5362221.660000000149012,6105793.919999999925494,11468015.580000000074506
FS( 162 ),5214467.459999999962747,6016415.839999999850988,11230883.300000000745058
FS( 163 ),5382817.700000000186265,6123461.679999999701977,11506279.379999998956919
FS( 164 ),5496543.660000000149012,6152561.520000000484288,11649105.179999999701977
FS( 165 ),5449530.959999999962747,6194132.719999999739230,11643663.679999999701977
FS( 166 ),5471470.219999999739230,6258048.440000000409782,11729518.660000000149012
FS( 167 ),5443262.599999999627471,6280912.600000000558794,11724175.199999999254942
FS( 168 ),5475052.139999999664724,6359378.239999999292195,11834430.379999998956919
FS( 169 ),5630865.660000000149012,6432127.839999999850988,12062993.500000000000000
FS( 170 ),5664446.160000000149012,6475257.959999999962747,12139704.120000001043081
FS( 171 ),5608926.399999999441206,6440961.719999999739230,12049888.119999999180436
FS( 172 ),5542660.879999999888241,6312091.000000000000000,11854751.879999998956919
FS( 173 ),5422666.559999999590218,6270000.160000000149012,11692666.719999998807907
FS( 174 ),5213124.240000000223517,5996669.520000000484288,11209793.760000001639128
FS( 175 ),5008059.319999999366701,6030446.120000000111759,11038505.439999999478459
FS( 176 ),5098055.059999999590218,6080331.560000000521541,11178386.620000001043081
FS( 177 ),5119098.839999999850988,6107872.480000000447035,11226971.320000000298023
FS( 178 ),5071638.399999999441206,6065781.640000000596046,11137420.039999999105930
FS( 179 ),5208199.099999999627471,6128138.440000000409782,11336337.539999999105930
FS( 180 ),5347446.240000000223517,6193093.440000000409782,11540539.679999999701977
FS( 181 ),5427143.959999999962747,6165032.879999999888241,11592176.839999999850988
FS( 182 ),5371624.200000000186265,6088645.799999999813735,11460270.000000000000000
FS( 183 ),5448635.479999999515712,6055388.839999999850988,11504024.320000000298023
FS( 184 ),5500573.319999999366701,6114627.799999999813735,11615201.119999999180436
FS( 185 ),5575793.639999999664724,6074615.520000000484288,11650409.160000000149012
FS( 186 ),5624149.559999999590218,6082929.759999999776483,11707079.320000000298023
FS( 187 ),5680117.059999999590218,6151002.600000000558794,11831119.660000000149012
FS( 188 ),5653252.660000000149012,6082929.759999999776483,11736182.419999999925494
FS( 189 ),5557436.299999999813735,6089685.080000000074506,11647121.379999998956919
FS( 190 ),5628179.219999999739230,6175945.319999999366701,11804124.539999999105930
FS( 191 ),5623254.080000000074506,6156718.640000000596046,11779972.720000000670552
FS( 192 ),5677430.620000000111759,6063703.080000000074506,11741133.699999999254942
FS( 193 ),5621910.860000000335276,6089165.440000000409782,11711076.300000000745058
FS( 194 ),5649223.000000000000000,6087606.520000000484288,11736829.519999999552965
FS( 195 ),5673848.700000000186265,6153600.799999999813735,11827449.500000000000000
FS( 196 ),5642954.639999999664724,6216996.879999999888241,11859951.519999999552965
FS( 197 ),5636686.280000000260770,6234664.640000000596046,11871350.920000001788139
FS( 198 ),5751755.459999999962747,6316248.120000000111759,12068003.580000000074506
FS( 199 ),5768769.580000000074506,6386399.520000000484288,12155169.100000001490116
FS( 200 ),5807722.959999999962747,6413940.440000000409782,12221663.400000000372529
FS( 201 ),5840855.719999999739230,6418617.199999999254942,12259472.919999998062849
FS( 202 ),5860108.540000000037253,6399910.160000000149012,12260018.699999999254942
FS( 203 ),5881152.319999999366701,6447717.040000000037253,12328869.359999999403954
FS( 204 ),5865929.159999999217689,6433686.759999999776483,12299615.919999998062849
FS( 205 ),5847124.080000000074506,6434206.399999999441206,12281330.480000000447035
FS( 206 ),5830557.700000000186265,6453433.080000000074506,12283990.780000001192093
FS( 207 ),5841303.459999999962747,6406665.480000000447035,12247968.940000001341105
FS( 208 ),5869063.340000000782311,6400429.799999999813735,12269493.140000000596046
FS( 209 ),5931299.200000000186265,6442001.000000000000000,12373300.199999999254942
FS( 210 ),5973834.499999999068677,6538654.040000000037253,12512488.539999999105930
FS( 211 ),5974282.240000000223517,6530859.440000000409782,12505141.679999999701977
FS( 212 ),6037861.319999999366701,6600491.199999999254942,12638352.519999999552965
FS( 213 ),6037861.319999999366701,6629071.399999999441206,12666932.719999998807907
FS( 214 ),6025772.340000000782311,6619198.239999999292195,12644970.580000000074506
FS( 215 ),6064277.979999999515712,6626473.199999999254942,12690751.179999999701977
FS( 216 ),5993982.799999999813735,6658690.879999998956919,12652673.679999999701977
FS( 217 ),5982789.299999999813735,6649337.359999999403954,12632126.660000000149012
FS( 218 ),5955477.159999999217689,6628551.759999999776483,12584028.919999998062849
FS( 219 ),6016817.540000000037253,6631149.959999999962747,12647967.500000000000000
FS( 220 ),5992639.580000000074506,6593735.879999999888241,12586375.460000000894070
FS( 221 ),6016369.799999999813735,6625953.560000000521541,12642323.359999999403954
FS( 222 ),6045025.159999999217689,6639983.839999999850988,12685009.000000000000000
FS( 223 ),6125170.620000000111759,6695585.319999999366701,12820755.939999999478459
FS( 224 ),6064277.979999999515712,6696104.960000000894070,12760382.940000001341105
FS( 225 ),6053084.479999999515712,6679996.120000000111759,12733080.599999999627471
FS( 226 ),6026667.819999999366701,6536575.480000000447035,12563243.300000000745058
FS( 227 ),6074128.259999999776483,6521505.919999999925494,12595634.179999999701977
FS( 228 ),6073680.520000000484288,6623355.359999999403954,12697035.879999998956919
FS( 229 ),6059800.580000000074506,6636346.359999999403954,12696146.939999999478459
FS( 230 ),6078157.919999999925494,6667005.120000000111759,12745163.039999999105930
FS( 231 ),5942940.439999999478459,6647258.799999999813735,12590199.239999998360872
FS( 232 ),5994878.279999999329448,6572950.279999999329448,12567828.559999998658895
FS( 233 ),6091590.120000000111759,6661808.719999999739230,12753398.839999999850988
FS( 234 ),6023981.379999999888241,6672201.520000000484288,12696182.900000000372529
FS( 235 ),6051741.259999999776483,6720528.040000000968575,12772269.300000000745058
FS( 236 ),6029801.999999999068677,6717929.839999999850988,12747731.839999999850988
FS( 237 ),6075919.219999999739230,6785483.040000000968575,12861402.260000001639128
FS( 238 ),6100097.180000000633299,6798474.040000000968575,12898571.220000002533197
FS( 239 ),6156960.159999999217689,6838486.319999999366701,12995446.479999998584390
FS( 240 ),6013235.620000000111759,6710654.879999998956919,12723890.500000000000000
FS( 241 ),6008310.479999999515712,6761579.600000000558794,12769890.080000000074506
FS( 242 ),5960850.040000000037253,6694546.040000000968575,12655396.080000001937151
FS( 243 ),6059800.580000000074506,6736636.879999998956919,12796437.459999999031425
FS( 244 ),5910255.419999999925494,6635307.080000000074506,12545562.500000000000000
FS( 245 ),5899957.400000000372529,6558400.359999999403954,12458357.759999999776483
FS( 246 ),5898166.439999999478459,6510593.480000000447035,12408759.919999999925494
FS( 247 ),5903539.319999999366701,6368731.759999999776483,12272271.079999998211861
FS( 248 ),5884286.499999999068677,6381722.759999999776483,12266009.259999997913837
FS( 249 ),5971148.060000000521541,6440961.719999999739230,12412109.780000001192093
FS( 250 ),5963984.219999999739230,6405106.560000000521541,12369090.780000001192093
FS( 251 ),6002042.120000000111759,6432647.480000000447035,12434689.600000001490116
FS( 252 ),5997116.979999999515712,6404586.919999999925494,12401703.899999998509884
FS( 253 ),5915628.299999999813735,6342749.759999999776483,12258378.059999998658895
