訓練日期,20091112 - 20100217
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11242410.240000000223517
真實報酬,1242410.240000000223517

夏普值報酬,0.115541024000000
夏普值風險,0.034229494860975
夏普值,3.375481422360298

預期報酬,19899.189248385195242
風險,160540.645547057589283
趨勢值,0.123951097745850
找到最佳解世代,2052
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),HD[9](4),MCD[15](11),UNH[23](2),
20091231,2691425.850000000093132,2655101.440000000409782,2510857.239999999757856,2649512.719999999739230,10506897.250000000000000
20100104,2793353.899999999906868,2631239.680000000167638,2524529.319999999832362,2740785.020000000018626,10689907.919999999925494
20100105,2884840.540000000037253,2650512.640000000130385,2505227.560000000055879,2736438.719999999739230,10777019.460000000894070
20100106,2972349.500000000000000,2641335.040000000502914,2471047.359999999869615,2763385.779999999795109,10848117.679999999701977
20100107,3092674.320000000298023,2672538.880000000353903,2489142.759999999776483,2869435.499999999534339,11123791.460000000894070
20100108,3062841.720000000204891,2659690.240000000223517,2486730.040000000037253,2842488.439999999944121,11051750.440000001341105
20100111,3026545.390000000130385,2584433.920000000391155,2506031.799999999813735,2861612.159999999683350,10978623.269999999552965
20100112,3004668.149999999906868,2567914.240000000223517,2519703.879999999888241,2785986.539999999571592,10878272.810000000521541
20100113,3040964.479999999981374,2581680.640000000130385,2516889.040000000037253,2828580.279999999795109,10968114.439999999478459
20100114,3060852.880000000353903,2597282.560000000521541,2519301.759999999776483,2896382.559999999590218,11073819.760000001639128
20100115,3024059.340000000316650,2622062.080000000074506,2504423.319999999832362,2933760.739999999757856,11084305.480000000447035
20100119,3015606.770000000018626,2650512.640000000130385,2552677.719999999739230,3053718.620000000111759,11272515.750000000000000
20100120,2993232.320000000298023,2630321.920000000391155,2533778.080000000074506,3003301.539999999571592,11160633.859999999403954
20100121,2943511.320000000298023,2613802.240000000223517,2541418.359999999869615,2877258.839999999850988,10975990.759999999776483
20100122,2872410.290000000037253,2544052.479999999981374,2549058.640000000130385,2882474.399999999441206,10847995.809999998658895
20100125,2872907.500000000000000,2534874.880000000353903,2536995.040000000037253,2868566.239999999757856,10813343.660000000149012
20100126,2869427.030000000260770,2544970.240000000223517,2565947.680000000167638,2819887.679999999701977,10800232.630000000819564
20100127,3079249.649999999906868,2555065.600000000093132,2562730.719999999739230,2889428.479999999981374,11086474.449999999254942
20100128,3110573.880000000353903,2509177.600000000093132,2526539.919999999925494,2905944.419999999925494,11052235.820000000298023
20100129,3013120.720000000204891,2570667.520000000484288,2510455.120000000111759,2868566.239999999757856,10962809.599999999627471
20100201,3067813.820000000298023,2605542.400000000372529,2569164.640000000130385,2879866.620000000111759,11122387.480000000447035
20100202,3079746.859999999869615,2664279.040000000502914,2574794.319999999832362,2959838.539999999571592,11278658.759999999776483
20100203,3055880.780000000260770,2612884.479999999981374,2622244.479999999515712,2896382.559999999590218,11187392.299999998882413
20100204,2949477.840000000316650,2563325.440000000409782,2576000.680000000167638,2821626.199999999720603,10910430.160000000149012
20100205,2903734.520000000018626,2567914.240000000223517,2548254.399999999906868,2828580.279999999795109,10848483.439999999478459
20100208,2878376.810000000055879,2623897.600000000093132,2530159.000000000000000,2817279.899999999441206,10849713.309999998658895
20100209,2970360.660000000149012,2649594.880000000353903,2556296.799999999813735,2868566.239999999757856,11044818.580000000074506
20100210,2960416.459999999962747,2629404.160000000149012,2543428.959999999962747,2843357.699999999720603,10976607.279999999329448
20100211,3012623.510000000242144,2660608.000000000000000,2565143.439999999944121,2878997.359999999403954,11117372.309999998658895
20100212,2965885.770000000018626,2661525.760000000242144,2557101.040000000037253,2797286.919999999925494,10981799.490000000223517
20100216,3045936.580000000074506,2701907.200000000186265,2573990.080000000074506,2749477.619999999646097,11071311.480000000447035
20100217,3073780.340000000316650,2755137.280000000260770,2584043.080000000074506,2829449.539999999571592,11242410.240000000223517
