訓練日期,20180323 - 20180625
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11402722.970000000670552
真實報酬,1402722.970000000670552

夏普值報酬,0.131572297000000
夏普值風險,0.045271792009922
夏普值,2.906275434627444

預期報酬,27481.278604601506231
風險,118472.004438995194505
趨勢值,0.231964325536101
找到最佳解世代,2527
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](3),NKE[19](4),UNH[23](2),V[25](1),
20180503,2665735.889999999664724,2587805.870000000577420,2754037.599999999627471,2717516.060000000055879,10725095.419999999925494
20180504,2692509.729999999515712,2634223.069999999832362,2774619.349999999627471,2738455.719999999739230,10839807.869999997317791
20180507,2671119.759999999776483,2682187.510000000242144,2749686.029999999795109,2761959.419999999925494,10864952.719999998807907
20180508,2692655.239999999757856,2648148.229999999981374,2729104.279999999795109,2775634.300000000279397,10845542.050000000745058
20180509,2711862.560000000055879,2628420.920000000391155,2695938.259999999776483,2795719.280000000260770,10831941.019999999552965
20180510,2723503.359999999869615,2627260.490000000223517,2748862.759999999776483,2795719.280000000260770,10895345.890000000596046
20180511,2769339.009999999776483,2646987.800000000279397,2802610.529999999795109,2816658.939999999944121,11035596.279999999329448
20180514,2780543.279999999795109,2662847.010000000242144,2856946.349999999627471,2803625.070000000298023,11103961.710000000894070
20180515,2735435.179999999701977,2688376.470000000204891,2816958.949999999720603,2801274.699999999720603,11042045.299999998882413
20180516,2712153.579999999608845,2759549.510000000242144,2843068.369999999646097,2796787.629999999888241,11111559.089999999850988
20180517,2696875.029999999795109,2744077.110000000335276,2857652.009999999776483,2776275.310000000055879,11074879.460000000894070
20180518,2727286.619999999646097,2758775.890000000130385,2877410.489999999757856,2776275.310000000055879,11139748.310000000521541
20180521,2761772.489999999757856,2761096.750000000000000,2915751.349999999627471,2791873.219999999739230,11230493.809999998658895
20180522,2719283.569999999832362,2758389.080000000074506,2883761.429999999701977,2792941.570000000298023,11154375.650000000372529
20180523,2716373.369999999646097,2759549.510000000242144,2872941.309999999590218,2817940.959999999962747,11166805.149999998509884
20180524,2723357.849999999627471,2792041.550000000279397,2854946.979999999515712,2818154.629999999888241,11188501.009999999776483
20180525,2718992.549999999813735,2794749.220000000204891,2881056.399999999441206,2805120.760000000242144,11199918.929999997839332
20180529,2692073.199999999720603,2743303.490000000223517,2848360.819999999366701,2771147.229999999981374,11054884.739999998360872
20180530,2722484.789999999571592,2793975.600000000558794,2880938.789999999571592,2791445.879999999888241,11188845.059999998658895
20180531,2714627.250000000000000,2777342.770000000018626,2840598.559999999590218,2793155.239999999757856,11125723.819999998435378
20180601,2726268.049999999813735,2814476.530000000260770,2862238.799999999813735,2795932.949999999720603,11198916.329999998211861
20180604,2784617.560000000055879,2855865.200000000186265,2877292.879999999888241,2843367.689999999944121,11361143.330000000074506
20180605,2793057.139999999664724,2864375.020000000018626,2874940.679999999701977,2853837.520000000018626,11386210.359999999403954
20180606,2817066.289999999571592,2891451.720000000204891,2924572.099999999627471,2911955.760000000242144,11545045.869999999180436
20180607,2854607.869999999646097,2891838.530000000260770,2928453.229999999515712,2859820.280000000260770,11534719.910000000149012
20180608,2886038.029999999795109,2897253.870000000577420,2948446.929999999701977,2879050.580000000074506,11610789.410000000149012
20180611,2905099.839999999385327,2885262.760000000242144,2984906.029999999795109,2861315.969999999739230,11636584.599999997764826
20180612,2929400.009999999776483,2873658.460000000428408,2982553.830000000074506,2881614.620000000111759,11667226.920000001788139
20180613,2914849.009999999776483,2866695.880000000353903,2974203.519999999552965,2871785.800000000279397,11627534.210000000894070
20180614,2905536.369999999646097,2889517.670000000391155,3003135.580000000074506,2884606.000000000000000,11682795.620000001043081
20180615,2918195.739999999757856,2933614.010000000242144,3010780.229999999515712,2886742.699999999720603,11749332.679999999701977
20180618,2920378.389999999664724,2924717.380000000353903,2997725.519999999552965,2910246.399999999906868,11753067.689999999478459
20180619,2898842.909999999683350,2872498.030000000260770,2975967.669999999925494,2886956.370000000111759,11634264.980000000447035
20180620,2896951.279999999795109,2890291.290000000037253,2973497.859999999869615,2895289.500000000000000,11656029.929999999701977
20180621,2914849.009999999776483,2860120.110000000335276,2962677.739999999757856,2874563.510000000242144,11612210.369999999180436
20180622,2872651.109999999869615,2840392.800000000279397,2991845.019999999552965,2891657.110000000335276,11596546.039999999105930
20180625,2857663.579999999608845,2798617.319999999832362,2948799.759999999776483,2797642.310000000055879,11402722.970000000670552
