訓練日期,20110112 - 20110414
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10990001.079999998211861
真實報酬,990001.079999998211861

夏普值報酬,0.090300108000000
夏普值風險,0.032104901228398
夏普值,2.812658022449381

預期報酬,17031.391545828217204
風險,90733.135466723411810
趨勢值,0.187708618887909
找到最佳解世代,2247
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](1),MCD[15](13),PFE[20](2),
20110315,3649895.900000000372529,3402172.280000000260770,3585555.450000000186265,10637624.630000000819564
20110316,3587881.300000000279397,3323369.419999999925494,3502086.149999999906868,10413337.870000001043081
20110317,3686311.449999999720603,3324275.200000000186265,3607330.049999999813735,10617917.699999999254942
20110318,3706502.250000000000000,3305706.709999999962747,3661766.549999999813735,10673976.509999999776483
20110321,3792673.699999999720603,3340579.240000000223517,3625475.549999999813735,10758729.489999998360872
20110322,3794115.900000000372529,3345561.030000000260770,3618217.350000000093132,10757895.280000001192093
20110323,3803129.650000000372529,3375451.770000000018626,3614588.250000000000000,10793170.669999999925494
20110324,3799524.149999999906868,3393567.370000000577420,3683541.149999999906868,10876633.669999999925494
20110325,3850001.149999999906868,3408059.850000000093132,3692613.900000000372529,10950675.900000000372529
20110328,3823320.450000000186265,3396737.600000000093132,3678097.500000000000000,10898156.550000000745058
20110329,3871273.600000000093132,3413494.530000000260770,3698057.549999999813735,10982826.679999999701977
20110330,3894348.800000000279397,3433421.690000000409782,3690799.350000000093132,11018570.839999999850988
20110331,3875600.199999999720603,3446102.610000000335276,3685355.699999999720603,11007059.509999999776483
20110401,3905525.849999999627471,3441573.709999999962747,3698057.549999999813735,11045158.109999999403954
20110404,3902280.900000000372529,3459689.310000000055879,3727090.349999999627471,11089061.560000000521541
20110405,3941941.399999999906868,3469200.000000000000000,3710759.399999999906868,11121901.800000000745058
20110406,3917784.549999999813735,3474634.680000000167638,3681726.599999999627471,11074146.830000000074506
20110407,3927879.949999999720603,3442479.490000000223517,3688984.799999999813735,11059345.239999998360872
20110408,3953839.549999999813735,3443838.160000000149012,3712573.950000000186265,11110252.660000000149012
20110411,3886056.149999999906868,3453348.850000000093132,3750679.500000000000000,11090085.500000000000000
20110412,3756258.150000000372529,3471917.339999999850988,3712573.950000000186265,10940750.440000001341105
20110413,3742917.800000000279397,3482333.810000000055879,3712573.950000000186265,10937826.560000000521541
20110414,3781496.649999999906868,3490485.829999999608845,3718017.599999999627471,10990001.079999998211861
