訓練日期,20130515 - 20130815
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11175189.859999999403954
真實報酬,1175189.859999999403954

夏普值報酬,0.108818986000000
夏普值風險,0.041437915457064
夏普值,2.626072880349235

預期報酬,26437.977357390700490
風險,186891.470548115001293
趨勢值,0.141461658361687
找到最佳解世代,1791
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](3),MMM[16](8),UNH[23](1),
20130612,3770232.239999999757856,3259492.350000000093132,3453441.659999999683350,10483167.250000000000000
20130613,3826809.120000000111759,3324364.500000000000000,3470754.620000000111759,10621929.240000000223517
20130614,3785948.040000000037253,3319282.350000000093132,3451818.569999999832362,10557049.960000000894070
20130617,3881814.419999999925494,3345589.949999999720603,3482657.280000000260770,10710062.649999998509884
20130618,3900673.379999999888241,3377278.649999999906868,3553532.210000000428408,10831485.240000000223517
20130619,3878671.259999999776483,3335425.649999999906868,3530808.950000000186265,10744906.859999999403954
20130620,3840953.339999999850988,3252018.600000000093132,3451818.569999999832362,10544791.509999999776483
20130621,3847239.659999999683350,3276233.550000000279397,3457228.869999999646097,10580703.080000000074506
20130624,3781233.299999999813735,3213753.000000000000000,3497806.120000000111759,10492793.419999999925494
20130625,3773375.399999999906868,3235875.299999999813735,3448031.359999999869615,10457283.059999998658895
20130626,3833095.439999999944121,3278924.100000000093132,3504839.509999999776483,10616860.050000000745058
20130627,3870813.359999999869615,3295665.299999999813735,3575714.439999999944121,10742194.099999999627471
20130628,3825237.540000000037253,3269058.750000000000000,3542711.610000000335276,10637008.900000000372529
20130701,3825237.540000000037253,3267862.950000000186265,3550827.059999999590218,10643928.550000000745058
20130702,3822094.379999999888241,3250523.850000000093132,3531349.979999999515712,10603969.210000000894070
20130703,3864527.040000000037253,3272048.250000000000000,3545957.790000000037253,10682534.080000000074506
20130705,3861383.879999999888241,3334528.800000000279397,3580042.680000000167638,10775956.359999999403954
20130708,3870813.359999999869615,3352166.850000000093132,3655245.850000000093132,10878227.060000000521541
20130709,3954107.099999999627471,3388638.750000000000000,3677428.080000000074506,11020174.929999999701977
20130710,3993396.599999999627471,3391030.350000000093132,3662279.239999999757856,11046707.189999999478459
20130711,4065689.279999999795109,3423914.850000000093132,3698528.250000000000000,11188133.379999998956919
20130712,4076690.339999999850988,3442150.799999999813735,3679051.169999999925494,11197893.309999998658895
20130715,4075118.759999999776483,3433481.250000000000000,3658492.030000000260770,11167093.039999999105930
20130716,4040544.000000000000000,3418234.800000000279397,3620078.899999999906868,11078858.700000001117587
20130717,4042115.579999999608845,3427203.299999999813735,3583288.860000000335276,11052608.739999998360872
20130718,4064117.699999999720603,3452315.100000000093132,3817013.819999999832362,11333447.619999999180436
20130719,4057831.379999999888241,3473540.549999999813735,3865706.520000000018626,11397079.449999999254942
20130722,4042115.579999999608845,3476231.100000000093132,3905201.710000000428408,11423549.390000000596046
20130723,4016970.299999999813735,3490281.750000000000000,3932794.239999999757856,11440047.289999999105930
20130724,4021685.040000000037253,3477725.850000000093132,3924137.759999999776483,11423549.650000000372529
20130725,4007540.819999999832362,3484302.750000000000000,3929007.030000000260770,11420851.600000001490116
20130726,4007540.819999999832362,3495064.949999999720603,3906824.799999999813735,11409431.570000000298023
20130729,3980823.959999999497086,3486096.450000000186265,3938204.540000000037253,11405125.949999999254942
20130730,4034257.680000000167638,3492972.300000000279397,3910070.979999999515712,11437301.960000000894070
20130731,4021685.040000000037253,3510610.350000000093132,3941450.719999999739230,11473747.109999999403954
20130801,4068832.439999999944121,3539907.449999999720603,3958222.649999999906868,11566963.539999999105930
20130802,4115979.839999999850988,3535423.200000000186265,3909529.950000000186265,11560933.990000000223517
20130805,4134838.799999999813735,3525258.899999999906868,3967961.189999999944121,11628059.889999998733401
20130806,4119123.000000000000000,3512703.000000000000000,3962550.889999999664724,11594377.890000000596046
20130807,4104978.779999999795109,3522568.350000000093132,3945237.930000000167638,11572786.060000000521541
20130808,4126980.899999999906868,3547979.100000000093132,3959304.710000000428408,11634265.710000000894070
20130809,4093977.719999999739230,3536917.950000000186265,3945778.960000000428408,11576675.630000000819564
20130812,4139553.540000000037253,3539010.600000000093132,3916563.339999999850988,11595128.480000000447035
20130813,4136410.379999999888241,3547680.149999999906868,3968502.219999999739230,11652593.750000000000000
20130814,4145839.859999999869615,3516290.399999999906868,3921973.639999999664724,11584104.899999998509884
20130815,3848811.239999999757856,3463376.250000000000000,3863001.370000000111759,11175189.859999999403954
