代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15199483.270000001415610
真實報酬,5199483.270000001415610

夏普值報酬,0.511248327000000
夏普值風險,0.127290026681965
夏普值,4.016405215134081

預期報酬,22345.794829276004748
風險,233944.601509389991406
趨勢值,0.095517463045109
找到最佳解世代,2360
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),MCD[15](15),UNH[23](3),VZ[26](2),
20100712,2644830.400000000372529,2614771.949999999720603,2583419.029999999795109,2573843.119999999646097,10416864.499999998137355
20100713,2748104.350000000558794,2648418.449999999720603,2592018.929999999701977,2612707.919999999925494,10601249.650000000372529
20100714,2744401.300000000279397,2650661.549999999813735,2607498.750000000000000,2607849.819999999832362,10610411.419999999925494
20100715,2736583.750000000465661,2666737.099999999627471,2655658.189999999944121,2603963.339999999850988,10662942.379999998956919
20100716,2630841.100000000093132,2614771.949999999720603,2609218.729999999981374,2593275.520000000018626,10448107.299999998882413
20100719,2666225.800000000279397,2613650.399999999906868,2650498.250000000000000,2596190.379999999422580,10526564.830000000074506
20100720,2733292.150000000372529,2649540.000000000000000,2651358.239999999757856,2591332.279999999795109,10625522.669999999925494
20100721,2751395.950000000651926,2621127.399999999906868,2640178.369999999646097,2576757.979999999515712,10589459.699999999254942
20100722,2797889.800000000279397,2669354.049999999813735,2665978.069999999832362,2623395.739999999757856,10756617.660000000149012
20100723,2851789.750000000465661,2613276.549999999813735,2659098.149999999906868,2722500.979999999515712,10846665.429999999701977
20100726,2879768.350000000093132,2649540.000000000000000,2706397.599999999627471,2747763.100000000093132,10983469.049999998882413
20100727,2846440.900000000372529,2631969.049999999813735,2647058.290000000037253,2777883.319999999832362,10903351.560000000521541
20100728,2868659.200000000186265,2608416.499999999534339,2608358.739999999757856,2808975.159999999683350,10894409.599999999627471
20100729,2855492.800000000745058,2593836.349999999627471,2617818.629999999888241,2806060.299999999813735,10873208.080000000074506
20100730,2869893.550000000279397,2606921.100000000093132,2618678.619999999646097,2823549.459999999497086,10919042.729999998584390
20100802,2923382.050000000279397,2626361.299999999813735,2703817.629999999888241,2872130.459999999497086,11125691.439999999478459
20100803,2895403.450000000651926,2633838.299999999813735,2788096.649999999906868,2870187.219999999739230,11187525.620000001043081
20100804,2926262.200000000651926,2642810.699999999720603,2830236.159999999683350,2856584.539999999571592,11255893.599999999627471
20100805,2960824.000000000000000,2633838.299999999813735,2874095.649999999906868,2871158.839999999850988,11339916.789999999105930
20100806,2944366.000000000465661,2682064.949999999720603,2876675.620000000111759,2871158.839999999850988,11374265.410000000149012
20100809,2965349.950000000186265,2726179.250000000000000,2880115.580000000074506,2901279.059999999590218,11472923.839999999850988
20100810,2938605.700000000186265,2723188.449999999720603,2866355.739999999757856,2916824.979999999515712,11444974.870000001043081
20100811,2827102.750000000000000,2675709.499999999534339,2751117.079999999608845,2872130.459999999497086,11126059.789999999105930
20100812,2777317.300000000279397,2694028.149999999906868,2763156.939999999944121,2945973.579999999608845,11180475.970000000670552
20100813,2798301.250000000465661,2687672.699999999720603,2754557.040000000037253,2917796.600000000093132,11158327.589999999850988
20100816,2818050.850000000093132,2683934.200000000186265,2743377.169999999925494,2910995.259999999776483,11156357.480000000447035
20100817,2869482.100000000093132,2737394.750000000000000,2782076.719999999739230,2931399.279999999795109,11320352.849999999627471
20100818,2869893.550000000279397,2738516.299999999813735,2798416.529999999795109,2929456.039999999571592,11336282.419999998062849
20100819,2850966.850000000558794,2728048.500000000000000,2733917.279999999795109,2877960.179999999701977,11190892.810000000521541
20100820,2833274.500000000465661,2732160.849999999627471,2718437.459999999962747,2853669.679999999701977,11137542.489999998360872
20100823,2750161.600000000558794,2741880.949999999720603,2708977.569999999832362,2857556.159999999683350,11058576.280000001192093
20100824,2676100.600000000558794,2718702.250000000000000,2669418.029999999795109,2863385.879999999422580,10927606.759999999776483
20100825,2662111.300000000279397,2736273.199999999720603,2748537.109999999869615,2881846.659999999683350,11028768.269999999552965
20100826,2631252.550000000279397,2735151.649999999906868,2739077.219999999739230,2866300.739999999757856,10971782.160000000149012
20100827,2711485.300000000745058,2766181.199999999720603,2783796.699999999720603,2899335.819999999832362,11160799.019999999552965
20100830,2652647.950000000186265,2719449.949999999720603,2744237.159999999683350,2860471.020000000018626,10976806.080000000074506
20100831,2681038.000000000000000,2731413.149999999906868,2727897.349999999627471,2869215.600000000093132,11009564.099999999627471
20100901,2804473.000000000000000,2786742.950000000186265,2802716.479999999981374,2940143.859999999869615,11334076.289999999105930
20100902,2820108.100000000558794,2804687.749999999534339,2825936.209999999962747,2925569.559999999590218,11376301.619999997317791
20100903,2883471.400000000372529,2807304.699999999720603,2916235.159999999683350,2934314.139999999664724,11541325.399999998509884
20100907,2867836.300000000279397,2833848.049999999813735,2905055.290000000037253,2936257.379999999422580,11542997.019999999552965
20100908,2910627.100000000093132,2844315.849999999627471,2911075.219999999739230,2959576.259999999776483,11625594.429999997839332
20100909,2906512.600000000093132,2780387.500000000000000,2925695.050000000279397,2996497.819999999832362,11609092.970000000670552
20100910,2932022.500000000465661,2804313.899999999906868,2966114.580000000074506,2994554.579999999608845,11697005.560000000521541
20100913,2972344.600000000093132,2787864.499999999534339,2985894.349999999627471,3002327.539999999571592,11748430.989999998360872
20100914,2955475.150000000372529,2764311.949999999720603,2976434.459999999962747,3003299.159999999683350,11699520.719999998807907
20100915,2967818.649999999906868,2793098.399999999441206,2947194.800000000279397,3030504.520000000018626,11738616.369999999180436
20100916,2962469.800000000279397,2796463.049999999813735,2944614.830000000074506,3052851.779999999795109,11756399.459999999031425
20100917,3011020.900000000372529,2778518.249999999534339,2935154.939999999944121,3078113.899999999906868,11802807.990000000223517
20100920,3075618.550000000279397,2808052.399999999906868,3003954.139999999664724,3117950.320000000298023,12005575.410000000149012
20100921,3143096.350000000093132,2823006.399999999906868,3032333.809999999590218,3140297.579999999608845,12138734.139999998733401
20100922,3134455.900000000372529,2808800.099999999627471,3068453.389999999664724,3147098.919999999925494,12158808.310000000521541
20100923,3137747.500000000465661,2790481.449999999720603,3047813.629999999422580,3125723.279999999795109,12101765.859999999403954
20100924,3280520.650000000372529,2807678.549999999813735,3072753.339999999385327,3171389.419999999925494,12332341.959999999031425
20100927,3272703.100000000558794,2794967.649999999906868,3040073.719999999739230,3192765.059999999590218,12300509.529999997466803
20100928,3278051.950000000186265,2790107.599999999627471,3013414.029999999795109,3179162.379999999422580,12260735.959999999031425
20100929,3291218.350000000093132,2783378.299999999813735,3027173.870000000111759,3173332.659999999217689,12275103.179999999701977
20100930,3237318.400000000372529,2785621.399999999906868,3019433.959999999962747,3166531.320000000298023,12208905.080000001937151
20101001,3218391.700000000186265,2800949.250000000000000,3046953.639999999664724,3195679.919999999925494,12261974.509999999776483
20101004,3179303.950000000186265,2802070.799999999813735,2970414.529999999795109,3209282.600000000093132,12161071.879999998956919
20101005,3266942.800000000745058,2834595.749999999534339,3015994.000000000000000,3261750.079999999608845,12379282.630000000819564
20101006,3244724.500000000465661,2818894.049999999813735,2928275.019999999552965,3230658.239999999757856,12222551.810000000521541
20101007,3239787.100000000093132,2836091.149999999906868,2953214.729999999981374,3199566.399999999906868,12228659.380000000819564
20101008,3306853.450000000651926,2845063.549999999813735,2954074.719999999739230,3189850.199999999720603,12295841.919999998062849
20101011,3290806.900000000372529,2825997.199999999720603,2979874.419999999925494,3209282.600000000093132,12305961.119999999180436
20101012,3264474.100000000558794,2825623.349999999627471,3011694.050000000279397,3161673.219999999739230,12263464.719999998807907
20101013,3303561.850000000558794,2831978.799999999813735,3037493.750000000000000,3129609.759999999776483,12302644.160000000149012
20101014,3287926.750000000000000,2880205.450000000186265,3077053.290000000037253,3151957.019999999552965,12397142.509999999776483
20101015,3281343.550000000279397,2896654.850000000093132,3094253.089999999385327,3150985.399999999906868,12423236.890000000596046
20101018,3301504.600000000093132,2890673.249999999534339,3117472.819999999832362,3166531.320000000298023,12476181.990000000223517
20101019,3231969.550000000279397,2878336.199999999720603,3035773.769999999552965,3124751.659999999217689,12270831.179999999701977
20101020,3304796.200000000186265,2894037.899999999906868,3158752.339999999385327,3171389.419999999925494,12528975.859999999403954
20101021,3245958.850000000093132,2932544.449999999720603,3138112.580000000074506,3159729.979999999981374,12476345.859999999403954
20101022,3222917.650000000372529,2936656.799999999813735,3204331.809999999590218,3117950.320000000298023,12481856.580000000074506
20101025,3252542.050000000279397,2942264.549999999813735,3230131.510000000242144,3143212.439999999944121,12568150.549999998882413
20101026,3236084.050000000745058,2944507.649999999906868,3230991.500000000000000,3157786.739999999757856,12569369.940000001341105
20101027,3218391.700000000186265,2896654.850000000093132,3089953.139999999664724,3158758.359999999403954,12363758.050000000745058
20101028,3198642.100000000093132,2896654.850000000093132,3117472.819999999832362,3149042.159999999217689,12361811.929999999701977
20101029,3234026.799999999813735,2907496.499999999534339,3100273.019999999552965,3155843.499999999534339,12397639.819999998435378
20101101,3261593.950000000186265,2911608.849999999627471,3105432.959999999962747,3148070.539999999571592,12426706.299999998882413
20101102,3281343.550000000279397,2931049.049999999813735,3181972.069999999832362,3186935.339999999385327,12581300.009999999776483
20101103,3286692.399999999906868,2934787.549999999813735,3152732.409999999683350,3205396.120000000111759,12579608.480000000447035
20101104,3422470.900000000372529,2960209.350000000093132,3164772.269999999552965,3256891.979999999981374,12804344.500000000000000
20101105,3437283.100000000558794,2964695.549999999813735,3169932.209999999962747,3248147.399999999906868,12820058.259999999776483
20101108,3420002.200000000651926,2965069.399999999906868,3192291.949999999720603,3222885.279999999795109,12800248.830000000074506
20101109,3370216.750000000000000,2957218.549999999813735,3180252.089999999385327,3207339.359999999403954,12715026.749999998137355
20101110,3392846.500000000000000,2972172.549999999813735,3195731.909999999683350,3191793.439999999944121,12752544.399999998509884
20101111,3392023.600000000093132,2979649.549999999813735,3222391.599999999627471,3170417.799999999813735,12764482.550000000745058
20101112,3334420.600000000558794,2947872.299999999813735,3153592.399999999906868,3163616.459999999962747,12599501.760000001639128
20101115,3366513.700000000186265,2956096.999999999534339,3050393.599999999627471,3184020.479999999981374,12557024.779999999329448
20101116,3306853.450000000651926,2894411.750000000000000,3010834.059999999590218,3127666.519999999552965,12339765.780000001192093
20101117,3339769.450000000186265,2929927.500000000000000,3038353.739999999757856,3142240.820000000298023,12450291.509999999776483
20101118,3419590.750000000465661,2954227.749999999534339,3064153.439999999944121,3172361.039999999571592,12610332.979999998584390
20101119,3454975.450000000186265,2977406.449999999720603,3095973.069999999832362,3166531.320000000298023,12694886.290000000968575
20101122,3456209.800000000279397,2972920.249999999534339,3135532.609999999869615,3157786.739999999757856,12722449.400000000372529
20101123,3399841.149999999906868,2953853.899999999906868,3100273.019999999552965,3147098.919999999925494,12601066.990000000223517
20101124,3484599.850000000093132,2971424.850000000093132,3111452.889999999664724,3143212.439999999944121,12710690.029999999329448
20101126,3461558.649999999906868,2936282.950000000186265,3085653.189999999944121,3129609.759999999776483,12613104.549999998882413
20101129,3442631.950000000186265,2925815.149999999906868,3146712.479999999981374,3099489.539999999571592,12614649.119999999180436
20101130,3480896.799999999813735,2927310.549999999813735,3140692.550000000279397,3110177.359999999403954,12659077.259999999776483
20101201,3598160.050000000279397,2964321.700000000186265,3239591.399999999906868,3143212.439999999944121,12945285.589999999850988
20101202,3646299.700000000651926,2967686.349999999627471,3272271.019999999552965,3181105.620000000111759,13067362.690000001341105
20101203,3677569.899999999906868,2981892.649999999906868,3252491.250000000000000,3196651.539999999571592,13108605.339999999850988
20101206,3670163.800000000279397,2975163.349999999627471,3206911.779999999795109,3195679.919999999925494,13047918.849999999627471
20101207,3717480.549999999813735,3003575.949999999720603,3162192.300000000279397,3201509.640000000130385,13084758.440000001341105
20101208,3687444.700000000651926,2943759.949999999720603,3168212.229999999981374,3204424.499999999534339,13003841.380000000819564
20101209,3689501.950000000186265,2901514.899999999906868,3151872.419999999925494,3260778.459999999962747,13003667.730000000447035
20101210,3700611.100000000093132,2899645.649999999906868,3153592.399999999906868,3307416.219999999739230,13061265.370000001043081
20101213,3770146.149999999906868,2882822.399999999906868,3173372.169999999925494,3314217.559999999590218,13140558.279999997466803
20101214,3789072.850000000558794,2882822.399999999906868,3138972.569999999832362,3368628.279999999795109,13179496.099999999627471
20101215,3831452.200000000651926,2877962.350000000093132,3048673.620000000111759,3364741.799999999813735,13122829.970000002533197
20101216,3834743.800000000279397,2867868.399999999441206,3062433.459999999962747,3377372.859999999403954,13142418.519999999552965
20101217,3809645.350000000558794,2871606.899999999906868,3014274.019999999552965,3365713.419999999925494,13061239.689999999478459
20101220,3838858.300000000279397,2875719.250000000000000,3025453.889999999664724,3375429.620000000111759,13115461.060000002384186
20101221,3893581.149999999906868,2873476.149999999906868,3038353.739999999757856,3394862.019999999552965,13200273.059999998658895
20101222,3891112.450000000186265,2879083.899999999906868,3082213.229999999981374,3418180.899999999906868,13270590.480000000447035
20101223,3886175.050000000279397,2877214.649999999441206,3076193.300000000279397,3443443.019999999552965,13283026.019999999552965
20101227,3870539.950000000186265,2857400.600000000093132,3056413.529999999795109,3449272.739999999757856,13233626.820000000298023
20101228,3854904.850000000093132,2857400.600000000093132,3071893.349999999627471,3460932.179999999701977,13245130.980000000447035
20101229,3858607.900000000372529,2878336.199999999720603,3088233.159999999683350,3457045.699999999720603,13282222.959999999031425
20101230,3862310.950000000651926,2869737.649999999906868,3090813.129999999422580,3455102.459999999962747,13277964.190000001341105
20101231,3853670.500000000000000,2869737.649999999906868,3105432.959999999962747,3476478.100000000093132,13305319.209999999031425
20110103,3873831.550000000745058,2863756.049999999813735,3193151.939999999944121,3539633.399999999906868,13470372.940000001341105
20110104,3855727.750000000000000,2778144.399999999906868,3222391.599999999627471,3610561.659999999217689,13466825.410000000149012
20110105,3889055.200000000186265,2791229.149999999906868,3232711.479999999981374,3660114.279999999795109,13573110.109999999403954
20110106,3848733.100000000558794,2774405.899999999441206,3299790.699999999720603,3520200.999999999534339,13443130.699999999254942
20110107,3856550.650000000372529,2780387.500000000000000,3306670.620000000111759,3491052.399999999906868,13434661.169999999925494
20110110,3842561.350000000093132,2750105.649999999906868,3306670.620000000111759,3490080.779999999795109,13389418.400000000372529
20110111,3865602.550000000279397,2762816.549999999813735,3360849.989999999757856,3435670.059999999590218,13424939.149999998509884
20110112,3846675.850000000093132,2751601.049999999813735,3341930.209999999962747,3446357.879999999422580,13386564.989999998360872
20110113,3873420.100000000093132,2716833.000000000000000,3405569.469999999739230,3478421.339999999385327,13474243.910000000149012
20110114,3868071.250000000465661,2768798.149999999906868,3506188.300000000279397,3445386.259999999776483,13588443.960000000894070
20110118,3959413.150000000372529,2791976.850000000093132,3515648.189999999944121,3338508.059999999590218,13605546.250000000000000
20110119,3931023.100000000558794,2817024.799999999813735,3488128.510000000242144,3361826.939999999944121,13598003.349999999627471
20110120,3851613.250000000465661,2809921.649999999906868,3466628.760000000242144,3362798.559999999590218,13490962.219999998807907
20110121,3816228.550000000279397,2804313.899999999906868,3475228.659999999683350,3395833.640000000130385,13491604.750000000000000
20110124,3891112.450000000186265,2818146.349999999627471,3423629.260000000242144,3424010.620000000111759,13556898.679999999701977
20110125,3883706.350000000093132,2821884.850000000093132,3493288.449999999720603,3477449.719999999739230,13676329.370000001043081
20110126,3939663.550000000279397,2810295.500000000000000,3461468.819999999832362,3536718.539999999571592,13748146.410000000149012
20110127,3975871.149999999906868,2779639.799999999813735,3636906.779999999795109,3545463.120000000111759,13937880.849999997764826
20110128,3936783.400000000372529,2739637.849999999627471,3519948.139999999664724,3461903.799999999813735,13658273.190000001341105
20110131,3991506.250000000465661,2754218.000000000000000,3530268.019999999552965,3460932.179999999701977,13736924.449999999254942
20110201,4032651.250000000465661,2746741.000000000000000,3617987.000000000000000,3524087.479999999981374,13921466.730000000447035
20110202,4077087.850000000558794,2753096.449999999720603,3607667.120000000111759,3513399.659999999217689,13951251.080000001937151
20110203,4070504.650000000372529,2760199.599999999627471,3701406.029999999795109,3534775.299999999813735,14066885.579999998211861
20110204,4097660.350000000558794,2768424.299999999813735,3654106.580000000074506,3527973.959999999962747,14048165.190000001341105
20110207,4133867.950000000186265,2745993.299999999813735,3595627.260000000242144,3499796.979999999981374,13975285.490000000223517
20110208,4139628.250000000465661,2817398.649999999906868,3609387.099999999627471,3530888.820000000298023,14097302.820000000298023
20110209,4105889.350000000558794,2838708.100000000093132,3617987.000000000000000,3563923.899999999906868,14126508.350000001490116
20110210,4139216.799999999813735,2832352.649999999906868,3648946.639999999664724,3538661.779999999795109,14159177.869999999180436
20110211,4260183.099999999627471,2846558.949999999720603,3644646.689999999944121,3535746.919999999925494,14287135.659999998286366
20110214,4248662.500000000000000,2850297.449999999720603,3651526.609999999869615,3488137.539999999571592,14238624.099999997764826
20110215,4237964.800000000745058,2846932.799999999813735,3614547.040000000037253,3542548.259999999776483,14241992.900000000372529
20110216,4260594.550000000745058,2842072.749999999534339,3654966.569999999832362,3514371.279999999795109,14272005.150000000372529
20110217,4252777.000000000000000,2840577.350000000093132,3662706.479999999981374,3533803.679999999701977,14289864.509999999776483
20110218,4355639.500000000000000,2846185.099999999627471,3684206.229999999981374,3558094.179999999701977,14444125.009999999776483
20110222,4197231.250000000000000,2830109.549999999813735,3694526.109999999869615,3497853.739999999757856,14219720.650000000372529
20110223,4115352.700000000186265,2811043.199999999720603,3690226.159999999683350,3479392.959999999962747,14096015.019999999552965
20110224,4137982.450000000186265,2811790.899999999441206,3676466.319999999832362,3457045.699999999720603,14083285.369999999180436
20110225,4196819.800000000745058,2783004.449999999720603,3656686.550000000279397,3494938.879999999422580,14131449.679999999701977
20110228,4235084.650000000372529,2829361.850000000093132,3661846.489999999757856,3587242.779999999795109,14313535.769999999552965
20110301,4108769.500000000465661,2799827.699999999720603,3650666.620000000111759,3499796.979999999981374,14059060.800000000745058
20110302,4154440.450000000186265,2792350.699999999720603,3746125.510000000242144,3530888.820000000298023,14223805.480000000447035
20110303,4289396.050000000745058,2850297.449999999720603,3851904.279999999795109,3532832.059999999590218,14524429.839999999850988
20110304,4239610.599999999627471,2842446.599999999627471,3822664.620000000111759,3505626.699999999720603,14410348.519999999552965
20110307,4202168.650000000372529,2852166.700000000186265,3746125.510000000242144,3498825.359999999403954,14299286.220000000670552
20110308,4284458.650000000372529,2824127.950000000186265,3769345.239999999757856,3544491.499999999534339,14422423.339999999850988
20110309,4211632.000000000000000,2833100.349999999627471,3826104.580000000074506,3561009.039999999571592,14431845.969999998807907
20110310,4048286.350000000093132,2866746.850000000093132,3765905.279999999795109,3536718.539999999571592,14217657.019999999552965
20110311,4115352.700000000186265,2868616.100000000093132,3748705.479999999981374,3483279.439999999944121,14215953.720000000670552
20110314,4200934.300000000745058,2828988.000000000000000,3711725.909999999683350,3418180.899999999906868,14159829.110000001266599
20110315,4145388.550000000279397,2808426.250000000000000,3679906.279999999795109,3388060.679999999701977,14021781.759999999776483
20110316,4130987.800000000745058,2743376.349999999627471,3599927.209999999962747,3332678.339999999385327,13806969.699999999254942
20110317,4242902.200000001117587,2744124.049999999813735,3635186.800000000279397,3432755.199999999720603,14054968.250000000000000
20110318,4322723.500000000000000,2728796.199999999720603,3663566.469999999739230,3482307.820000000298023,14197393.989999998360872
20110321,4426820.349999999627471,2757582.649999999906868,3714305.879999999422580,3542548.259999999776483,14441257.139999998733401
20110322,4393904.349999999627471,2761695.000000000000000,3675606.330000000074506,3590157.640000000130385,14421363.320000000298023
20110323,4392670.000000000000000,2786369.099999999627471,3676466.319999999832362,3593072.499999999534339,14448577.919999999925494
20110324,4458913.450000001117587,2801323.100000000093132,3766765.269999999552965,3612504.899999999906868,14639506.720000000670552
20110325,4488537.849999999627471,2813286.299999999813735,3762465.319999999832362,3623192.719999999739230,14687482.189999997615814
20110328,4501292.800000000745058,2803940.049999999813735,3772785.199999999720603,3667887.239999999757856,14745905.290000000968575
20110329,4548198.099999999627471,2817772.500000000000000,3825244.589999999385327,3720354.719999999739230,14911569.910000000149012
20110330,4588931.650000000372529,2834221.899999999906868,3904363.669999999925494,3736872.259999999776483,15064389.480000000447035
20110331,4581525.550000000745058,2844689.699999999720603,3887163.870000000111759,3744645.219999999739230,15058024.339999999850988
20110401,4654352.200000001117587,2840951.199999999720603,3922423.459999999962747,3737843.879999999422580,15155570.739999998360872
20110404,4665049.900000000372529,2855905.199999999720603,3921563.469999999739230,3751446.559999999590218,15193965.129999998956919
20110405,4621024.750000000000000,2863756.049999999813735,3877703.979999999981374,3729099.299999999813735,15091584.079999998211861
20110406,4567124.800000000745058,2868242.250000000000000,3866524.109999999869615,3677603.439999999944121,14979494.599999999627471
20110407,4519808.050000000745058,2841698.899999999906868,3820944.639999999664724,3668858.859999999403954,14851310.449999999254942
20110408,4518573.699999999254942,2842820.450000000186265,3816644.689999999944121,3664972.379999999422580,14843011.219999998807907
20110411,4487714.949999999254942,2850671.299999999813735,3811484.750000000000000,3677603.439999999944121,14827474.439999999478459
20110412,4384852.449999999254942,2865999.149999999906868,3853624.260000000242144,3657199.419999999925494,14761675.279999999329448
20110413,4428466.150000000372529,2874597.699999999720603,3812344.739999999757856,3662057.519999999552965,14777466.109999999403954
20110414,4426408.900000000372529,2881326.999999999534339,3854484.250000000000000,3664000.759999999776483,14826220.910000000149012
20110415,4411185.250000000000000,2892916.349999999627471,3868244.089999999385327,3677603.439999999944121,14849949.129999998956919
20110418,4274995.300000000745058,2878710.049999999813735,3745265.519999999552965,3625135.959999999962747,14524106.830000001937151
20110419,4365514.300000000745058,2863756.049999999813735,3780525.109999999869615,3618334.620000000111759,14628130.080000001937151
20110420,4455210.400000000372529,2931049.049999999813735,3804604.830000000074506,3671773.719999999739230,14862638.000000000000000
20110421,4502115.700000001117587,2875345.399999999906868,4111621.260000000242144,3586271.159999999217689,15075353.519999999552965
20110425,4478663.050000000745058,2883570.099999999627471,4103021.359999999869615,3594044.120000000111759,15059298.629999998956919
20110426,4605801.099999999627471,2876466.949999999720603,4072061.719999999739230,3656227.799999999813735,15210557.570000000298023
20110427,4633368.250000000000000,2911235.000000000000000,4146020.859999999869615,3716468.239999999757856,15407092.349999999627471
20110428,4634602.599999999627471,2917216.599999999627471,4222559.970000000670552,3718411.479999999981374,15492790.650000000372529
20110429,4748574.250000000000000,2927684.399999999906868,4233739.839999999850988,3670802.100000000093132,15580800.589999999850988
20110502,4705783.450000001117587,2940021.449999999720603,4289639.189999999478459,3649426.459999999962747,15584870.550000000745058
20110503,4660523.949999999254942,2951236.949999999720603,4272439.390000000596046,3672745.339999999385327,15556945.629999998956919
20110504,4557661.449999999254942,2956096.999999999534339,4262119.509999999776483,3660114.279999999795109,15435992.239999998360872
20110505,4500881.349999999627471,2938526.049999999813735,4263839.490000000223517,3606675.179999999701977,15309922.070000000298023
20110506,4539969.099999999627471,2942264.549999999813735,4310278.949999999254942,3622221.100000000093132,15414733.699999997392297
20110509,4594280.500000000000000,2965069.399999999906868,4340378.599999999627471,3618334.620000000111759,15518063.120000001043081
20110510,4644065.950000001117587,2980023.399999999441206,4343818.560000000521541,3650398.079999999608845,15618305.990000000223517
20110511,4525156.900000000372529,2972546.399999999906868,4301679.050000000745058,3620277.859999999403954,15419660.210000000894070
20110512,4469611.150000000372529,3015539.149999999906868,4306838.990000000223517,3636795.399999999906868,15428784.690000001341105
20110513,4374977.650000000372529,3018529.949999999720603,4295659.119999999180436,3620277.859999999403954,15309444.579999998211861
20110516,4365102.849999999627471,3033483.949999999720603,4314578.900000000372529,3592100.879999999422580,15305266.579999998211861
20110517,4200111.400000000372529,3025633.100000000093132,4299099.080000000074506,3605703.559999999590218,15130547.140000000596046
20110518,4330541.050000000745058,3046942.549999999813735,4352418.459999999031425,3603760.320000000298023,15333662.379999998956919
20110519,4332598.300000000745058,3084701.399999999906868,4347258.519999999552965,3626107.579999999608845,15390665.800000000745058
20110520,4292687.650000000372529,3077972.099999999627471,4277599.330000000074506,3609590.039999999571592,15257849.119999999180436
