代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12702896.140000000596046
真實報酬,2702896.140000000596046

夏普值報酬,0.261589614000000
夏普值風險,0.082083178844844
夏普值,3.186884544206837

預期報酬,13524.839134883050065
風險,261488.492935544200009
趨勢值,0.051722502137855
找到最佳解世代,2186
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
HD[9](5),JPM[13](13),NKE[19](3),UNH[23](2),
20140926,2482353.580000000074506,2546677.720000000204891,2848138.149999999906868,2497692.719999999273568,10374862.169999999925494
20140929,2483423.060000000055879,2537005.760000000242144,2836045.600000000093132,2495097.029999999795109,10351571.449999999254942
20140930,2452942.879999999888241,2533221.080000000074506,2838591.399999999906868,2487598.369999999646097,10312353.729999998584390
20141001,2433692.239999999757856,2513456.640000000130385,2790857.649999999906868,2448086.199999999720603,10186092.729999998584390
20141002,2466311.379999999888241,2474348.280000000260770,2841773.649999999906868,2448663.020000000018626,10231096.330000000074506
20141003,2501069.479999999981374,2535744.200000000186265,2873596.149999999906868,2480964.939999999478459,10391374.769999999552965
20141006,2493583.120000000111759,2530697.959999999962747,2839227.850000000093132,2454142.809999999590218,10317651.739999998360872
20141007,2472460.890000000130385,2492430.640000000130385,2802950.199999999720603,2428185.909999999683350,10196027.640000000596046
20141008,2515774.830000000074506,2539949.399999999906868,2827135.299999999813735,2498269.539999999571592,10381129.070000000298023
20141009,2488503.089999999850988,2484440.760000000242144,2776219.299999999813735,2449816.659999999683350,10198979.809999998658895
20141010,2474599.850000000093132,2460891.640000000130385,2774946.399999999906868,2462795.109999999869615,10173233.000000000000000
20141013,2422462.699999999720603,2445752.919999999925494,2717665.899999999906868,2421264.069999999832362,10007145.589999999850988
20141014,2409094.199999999720603,2438604.080000000074506,2708119.149999999906868,2388673.739999999292195,9944491.169999998062849
20141015,2348935.949999999720603,2335156.160000000149012,2710664.950000000186265,2369638.679999999701977,9764395.739999998360872
20141016,2376475.060000000055879,2316232.760000000242144,2769854.800000000279397,2462795.109999999869615,9925357.730000000447035
20141017,2412837.379999999888241,2363331.000000000000000,2774309.950000000186265,2543261.500000000000000,10093739.830000000074506
20141020,2455883.949999999720603,2381413.360000000335276,2829044.649999999906868,2553644.259999999776483,10219986.220000000670552
20141021,2518715.899999999906868,2436080.959999999962747,2884415.799999999813735,2623151.069999999832362,10462363.729999998584390
20141022,2495722.080000000074506,2415896.000000000000000,2859594.250000000000000,2589118.689999999478459,10360331.019999999552965
20141023,2534758.100000000093132,2441547.720000000204891,2876141.949999999720603,2614787.179999999701977,10467234.949999999254942
20141024,2539838.129999999888241,2470143.080000000074506,2892689.649999999906868,2643051.359999999869615,10545722.219999998807907
20141027,2552671.890000000130385,2465937.879999999888241,2916238.299999999813735,2657183.449999999720603,10592031.519999999552965
20141028,2582617.330000000074506,2507569.360000000335276,2942332.749999999534339,2671892.359999999869615,10704411.799999998882413
20141029,2578072.040000000037253,2493271.680000000167638,2926421.499999999534339,2681121.479999999515712,10678886.699999999254942
20141030,2607482.739999999757856,2497476.879999999888241,2959516.899999999906868,2707655.199999999720603,10772131.719999998807907
20141031,2607482.739999999757856,2543313.560000000055879,2958880.450000000186265,2740245.529999999795109,10849922.279999999329448
20141103,2569248.830000000074506,2560134.360000000335276,2974155.249999999534339,2735919.379999999422580,10839457.819999998435378
20141104,2565773.020000000018626,2533641.600000000093132,2990066.499999999534339,2739380.299999999813735,10828861.419999998062849
20141105,2560960.359999999869615,2571488.399999999906868,3012978.700000000186265,2763029.919999999459833,10908457.379999998956919
20141106,2601333.229999999981374,2574852.560000000055879,3010432.899999999906868,2774854.729999999515712,10961473.419999998062849
20141107,2610958.550000000279397,2584945.040000000037253,2984338.449999999720603,2699868.129999999422580,10880110.169999998062849
20141110,2624594.419999999925494,2604288.959999999962747,3021888.999999999534339,2732746.869999999646097,10983519.249999998137355
20141111,2624059.680000000167638,2580739.839999999850988,3019343.199999999720603,2759857.409999999683350,10984000.129999998956919
20141112,2633417.629999999888241,2546677.720000000204891,3049256.349999999627471,2759569.000000000000000,10988920.699999999254942
20141113,2647053.500000000000000,2532800.560000000055879,3058803.100000000093132,2765914.020000000018626,11004571.179999999701977
20141114,2626733.379999999888241,2534903.160000000149012,3039073.149999999906868,2743129.629999999422580,10943839.319999998435378
20141117,2621118.609999999869615,2539108.360000000335276,3056893.750000000000000,2782353.389999999664724,10999474.109999999403954
20141118,2566307.760000000242144,2545416.160000000149012,3070259.200000000186265,2831959.909999999683350,11013943.029999999329448
20141119,2585558.399999999906868,2548359.800000000279397,3085533.999999999534339,2793601.379999999422580,11013053.579999998211861
20141120,2608819.589999999850988,2528174.839999999850988,3096353.649999999906868,2793312.969999999273568,11026661.049999998882413
20141121,2627802.859999999869615,2542052.000000000000000,3100172.350000000093132,2789275.229999999515712,11059302.439999997615814
20141124,2631011.300000000279397,2563498.520000000018626,3117356.499999999534339,2794755.020000000018626,11106621.339999999850988
20141125,2593846.870000000111759,2535744.200000000186265,3096353.649999999906868,2823596.020000000018626,11049540.740000000223517
20141126,2612295.399999999906868,2537426.280000000260770,3112264.899999999906868,2829652.629999999422580,11091639.209999999031425
20141128,2657748.300000000279397,2529856.919999999925494,3159998.649999999906868,2844649.949999999720603,11192253.820000000298023
20141201,2643845.060000000055879,2523128.600000000093132,3109082.649999999906868,2857051.579999999608845,11133107.890000000596046
20141202,2624594.419999999925494,2568544.760000000242144,3119902.300000000279397,2879259.149999999441206,11192300.629999998956919
20141203,2636091.330000000074506,2587888.680000000167638,3134540.649999999906868,2907234.919999999459833,11265755.580000000074506
20141204,2645716.649999999906868,2581160.360000000335276,3152361.250000000000000,2874644.589999999850988,11253882.849999999627471
20141205,2664165.180000000167638,2636669.000000000000000,3161271.549999999813735,2893679.649999999441206,11355785.379999998956919
20141208,2685287.410000000149012,2635407.439999999944121,3109719.100000000093132,2881854.839999999850988,11312268.789999999105930
20141209,2664165.180000000167638,2626156.000000000000000,3088079.800000000279397,2913579.939999999478459,11291980.919999999925494
20141210,2645449.279999999795109,2551723.959999999962747,3107809.750000000000000,2857916.809999999590218,11162899.800000000745058
20141211,2681009.489999999757856,2571067.879999999888241,3084897.549999999813735,2876375.049999999813735,11213349.969999998807907
20141212,2667908.359999999869615,2524810.680000000167638,3060712.450000000186265,2848399.279999999795109,11101830.769999999552965
20141215,2675127.350000000093132,2487804.919999999925494,3037163.799999999813735,2834267.189999999478459,11034363.259999997913837
20141216,2595183.720000000204891,2457106.959999999962747,2966517.850000000093132,2764471.969999999273568,10783280.499999998137355
20141217,2645449.279999999795109,2513456.640000000130385,3007250.649999999906868,2859358.859999999869615,11025515.429999999701977
20141218,2691704.290000000037253,2585365.560000000055879,3089352.699999999720603,2948765.959999999497086,11315188.509999997913837
20141219,2725392.910000000149012,2604288.959999999962747,3018070.299999999813735,2955976.209999999497086,11303728.379999998956919
20141222,2767370.000000000000000,2604709.479999999981374,3053075.049999999813735,2971838.759999999776483,11396993.290000000968575
20141223,2774321.620000000111759,2627417.560000000055879,3054347.950000000186265,2966358.969999999273568,11422446.099999997764826
20141224,2768974.220000000204891,2627417.560000000055879,3064531.149999999906868,2961456.000000000000000,11422378.929999999701977
20141226,2774054.250000000000000,2630361.200000000186265,3081715.299999999813735,2957706.669999999459833,11443837.419999999925494
20141229,2794909.109999999869615,2647602.520000000018626,3096353.649999999906868,2951361.649999999441206,11490226.929999999701977
20141230,2787957.489999999757856,2655592.399999999906868,3082988.199999999720603,2966358.969999999273568,11492897.059999998658895
20141231,2806673.390000000130385,2631622.760000000242144,3060076.000000000000000,2915598.809999999590218,11413970.960000000894070
20150102,2765498.410000000149012,2627838.080000000074506,3024434.800000000279397,2906658.099999999627471,11324429.390000000596046
20150105,2707479.120000000111759,2546257.200000000186265,2975428.149999999906868,2858782.039999999571592,11087946.509999999776483
20150106,2699190.649999999906868,2480235.560000000055879,2958243.999999999534339,2853013.839999999850988,10990684.049999998882413
20150107,2791700.669999999925494,2484020.240000000223517,3019343.199999999720603,2882143.250000000000000,11177207.359999999403954
20150108,2853463.140000000130385,2539528.879999999888241,3088716.250000000000000,3019714.819999999832362,11501423.089999999850988
20150109,2804534.430000000167638,2495374.280000000260770,3054984.399999999906868,2991450.639999999664724,11346343.750000000000000
20150112,2791968.040000000037253,2473927.760000000242144,3050529.250000000000000,2957706.669999999459833,11274131.720000000670552
20150113,2773519.510000000242144,2474348.280000000260770,3023798.349999999627471,2972703.989999999292195,11244370.129999998956919
20150114,2744376.180000000167638,2388982.720000000204891,2982429.100000000093132,2980202.649999999441206,11095990.649999998509884
20150115,2700794.870000000111759,2312448.080000000074506,2953788.849999999627471,3012792.979999999515712,10979824.779999999329448
20150116,2783946.939999999944121,2351976.959999999962747,2959516.899999999906868,3050574.689999999478459,11146015.490000000223517
20150120,2760685.750000000000000,2342725.520000000018626,2979246.850000000093132,3046248.539999999571592,11128906.659999998286366
20150121,2768172.109999999869615,2350294.879999999888241,2976064.599999999627471,3152960.239999999292195,11247491.829999998211861
20150122,2836084.089999999850988,2421783.280000000260770,3050529.250000000000000,3283609.969999999273568,11592006.589999999850988
20150123,2817368.189999999944121,2383515.959999999962747,3060076.000000000000000,3230254.119999999646097,11491214.269999999552965
20150126,2843837.819999999832362,2387300.640000000130385,3066440.500000000000000,3219006.129999999422580,11516585.089999999850988
20150127,2811753.419999999925494,2363331.000000000000000,3007250.649999999906868,3172860.529999999795109,11355195.599999999627471
20150128,2800523.879999999888241,2302355.600000000093132,2969700.099999999627471,3128156.979999999515712,11200736.559999998658895
20150129,2877526.439999999944121,2341043.439999999944121,3019343.199999999720603,3154979.109999999869615,11392892.189999999478459
20150130,2791968.040000000037253,2286796.360000000335276,2935968.250000000000000,3064418.369999999646097,11079151.019999999552965
20150202,2792235.410000000149012,2332633.040000000037253,2925148.600000000093132,3094413.009999999776483,11144430.060000000521541
20150203,2867366.379999999888241,2385198.040000000037253,2970973.000000000000000,3109410.329999999608845,11332947.750000000000000
20150204,2898648.669999999925494,2370900.360000000335276,2944878.550000000279397,3112582.839999999850988,11327010.419999999925494
20150205,2914156.129999999888241,2387300.640000000130385,2970336.549999999813735,3138539.739999999292195,11410333.059999998658895
20150206,2915492.979999999981374,2434398.879999999888241,2921329.899999999906868,3103353.719999999273568,11374575.479999998584390
20150209,2896777.080000000074506,2431455.240000000223517,2901599.950000000186265,3071340.209999999497086,11301172.480000000447035
20150210,2959074.290000000037253,2458368.520000000018626,2951879.500000000000000,3142865.889999999664724,11512188.199999999254942
20150211,2949448.970000000204891,2454583.839999999850988,2906055.099999999627471,3168245.969999999273568,11478333.879999998956919
20150212,2998912.419999999925494,2505046.240000000223517,2927694.399999999906868,3167957.559999999590218,11599610.620000001043081
20150213,2991693.430000000167638,2509251.439999999944121,2928967.300000000279397,3156421.159999999683350,11586333.330000000074506
20150217,2994634.500000000000000,2527333.800000000279397,2923239.250000000000000,3165650.279999999795109,11610857.830000000074506
20150218,2994367.129999999888241,2496635.839999999850988,2979246.850000000093132,3165938.689999999478459,11636188.509999999776483
20150219,2966293.279999999795109,2490748.560000000055879,2981792.649999999906868,3173437.349999999627471,11612271.839999999850988
20150220,3001051.379999999888241,2514718.200000000186265,3021252.549999999813735,3248135.539999999571592,11785157.669999998062849
20150223,3002120.859999999869615,2495794.800000000279397,3023798.349999999627471,3357154.520000000018626,11878868.529999999329448
20150224,3121635.250000000000000,2557611.240000000223517,3036527.350000000093132,3329178.750000000000000,12044952.589999999850988
20150225,3109870.970000000204891,2571067.879999999888241,3081078.849999999627471,3289378.169999999459833,12051395.869999999180436
20150226,3085005.560000000055879,2589570.760000000242144,3086806.899999999906868,3278130.179999999701977,12039513.400000000372529
20150227,3068161.250000000000000,2576955.160000000149012,3090625.600000000093132,3277264.949999999720603,12013006.959999999031425
20150302,3104790.939999999944121,2597560.640000000130385,3142814.500000000000000,3299472.520000000018626,12144638.599999999627471
20150303,3103454.089999999850988,2605971.040000000037253,3117992.950000000186265,3255057.379999999422580,12082475.459999999031425
20150304,3068428.620000000111759,2612699.360000000335276,3103354.599999999627471,3282744.739999999292195,12067227.320000000298023
20150305,3099176.169999999925494,2607232.600000000093132,3133267.749999999534339,3310720.509999999776483,12150397.029999999329448
20150306,3060140.149999999906868,2560554.879999999888241,3084261.100000000093132,3255634.199999999720603,11960590.329999998211861
20150309,3081529.750000000000000,2586206.600000000093132,3100808.799999999813735,3313893.020000000018626,12082438.169999998062849
20150310,3009607.220000000204891,2521446.520000000018626,3071532.099999999627471,3243520.979999999515712,11846106.820000000298023
20150311,3023243.089999999850988,2533221.080000000074506,3033981.549999999813735,3251019.639999999664724,11841465.359999999403954
20150312,3104256.199999999720603,2580739.839999999850988,3088079.800000000279397,3313316.199999999720603,12086392.039999999105930
20150313,3070032.839999999850988,2565180.600000000093132,3049256.349999999627471,3323987.369999999646097,12008457.159999998286366
20150316,3114951.000000000000000,2600924.800000000279397,3068986.299999999813735,3418297.439999999478459,12203159.540000000968575
20150317,3090352.959999999962747,2590832.320000000298023,3072168.550000000279397,3391763.719999999273568,12145117.549999998882413
20150318,3103721.459999999962747,2596719.600000000093132,3103354.599999999627471,3459828.479999999515712,12263624.140000000596046
20150319,3079123.419999999925494,2573591.000000000000000,3128812.599999999627471,3482901.279999999795109,12264428.299999998882413
20150320,3141420.629999999888241,2596719.600000000093132,3245282.950000000186265,3436178.859999999869615,12419602.039999999105930
20150323,3103454.089999999850988,2571067.879999999888241,3228735.249999999534339,3433294.759999999776483,12336551.979999998584390
20150324,3105593.050000000279397,2542472.520000000018626,3203277.250000000000000,3406761.039999999571592,12258103.859999999403954
20150325,3039552.660000000149012,2506728.320000000298023,3150451.899999999906868,3361192.259999999776483,12057925.140000000596046
20150326,3004527.189999999944121,2503784.680000000167638,3161271.549999999813735,3352828.369999999646097,12022411.789999999105930
20150327,3044365.319999999832362,2504205.200000000186265,3178455.699999999720603,3403588.529999999795109,12130614.749999998137355
20150330,3064952.810000000055879,2563498.520000000018626,3210914.649999999906868,3489823.119999999646097,12329189.099999999627471
20150331,3037681.069999999832362,2547518.760000000242144,3193094.049999999813735,3411664.009999999776483,12189957.889999998733401
20150401,3024847.310000000055879,2521026.000000000000000,3168272.500000000000000,3387437.569999999832362,12101583.380000000819564
20150402,3062546.479999999981374,2544995.640000000130385,3171454.750000000000000,3384841.879999999422580,12163838.750000000000000
20150406,3073508.649999999906868,2542893.040000000037253,3174000.549999999813735,3394647.819999999832362,12185050.059999998658895
20150407,3056129.600000000093132,2558872.800000000279397,3170181.850000000093132,3384553.469999999273568,12169737.719999998807907
20150408,3090620.330000000074506,2567283.200000000186265,3209005.299999999813735,3408779.909999999683350,12275688.740000000223517
20150409,3063348.589999999850988,2584945.040000000037253,3205186.600000000093132,3419162.669999999459833,12272642.900000000372529
20150410,3081262.379999999888241,2594617.000000000000000,3181637.950000000186265,3432141.119999999646097,12289658.449999999254942
20150413,3059872.779999999795109,2610176.240000000223517,3159362.199999999720603,3442812.289999999571592,12272223.509999997913837
20150414,3049445.350000000093132,2650966.680000000167638,3167636.050000000279397,3458674.839999999850988,12326722.919999999925494
20150415,3033403.149999999906868,2700167.520000000018626,3177182.799999999813735,3383688.239999999292195,12294441.709999997168779
20150416,3031264.189999999944121,2683346.720000000204891,3179092.149999999906868,3507127.719999999273568,12400830.779999999329448
20150417,2997308.199999999720603,2642556.280000000260770,3136450.000000000000000,3423777.229999999515712,12200091.710000000894070
20150420,3017628.319999999832362,2659377.080000000074506,3182274.399999999906868,3420027.899999999441206,12279307.699999999254942
20150421,3025916.790000000037253,2620268.720000000204891,3191821.149999999906868,3440216.599999999627471,12278223.259999999776483
20150422,3021104.129999999888241,2646761.479999999981374,3187366.000000000000000,3397820.329999999608845,12253051.939999999478459
20150423,3047039.020000000018626,2640874.200000000186265,3217915.600000000093132,3410798.779999999795109,12316627.599999999627471
20150424,3040087.399999999906868,2632463.800000000279397,3212823.999999999534339,3423200.409999999683350,12308575.609999999403954
20150427,2978324.930000000167638,2621530.280000000260770,3212187.549999999813735,3352539.959999999497086,12164582.720000000670552
20150428,2956667.959999999962747,2639192.120000000111759,3177819.250000000000000,3391475.309999999590218,12165154.640000000596046
20150429,2906669.770000000018626,2674515.800000000279397,3188002.450000000186265,3276688.129999999422580,12045876.149999998509884
20150430,2860414.760000000242144,2660218.120000000111759,3145360.299999999813735,3212949.520000000018626,11878942.699999999254942
20150501,2929128.850000000093132,2674936.320000000298023,3207095.949999999720603,3264863.319999999832362,12076024.439999999478459
20150504,2942764.720000000204891,2721614.040000000037253,3209005.299999999813735,3304087.079999999608845,12177471.139999998733401
20150505,2889290.720000000204891,2708157.400000000372529,3195639.850000000093132,3269766.289999999571592,12062854.259999999776483
20150506,2895974.970000000204891,2687972.439999999944121,3189275.350000000093132,3273227.209999999497086,12046449.969999998807907
20150507,2942229.979999999981374,2712362.600000000093132,3228735.249999999534339,3309855.279999999795109,12193183.109999999403954
20150508,3007200.890000000130385,2753994.080000000074506,3259921.299999999813735,3336389.000000000000000,12357505.269999999552965
20150511,2991960.800000000279397,2752312.000000000000000,3271377.399999999906868,3310143.689999999478459,12325793.890000000596046
20150512,3008537.739999999757856,2748527.320000000298023,3258011.949999999720603,3306394.359999999869615,12321471.369999999180436
20150513,2972977.529999999795109,2755255.640000000130385,3251011.000000000000000,3341580.379999999422580,12320824.549999998882413
20150514,2993030.279999999795109,2777543.200000000186265,3291743.799999999813735,3418585.849999999627471,12480903.130000000819564
20150515,3030729.449999999720603,2770394.359999999869615,3340750.450000000186265,3441658.649999999441206,12583532.910000000149012
20150518,3056931.709999999962747,2793102.439999999944121,3333749.500000000000000,3455213.919999999459833,12638997.570000000298023
20150519,3003725.080000000074506,2817913.120000000111759,3329930.799999999813735,3476844.669999999459833,12628413.669999999925494
20150520,2997308.199999999720603,2795625.560000000055879,3329294.350000000093132,3496744.959999999497086,12618973.069999998435378
20150521,2994901.870000000111759,2802774.400000000372529,3322293.399999999906868,3474248.979999999515712,12594218.649999998509884
20150522,2998912.419999999925494,2795205.040000000037253,3323566.299999999813735,3449157.309999999590218,12566841.070000000298023
20150526,2966025.910000000149012,2764086.560000000055879,3291107.350000000093132,3410221.959999999497086,12431441.779999999329448
20150527,2998912.419999999925494,2795205.040000000037253,3272650.299999999813735,3445119.569999999832362,12511887.330000000074506
20150528,2999714.529999999795109,2783851.000000000000000,3255466.149999999906868,3450022.539999999571592,12489054.219999998807907
20150529,2979127.040000000037253,2766189.160000000149012,3235736.200000000186265,3467038.729999999515712,12448091.129999998956919
20150601,2985811.290000000037253,2778804.760000000242144,3238282.000000000000000,3456944.379999999422580,12459842.429999999701977
20150602,2983672.330000000074506,2776281.640000000130385,3249738.100000000093132,3396089.869999999646097,12405781.939999999478459
20150603,3025649.419999999925494,2804877.000000000000000,3262467.099999999627471,3413394.469999999273568,12506387.989999998360872
20150604,2980196.520000000018626,2789317.760000000242144,3244646.499999999534339,3364364.770000000018626,12378525.549999998882413
20150605,2951053.189999999944121,2835154.439999999944121,3247192.300000000279397,3360903.849999999627471,12394303.779999999329448
20150608,2939288.910000000149012,2812866.879999999888241,3228098.799999999813735,3371863.429999999701977,12352118.019999999552965
20150609,2928594.109999999869615,2825061.960000000428408,3225553.000000000000000,3374170.709999999497086,12353379.779999999329448
20150610,2967362.760000000242144,2870478.120000000111759,3288561.549999999813735,3419162.669999999459833,12545565.099999999627471
20150611,2975651.229999999981374,2881411.640000000130385,3305745.699999999720603,3441370.239999999292195,12604178.809999998658895
20150612,2957202.699999999720603,2870057.600000000093132,3302563.449999999720603,3393205.770000000018626,12523029.519999999552965
20150615,2941427.870000000111759,2859124.080000000074506,3289198.000000000000000,3431564.299999999813735,12521314.250000000000000
20150616,2947310.010000000242144,2875103.840000000316650,3327385.000000000000000,3505685.669999999459833,12655484.520000001415610
20150617,2953726.890000000130385,2865431.879999999888241,3333749.500000000000000,3453483.459999999497086,12606391.729999998584390
20150618,2990623.949999999720603,2892345.160000000149012,3373209.399999999906868,3486650.609999999869615,12742829.119999999180436
20150619,3006131.410000000149012,2862908.760000000242144,3390393.550000000279397,3470499.649999999441206,12729933.370000001043081
20150622,3023243.089999999850988,2899914.520000000018626,3398667.399999999906868,3468192.369999999646097,12790017.379999998956919
20150623,3026184.160000000149012,2933135.600000000093132,3411396.399999999906868,3540006.459999999497086,12910722.619999999180436
20150624,3003992.449999999720603,2902437.640000000130385,3380210.350000000093132,3437044.089999999850988,12723684.529999999329448
20150625,3001051.379999999888241,2886878.400000000372529,3348387.850000000093132,3528181.649999999441206,12764499.280000001192093
20150626,3010676.699999999720603,2899494.000000000000000,3491589.100000000093132,3554715.369999999646097,12956475.169999998062849
20150629,2955598.479999999981374,2825903.000000000000000,3426671.200000000186265,3495302.909999999683350,12703475.589999999850988
20150630,2971373.310000000055879,2849452.120000000111759,3437490.849999999627471,3518664.119999999646097,12776980.399999998509884
20150701,2996506.089999999850988,2862488.239999999757856,3482678.799999999813735,3558464.699999999720603,12900137.829999998211861
20150702,2980998.629999999888241,2839359.640000000130385,3496680.699999999720603,3513184.329999999608845,12830223.299999998882413
20150706,2976453.339999999850988,2831369.760000000242144,3495407.799999999813735,3523278.679999999701977,12826509.579999998211861
20150707,3005329.300000000279397,2809082.200000000186265,3541868.649999999906868,3481170.819999999832362,12837450.970000000670552
20150708,2967897.500000000000000,2751470.960000000428408,3477587.199999999720603,3425796.099999999627471,12622751.759999999776483
20150709,2978057.560000000055879,2780066.320000000298023,3482678.799999999813735,3441947.059999999590218,12682749.739999998360872
20150710,3024045.199999999720603,2819595.200000000186265,3517047.099999999627471,3522990.270000000018626,12883677.769999999552965
20150713,3072171.800000000279397,2863329.280000000260770,3577509.850000000093132,3531642.569999999832362,13044653.500000000000000
20150714,3084470.819999999832362,2903278.680000000167638,3574964.049999999813735,3605187.119999999646097,13167900.669999999925494
20150715,3090352.959999999962747,2909586.479999999981374,3560962.149999999906868,3629990.379999999422580,13190891.969999998807907
20150716,3067626.510000000242144,2925145.720000000204891,3574964.049999999813735,3603168.250000000000000,13170904.530000001192093
20150717,3060674.890000000130385,2910427.520000000018626,3589602.399999999906868,3572019.969999999273568,13132724.779999999329448
20150720,3032333.669999999925494,2912530.120000000111759,3600422.049999999813735,3537410.770000000018626,13082696.609999999403954
20150721,3044365.319999999832362,2905801.799999999813735,3595966.899999999906868,3485785.379999999422580,13031919.399999998509884
20150722,3072171.800000000279397,2947012.760000000242144,3630971.649999999906868,3478575.129999999422580,13128731.339999999850988
20150723,3063883.330000000074506,2928509.879999999888241,3627789.399999999906868,3441658.649999999441206,13061841.259999997913837
20150724,3037146.330000000074506,2897811.919999999925494,3595966.899999999906868,3401569.659999999683350,12932494.810000000521541
20150727,3023243.089999999850988,2859965.120000000111759,3555870.549999999813735,3399839.199999999720603,12838917.959999999031425
20150728,3070567.580000000074506,2861647.200000000186265,3611241.700000000186265,3504820.439999999478459,13048276.919999999925494
20150729,3111475.189999999944121,2899073.479999999981374,3657066.100000000093132,3504820.439999999478459,13172435.209999999031425
20150730,3113881.520000000018626,2903278.680000000167638,3660248.349999999627471,3477133.079999999608845,13154541.630000000819564
20150731,3129121.609999999869615,2881832.160000000149012,3666612.850000000093132,3501359.520000000018626,13178926.139999998733401
20150803,3125378.430000000167638,2881832.160000000149012,3654520.299999999813735,3486650.609999999869615,13148381.500000000000000
20150804,3142490.109999999869615,2878888.520000000018626,3684433.449999999720603,3485208.559999999590218,13191020.640000000596046
20150805,3155056.500000000000000,2890242.560000000055879,3715619.500000000000000,3574038.839999999850988,13334957.400000000372529
20150806,3116555.220000000204891,2870057.600000000093132,3663430.600000000093132,3519817.759999999776483,13169861.179999999701977
20150807,3126447.910000000149012,2861647.200000000186265,3644337.099999999627471,3513472.739999999292195,13145904.949999999254942
20150810,3144361.699999999720603,2896970.879999999888241,3671068.000000000000000,3532507.799999999813735,13244908.379999998956919
20150811,3146768.029999999795109,2869216.560000000055879,3642427.749999999534339,3526162.779999999795109,13184575.119999999180436
20150812,3146768.029999999795109,2827585.080000000074506,3597876.250000000000000,3495591.319999999832362,13067820.679999999701977
20150813,3182328.239999999757856,2840621.200000000186265,3615060.399999999906868,3475979.439999999478459,13113989.279999999329448
20150814,3201846.250000000000000,2854918.879999999888241,3639245.500000000000000,3490399.939999999478459,13186410.569999998435378
20150817,3200509.399999999906868,2862488.239999999757856,3658975.450000000186265,3571154.739999999292195,13293127.829999998211861
20150818,3283394.100000000093132,2868375.520000000018626,3653883.849999999627471,3619607.619999999646097,13425261.089999997988343
20150819,3282324.620000000111759,2842723.799999999813735,3658338.999999999534339,3553850.139999999664724,13337237.559999998658895
20150820,3222968.479999999981374,2772917.479999999981374,3573691.149999999906868,3454925.509999999776483,13024502.619999999180436
20150821,3105860.419999999925494,2674515.800000000279397,3401213.199999999720603,3353693.599999999627471,12535283.019999999552965
20150824,3009072.479999999981374,2533641.600000000093132,3305745.699999999720603,3184973.750000000000000,12033433.529999999329448
