代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14480543.149999998509884
真實報酬,4480543.149999998509884

夏普值報酬,0.439354315000000
夏普值風險,0.126582036918483
夏普值,3.470905712182043

預期報酬,21328.740504316625447
風險,299642.359652589482721
趨勢值,0.071180658599290
找到最佳解世代,2314
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](3),MCD[15](11),MSFT[18](5),V[25](1),
20170801,3384568.299999999813735,2971205.839999999850988,2755084.479999999981374,2837560.000000000000000,11948418.619999999180436
20170802,3363507.149999999906868,3020390.239999999757856,2742937.600000000558794,2849093.299999999813735,11975928.289999999105930
20170803,3367747.649999999906868,2984321.679999999701977,2738762.110000000335276,2829683.600000000093132,11920515.040000000968575
20170804,3360114.750000000000000,2966962.479999999515712,2758880.380000000353903,2838122.600000000093132,11924080.209999999031425
20170807,3395734.949999999720603,2989143.679999999701977,2748251.860000000335276,2855000.599999999627471,11988131.089999997988343
20170808,3385416.399999999906868,2988179.279999999795109,2763055.870000000577420,2849093.299999999813735,11985744.850000001490116
20170809,3312055.750000000000000,2988179.279999999795109,2750908.990000000223517,2840373.000000000000000,11891517.019999999552965
20170810,3291842.699999999720603,3020968.879999999888241,2710672.450000000186265,2798740.599999999627471,11822224.630000000819564
20170811,3320112.699999999720603,3034084.720000000204891,2752047.760000000242144,2815618.600000000093132,11921863.779999999329448
20170814,3352199.149999999906868,3033313.199999999720603,2793423.070000000298023,2865690.000000000000000,12044625.419999999925494
20170815,3380751.849999999627471,3040256.879999999888241,2779378.240000000223517,2887068.799999999813735,12087455.769999999552965
20170816,3358418.549999999813735,3064945.520000000018626,2795700.610000000335276,2906478.499999999534339,12125543.179999999701977
20170817,3330148.549999999813735,3045464.639999999664724,2748251.860000000335276,2873847.699999999720603,11997712.750000000000000
20170818,3332692.850000000093132,3042957.199999999720603,2751668.169999999925494,2883693.200000000186265,12011011.419999998062849
20170821,3331420.700000000186265,3054530.000000000000000,2738762.110000000335276,2903665.500000000000000,12028378.310000000521541
20170822,3388950.149999999906868,3079218.639999999664724,2777100.700000000186265,2927575.999999999534339,12172845.489999998360872
20170823,3365486.049999999813735,3063209.600000000093132,2760398.740000000223517,2902540.300000000279397,12091634.690000001341105
20170824,3374673.799999999813735,3055494.399999999906868,2759259.970000000204891,2903665.500000000000000,12093093.669999999925494
20170825,3334389.049999999813735,3063402.479999999515712,2764194.640000000130385,2907322.399999999906868,12069308.570000000298023
20170828,3352623.200000000186265,3079797.279999999795109,2764574.229999999981374,2919418.299999999813735,12116413.010000001639128
20170829,3399410.049999999813735,3074203.759999999776483,2772925.209999999962747,2919137.000000000000000,12165676.019999999552965
20170830,3398986.000000000000000,3077096.959999999962747,2809365.850000000558794,2918011.799999999813735,12203460.609999999403954
20170831,3387678.000000000000000,3085583.679999999701977,2838214.689999999944121,2912104.500000000000000,12223580.869999999180436
20170901,3397148.450000000186265,3082497.600000000093132,2806708.720000000204891,2922793.899999999906868,12209148.670000001788139
20170905,3350078.899999999906868,3068803.119999999646097,2794182.250000000000000,2897758.200000000186265,12110822.469999998807907
20170906,3316437.600000000093132,3051829.679999999701977,2786210.860000000335276,2902540.300000000279397,12057018.440000001341105
20170907,3340325.750000000000000,3084233.520000000018626,2821892.320000000298023,2941359.700000000186265,12187811.289999999105930
20170908,3375239.199999999720603,3080568.799999999813735,2808227.080000000540167,2937702.800000000279397,12201737.880000000819564
20170911,3400823.549999999813735,3115672.959999999962747,2837835.100000000558794,2986086.399999999906868,12340418.009999999776483
20170912,3400682.200000000186265,3015375.359999999869615,2834798.380000000353903,2987774.199999999720603,12238630.140000000596046
20170913,3419764.450000000186265,3028298.319999999832362,2854916.649999999906868,2977084.799999999813735,12280064.219999998807907
20170914,3466409.949999999720603,3028298.319999999832362,2838214.689999999944121,2984117.299999999813735,12317040.259999997913837
20170915,3519698.899999999906868,3026755.279999999795109,2858712.550000000279397,2962175.899999999906868,12367342.630000000819564
20170918,3577369.700000000186265,3022126.160000000149012,2853018.700000000186265,2948954.799999999813735,12401469.359999999403954
20170919,3568606.000000000000000,3036592.160000000149012,2863647.220000000204891,2965270.199999999720603,12434115.580000000074506
20170920,3611011.000000000000000,3083847.759999999776483,2844667.720000000204891,2965270.199999999720603,12504796.679999999701977
20170921,3619209.300000000279397,3067452.959999999962747,2816957.649999999906868,2962457.200000000186265,12466077.109999999403954
20170922,3625004.649999999906868,3065138.399999999906868,2824549.450000000186265,2969489.700000000186265,12484182.199999999254942
20170925,3594897.099999999627471,3014025.199999999720603,2780896.600000000558794,2898039.500000000000000,12287858.399999998509884
20170926,3586133.399999999906868,2957897.119999999646097,2780896.600000000558794,2895789.099999999627471,12220716.220000000670552
20170927,3608466.699999999720603,2971398.720000000204891,2803292.410000000149012,2922512.600000000093132,12305670.429999999701977
20170928,3594190.350000000093132,3037749.439999999944121,2804051.590000000316650,2941922.299999999813735,12377913.679999999701977
20170929,3593342.250000000000000,3022126.160000000149012,2827586.169999999925494,2941922.299999999813735,12384976.879999998956919
20171002,3618502.549999999813735,3027526.799999999813735,2832141.250000000000000,2966114.099999999627471,12444284.699999999254942
20171003,3611011.000000000000000,3025598.000000000000000,2818855.600000000558794,2970333.600000000093132,12425798.200000001117587
20171004,3615251.500000000000000,3032348.799999999813735,2835177.970000000204891,2962457.200000000186265,12445235.469999998807907
20171005,3659494.049999999813735,3063016.720000000204891,2883765.490000000223517,2988618.099999999627471,12594894.359999999403954
20171006,3655112.199999999720603,3078447.119999999646097,2884904.260000000242144,3002401.799999999813735,12620865.379999998956919
20171009,3652426.549999999813735,3088476.879999999888241,2895912.370000000577420,3010278.200000000186265,12647094.000000000000000
20171010,3688329.450000000186265,3097349.359999999869615,2895912.370000000577420,3018717.200000000186265,12700308.380000002682209
20171011,3695538.299999999813735,3146919.520000000018626,2900847.040000000502914,3050504.099999999627471,12793808.960000000894070
20171012,3702181.750000000465661,3161578.399999999906868,2927418.340000000316650,3041221.199999999720603,12832399.689999999478459
20171013,3685643.799999999813735,3189738.879999999888241,2941463.169999999925494,3056692.699999999720603,12873538.549999998882413
20171016,3671650.149999999906868,3182795.199999999720603,2947536.610000000335276,3046565.899999999906868,12848547.860000001266599
20171017,3655677.600000000093132,3190317.520000000018626,2945259.070000000298023,3025187.100000000093132,12816441.290000000968575
20171018,3675749.300000000279397,3197454.080000000074506,2946018.250000000000000,3032500.899999999906868,12851722.530000001192093
20171019,3661614.300000000279397,3211534.319999999832362,2957405.950000000186265,3010559.500000000000000,12841114.070000000298023
20171020,3742325.149999999906868,3207676.720000000204891,2991569.050000000279397,3025468.399999999906868,12967039.320000000298023
20171023,3707977.099999999627471,3150584.239999999757856,2992328.229999999981374,3024905.799999999813735,12875795.370000001043081
20171024,3759993.899999999906868,3160999.759999999776483,2993467.000000000000000,3049660.199999999720603,12964120.859999999403954
20171025,3652850.600000000093132,3155213.359999999869615,2984736.430000000167638,3080040.599999999627471,12872840.990000000223517
20171026,3664865.349999999627471,3163507.199999999720603,2989671.100000000558794,3088760.899999999906868,12906804.549999998882413
20171027,3625145.999999999534339,3190124.639999999664724,3181364.050000000279397,3086229.199999999720603,13082863.889999998733401
20171030,3664582.649999999906868,3206326.559999999590218,3184400.770000000484288,3095512.100000000093132,13150822.080000000074506
20171031,3646631.200000000186265,3219442.399999999906868,3157449.880000000353903,3093824.299999999813735,13117347.780000001192093
20171101,3653981.399999999906868,3209026.879999999888241,3157449.880000000353903,3124485.999999999534339,13144944.160000000149012
20171102,3712358.949999999720603,3242395.119999999646097,3190474.209999999962747,3121954.299999999813735,13267182.579999998211861
20171103,3699920.149999999906868,3253003.520000000018626,3193890.520000000484288,3132643.699999999720603,13279457.890000000596046
20171106,3732713.349999999627471,3280392.479999999515712,3206416.990000000223517,3148396.500000000000000,13367919.320000000298023
20171107,3761831.449999999720603,3293894.080000000074506,3198825.189999999944121,3153178.600000000093132,13407729.319999998435378
20171108,3753915.849999999627471,3280971.119999999646097,3209833.300000000279397,3163868.000000000000000,13408588.269999999552965
20171109,3713348.399999999906868,3221178.319999999832362,3191992.570000000298023,3154585.100000000093132,13281104.389999998733401
20171110,3687198.650000000372529,3193982.239999999757856,3183641.590000000316650,3147271.299999999813735,13212093.780000001192093
20171113,3709390.600000000093132,3228314.879999999888241,3185919.130000000353903,3133768.899999999906868,13257393.510000001639128
20171114,3700061.500000000000000,3242588.000000000000000,3190474.209999999962747,3150084.299999999813735,13283208.010000001639128
20171115,3715610.000000000000000,3227350.479999999515712,3149858.080000000540167,3101419.399999999906868,13194237.960000000894070
20171116,3727483.399999999906868,3242202.239999999757856,3158209.060000000521541,3123079.500000000000000,13250974.199999999254942
20171117,3707129.000000000000000,3215777.679999999701977,3127841.860000000335276,3089323.499999999534339,13140072.039999999105930
20171120,3740628.949999999720603,3219828.160000000149012,3132776.530000000260770,3092980.399999999906868,13186214.040000000968575
20171121,3773987.549999999813735,3246252.720000000204891,3177947.740000000223517,3135175.399999999906868,13333363.410000000149012
20171122,3747979.149999999441206,3260718.720000000204891,3154792.750000000000000,3117453.499999999534339,13280944.119999999180436
20171124,3758297.699999999720603,3261876.000000000000000,3160486.600000000558794,3149803.000000000000000,13330463.300000000745058
20171127,3754057.199999999720603,3258982.799999999813735,3183641.590000000316650,3161336.299999999813735,13358017.890000000596046
20171128,3788122.549999999813735,3304888.239999999757856,3221980.180000000167638,3188903.699999999720603,13503894.669999998062849
20171129,3806639.399999999906868,3287336.160000000149012,3163523.320000000298023,3090448.699999999720603,13347947.580000000074506
20171130,3912651.899999999906868,3317039.679999999701977,3195029.290000000502914,3167243.600000000093132,13591964.470000000670552
20171201,3836040.199999999720603,3334398.879999999888241,3198445.600000000558794,3114921.799999999813735,13483806.480000000447035
20171204,3929189.850000000093132,3291579.520000000018626,3077735.979999999981374,3022092.800000000279397,13320598.150000000372529
20171205,3894841.800000000279397,3336713.439999999944121,3097095.070000000298023,3054442.299999999813735,13383092.609999999403954
20171206,3933430.349999999627471,3346164.559999999590218,3142266.280000000260770,3087073.099999999627471,13508934.289999999105930
20171207,3985729.850000000093132,3335170.399999999906868,3131258.169999999925494,3133768.899999999906868,13585927.320000000298023
20171208,4041280.399999999441206,3339799.520000000018626,3194649.700000000186265,3167524.899999999906868,13743254.520000001415610
20171211,4002550.500000000465661,3341728.319999999832362,3235265.830000000540167,3161055.000000000000000,13740599.650000000372529
20171212,4098385.799999999813735,3322054.559999999590218,3248551.479999999981374,3191716.699999999720603,13860708.539999999105930
20171213,4125242.299999999348074,3347514.720000000204891,3239820.910000000149012,3187497.200000000186265,13900075.129999998956919
20171214,4154077.699999999720603,3339606.639999999664724,3214767.970000000204891,3176526.500000000000000,13884978.810000000521541
20171215,4154925.799999999813735,3357351.600000000093132,3296759.410000000149012,3201843.499999999534339,14010880.310000000521541
20171218,4186022.799999999813735,3360051.919999999459833,3278918.680000000167638,3194248.399999999906868,14019241.799999998882413
20171219,4201712.650000000372529,3344428.639999999664724,3258041.229999999981374,3154585.100000000093132,13958767.619999999180436
20171220,4210900.400000000372529,3320897.279999999795109,3246273.939999999944121,3154022.500000000000000,13932094.119999999180436
20171221,4170332.949999999720603,3314725.119999999646097,3245514.760000000242144,3162180.199999999720603,13892753.029999999329448
20171222,4171322.400000000372529,3306431.279999999795109,3245894.350000000558794,3170056.599999999627471,13893704.630000000819564
20171226,4174997.500000000000000,3303923.839999999850988,3241718.860000000335276,3178495.599999999627471,13899135.799999998882413
20171227,4178672.600000000093132,3330541.279999999795109,3253486.149999999906868,3207469.500000000000000,13970169.529999999329448
20171228,4188991.150000000372529,3338835.119999999646097,3253865.740000000223517,3216752.399999999906868,13998444.410000000149012
20171229,4168636.750000000465661,3319932.879999999888241,3247033.120000000577420,3207469.500000000000000,13943072.250000001862645
20180102,4195917.299999998882413,3341149.679999999701977,3262596.310000000521541,3221253.200000000186265,14020916.489999998360872
20180103,4209486.900000000372529,3327069.439999999944121,3277779.910000000149012,3253321.399999999906868,14067657.650000000372529
20180104,4193514.350000000093132,3350407.919999999459833,3306628.750000000000000,3265417.299999999813735,14115968.320000000298023
20180105,4365537.299999998882413,3357158.720000000204891,3347624.470000000204891,3343618.699999999720603,14413939.189999999478459
20180108,4384054.150000000372529,3354844.160000000149012,3351040.780000000260770,3357121.100000000093132,14447060.189999999478459
20180109,4501091.949999999254942,3347321.839999999850988,3348763.240000000223517,3350651.199999999720603,14547828.229999998584390
20180110,4526959.000000000000000,3346743.199999999720603,3333579.640000000130385,3346994.299999999813735,14554276.140000000596046
20180111,4638060.099999999627471,3344428.639999999664724,3343448.979999999981374,3371186.100000000093132,14697123.819999998435378
20180112,4752412.250000000000000,3347900.479999999515712,3401146.660000000149012,3378218.600000000093132,14879677.990000000223517
20180116,4737570.500000000000000,3350022.160000000149012,3353697.910000000149012,3386657.600000000093132,14827948.169999999925494
20180117,4961610.250000000000000,3375096.559999999590218,3421644.520000000484288,3431384.299999999813735,15189735.629999998956919
20180118,4808245.500000000000000,3367188.479999999515712,3420126.160000000149012,3463171.199999999720603,15058731.339999999850988
20180119,4773897.449999999254942,3397084.879999999888241,3416330.260000000242144,3451637.899999999906868,15038950.490000000223517
20180122,4777713.900000000372529,3398820.799999999813735,3477444.250000000000000,3497489.799999999813735,15151468.750000000000000
20180123,4743648.549999998882413,3410393.600000000093132,3488452.360000000335276,3506491.399999999906868,15148985.909999998286366
20180124,4730927.050000000745058,3397084.879999999888241,3485415.640000000130385,3503678.399999999906868,15117105.970000000670552
20180125,4849943.750000000000000,3388212.399999999906868,3504774.729999999981374,3522525.500000000000000,15265456.380000000819564
20180126,4851498.599999999627471,3440290.000000000000000,3570443.800000000279397,3553468.499999999534339,15415700.900000000372529
20180129,4817574.599999999627471,3428910.080000000074506,3565129.540000000502914,3511836.100000000093132,15323450.320000000298023
20180130,4773614.750000000000000,3326876.559999999590218,3520337.919999999925494,3475548.399999999906868,15096377.630000000819564
20180131,5009103.849999999627471,3301030.639999999664724,3606504.850000000558794,3494676.799999999813735,15411316.140000000596046
20180201,5045430.800000000745058,3315689.520000000018626,3578035.600000000558794,3536590.500000000000000,15475746.420000001788139
20180202,4931926.750000000000000,3267083.759999999776483,3483897.280000000260770,3401285.199999999720603,15084192.989999998360872
20180205,4648802.699999999254942,3160421.119999999646097,3340412.260000000242144,3270762.000000000000000,14420398.079999998211861
20180206,4818846.750000000000000,3186074.160000000149012,3466815.729999999981374,3374843.000000000000000,14846579.640000000596046
20180207,4920760.099999999627471,3196296.799999999813735,3401526.250000000000000,3365841.399999999906868,14884424.549999998882413
20180208,4659828.000000000000000,3066295.679999999701977,3226914.850000000558794,3202968.699999999720603,14156007.230000000447035
20180209,4704635.949999999254942,3101592.720000000204891,3347244.880000000353903,3272168.499999999534339,14425642.050000000745058
20180212,4859696.900000000372529,3161385.520000000018626,3383305.930000000167638,3332648.000000000000000,14737036.349999999627471
20180213,4850650.500000000000000,3132453.520000000018626,3409877.229999999981374,3329272.399999999906868,14722253.650000000372529
20180214,4874538.650000000372529,3085969.439999999944121,3447077.050000000279397,3399034.799999999813735,14806619.940000001341105
20180215,5038646.000000000000000,3101206.959999999962747,3517301.200000000186265,3439823.299999999813735,15096977.460000000894070
20180216,5018574.300000000745058,3043535.839999999850988,3492248.260000000242144,3427727.399999999906868,14982085.800000000745058
20180220,4994686.150000000372529,3031384.399999999906868,3519578.740000000223517,3432228.200000000186265,14977877.490000002086163
20180221,4980833.849999999627471,3059930.639999999664724,3472889.169999999925494,3387782.800000000279397,14901436.460000000894070
20180222,5031013.099999999627471,3098892.399999999906868,3481999.330000000540167,3386376.299999999813735,14998281.129999998956919
20180223,5041473.000000000000000,3145183.600000000093132,3570443.800000000279397,3458107.800000000279397,15215208.200000001117587
20180226,5137873.699999999254942,3155213.359999999869615,3622068.040000000502914,3504803.600000000093132,15419958.699999999254942
20180227,5154270.299999998882413,3098892.399999999906868,3575758.060000000521541,3470485.000000000000000,15299405.759999999776483
20180228,5119922.250000000000000,3042571.439999999944121,3559435.689999999944121,3458389.099999999627471,15180318.479999998584390
20180301,4942952.050000000745058,3003223.919999999459833,3524513.410000000149012,3386938.899999999906868,14857628.280000001192093
20180302,4871994.349999999627471,2859914.080000000074506,3532105.209999999962747,3397347.000000000000000,14661360.640000000596046
20180305,4986205.150000000372529,2913148.959999999962747,3554501.020000000484288,3428571.299999999813735,14882426.429999999701977
20180306,4932068.099999999627471,2916427.919999999459833,3542354.140000000130385,3405504.700000000186265,14796354.859999999403954
20180307,4905494.300000000745058,2939187.759999999776483,3562852.000000000000000,3427727.399999999906868,14835261.460000000894070
20180308,4929382.449999999254942,2978921.039999999571592,3584488.630000000353903,3438135.500000000000000,14930927.619999999180436
20180309,5011224.099999999627471,3032927.439999999944121,3664582.120000000577420,3502553.200000000186265,15211286.859999999403954
20180312,4865209.550000000745058,3042571.439999999944121,3673312.689999999944121,3494958.099999999627471,15076051.779999999329448
20180313,4787184.349999999627471,3051829.679999999701977,3583729.450000000186265,3465702.899999999906868,14888446.380000000819564
20180314,4668309.000000000000000,3052215.439999999944121,3562472.410000000149012,3448262.299999999813735,14731259.149999998509884
20180315,4664351.199999999254942,3117216.000000000000000,3574998.880000000353903,3471610.199999999720603,14828176.279999999329448
20180316,4671277.349999999627471,3131682.000000000000000,3590941.660000000149012,3503115.799999999813735,14897016.809999998658895
20180319,4689511.500000000000000,3067067.199999999720603,3526031.770000000484288,3465984.199999999720603,14748594.669999998062849
20180320,4772483.949999999254942,3074203.759999999776483,3535141.930000000167638,3513805.199999999720603,14895634.839999997988343
20180321,4764992.400000000372529,3060316.399999999906868,3510468.580000000540167,3466265.500000000000000,14802042.880000000819564
20180322,4517771.250000000000000,3029069.839999999850988,3408358.870000000577420,3375405.599999999627471,14330605.560000000521541
20180323,4537418.900000000372529,2989336.559999999590218,3309285.880000000353903,3291296.899999999906868,14127338.240000000223517
20180326,4650074.849999999627471,3047779.199999999720603,3559815.280000000260770,3393690.100000000093132,14651359.429999997839332
