代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14094550.240000000223517
真實報酬,4094550.240000000223517

夏普值報酬,0.400755024000000
夏普值風險,0.107766355556975
夏普值,3.718739693188628

預期報酬,15969.722437063581310
風險,319868.756873928476125
趨勢值,0.049925858946448
找到最佳解世代,1656
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),V[25](2),
20110810,5368402.959999999962747,5074244.639999999664724,10442647.599999999627471
20110811,5508868.560000000521541,5409625.599999999627471,10918494.160000000149012
20110812,5522915.120000000111759,5366102.879999999888241,10889018.000000000000000
20110815,5543346.479999999515712,5496671.039999999105930,11040017.519999999552965
20110816,5533769.280000000260770,5494110.879999999888241,11027880.160000000149012
20110817,5586763.120000000111759,5376343.519999999552965,10963106.640000000596046
20110818,5466090.400000000372529,5138248.639999999664724,10604339.039999999105930
20110819,5569524.160000000149012,5094725.919999998994172,10664250.079999998211861
20110822,5603363.600000000558794,5107526.719999999739230,10710890.320000000298023
20110823,5716374.560000000521541,5360982.559999999590218,11077357.120000001043081
20110824,5754683.359999999403954,5529953.120000000111759,11284636.480000000447035
20110825,5664019.199999999254942,5384024.000000000000000,11048043.199999999254942
20110826,5741913.760000000707805,5494110.879999999888241,11236024.640000000596046
20110829,5796823.040000000968575,5542753.919999998994172,11339576.960000000894070
20110830,5796184.560000000521541,5627239.199999999254942,11423423.759999999776483
20110831,5772560.799999999813735,5624679.039999999105930,11397239.839999999850988
20110901,5750852.479999999515712,5614438.399999999441206,11365290.879999998956919
20110902,5688281.440000000409782,5476189.759999999776483,11164471.199999999254942
20110906,5671042.479999999515712,5496671.039999999105930,11167713.519999999552965
20110907,5701051.040000000968575,5663081.439999999478459,11364132.480000000447035
20110908,5657634.400000000372529,5599077.439999999478459,11256711.839999999850988
20110909,5429058.560000000521541,5527392.959999999962747,10956451.519999999552965
20110912,5503122.240000000223517,5596517.279999999329448,11099639.519999999552965
20110913,5498652.880000000819564,5616998.559999999590218,11115651.440000001341105
20110914,5538877.120000000111759,5734765.919999998994172,11273643.039999999105930
20110915,5623156.479999999515712,5793649.599999999627471,11416806.079999998211861
20110916,5637203.040000000968575,5814130.879999999888241,11451333.920000001788139
20110919,5670404.000000000000000,5762927.679999999701977,11433331.679999999701977
20110920,5702328.000000000000000,5942138.879999999888241,11644466.879999998956919
20110921,5588040.080000000074506,5852533.279999999329448,11440573.359999999403954
20110922,5490352.639999999664724,5652840.799999998882413,11143193.439999997615814
20110923,5578462.880000000819564,5765487.839999999850988,11343950.720000000670552
20110926,5704243.440000000409782,5778288.639999999664724,11482532.080000000074506
20110927,5729782.639999999664724,5727085.439999999478459,11456868.079999998211861
20110928,5620602.560000000521541,5609318.079999999143183,11229920.640000000596046
20110929,5668488.560000000521541,5611878.240000000223517,11280366.800000000745058
20110930,5607194.479999999515712,5486430.399999999441206,11093624.879999998956919
20111003,5492268.080000000074506,5394264.639999999664724,10886532.719999998807907
20111004,5521638.160000000149012,5427546.719999999739230,10949184.879999998956919
20111005,5480136.959999999962747,5440347.519999999552965,10920484.480000000447035
20111006,5561862.400000000372529,5576036.000000000000000,11137898.400000000372529
20111007,5567608.720000000670552,5519712.479999999515712,11087321.199999999254942
20111010,5651249.600000000558794,5711724.479999999515712,11362974.080000000074506
20111011,5704243.440000000409782,5793649.599999999627471,11497893.039999999105930
20111012,5641672.400000000372529,5834612.159999999217689,11476284.559999998658895
20111013,5702328.000000000000000,5926777.919999998994172,11629105.919999998062849
20111014,5742552.240000000223517,6011263.199999999254942,11753815.439999999478459
20111017,5660826.799999999813735,5837172.319999999366701,11497999.119999999180436
20111018,5723397.839999999850988,6011263.199999999254942,11734661.039999999105930
20111019,5722120.880000000819564,5765487.839999999850988,11487608.720000000670552
20111020,5683173.600000000558794,5847412.959999999962747,11530586.560000000521541
20111021,5894510.479999999515712,5980541.279999999329448,11875051.759999997913837
20111024,5874717.600000000558794,6029184.319999999366701,11903901.919999999925494
20111025,5859394.080000000074506,5803890.240000000223517,11663284.320000000298023
20111026,5860032.560000000521541,5890935.679999999701977,11750968.240000000223517
20111027,5970489.600000000558794,6041985.120000000111759,12012474.720000000670552
20111028,5956443.040000000968575,6088068.000000000000000,12044511.040000000968575
20111031,5928349.919999999925494,5970300.639999999664724,11898650.559999998658895
20111101,5868332.799999999813735,5762927.679999999701977,11631260.480000000447035
20111102,5907918.560000000521541,5857653.599999999627471,11765572.160000000149012
20111103,5937927.120000000111759,5965180.319999999366701,11903107.439999999478459
20111104,5989644.000000000000000,5929338.079999999143183,11918982.079999998211861
20111107,6041360.880000000819564,5949819.359999999403954,11991180.240000000223517
20111108,6040083.919999999925494,6052225.759999999776483,12092309.679999999701977
20111109,5915580.320000000298023,5960060.000000000000000,11875640.320000000298023
20111110,5954527.600000000558794,5954939.679999999701977,11909467.280000001192093
20111111,6050299.600000000558794,6090628.159999999217689,12140927.759999999776483
20111114,6005606.000000000000000,6006142.879999999888241,12011748.879999998956919
20111115,6031783.679999999701977,6121350.079999999143183,12153133.759999997913837
20111116,5947504.320000000298023,5977981.120000000111759,11925485.440000001341105
20111117,5892595.040000000968575,5849973.120000000111759,11742568.160000000149012
20111118,5921326.639999999664724,5811570.719999999739230,11732897.359999999403954
20111121,5891956.560000000521541,5837172.319999999366701,11729128.879999998956919
20111122,5915580.320000000298023,5814130.879999999888241,11729711.199999999254942
20111123,5865778.880000000819564,5714284.639999999664724,11580063.519999999552965
20111125,5880463.919999999925494,5698923.679999999701977,11579387.599999999627471
20111128,5986451.600000000558794,5983101.439999999478459,11969553.039999999105930
20111129,5967297.199999999254942,5947259.199999999254942,11914556.399999998509884
20111130,6098824.080000000074506,6205835.359999999403954,12304659.439999999478459
20111201,6097547.120000000111759,6257038.559999999590218,12354585.679999999701977
20111202,6110316.720000000670552,6221196.319999999366701,12331513.039999999105930
20111205,6087969.919999999925494,6149511.839999999850988,12237481.759999999776483
20111206,6130109.600000000558794,6103428.959999999962747,12233538.560000000521541
20111207,6158202.720000000670552,6213515.839999999850988,12371718.560000000521541
20111208,6188211.280000000260770,6131590.719999999739230,12319802.000000000000000
20111209,6259082.560000000521541,6221196.319999999366701,12480278.879999998956919
20111212,6287814.160000000149012,6203275.199999999254942,12491089.359999999403954
20111213,6257167.120000000111759,6139271.199999999254942,12396438.320000000298023
20111214,6232266.400000000372529,6167432.959999999962747,12399699.359999999403954
20111215,6266105.839999999850988,6134150.879999999888241,12400256.719999998807907
20111216,6224604.639999999664724,6236557.279999999329448,12461161.919999998062849
20111219,6208642.639999999664724,6310801.919999998994172,12519444.559999998658895
20111220,6309522.479999999515712,6487452.959999999962747,12796975.439999999478459
20111221,6333784.720000000670552,6446490.399999999441206,12780275.120000001043081
20111222,6295475.919999999925494,6436249.759999999776483,12731725.679999999701977
20111223,6394440.320000000298023,6559137.439999999478459,12953577.759999999776483
20111227,6419979.519999999552965,6523295.199999999254942,12943274.719999998807907
20111228,6358046.959999999962747,6446490.399999999441206,12804537.359999999403954
20111229,6436580.000000000000000,6602660.159999999217689,13039240.160000000149012
20111230,6405932.959999999962747,6497693.599999999627471,12903626.559999998658895
20120103,6310799.440000000409782,6592419.519999999552965,12903218.960000000894070
20120104,6345915.839999999850988,6474652.159999999217689,12820568.000000000000000
20120105,6374008.959999999962747,6523295.199999999254942,12897304.160000000149012
20120106,6423171.919999999925494,6446490.399999999441206,12869662.320000000298023
20120109,6361877.839999999850988,6395287.199999999254942,12757165.039999999105930
20120110,6365708.720000000670552,6387606.719999999739230,12753315.440000001341105
20120111,6380393.760000000707805,6344084.000000000000000,12724477.760000001639128
20120112,6421256.479999999515712,6487452.959999999962747,12908709.439999999478459
20120113,6407209.919999999925494,6449050.559999999590218,12856260.480000000447035
20120117,6419979.519999999552965,6561697.599999999627471,12981677.119999999180436
20120118,6484466.000000000000000,6643622.719999999739230,13128088.719999998807907
20120119,6465311.600000000558794,6551456.959999999962747,13016768.560000000521541
20120120,6495958.639999999664724,6438809.919999998994172,12934768.559999998658895
20120123,6445518.720000000670552,6374805.919999998994172,12820324.640000000596046
20120124,6305053.120000000111759,6464411.519999999552965,12769464.640000000596046
20120125,6335700.160000000149012,6436249.759999999776483,12771949.919999999925494
20120126,6332507.760000000707805,6456731.039999999105930,12789238.800000000745058
20120127,6301222.240000000223517,6466971.679999999701977,12768193.919999999925494
20120130,6301222.240000000223517,6392727.039999999105930,12693949.279999999329448
20120131,6324207.519999999552965,6441370.079999999143183,12765577.599999997764826
20120201,6282706.320000000298023,6561697.599999999627471,12844403.919999999925494
20120202,6296752.880000000819564,6789551.839999999850988,13086304.720000000670552
20120203,6385501.600000000558794,6850995.679999999701977,13236497.280000001192093
20120206,6352300.639999999664724,6871476.959999999962747,13223777.599999999627471
20120207,6442964.799999999813735,6848435.519999999552965,13291400.320000000298023
20120208,6388055.519999999552965,6935480.959999999962747,13323536.480000000447035
20120209,6384224.639999999664724,7196617.279999999329448,13580841.919999998062849
20120210,6351023.679999999701977,7291343.199999999254942,13642366.879999998956919
20120213,6362516.320000000298023,7214538.399999999441206,13577054.719999998807907
20120214,6356131.519999999552965,7375828.479999999515712,13731960.000000000000000
20120215,6296114.400000000372529,7368148.000000000000000,13664262.400000000372529
20120216,6337615.600000000558794,7283662.719999999739230,13621278.320000000298023
20120217,6384224.639999999664724,7360467.519999999552965,13744692.160000000149012
20120221,6416148.639999999664724,7309264.319999999366701,13725412.959999999031425
20120222,6427002.799999999813735,7447512.959999999962747,13874515.759999999776483
20120223,6436580.000000000000000,7455193.439999999478459,13891773.439999999478459
20120224,6405294.479999999515712,7524317.759999999776483,13929612.239999998360872
20120227,6407848.400000000372529,7480795.039999999105930,13888643.439999999478459
20120228,6370816.560000000521541,7613923.359999999403954,13984739.919999999925494
20120229,6338892.560000000521541,7447512.959999999962747,13786405.519999999552965
20120301,6336977.120000000111759,7501276.319999999366701,13838253.439999999478459
20120302,6352939.120000000111759,7434712.159999999217689,13787651.279999999329448
20120305,6381032.240000000223517,7439832.479999999515712,13820864.719999998807907
20120306,6377839.839999999850988,7350226.879999999888241,13728066.719999998807907
20120307,6396355.760000000707805,7401430.079999999143183,13797785.839999999850988
20120308,6190765.199999999254942,7549919.359999999403954,13740684.559999998658895
20120309,6183103.440000000409782,7498716.159999999217689,13681819.599999999627471
20120312,6171610.799999999813735,7457753.599999999627471,13629364.399999998509884
20120313,6179272.560000000521541,7506396.639999999664724,13685669.199999999254942
20120314,6211835.040000000968575,7473114.559999999590218,13684949.600000001490116
20120315,6259721.040000000968575,7488475.519999999552965,13748196.560000000521541
20120316,6235458.799999999813735,7467994.240000000223517,13703453.039999999105930
20120319,6239928.160000000149012,7606242.879999999888241,13846171.039999999105930
20120320,6234820.320000000298023,7457753.599999999627471,13692573.919999999925494
20120321,6175441.679999999701977,7473114.559999999590218,13648556.239999998360872
20120322,6116701.519999999552965,7506396.639999999664724,13623098.160000000149012
20120323,6100739.519999999552965,7603682.719999999739230,13704422.239999998360872
20120326,6191403.679999999701977,7685607.839999999850988,13877011.519999999552965
20120327,6215027.440000000409782,7667686.719999999739230,13882714.160000000149012
20120328,6198426.959999999962747,7639524.959999999962747,13837951.919999999925494
20120329,6234181.839999999850988,7616483.519999999552965,13850665.359999999403954
20120330,6263551.919999999925494,7552479.519999999552965,13816031.439999999478459
20120402,6280152.400000000372529,7616483.519999999552965,13896635.919999999925494
20120403,6346554.320000000298023,7703528.959999999962747,14050083.280000001192093
20120404,6223966.160000000149012,7616483.519999999552965,13840449.679999999701977
20120405,6296752.880000000819564,7744491.519999999552965,14041244.400000000372529
20120409,6313353.359999999403954,7649765.599999999627471,13963118.959999999031425
20120410,6236097.280000000260770,7473114.559999999590218,13709211.839999999850988
20120411,6292922.000000000000000,7514077.120000000111759,13806999.120000001043081
20120412,6234181.839999999850988,7747051.679999999701977,13981233.519999999552965
20120413,6191403.679999999701977,7882740.159999999217689,14074143.839999999850988
20120416,6166502.959999999962747,7734250.879999999888241,13900753.839999999850988
20120417,6200342.400000000372529,7813615.839999999850988,14013958.240000000223517
20120418,6215027.440000000409782,7795694.719999999739230,14010722.160000000149012
20120419,6083500.560000000521541,7757292.319999999366701,13840792.879999998956919
20120420,6125640.240000000223517,7744491.519999999552965,13870131.759999999776483
20120423,6077754.240000000223517,7560160.000000000000000,13637914.240000000223517
20120424,6039445.440000000409782,7611363.199999999254942,13650808.640000000596046
20120425,6079669.679999999701977,7795694.719999999739230,13875364.399999998509884
20120426,6118616.959999999962747,7885300.319999999366701,14003917.279999999329448
20120427,6217581.359999999403954,7905781.599999999627471,14123362.959999999031425
20120430,6222050.720000000670552,7872499.519999999552965,14094550.240000000223517
