代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14162889.100000001490116
真實報酬,4162889.100000001490116

夏普值報酬,0.407588910000000
夏普值風險,0.103497874509274
夏普值,3.938137975611054

預期報酬,16357.281552962744172
風險,275933.863854326948058
趨勢值,0.059279717699304
找到最佳解世代,3104
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,2
MSFT[18](2),V[25](1),
20170829,5024071.250000000000000,5211426.199999999254942,10235497.449999999254942
20170830,5090095.250000000000000,5209417.400000000372529,10299512.650000000372529
20170831,5142364.250000000000000,5198871.199999999254942,10341235.449999999254942
20170901,5085281.000000000000000,5217954.799999999813735,10303235.800000000745058
20170905,5062585.250000000000000,5173259.000000000000000,10235844.250000000000000
20170906,5048142.500000000000000,5181796.400000000372529,10229938.900000000372529
20170907,5112791.000000000000000,5251100.000000000000000,10363891.000000000000000
20170908,5088032.000000000000000,5244571.400000000372529,10332603.400000000372529
20170911,5141676.500000000000000,5330949.799999999813735,10472626.300000000745058
20170912,5136174.500000000931323,5333962.999999999068677,10470137.500000000000000
20170913,5172625.250000000000000,5314879.399999999441206,10487504.649999998509884
20170914,5142364.250000000000000,5327434.399999999441206,10469798.649999998509884
20170915,5179502.750000000000000,5288262.799999999813735,10467765.550000000745058
20170918,5169186.500000000000000,5264659.399999999441206,10433845.899999998509884
20170919,5188443.500000000000000,5293787.000000000000000,10482230.500000000000000
20170920,5154056.000000000000000,5293787.000000000000000,10447843.000000000000000
20170921,5103850.250000000000000,5288765.000000000000000,10392615.250000000000000
20170922,5117605.250000000000000,5301320.000000000000000,10418925.250000000000000
20170925,5038514.000000000000000,5173761.199999999254942,10212275.199999999254942
20170926,5038514.000000000000000,5169743.599999999627471,10208257.599999999627471
20170927,5079091.250000000000000,5217452.599999999627471,10296543.849999999627471
20170928,5080466.750000000000000,5252104.399999999441206,10332571.149999998509884
20170929,5123107.250000000000000,5252104.399999999441206,10375211.649999998509884
20171002,5131360.250000000000000,5295293.599999999627471,10426653.849999999627471
20171003,5107289.000000000000000,5302826.599999999627471,10410115.599999999627471
20171004,5136862.250000000000000,5288765.000000000000000,10425627.250000000000000
20171005,5224894.250000000000000,5335469.599999999627471,10560363.849999999627471
20171006,5226957.500000000000000,5360077.400000000372529,10587034.900000000372529
20171009,5246902.250000000000000,5374139.000000000000000,10621041.250000000000000
20171010,5246902.250000000000000,5389205.000000000000000,10636107.250000000000000
20171011,5255843.000000000000000,5445953.599999999627471,10701796.599999999627471
20171012,5303985.500000000000000,5429381.000000000000000,10733366.500000000000000
20171013,5329432.250000000000000,5457002.000000000000000,10786434.250000000000000
20171016,5340436.250000000000000,5438922.799999999813735,10779359.050000000745058
20171017,5336309.750000000000000,5400755.600000000558794,10737065.350000001490116
20171018,5337685.250000000000000,5413812.799999999813735,10751498.050000000745058
20171019,5358317.750000000000000,5374641.199999999254942,10732958.949999999254942
20171020,5420215.250000000000000,5401257.799999999813735,10821473.050000000745058
20171023,5421590.750000000000000,5400253.399999999441206,10821844.149999998509884
20171024,5423654.000000000000000,5444447.000000000000000,10868101.000000000000000
20171025,5407835.750000000000000,5498684.599999999627471,10906520.349999999627471
20171026,5416776.500000000000000,5514252.799999999813735,10931029.300000000745058
20171027,5764090.250000000000000,5509732.999999999068677,11273823.250000000000000
20171030,5769592.250000000000000,5526305.600000000558794,11295897.850000001490116
20171031,5720762.000000000931323,5523292.400000000372529,11244054.400000002235174
20171101,5720762.000000000931323,5578032.199999999254942,11298794.199999999254942
20171102,5780596.250000000000000,5573512.400000000372529,11354108.650000000372529
20171103,5786786.000000000000000,5592596.000000000000000,11379382.000000000000000
20171106,5809481.750000000000000,5620719.200000000186265,11430200.949999999254942
20171107,5795726.750000000000000,5629256.599999999627471,11424983.349999999627471
20171108,5815671.500000000000000,5648340.200000000186265,11464011.699999999254942
20171109,5783347.250000000000000,5631767.599999999627471,11415114.849999999627471
20171110,5768216.750000000000000,5618710.399999999441206,11386927.149999998509884
20171113,5772343.250000000931323,5594604.799999999813735,11366948.050000000745058
20171114,5780596.250000000000000,5623732.400000000372529,11404328.650000000372529
20171115,5707007.000000000000000,5536851.799999999813735,11243858.800000000745058
20171116,5722137.500000000000000,5575521.199999999254942,11297658.699999999254942
20171117,5667117.500000000000000,5515257.199999999254942,11182374.699999999254942
20171120,5676058.250000000000000,5521785.799999999813735,11197844.050000000745058
20171121,5757900.500000000000000,5597115.799999999813735,11355016.300000000745058
20171122,5715947.750000000000000,5565477.199999999254942,11281424.949999999254942
20171124,5726264.000000000000000,5623230.200000000186265,11349494.199999999254942
20171127,5768216.750000000000000,5643820.399999999441206,11412037.149999998509884
20171128,5837679.500000000000000,5693036.000000000000000,11530715.500000000000000
20171129,5731766.000000000000000,5517266.000000000000000,11249032.000000000000000
20171130,5788849.250000000000000,5654366.599999999627471,11443215.849999999627471
20171201,5795039.000000000000000,5560957.400000000372529,11355996.400000000372529
20171204,5576334.500000000000000,5395231.400000000372529,10971565.900000000372529
20171205,5611409.750000000000000,5452984.399999999441206,11064394.149999998509884
20171206,5693252.000000000000000,5511239.599999999627471,11204491.599999999627471
20171207,5673307.250000000000000,5594604.799999999813735,11267912.050000000745058
20171208,5788161.500000000000000,5654868.799999999813735,11443030.300000000745058
20171211,5861750.750000000000000,5643318.200000000186265,11505068.949999999254942
20171212,5885822.000000000000000,5698057.999999999068677,11583880.000000000000000
20171213,5870003.750000000000000,5690525.000000000000000,11560528.750000000000000
20171214,5824612.250000000000000,5670939.200000000186265,11495551.449999999254942
20171215,5973166.250000000000000,5716137.199999999254942,11689303.449999999254942
20171218,5940842.000000000000000,5702577.799999999813735,11643419.800000000745058
20171219,5903015.750000000000000,5631767.599999999627471,11534783.349999999627471
20171220,5881695.500000000000000,5630763.200000000186265,11512458.699999999254942
20171221,5880320.000000000000000,5645327.000000000000000,11525647.000000000000000
20171222,5881007.750000000000000,5659388.599999999627471,11540396.349999999627471
20171226,5873442.500000000000000,5674454.599999999627471,11547897.099999999627471
20171227,5894762.750000000000000,5726181.199999999254942,11620943.949999999254942
20171228,5895450.500000000000000,5742753.799999999813735,11638204.300000000745058
20171229,5883071.000000000000000,5726181.199999999254942,11609252.199999999254942
20180102,5911268.750000000000000,5750789.000000000000000,11662057.750000000000000
20180103,5938778.750000000000000,5808039.799999999813735,11746818.550000000745058
20180104,5991047.750000000000000,5829634.399999999441206,11820682.149999998509884
20180105,6065324.750000000000000,5969246.000000000000000,12034570.750000000000000
20180108,6071514.500000000000000,5993351.599999999627471,12064866.099999999627471
20180109,6067388.000000000000000,5981801.000000000000000,12049189.000000000000000
20180110,6039877.999999999068677,5975272.400000000372529,12015150.399999998509884
20180111,6057759.500000000000000,6018461.599999999627471,12076221.099999999627471
20180112,6162297.500000000000000,6031016.599999999627471,12193314.099999999627471
20180116,6076328.750000000000000,6046082.599999999627471,12122411.349999999627471
20180117,6199436.000000000000000,6125932.400000000372529,12325368.400000000372529
20180118,6196685.000000000000000,6182681.000000000000000,12379366.000000000000000
20180119,6189807.500000000000000,6162090.799999999813735,12351898.300000000745058
20180122,6300535.250000000000000,6243949.399999999441206,12544484.649999998509884
20180123,6320480.000000000000000,6260019.799999999813735,12580499.800000000745058
20180124,6314977.999999999068677,6254997.799999999813735,12569975.799999998882413
20180125,6350053.250000000000000,6288645.200000000186265,12638698.449999999254942
20180126,6469034.000000000000000,6343887.199999999254942,12812921.199999999254942
20180129,6459405.500000000000000,6269561.599999999627471,12728967.099999999627471
20180130,6378251.000000000000000,6204777.799999999813735,12583028.800000000745058
20180131,6534370.250000000000000,6238927.400000000372529,12773297.650000000372529
20180201,6482789.000000000000000,6313755.200000000186265,12796544.199999999254942
20180202,6312227.000000000000000,6072197.000000000000000,12384424.000000000000000
20180205,6052257.500000000000000,5839176.199999999254942,11891433.699999999254942
20180206,6281278.250000000000000,6024990.200000000186265,12306268.449999999254942
20180207,6162985.250000000000000,6008919.799999999813735,12171905.050000000745058
20180208,5846620.250000000000000,5718146.000000000000000,11564766.250000000000000
20180209,6064637.000000000931323,5841687.199999999254942,11906324.199999999254942
20180212,6129973.250000000000000,5949660.200000000186265,12079633.449999999254942
20180213,6178115.750000000000000,5943633.799999999813735,12121749.550000000745058
20180214,6245515.250000000000000,6068179.399999999441206,12313694.649999998509884
20180215,6372749.000000000000000,6140998.399999999441206,12513747.399999998509884
20180216,6327357.500000000000000,6119403.799999999813735,12446761.300000000745058
20180220,6376875.500000000000000,6127439.000000000000000,12504314.500000000000000
20180221,6292282.250000000000000,6048091.400000000372529,12340373.650000000372529
20180222,6308788.250000000000000,6045580.399999999441206,12354368.649999998509884
20180223,6469034.000000000000000,6173641.400000000372529,12642675.400000000372529
20180226,6562568.000000000000000,6257006.599999999627471,12819574.599999999627471
20180227,6478662.500000000000000,6195738.200000000186265,12674400.699999999254942
20180228,6449089.250000000000000,6174143.599999999627471,12623232.849999999627471
20180301,6385816.250000000000000,6046584.799999999813735,12432401.050000000745058
20180302,6399571.250000000000000,6065166.199999999254942,12464737.449999999254942
20180305,6440148.500000000000000,6120910.399999999441206,12561058.899999998509884
20180306,6418140.499999999068677,6079730.000000000000000,12497870.500000000000000
20180307,6455279.000000000000000,6119403.799999999813735,12574682.800000000745058
20180308,6494480.750000000931323,6137985.200000000186265,12632465.950000001117587
20180309,6639596.000000000000000,6252989.000000000000000,12892585.000000000000000
20180312,6655414.250000000000000,6239429.599999999627471,12894843.849999999627471
20180313,6493105.250000000000000,6187200.799999999813735,12680306.050000000745058
20180314,6454591.250000000000000,6156064.399999999441206,12610655.649999998509884
20180315,6477287.000000000931323,6197747.000000000000000,12675034.000000000000000
20180316,6506172.500000000000000,6253993.399999999441206,12760165.899999998509884
20180319,6388567.250000000000000,6187702.999999999068677,12576270.250000000000000
20180320,6405073.250000000000000,6273077.000000000000000,12678150.250000000000000
20180321,6360369.500000000000000,6188205.200000000186265,12548574.699999999254942
20180322,6175364.750000000000000,6025994.599999999627471,12201359.349999999627471
20180323,5995862.000000000931323,5875836.799999999813735,11871698.800000000745058
20180326,6449777.000000000000000,6058637.599999999627471,12508414.599999999627471
20180327,6153356.750000000000000,5895924.799999999813735,12049281.550000000745058
20180328,6147854.750000000000000,5875334.599999999627471,12023189.349999999627471
20180329,6277151.750000000000000,6007413.200000000186265,12284564.949999999254942
20180402,6088020.500000000000000,5945642.599999999627471,12033663.099999999627471
20180403,6169862.750000000000000,5986320.799999999813735,12156183.550000000745058
20180404,6350053.250000000000000,6016955.000000000000000,12367008.250000000000000
20180405,6353492.000000000000000,6086258.599999999627471,12439750.599999999627471
20180406,6205625.750000000000000,5910990.799999999813735,12116616.550000000745058
20180409,6242764.250000000000000,5965730.600000000558794,12208494.850000001490116
20180410,6387879.500000000000000,6062655.200000000186265,12450534.699999999254942
20180411,6317729.000000000000000,6015448.399999999441206,12333177.399999998509884
20180412,6436022.000000000000000,6080232.199999999254942,12516254.199999999254942
20180413,6401634.500000000000000,6064161.799999999813735,12465796.300000000745058
20180416,6476599.250000000000000,6120910.399999999441206,12597509.649999998509884
20180417,6607271.749999999068677,6217332.799999999813735,12824604.549999998882413
20180418,6632718.500000000000000,6217332.799999999813735,12850051.300000000745058
20180419,6610022.750000000000000,6225367.999999999068677,12835390.750000000000000
20180420,6533682.500000000000000,6237420.799999999813735,12771103.300000000745058
20180423,6557753.750000000000000,6250477.999999999068677,12808231.750000000000000
20180424,6404385.500000000000000,6090276.199999999254942,12494661.699999999254942
20180425,6348677.750000000000000,6087262.999999999068677,12435940.750000000000000
20180426,6482789.000000000000000,6382054.399999999441206,12864843.399999998509884
20180427,6590077.999999999068677,6328319.000000000000000,12918397.000000000000000
20180430,6431895.500000000000000,6372010.399999999441206,12803905.899999998509884
20180501,6533682.500000000000000,6403649.000000000000000,12937331.500000000000000
20180502,6431207.750000000000000,6346900.399999999441206,12778108.149999998509884
20180503,6469721.749999999068677,6387076.400000000372529,12856798.149999998509884
20180504,6544686.500000000000000,6436292.000000000000000,12980978.500000000000000
20180507,6617588.000000000000000,6491533.999999999068677,13109122.000000000000000
20180508,6589390.250000000000000,6523674.799999999813735,13113065.050000000745058
20180509,6667106.000000000000000,6570881.599999999627471,13237987.599999999627471
20180510,6733817.750000000000000,6570881.599999999627471,13304699.349999999627471
20180511,6719375.000000000000000,6620097.199999999254942,13339472.199999999254942
20180514,6742070.750000000000000,6589463.000000000000000,13331533.750000000000000
20180515,6693240.499999999068677,6583938.799999999813735,13277179.299999998882413
20180516,6681548.750000000000000,6573392.599999998696148,13254941.349999997764826
20180517,6614837.000000000931323,6525181.400000000372529,13140018.400000002235174
20180518,6627216.500000000000000,6525181.400000000372529,13152397.900000000372529
20180521,6712497.500000000000000,6561842.000000000000000,13274339.500000000000000
20180522,6705620.000000000000000,6564353.000000000000000,13269973.000000000000000
20180523,6785399.000000000000000,6623110.399999999441206,13408509.399999998509884
20180524,6761327.750000000000000,6623612.599999998696148,13384940.349999997764826
20180525,6764766.500000000000000,6592978.399999999441206,13357744.899999998509884
20180529,6740695.250000000000000,6513128.599999999627471,13253823.849999999627471
20180530,6805343.750000000000000,6560837.599999998696148,13366181.349999997764826
20180531,6797778.500000000000000,6564855.200000000186265,13362633.699999999254942
20180601,6931889.750000000000000,6571383.799999999813735,13503273.550000000745058
20180604,6992411.750000000000000,6682872.199999999254942,13675283.949999999254942
20180605,7028174.750000000000000,6707480.000000000000000,13735654.750000000000000
20180606,7048807.250000000000000,6844078.399999999441206,13892885.649999998509884
20180607,6938079.500000000000000,6721541.599999999627471,13659621.099999999627471
20180608,6989660.750000000000000,6766739.600000000558794,13756400.350000001490116
20180611,6949771.250000000000000,6725057.000000000000000,13674828.250000000000000
20180612,6967652.750000000000000,6772766.000000000931323,13740418.750000000000000
20180613,6936016.250000000000000,6749664.799999999813735,13685681.050000000745058
20180614,6975218.000000000000000,6779796.799999999813735,13755014.800000000745058
20180615,6886498.250000000000000,6784818.799999999813735,13671317.050000000745058
20180618,6936704.000000000000000,6840060.799999998882413,13776764.799999998882413
20180619,6936704.000000000000000,6785321.000000000931323,13722025.000000000000000
20180620,7006166.750000000000000,6804906.799999999813735,13811073.550000000745058
20180621,6955961.000000000000000,6756193.399999999441206,13712154.399999998509884
20180622,6905755.250000000000000,6796369.400000000372529,13702124.650000000372529
20180625,6766829.750000000000000,6575401.400000000372529,13342231.150000000372529
20180626,6814284.500000000000000,6656757.800000000745058,13471042.300000000745058
20180627,6708371.000000000000000,6579921.200000000186265,13288292.199999999254942
20180628,6783335.750000000000000,6666299.600000000558794,13449635.350000001490116
20180629,6781960.250000000000000,6651735.799999998882413,13433696.049999998882413
20180702,6878245.250000000000000,6654246.799999999813735,13532492.050000000745058
20180703,6812221.250000000000000,6601515.799999998882413,13413737.049999998882413
20180705,6861051.500000000000000,6693920.599999999627471,13554972.099999999627471
20180706,6957336.500000000000000,6734096.599999999627471,13691433.099999999627471
20180709,7004791.250000000000000,6805911.200000000186265,13810702.449999999254942
20180710,7023360.500000000000000,6864668.599999999627471,13888029.099999999627471
20180711,7013732.000000000000000,6937989.799999999813735,13951721.800000000745058
20180712,7165724.750000000000000,7025874.799999999813735,14191599.550000000745058
20180713,7251005.750000000931323,7001769.199999999254942,14252774.949999999254942
20180716,7215242.750000000000000,6953558.000000000000000,14168800.750000000000000
20180717,7286768.750000000000000,7012817.599999998696148,14299586.349999997764826
20180718,7229685.500000000000000,7076094.799999999813735,14305780.300000000745058
20180719,7180167.500000000000000,7037425.399999999441206,14217592.899999998509884
20180720,7308776.750000000000000,7080614.600000000558794,14389391.350000001490116
20180723,7425694.250000000000000,7032403.399999999441206,14458097.649999998509884
20180724,7404374.000000000000000,7032403.399999999441206,14436777.399999998509884
20180725,7622390.750000000000000,7163477.599999998696148,14785868.349999997764826
20180726,7539173.000000000000000,7156446.799999999813735,14695619.800000000745058
20180727,7405749.500000000931323,7066553.000000000000000,14472302.500000000000000
20180730,7246879.250000000000000,6854122.399999999441206,14101001.649999998509884
20180731,7295709.500000000000000,6867179.600000000558794,14162889.100000001490116
