訓練日期,20190301 - 20190603
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10925061.959999999031425
真實報酬,925061.959999999031425

夏普值報酬,0.083806196000000
夏普值風險,0.031253447361532
夏普值,2.681502460530217

預期報酬,16201.772097047982243
風險,84495.391865320110810
趨勢值,0.191747404673529
找到最佳解世代,3107
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
KO[14](1),TRV[22](4),V[25](3),
20190401,3434787.839999999850988,3461486.689999999944121,3539019.559999999590218,10435295.089999999850988
20190402,3423760.140000000130385,3431141.100000000093132,3550721.640000000130385,10405623.880000000819564
20190403,3395088.119999999646097,3425874.509999999776483,3566024.360000000335276,10386987.989999998360872
20190404,3417143.519999999552965,3423868.189999999944121,3547571.079999999608845,10388583.789999999105930
20190405,3416408.339999999850988,3420858.709999999962747,3547796.120000000111759,10385064.169999999925494
20190408,3422289.779999999795109,3407817.629999999888241,3550046.520000000018626,10380154.929999999701977
20190409,3431111.939999999944121,3390513.119999999646097,3544195.480000000447035,10365821.539999999105930
20190410,3428906.399999999906868,3397284.450000000186265,3568274.760000000242144,10394466.609999999403954
20190411,3434052.660000000149012,3417849.229999999981374,3552521.960000000428408,10404424.850000001490116
20190412,3436258.200000000186265,3453962.989999999757856,3592579.079999999608845,10482801.269999999552965
20190415,3455372.879999999888241,3430639.519999999552965,3610582.279999999795109,10496595.679999999701977
20190416,3451696.979999999981374,3469511.969999999739230,3605856.439999999944121,10527066.389999998733401
20190417,3475957.919999999925494,3407566.839999999850988,3610582.279999999795109,10494108.039999999105930
20190418,3490661.519999999552965,3484308.580000000074506,3604281.160000000149012,10579252.259999999776483
20190422,3484780.079999999608845,3426125.300000000279397,3609682.120000000111759,10520588.500000000000000
20190423,3544329.660000000149012,3461235.899999999441206,3638037.160000000149012,10643603.719999998807907
20190424,3527420.519999999552965,3490578.330000000074506,3634211.480000000447035,10652211.330000000074506
20190425,3517128.000000000000000,3490829.119999999646097,3623634.600000000093132,10631592.719999998807907
20190426,3548005.559999999590218,3517162.070000000298023,3666617.240000000223517,10731785.870000001043081
20190429,3559768.439999999944121,3547758.450000000186265,3694072.120000000111759,10801600.010000001639128
20190430,3606819.959999999962747,3605189.359999999869615,3700373.240000000223517,10912383.560000000521541
20190501,3572266.500000000000000,3588386.430000000167638,3663466.679999999701977,10824120.609999999403954
20190502,3557562.899999999906868,3578856.409999999683350,3625885.000000000000000,10762305.309999998658895
20190503,3581823.839999999850988,3595157.759999999776483,3646588.679999999701977,10823571.279999999329448
20190506,3563444.339999999850988,3597164.080000000074506,3651989.640000000130385,10812599.060000000521541
20190507,3528890.879999999888241,3554028.200000000186265,3605406.360000000335276,10688326.440000001341105
20190508,3517863.180000000167638,3549513.979999999981374,3617783.559999999590218,10685161.719999998807907
20190509,3484780.079999999608845,3557037.680000000167638,3596404.760000000242144,10638223.519999999552965
20190510,3542859.299999999813735,3610455.950000000186265,3616658.360000000335276,10769974.609999999403954
20190513,3532566.779999999795109,3596662.500000000000000,3540594.840000000316650,10669825.119999999180436
20190514,3579618.299999999813735,3654344.200000000186265,3605406.360000000335276,10839369.859999999403954
20190515,3615642.119999999646097,3674658.189999999944121,3663466.679999999701977,10953767.989999998360872
20190516,3645049.319999999832362,3696978.500000000000000,3710275.000000000000000,11052303.820000000298023
20190517,3617112.479999999981374,3698984.820000000298023,3692721.879999999888241,11008820.179999999701977
20190520,3591381.180000000167638,3716038.539999999571592,3678769.399999999906868,10986190.119999999180436
20190521,3573001.680000000167638,3698483.239999999757856,3687545.960000000428408,10959031.880000000819564
20190522,3650195.579999999608845,3710771.950000000186265,3696097.480000000447035,11057066.009999999776483
20190523,3664899.180000000167638,3685191.369999999646097,3634661.559999999590218,10984753.109999999403954
20190524,3647254.859999999869615,3710270.369999999646097,3660091.079999999608845,11017617.309999998658895
20190528,3609760.680000000167638,3668639.229999999981374,3684170.360000000335276,10962571.269999999552965
20190529,3573736.859999999869615,3638293.639999999664724,3662116.439999999944121,10874147.939999999478459
20190530,3620788.379999999888241,3654845.779999999795109,3662791.559999999590218,10938426.719999998807907
20190531,3611966.220000000204891,3650833.139999999664724,3630610.840000000316650,10893411.199999999254942
20190603,3674456.519999999552965,3681429.519999999552965,3569174.919999999925494,10925061.959999999031425
