訓練日期,20160804 - 20161103
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10522072.310000000521541
真實報酬,522072.310000000521541

夏普值報酬,0.043507231000000
夏普值風險,0.018830465213465
夏普值,2.310470320663593

預期報酬,12356.871686755986957
風險,101409.448098644294078
趨勢值,0.121851286230609
找到最佳解世代,2651
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
AAPL[0](3),BA[2](10),GS[8](2),INTC[11](5),JPM[13](1),
20160909,1949712.699999999720603,1949345.559999999823049,2129215.129999999888241,2069488.859999999869615,2061552.690000000176951,10159314.939999999478459
20160912,1993383.249999999767169,1973459.500000000000000,2160666.319999999832362,2106861.020000000018626,2074234.400000000139698,10308604.490000000223517
20160913,2040834.799999999813735,1952833.739999999757856,2109384.459999999962747,2079415.839999999850988,2057840.969999999972060,10240309.810000000521541
20160914,2113051.899999999906868,1936302.799999999813735,2098774.419999999925494,2079999.779999999795109,2053819.940000000176951,10281948.839999997988343
20160915,2184890.899999999906868,1937819.399999999674037,2123025.939999999944121,2134890.140000000130385,2061243.380000000121072,10441869.760000001639128
20160916,2172602.649999999906868,1921591.779999999795109,2096753.459999999962747,2199707.479999999981374,2035879.959999999729916,10426535.329999998211861
20160919,2147269.949999999720603,1933421.260000000009313,2099405.970000000204891,2169926.539999999571592,2047324.429999999934807,10397348.149999998509884
20160920,2147080.899999999906868,1938122.719999999972060,2102690.029999999795109,2168758.660000000149012,2055675.799999999813735,10412328.109999999403954
20160921,2146702.799999999813735,1980132.539999999804422,2109763.390000000130385,2186860.800000000279397,2067429.580000000074506,10490889.110000001266599
20160922,2166931.149999999906868,2000000.000000000000000,2122268.080000000074506,2192700.199999999720603,2084441.630000000121072,10566341.060000000521541
20160923,2130822.599999999627471,1998635.059999999823049,2085764.489999999990687,2171678.359999999869615,2080111.290000000037253,10467011.800000000745058
20160926,2134036.449999999720603,1980284.199999999720603,2039661.339999999850988,2140145.600000000093132,2034642.719999999972060,10328770.310000000521541
20160927,2138006.500000000000000,1991658.699999999720603,2057471.049999999813735,2171094.419999999925494,2052582.699999999953434,10410813.369999999180436
20160928,2154264.799999999813735,2005459.759999999776483,2064544.409999999916181,2186276.859999999869615,2063408.549999999813735,10473954.379999998956919
20160929,2120802.949999999720603,1987260.559999999823049,2007704.909999999916181,2179269.580000000074506,2030621.690000000176951,10325659.689999999478459
20160930,2137250.299999999813735,1998028.419999999925494,2037008.830000000074506,2204379.000000000000000,2059696.830000000074506,10436363.379999998956919
20161003,2127230.649999999906868,2007734.659999999683350,2034482.629999999888241,2199123.539999999571592,2057222.350000000093132,10425793.829999998211861
20161004,2136305.049999999813735,2005763.079999999841675,2049639.830000000074506,2192116.259999999776483,2060006.139999999897555,10443830.359999999403954
20161005,2137250.299999999813735,2042313.139999999897555,2101805.859999999869615,2218393.560000000055879,2093720.929999999934807,10593483.789999999105930
20161006,2153130.500000000000000,2038673.299999999580905,2111279.109999999869615,2223065.080000000074506,2099288.510000000242144,10625436.500000000000000
20161007,2156344.349999999627471,2030028.679999999701977,2145130.189999999944121,2224816.899999999906868,2106711.950000000186265,10663032.070000000298023
20161010,2193965.299999999813735,2060209.019999999785796,2160413.699999999720603,2220145.380000000353903,2123105.379999999888241,10757838.780000001192093
20161011,2198691.549999999813735,2028360.419999999925494,2135151.699999999720603,2176349.880000000353903,2112898.149999999906868,10651451.700000001117587
20161012,2218352.750000000000000,2019564.139999999897555,2138435.760000000242144,2168174.720000000204891,2107330.569999999832362,10651857.940000001341105
20161013,2211546.949999999720603,2022900.659999999683350,2114689.479999999981374,2158831.679999999701977,2095267.479999999981374,10603236.250000000000000
20161014,2223835.199999999720603,2024720.579999999841675,2153845.580000000074506,2186860.800000000279397,2088462.659999999916181,10677724.820000000298023
20161017,2222322.799999999813735,2032303.579999999841675,2134646.459999999962747,2177517.759999999776483,2077636.810000000055879,10644427.410000000149012
20161018,2220810.399999999906868,2048986.179999999701977,2180496.989999999757856,2204379.000000000000000,2094030.240000000223517,10748702.810000000521541
20161019,2214193.649999999906868,2065365.459999999962747,2204243.270000000018626,2073576.439999999944121,2114135.389999999664724,10671514.209999997168779
20161020,2213059.349999999627471,2060209.019999999785796,2204243.270000000018626,2068904.919999999925494,2111351.600000000093132,10657768.159999998286366
20161021,2204363.049999999813735,2057024.159999999683350,2206264.229999999981374,2052554.599999999860302,2118465.729999999981374,10638671.769999999552965
20161024,2224213.299999999813735,2084626.279999999562278,2211948.180000000167638,2058977.939999999944121,2130219.510000000242144,10709985.209999999031425
20161025,2235556.299999999813735,2108436.900000000372529,2217379.510000000242144,2049634.900000000139698,2128054.339999999850988,10739061.950000001117587
20161026,2185269.000000000000000,2207319.219999999739230,2236578.629999999888241,2039123.980000000214204,2138261.569999999832362,10806552.400000000372529
20161027,2164284.449999999720603,2173499.040000000037253,2245167.709999999962747,2032700.640000000130385,2141354.670000000391155,10757006.509999999776483
20161028,2149916.649999999906868,2168949.239999999292195,2237462.799999999813735,2028613.060000000055879,2137642.950000000186265,10722584.699999999254942
20161031,2146513.750000000000000,2160152.959999999962747,2251356.899999999906868,2036204.279999999795109,2142282.600000000093132,10736510.489999998360872
20161101,2107758.499999999534339,2159849.639999999664724,2249083.319999999832362,2015766.380000000121072,2133312.609999999869615,10665770.449999999254942
20161102,2109649.000000000000000,2134674.080000000074506,2230389.439999999944121,2020437.900000000139698,2124342.620000000111759,10619493.039999999105930
20161103,2076376.199999999720603,2123602.900000000372529,2225715.970000000204891,1981313.919999999925494,2115063.319999999832362,10522072.310000000521541
