訓練日期,20130819 - 20131118
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12055688.760000001639128
真實報酬,2055688.760000001639128

夏普值報酬,0.196868876000000
夏普值風險,0.055652461645197
夏普值,3.537469326246606

預期報酬,31083.047761490415724
風險,130366.366850890641217
趨勢值,0.238428426842963
找到最佳解世代,1567
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,4
BA[2](2),DD[7](11),MSFT[18](9),NKE[19](1),
20130919,2876186.770000000018626,2752232.299999999813735,2644653.439999999944121,2729342.640000000130385,11002415.150000000372529
20130920,2817958.759999999776483,2690839.910000000149012,2577829.839999999850988,2724630.120000000111759,10811258.629999998956919
20130923,2839220.440000000409782,2659429.850000000093132,2573899.040000000037253,2708921.720000000204891,10781471.050000000745058
20130924,2875220.330000000074506,2650863.470000000204891,2551886.559999999590218,2726986.379999999888241,10804956.740000000223517
20130925,2863381.440000000409782,2701309.929999999701977,2555817.359999999403954,2706565.460000000428408,10827074.189999999478459
20130926,2884401.509999999776483,2710352.220000000204891,2576257.520000000018626,2762330.280000000260770,10933341.530000001192093
20130927,2868938.469999999739230,2644676.640000000130385,2615565.520000000018626,2891924.580000000074506,11021105.209999999031425
20130930,2838978.830000000074506,2602796.560000000055879,2616351.679999999701977,2852653.580000000074506,10910780.650000000372529
20131001,2845019.080000000074506,2596609.729999999981374,2639936.479999999515712,2844013.960000000428408,10925579.250000000000000
20131002,2847193.570000000298023,2622784.779999999795109,2666665.919999999925494,2823593.040000000502914,10960237.310000000521541
20131003,2784374.969999999739230,2627543.879999999888241,2661948.959999999497086,2813382.580000000074506,10887250.389999998733401
20131004,2831730.530000000260770,2710352.220000000204891,2663521.279999999795109,2833018.080000000074506,11038622.109999999403954
20131007,2819408.419999999925494,2667044.410000000149012,2617923.999999999534339,2801601.280000000260770,10905978.109999999403954
20131008,2789207.169999999925494,2610887.029999999795109,2595125.359999999403954,2759974.020000000018626,10755193.579999998211861
20131009,2765771.000000000000000,2638013.899999999906868,2599842.319999999832362,2784322.040000000502914,10787949.260000001639128
20131010,2872804.229999999981374,2737955.000000000000000,2654087.359999999403954,2884070.379999999888241,11148916.969999998807907
20131011,2850576.110000000335276,2783642.360000000335276,2683175.279999999795109,2884855.799999999813735,11202249.550000000745058
20131014,2886334.390000000130385,2766509.600000000093132,2708332.399999999906868,2908418.400000000372529,11269594.790000000968575
20131015,2855408.310000000055879,2740334.549999999813735,2711477.040000000037253,2894280.840000000316650,11201500.740000000223517
20131016,2907596.070000000298023,2787449.640000000130385,2723269.439999999944121,2926483.060000000055879,11344798.210000000894070
20131017,2954710.020000000018626,2805058.310000000055879,2745281.919999999925494,2927268.480000000447035,11432318.730000000447035
20131018,2960267.049999999813735,2799823.299999999813735,2748426.559999999590218,2982247.879999999888241,11490764.789999999105930
20131021,2934898.000000000000000,2803154.669999999925494,2750785.040000000037253,2988531.239999999757856,11477368.950000001117587
20131022,2959300.610000000335276,2816004.240000000223517,2718552.479999999515712,2983033.299999999813735,11476890.629999998956919
20131023,3117313.550000000279397,2781262.810000000055879,2654087.359999999403954,2967324.900000000372529,11519988.619999999180436
20131024,3116347.109999999869615,2753184.120000000111759,2650942.719999999739230,2965754.060000000055879,11486228.009999999776483
20131025,3169742.919999999925494,2678466.250000000000000,2808960.879999999422580,2972822.840000000316650,11629992.889999998733401
20131028,3138092.009999999776483,2650863.470000000204891,2796382.319999999832362,2965754.060000000055879,11551091.860000001266599
20131029,3132776.589999999850988,2674183.060000000055879,2792451.520000000018626,2981462.460000000428408,11580873.630000000819564
20131030,3133259.810000000055879,2660857.580000000074506,2794023.839999999850988,2990102.080000000074506,11578243.310000000521541
20131031,3153071.830000000074506,2675134.879999999888241,2783803.759999999310821,2975179.100000000558794,11587189.570000000298023
20131101,3214199.160000000149012,2639917.540000000037253,2793237.679999999701977,2986960.400000000372529,11634314.779999999329448
20131104,3208400.520000000018626,2602796.560000000055879,2825470.239999999757856,2999527.120000000111759,11636194.440000001341105
20131105,3227246.100000000093132,2624212.510000000242144,2880501.439999999944121,3031729.340000000316650,11763689.390000000596046
20131106,3215648.820000000298023,2660857.580000000074506,3001570.079999999608845,3014450.100000000558794,11892526.580000001937151
20131107,3177474.439999999944121,2620881.140000000130385,2948111.199999999720603,2972822.840000000316650,11719289.619999999180436
20131108,3225313.220000000204891,2688460.360000000335276,2970123.679999999701977,3028587.660000000149012,11912484.919999999925494
20131111,3202118.660000000149012,2687984.449999999720603,2955186.640000000130385,3030158.500000000000000,11875448.250000000000000
20131112,3197286.460000000428408,2666092.590000000316650,2937104.959999999497086,3019162.620000000111759,11819646.629999998956919
20131113,3217581.699999999720603,2683701.260000000242144,2999997.759999999310821,3056862.780000000260770,11958143.500000000000000
20131114,3263970.820000000298023,2717966.779999999795109,2988991.520000000018626,3088279.580000000074506,12059208.699999999254942
20131115,3287890.210000000428408,2726533.160000000149012,2974840.640000000130385,3111056.760000000242144,12100320.770000001415610
20131118,3342977.290000000502914,2702261.750000000000000,2924526.399999999906868,3085923.319999999832362,12055688.760000001639128
