訓練日期,20150211 - 20150514
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10924042.300000000745058
真實報酬,924042.300000000745058

夏普值報酬,0.083704230000000
夏普值風險,0.022878386802402
夏普值,3.658659621543369

預期報酬,13915.393403085457976
風險,101518.004079916718183
趨勢值,0.137073157901440
找到最佳解世代,2189
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](18),DIS[6](2),IBM[10](6),NKE[19](1),WBA[27](5),
20150316,1906320.589999999850988,2106945.350000000093132,1981332.760000000242144,2079344.479999999748543,2262876.320000000298023,10336819.500000000000000
20150317,1870088.350000000093132,2098899.919999999925494,1979819.200000000186265,2081500.580000000074506,2249576.030000000260770,10279884.080000001937151
20150318,1938738.909999999916181,2118719.149999999906868,2015766.250000000000000,2102630.359999999403954,2273568.709999999962747,10449423.379999998956919
20150319,1909181.030000000027940,2106945.350000000093132,2015766.250000000000000,2119879.160000000149012,2278262.929999999701977,10430034.719999998807907
20150320,1935401.729999999981374,2127745.729999999981374,2054488.159999999916181,2198792.419999999925494,2300951.660000000149012,10617379.699999999254942
20150323,1933018.030000000027940,2123624.899999999906868,2076560.909999999916181,2187580.700000000186265,2292867.169999999925494,10613651.710000000894070
20150324,1918477.459999999962747,2101843.369999999646097,2056001.719999999972060,2170331.899999999441206,2294953.490000000223517,10541607.939999999478459
20150325,1903698.520000000018626,2060438.839999999850988,2008072.319999999832362,2134540.639999999664724,2239666.009999999776483,10346416.329999998211861
20150326,1904175.259999999776483,2065148.359999999636784,2025604.390000000130385,2141871.379999999888241,2202112.250000000000000,10338911.640000000596046
20150327,1899169.489999999990687,2069857.879999999888241,2023207.920000000158325,2153514.319999999366701,2224279.400000000372529,10370029.009999999776483
20150330,1939692.390000000130385,2082416.599999999860302,2051839.429999999701977,2175506.540000000037253,2242534.700000000186265,10491989.660000000149012
20150331,1907750.810000000055879,2058280.309999999823049,2024469.219999999972060,2163432.379999999888241,2208371.209999999962747,10362303.929999999701977
20150401,1898454.379999999888241,2069072.959999999729916,2007820.060000000055879,2146614.799999999813735,2197418.030000000260770,10319380.230000000447035
20150402,1912756.579999999841675,2080061.839999999850988,2023838.569999999832362,2148770.899999999441206,2242013.120000000111759,10407441.009999999776483
20150406,1942552.829999999841675,2072801.329999999841675,2043893.239999999757856,2150495.779999999329448,2295214.280000000260770,10504957.459999999031425
20150407,1919907.680000000167638,2068876.729999999981374,2044271.629999999888241,2147908.459999999962747,2276176.610000000335276,10457141.109999999403954
20150408,1917523.979999999981374,2087126.119999999878928,2041496.769999999785796,2174212.879999999888241,2286608.209999999962747,10506967.959999999031425
20150409,1923244.860000000102445,2095171.549999999813735,2047677.140000000130385,2171625.559999999590218,2415438.469999999739230,10653157.580000000074506
20150410,1969011.899999999906868,2098703.689999999944121,2054235.900000000139698,2155670.419999999925494,2399791.070000000298023,10677412.980000000447035
20150413,1958046.879999999888241,2090069.570000000065193,2048181.659999999916181,2140577.719999999739230,2391706.580000000074506,10628582.410000000149012
20150414,1978546.699999999953434,2093013.019999999785796,2047172.620000000111759,2146183.580000000074506,2398747.910000000149012,10663663.830000000074506
20150415,2030034.619999999878928,2099292.379999999888241,2070254.409999999916181,2152651.879999999888241,2387273.150000000372529,10739506.440000001341105
20150416,2010488.280000000027940,2121270.139999999664724,2057641.409999999916181,2153945.540000000037253,2334593.570000000298023,10677938.940000001341105
20150417,1985221.060000000055879,2093601.709999999729916,2026613.429999999701977,2125053.799999999813735,2267831.330000000074506,10498321.329999998211861
20150420,2016685.899999999906868,2123624.899999999906868,2095858.799999999813735,2156101.639999999664724,2272003.969999999739230,10664275.209999997168779
20150421,2000476.739999999990687,2113028.479999999981374,2071894.099999999860302,2162569.939999999478459,2271221.599999999627471,10619190.859999999403954
20150422,2023121.890000000130385,2118130.459999999962747,2085768.400000000139698,2159551.399999999441206,2269396.070000000298023,10655968.219999998807907
20150423,2021214.930000000167638,2138930.839999999850988,2147319.839999999850988,2180249.959999999962747,2260790.000000000000000,10748505.570000000298023
20150424,2016685.899999999906868,2149331.029999999795109,2141517.860000000335276,2176800.200000000186265,2242273.910000000149012,10726608.900000000372529
20150427,2034086.909999999916181,2161693.519999999552965,2153500.209999999962747,2176368.979999999515712,2245924.969999999739230,10771574.589999999850988
20150428,2054825.100000000093132,2156984.000000000000000,2193735.679999999701977,2153083.099999999627471,2244881.809999999590218,10803509.689999997615814
20150429,2085813.199999999953434,2154825.469999999739230,2199789.919999999925494,2159982.620000000111759,2205502.519999999552965,10805913.730000000447035
20150430,2071034.259999999776483,2133436.399999999906868,2160563.490000000223517,2131090.879999999888241,2162732.959999999962747,10658857.990000002086163
20150501,2082714.390000000130385,2168757.799999999813735,2190582.429999999701977,2172919.219999999739230,2176554.830000000074506,10791528.669999999925494
20150504,2081045.799999999813735,2178765.529999999795109,2194366.330000000074506,2174212.879999999888241,2194027.759999999776483,10822418.299999998882413
20150505,2073894.699999999953434,2174448.469999999739230,2183140.759999999776483,2165157.259999999776483,2168209.549999999813735,10764850.739999998360872
20150506,2073656.329999999841675,2153059.399999999906868,2144923.370000000111759,2160845.059999999590218,2167166.389999999664724,10699650.550000000745058
20150507,2060307.610000000102445,2144032.819999999832362,2156779.589999999850988,2187580.700000000186265,2196635.660000000149012,10745336.379999998956919
20150508,2081284.169999999925494,2160712.369999999646097,2178095.560000000521541,2208710.479999999515712,2217238.070000000298023,10846040.649999998509884
20150511,2116086.189999999478459,2131081.639999999664724,2158419.280000000260770,2216472.439999999478459,2197157.240000000223517,10819216.789999999105930
20150512,2101545.620000000111759,2143640.359999999869615,2151229.870000000111759,2207416.819999999366701,2195331.709999999962747,10799164.379999998956919
20150513,2108219.979999999515712,2142659.209999999962747,2173050.360000000335276,2202673.399999999441206,2192463.019999999552965,10819065.969999998807907
20150514,2115371.080000000074506,2157180.229999999981374,2195375.370000000111759,2230271.479999999515712,2225844.139999999664724,10924042.300000000745058
