訓練日期,20150518 - 20150818
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10433088.339999999850988
真實報酬,433088.339999999850988

夏普值報酬,0.034608834000000
夏普值風險,0.018687905667296
夏普值,1.851937537364908

預期報酬,8455.161302941329268
風險,97586.584849486345774
趨勢值,0.086642660115448
找到最佳解世代,1754
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,3
GS[8](8),NKE[19](1),PFE[20](4),
20150618,3524320.859999999869615,3365720.040000000037253,3370598.839999999385327,10260640.740000000223517
20150619,3501165.840000000316650,3382866.120000000111759,3351965.919999999459833,10235998.880000000819564
20150622,3555686.879999999888241,3391121.640000000130385,3364714.759999999776483,10311524.279999999329448
20150623,3586724.460000000428408,3403822.439999999944121,3383347.679999999701977,10373895.580000000074506
20150624,3521529.120000000111759,3372705.479999999981374,3356869.319999999366701,10251104.919999998062849
20150625,3495089.700000000186265,3340953.479999999981374,3336275.040000000037253,10172319.219999998807907
20150626,3500837.399999999906868,3483837.479999999981374,3326468.239999999757856,10311144.119999999180436
20150629,3410187.960000000428408,3419063.400000000372529,3294105.799999999813735,10123358.160000000149012
20150630,3428909.040000000037253,3429859.080000000074506,3288221.719999999739230,10146990.839999999850988
20150701,3447794.340000000316650,3474946.919999999925494,3303912.599999999627471,10226654.859999999403954
20150702,3435642.060000000055879,3488917.799999999813735,3272530.839999999385327,10197091.699999999254942
20150706,3416592.540000000037253,3487647.720000000204891,3260762.679999999701977,10165003.939999999478459
20150707,3419384.280000000260770,3534005.640000000130385,3307835.319999999366701,10261226.239999998360872
20150708,3351232.979999999981374,3469866.600000000093132,3280376.279999999795109,10101476.859999999403954
20150709,3363549.479999999981374,3474946.919999999925494,3320584.159999999683350,10159081.560000000521541
20150710,3402633.840000000316650,3509239.080000000074506,3369618.159999999683350,10281492.080000000074506
20150713,3450750.300000000279397,3569567.879999999888241,3414729.439999999944121,10435048.619999999180436
20150714,3484251.180000000167638,3567027.720000000204891,3440227.119999999646097,10491507.019999999552965
20150715,3497388.780000000260770,3553056.840000000316650,3430420.319999999366701,10480866.940000001341105
20150716,3468157.620000000111759,3567027.720000000204891,3442188.479999999981374,10477374.820000000298023
20150717,3489177.780000000260770,3581633.640000000130385,3439246.439999999944121,10510058.859999999403954
20150720,3488028.239999999757856,3592429.319999999832362,3455918.000000000000000,10536376.559999998658895
20150721,3473412.660000000149012,3587984.040000000037253,3446111.199999999720603,10507508.900000000372529
20150722,3502151.160000000149012,3622911.239999999757856,3420613.520000000018626,10545676.919999999925494
20150723,3466022.760000000242144,3619736.040000000037253,3410806.719999999739230,10496566.519999999552965
20150724,3405261.359999999869615,3587984.040000000037253,3359811.359999999403954,10353057.759999999776483
20150727,3366998.100000000093132,3547976.520000000018626,3367656.799999999813735,10282632.419999999925494
20150728,3387032.940000000409782,3603225.000000000000000,3466705.479999999981374,10456964.419999999925494
20150729,3396886.140000000130385,3648947.879999999888241,3506913.359999999403954,10552748.379999998956919
20150730,3402798.060000000055879,3652123.080000000074506,3503971.319999999366701,10558893.460000000894070
20150731,3367819.200000000186265,3658473.479999999981374,3536333.759999999776483,10562627.439999999478459
20150803,3361578.840000000316650,3646407.720000000204891,3545159.879999999422580,10553147.439999999478459
20150804,3369461.399999999906868,3676254.600000000093132,3541237.159999999683350,10586954.160000000149012
20150805,3378165.060000000055879,3707371.560000000055879,3512797.439999999944121,10598335.060000000521541
20150806,3368147.640000000130385,3655298.280000000260770,3449053.239999999757856,10472500.160000000149012
20150807,3341051.340000000316650,3636247.080000000074506,3451014.599999999627471,10428314.019999999552965
20150810,3382599.000000000000000,3662918.760000000242144,3467686.159999999683350,10513204.919999999925494
20150811,3312477.060000000055879,3634341.959999999962747,3444149.839999999385327,10390969.859999999403954
20150812,3303116.520000000018626,3589889.160000000149012,3468666.839999999385327,10361673.519999999552965
20150813,3296711.940000000409782,3607035.239999999757856,3467686.159999999683350,10371434.339999999850988
20150814,3317732.100000000093132,3631166.760000000242144,3463763.439999999944121,10412663.300000000745058
20150817,3326764.200000000186265,3650853.000000000000000,3481415.679999999701977,10459033.879999998956919
20150818,3303937.620000000111759,3645772.679999999701977,3483377.040000000037253,10433088.339999999850988
