訓練日期,20190927 - 20191230
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12723689.750000001862645
真實報酬,2723689.750000001862645

夏普值報酬,0.263668975000000
夏普值風險,0.070576724274566
夏普值,3.735919705967727

預期報酬,42286.484794320189394
風險,101779.194535064991214
趨勢值,0.415472778965171
找到最佳解世代,2472
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),JNJ[12](8),UNH[23](1),
Stock#,AAPL[0](2),JNJ[12](8),UNH[23](1),
張數,15159,25869,15469,
20191106,3899521.650000000372529,3387916.590000000316650,3875366.760000000707805,11162806.000000000000000
20191107,3932719.860000000335276,3400075.020000000484288,3967252.620000000111759,11300048.500000000000000
20191108,3943482.750000000000000,3440689.350000000093132,3975141.810000000987202,11359314.910000000149012
20191111,3974710.290000000037253,3414302.969999999739230,3930591.090000000316650,11319605.349999999627471
20191112,3971072.129999999888241,3398005.500000000000000,3948535.130000000353903,11317613.759999999776483
20191113,4009121.220000000670552,3395935.980000000447035,3922547.210000000428408,11327605.410000002011657
20191114,3981380.250000000000000,3387916.590000000316650,3957507.150000000372529,11326804.990000000223517
20191115,4028676.330000000074506,3490875.209999999962747,4167421.479999999981374,11686974.019999999552965
20191118,4048989.390000000596046,3488029.620000000577420,4222027.050000000745058,11759047.060000002384186
20191119,4036710.600000000558794,3487770.929999999701977,4242136.750000000000000,11766619.280000001192093
20191120,3989717.700000000186265,3516744.209999999962747,4262710.519999999552965,11769173.429999999701977
20191121,3971830.080000000074506,3529678.709999999962747,4278024.830000000074506,11779534.620000001043081
20191122,3968343.509999999776483,3571845.179999999701977,4282510.839999999850988,11822700.529999999329448
20191125,4037923.320000000298023,3548821.770000000484288,4372695.110000001266599,11959441.200000002980232
20191126,4006392.600000000558794,3548563.079999999608845,4353049.480000000447035,11908006.160000000149012
20191127,4060207.049999999813735,3563567.100000000093132,4341757.110000001266599,11965532.260000001639128
20191129,4051263.240000000223517,3556841.160000000149012,4329381.910000000149012,11937487.310000000521541
20191202,4004421.930000000633299,3553478.190000000409782,4326133.419999999925494,11884034.540000000968575
20191203,3933023.040000000037253,3548304.390000000130385,4283438.980000000447035,11764767.410000000149012
20191204,3967737.150000000372529,3605733.569999999832362,4320873.960000000894070,11894345.680000001564622
20191205,4025947.709999999962747,3610389.990000000223517,4362330.880000000819564,11998669.580000001937151
20191206,4103713.379999999888241,3631602.569999999832362,4334331.990000000223517,12069648.939999999478459
20191209,4046260.770000000484288,3634706.850000000093132,4293339.140000000596046,11974307.760000001639128
20191210,4069908.810000000521541,3621513.660000000149012,4323967.759999999776483,12015391.230000000447035
20191211,4104622.919999999925494,3647123.969999999739230,4339127.380000000819564,12090875.269999999552965
20191212,4115082.629999999888241,3656436.810000000055879,4387235.970000000670552,12158756.410000000149012
20191213,4171019.339999999850988,3657471.569999999832362,4416163.000000000000000,12244654.910000000149012
20191216,4242418.230000000447035,3668077.859999999869615,4517484.949999999254942,12427982.039999999105930
20191217,4250755.680000000633299,3713865.990000000223517,4493353.310000000521541,12457975.980000000447035
20191218,4240599.150000000372529,3704294.459999999962747,4530942.980000000447035,12475837.589999999850988
20191219,4244843.669999999925494,3760171.500000000000000,4557549.660000000149012,12562565.830000000074506
20191220,4236051.450000000186265,3778538.490000000223517,4526147.589999999850988,12540738.530000001192093
20191223,4305176.490000000223517,3788368.709999999962747,4564820.089999999850988,12658366.289999999105930
20191224,4309269.419999999925494,3775175.520000000484288,4556312.140000000596046,12640758.080000001937151
20191226,4394766.180000000633299,3772588.620000000577420,4573482.730000000447035,12740838.530000001192093
20191227,4393098.690000000409782,3770519.100000000093132,4578432.810000000521541,12742051.600000001490116
20191230,4419172.169999999925494,3758878.050000000279397,4545638.530000001192093,12723689.750000001862645
