代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12176371.339999999850988
真實報酬,2176371.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10076.923248098721160
風險,237392.880347741214791
起點值,0.042448295978117
找到最佳解世代,1483
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
NKE[19](1),UNH[23](4),V[25](3),
FS( 14 ),3362092.449999999720603,3765623.250000000000000,3239763.840000000316650,10367480.539999999105930
FS( 15 ),3372614.199999999720603,3704434.500000000000000,3248315.859999999403954,10325365.559999998658895
FS( 16 ),3379628.699999999720603,3691535.250000000000000,3226181.219999999739230,10297346.169999998062849
FS( 17 ),3314393.849999999627471,3638615.250000000000000,3156758.939999999944121,10109769.039999999105930
FS( 18 ),3273008.299999999348074,3587349.000000000000000,3098403.979999999981374,9958762.279999999329448
FS( 19 ),3327721.399999999441206,3618108.750000000000000,3119029.439999999944121,10064860.589999999850988
FS( 20 ),3235831.449999999720603,3514253.250000000000000,3206058.819999999832362,9956144.519999999552965
FS( 21 ),3223906.799999999813735,3548651.250000000000000,3211592.479999999981374,9984151.529999999329448
FS( 22 ),3274411.199999999720603,3565850.250000000000000,3267432.140000000130385,10107694.589999999850988
FS( 23 ),3245651.750000000000000,3569488.500000000000000,3331320.759999999776483,10146462.009999999776483
FS( 24 ),3273709.749999999534339,3599256.000000000000000,3418350.140000000130385,10291316.890000000596046
FS( 25 ),3219698.099999999627471,3558904.500000000000000,3363516.600000000093132,10142120.199999999254942
FS( 26 ),3197953.149999999906868,3522191.250000000000000,3338363.600000000093132,10058509.000000000000000
FS( 27 ),3253367.699999999720603,3604217.250000000000000,3327296.279999999795109,10184882.229999998584390
FS( 28 ),3202863.299999999348074,3633323.250000000000000,3345406.439999999944121,10181593.989999998360872
FS( 29 ),3226712.599999999627471,3632992.500000000000000,3407282.820000000298023,10266988.919999999925494
FS( 30 ),3228115.500000000000000,3619762.500000000000000,3391184.899999999906868,10239063.900000000372529
FS( 31 ),3221802.449999999720603,3630346.500000000000000,3406779.759999999776483,10258929.709999999031425
FS( 32 ),3283530.049999999813735,3630677.250000000000000,3384645.120000000111759,10298853.419999999925494
FS( 33 ),3286335.849999999627471,3639276.750000000000000,3384645.120000000111759,10310258.719999998807907
FS( 34 ),3329825.749999999534339,3724941.000000000000000,3433441.939999999944121,10488209.689999999478459
FS( 35 ),3332631.549999999348074,3849964.500000000000000,3433441.939999999944121,10616038.989999998360872
FS( 36 ),3346660.549999999813735,3817881.750000000000000,3426902.160000000149012,10591445.460000000894070
FS( 37 ),3395762.049999999348074,3772238.250000000000000,3433441.939999999944121,10601443.239999998360872
FS( 38 ),3402075.099999999627471,3759339.000000000000000,3443000.079999999608845,10604415.179999999701977
FS( 39 ),3406283.799999999813735,3758346.750000000000000,3412313.419999999925494,10576944.969999998807907
FS( 40 ),3463802.699999999720603,3783814.500000000000000,3499845.859999999403954,10747464.059999998658895
FS( 41 ),3436446.149999999906868,3732879.000000000000000,3462619.419999999925494,10631945.570000000298023
FS( 42 ),3420312.799999999348074,3764631.000000000000000,3443000.079999999608845,10627944.879999998956919
FS( 43 ),3453280.949999999254942,3796713.750000000000000,3447527.620000000111759,10697523.320000000298023
FS( 44 ),3399269.299999999813735,3733540.500000000000000,3387160.419999999925494,10519971.219999998807907
FS( 45 ),3417506.999999999534339,3800352.000000000000000,3413822.600000000093132,10631682.599999999627471
FS( 46 ),3385240.299999999348074,3719649.000000000000000,3335345.239999999757856,10440235.539999999105930
FS( 47 ),3343854.749999999534339,3728248.500000000000000,3329811.579999999608845,10401915.830000000074506
FS( 48 ),3403478.000000000000000,3799690.500000000000000,3390681.840000000316650,10593851.339999999850988
FS( 49 ),3360689.549999999348074,3811928.250000000000000,3333333.000000000000000,10505951.799999998882413
FS( 50 ),3382434.499999999534339,3920083.500000000000000,3383639.000000000000000,10686158.000000000000000
FS( 51 ),3385941.750000000000000,3889654.500000000000000,3326793.219999999739230,10602390.469999998807907
FS( 52 ),3420312.799999999348074,3967711.500000000000000,3366534.959999999962747,10754560.259999997913837
FS( 53 ),3448370.799999999348074,3994171.500000000000000,3361001.300000000279397,10803544.599999999627471
FS( 54 ),3576736.149999999906868,3940590.000000000000000,3391184.899999999906868,10908512.050000000745058
FS( 55 ),3558498.449999999254942,3937282.500000000000000,3374583.919999999925494,10870365.869999999180436
FS( 56 ),3530440.449999999720603,3906853.500000000000000,3375590.039999999571592,10812884.989999998360872
FS( 57 ),3472220.099999999627471,3854595.000000000000000,3306670.820000000298023,10633486.919999999925494
FS( 58 ),3484144.749999999534339,3845003.250000000000000,3299627.979999999981374,10628776.980000000447035
FS( 59 ),3503083.899999999441206,3903215.250000000000000,3297112.680000000167638,10703412.830000000074506
FS( 60 ),3538857.849999999627471,4002109.500000000000000,3303149.399999999906868,10844117.750000000000000
FS( 61 ),3519217.249999999534339,3912476.250000000000000,3290572.899999999906868,10722267.400000000372529
FS( 62 ),3491860.699999999720603,3884693.250000000000000,3279002.520000000484288,10655557.469999998807907
FS( 63 ),3495367.949999999720603,3881716.500000000000000,3284536.180000000167638,10661621.629999998956919
FS( 64 ),3498173.749999999534339,3892962.000000000000000,3280008.640000000130385,10671145.390000000596046
FS( 65 ),3493965.049999999813735,3881385.750000000000000,3310192.239999999757856,10685544.039999999105930
FS( 66 ),3536753.499999999534339,3909168.750000000000000,3345406.439999999944121,10791329.689999999478459
FS( 67 ),3532544.799999999813735,3921075.750000000000000,3342388.079999999608845,10796009.629999998956919
FS( 68 ),3506591.149999999906868,3935959.500000000000000,3337357.479999999981374,10779909.130000000819564
FS( 69 ),3482040.399999999441206,3948197.250000000000000,3300634.100000000093132,10730872.750000000000000
FS( 70 ),3491159.250000000000000,3966388.500000000000000,3296609.620000000111759,10754158.370000001043081
FS( 71 ),3501680.999999999534339,3880393.500000000000000,3304155.520000000484288,10686231.019999999552965
FS( 72 ),3503785.349999999627471,4021954.500000000000000,3302646.340000000316650,10828387.189999999478459
FS( 73 ),3456788.199999999720603,3926367.750000000000000,3245800.559999999590218,10628957.509999997913837
FS( 74 ),3507292.599999999627471,3922068.000000000000000,3255861.759999999776483,10685223.359999999403954
FS( 75 ),3517814.349999999627471,3945220.500000000000000,3287554.539999999571592,10750590.389999998733401
FS( 76 ),3512904.199999999720603,3896600.250000000000000,3421368.500000000000000,10830873.949999999254942
FS( 77 ),3546573.799999999813735,3911484.000000000000000,3406779.759999999776483,10864838.559999998658895
FS( 78 ),3540962.199999999254942,3925706.250000000000000,3394706.320000000298023,10861375.769999999552965
FS( 79 ),3540260.749999999534339,3844672.500000000000000,3375590.039999999571592,10760524.289999999105930
FS( 80 ),3502382.449999999720603,3889323.750000000000000,3358989.059999999590218,10750696.259999997913837
FS( 81 ),3513605.649999999906868,3757685.250000000000000,3387663.479999999981374,10658955.380000000819564
FS( 82 ),3466608.499999999534339,3684589.500000000000000,3322768.739999999757856,10473967.740000000223517
FS( 83 ),3534649.149999999441206,3744124.500000000000000,3308683.059999999590218,10587457.709999999031425
FS( 84 ),3536753.499999999534339,3789106.500000000000000,3299124.919999999925494,10624985.919999999925494
FS( 85 ),3522023.049999999813735,3749747.250000000000000,3318241.199999999720603,10590012.500000000000000
FS( 86 ),3515008.549999999813735,3753716.250000000000000,3303652.459999999962747,10572378.259999999776483
FS( 87 ),3558498.449999999254942,3795721.500000000000000,3349430.919999999925494,10703651.869999999180436
FS( 88 ),3592869.499999999534339,3826150.500000000000000,3494815.259999999776483,10913836.259999999776483
FS( 89 ),3605495.599999999627471,3796052.250000000000000,3472177.559999999590218,10873726.410000000149012
FS( 90 ),3590765.149999999441206,3791752.500000000000000,3455576.579999999608845,10838095.229999998584390
FS( 91 ),3583049.199999999720603,3832104.000000000000000,3453564.340000000316650,10868718.539999999105930
FS( 92 ),3627941.999999999534339,3920414.250000000000000,3521477.439999999944121,11069834.689999999478459
FS( 93 ),3681953.649999999906868,3946874.250000000000000,3499845.859999999403954,11128674.759999999776483
FS( 94 ),3674237.699999999720603,3962419.500000000000000,3521477.439999999944121,11158135.639999998733401
FS( 95 ),3670028.999999999534339,3987225.750000000000000,3529526.399999999906868,11186782.150000000372529
FS( 96 ),3669327.549999999813735,4010047.500000000000000,3510410.120000000111759,11189786.169999999925494
FS( 97 ),3661611.599999999627471,3984249.000000000000000,3489784.660000000149012,11135646.259999999776483
FS( 98 ),3663014.499999999534339,3955473.750000000000000,3502361.160000000149012,11120850.410000000149012
FS( 99 ),3627240.549999999813735,3910822.500000000000000,3448030.680000000167638,10986094.730000000447035
FS( 100 ),3606898.499999999534339,3950843.250000000000000,3495821.379999999888241,11053564.129999998956919
FS( 101 ),3587959.349999999627471,3956466.000000000000000,3499342.800000000279397,11043769.150000000372529
FS( 102 ),3566214.399999999906868,3975980.250000000000000,3455073.520000000484288,10997269.170000001788139
FS( 103 ),3569020.199999999720603,3964404.000000000000000,3476705.100000000093132,11010130.299999998882413
FS( 104 ),3581646.299999999813735,3894615.750000000000000,3473183.680000000167638,10949446.730000000447035
FS( 105 ),3595675.299999999348074,3914460.750000000000000,3468656.140000000130385,10978793.189999999478459
FS( 106 ),3576034.699999999254942,3858233.250000000000000,3431429.699999999720603,10865698.649999998509884
FS( 107 ),3578840.500000000000000,3854264.250000000000000,3439478.660000000149012,10872584.410000000149012
FS( 108 ),3557796.999999999534339,3866832.750000000000000,3404767.520000000484288,10829398.269999999552965
FS( 109 ),3554991.199999999720603,3869478.750000000000000,3418350.140000000130385,10842821.089999999850988
FS( 110 ),3624434.749999999534339,3921075.750000000000000,3502864.219999999739230,11048375.719999998807907
FS( 111 ),3643373.899999999441206,3946543.500000000000000,3503367.279999999795109,11093285.679999999701977
FS( 112 ),3639866.649999999441206,3891308.250000000000000,3487772.419999999925494,11018948.320000000298023
FS( 113 ),3625136.199999999720603,3935298.000000000000000,3449539.859999999403954,11009975.059999998658895
FS( 114 ),3667223.199999999720603,4020300.750000000000000,3471674.500000000000000,11159199.449999999254942
FS( 115 ),3674237.699999999720603,3960435.000000000000000,3458594.939999999944121,11093268.639999998733401
FS( 116 ),3717727.599999999627471,3998471.250000000000000,3496324.439999999944121,11212524.289999999105930
FS( 117 ),3736666.750000000000000,3979949.250000000000000,3455576.579999999608845,11172193.580000000074506
FS( 118 ),3745785.599999999627471,3977303.250000000000000,3475698.979999999981374,11198788.830000000074506
FS( 119 ),3759814.599999999627471,4059660.000000000000000,3492299.959999999962747,11311775.559999998658895
FS( 120 ),3725443.549999999813735,3941582.250000000000000,3464128.600000000093132,11131155.400000000372529
FS( 121 ),3690371.049999999813735,4046099.250000000000000,3452055.160000000149012,11188526.460000000894070
FS( 122 ),3848197.299999999813735,4076528.250000000000000,3458594.939999999944121,11383321.490000000223517
FS( 123 ),3776649.399999999906868,4008393.750000000000000,3356473.759999999776483,11141517.910000000149012
FS( 124 ),3788574.049999999348074,4035184.500000000000000,3378105.340000000316650,11201864.889999998733401
FS( 125 ),3838376.999999999534339,4080828.000000000000000,3413319.539999999571592,11332525.539999999105930
FS( 126 ),3853808.899999999441206,4028900.250000000000000,3432938.879999999888241,11315649.029999999329448
FS( 127 ),3852405.999999999534339,4040476.500000000000000,3426902.160000000149012,11319785.660000000149012
FS( 128 ),3903611.849999999627471,3992187.000000000000000,3409295.059999999590218,11305094.910000000149012
FS( 129 ),3832765.399999999441206,3928683.000000000000000,3356976.820000000298023,11118426.219999998807907
FS( 130 ),3838376.999999999534339,3947205.000000000000000,3373074.739999999757856,11158657.740000000223517
FS( 131 ),3876255.299999999348074,4040145.750000000000000,3441993.959999999962747,11358396.009999997913837
FS( 132 ),3942893.049999999813735,4050068.250000000000000,3497330.559999999590218,11490292.859999999403954
FS( 133 ),3940087.249999999534339,4134409.500000000000000,3526508.039999999571592,11601005.789999999105930
FS( 134 ),3924655.349999999627471,4162854.000000000000000,3522483.559999999590218,11609993.910000000149012
FS( 135 ),3940087.249999999534339,4132094.250000000000000,3550151.859999999403954,11622334.359999999403954
FS( 136 ),3956220.599999999627471,4096373.250000000000000,3565746.719999999739230,11618341.570000000298023
FS( 137 ),3968145.249999999534339,4056683.250000000000000,3657303.640000000130385,11682133.140000000596046
FS( 138 ),3963235.099999999627471,3997479.000000000000000,3623095.559999999590218,11583810.660000000149012
FS( 139 ),4001814.849999999627471,3989210.250000000000000,3620580.259999999776483,11611606.359999999403954
FS( 140 ),3998307.599999999627471,3946874.250000000000000,3609512.939999999944121,11554695.789999999105930
FS( 141 ),3963235.099999999627471,3900900.000000000000000,3762946.239999999757856,11627082.339999999850988
FS( 142 ),3919043.749999999534339,3898915.500000000000000,3715658.600000000093132,11533618.849999999627471
FS( 143 ),3980069.899999999906868,4019308.500000000000000,3759927.879999999888241,11759307.280000001192093
FS( 144 ),4030574.299999999813735,4019308.500000000000000,3823816.500000000000000,11873700.300000000745058
FS( 145 ),4034081.549999999348074,3987556.500000000000000,3842429.719999999739230,11864068.769999999552965
FS( 146 ),4041096.049999999813735,4015339.500000000000000,3790111.479999999981374,11846548.029999999329448
FS( 147 ),4027768.499999999534339,3998471.250000000000000,3811743.059999999590218,11837983.809999998658895
FS( 148 ),4060736.649999999441206,3996817.500000000000000,3786590.059999999590218,11844145.209999999031425
FS( 149 ),4095107.699999999720603,4098688.500000000000000,3772001.320000000298023,11965798.519999999552965
FS( 150 ),4037588.799999999813735,4036507.500000000000000,3701572.919999999925494,11775670.219999998807907
FS( 151 ),4016545.299999999348074,4029231.000000000000000,3733265.699999999720603,11779042.999999998137355
FS( 152 ),4046006.199999999720603,4051060.500000000000000,3741817.719999999739230,11838885.419999998062849
FS( 153 ),4014440.949999999254942,4043784.000000000000000,3690505.600000000093132,11748731.549999998882413
FS( 154 ),3965339.449999999720603,4008724.500000000000000,3699560.680000000167638,11673625.629999998956919
FS( 155 ),3984278.599999999627471,3986233.500000000000000,3719180.020000000484288,11689693.120000001043081
FS( 156 ),4010933.699999999720603,4002771.000000000000000,3733768.759999999776483,11747474.459999999031425
FS( 157 ),4032678.649999999906868,4095381.000000000000000,3743326.899999999906868,11871387.550000000745058
FS( 158 ),4027067.049999999348074,4150947.000000000000000,3746345.259999999776483,11924360.309999998658895
FS( 159 ),4031977.199999999254942,4075536.000000000000000,3742823.840000000316650,11850338.039999999105930
FS( 160 ),3938684.349999999627471,3962088.750000000000000,3720186.140000000130385,11620960.240000000223517
FS( 161 ),3748591.399999999441206,3845995.500000000000000,3581341.579999999608845,11175929.479999998584390
FS( 162 ),3643373.899999999441206,3652506.750000000000000,3438975.600000000093132,10734857.250000000000000
FS( 163 ),3631449.250000000000000,3637623.000000000000000,3369050.259999999776483,10638123.509999999776483
FS( 164 ),3814527.699999999720603,3752724.000000000000000,3556188.579999999608845,11123441.279999999329448
FS( 165 ),3949907.549999999813735,3895277.250000000000000,3642211.840000000316650,11487397.640000000596046
FS( 166 ),3945698.849999999627471,3879070.500000000000000,3645230.199999999720603,11470000.549999998882413
FS( 167 ),3919745.199999999720603,3826812.000000000000000,3586875.239999999757856,11333433.439999999478459
FS( 168 ),3810318.999999999534339,3725271.750000000000000,3469159.199999999720603,11004750.949999999254942
FS( 169 ),3882568.349999999627471,3778191.750000000000000,3502361.160000000149012,11163122.259999999776483
FS( 170 ),3888179.949999999720603,3770253.750000000000000,3541599.840000000316650,11200034.539999999105930
FS( 171 ),3847495.849999999627471,3716341.500000000000000,3479220.399999999906868,11043058.750000000000000
FS( 172 ),3919745.199999999720603,3839711.250000000000000,3548139.620000000111759,11307597.070000000298023
FS( 173 ),3853107.449999999720603,3806305.500000000000000,3501355.039999999571592,11160768.989999998360872
FS( 174 ),3871345.149999999441206,3862202.250000000000000,3533047.820000000298023,11266596.219999998807907
FS( 175 ),3921849.549999999348074,3926037.000000000000000,3559710.000000000000000,11407597.549999998882413
FS( 176 ),3924655.349999999627471,3896269.500000000000000,3521980.500000000000000,11342906.349999999627471
FS( 177 ),3992695.999999999534339,3970026.750000000000000,3547133.500000000000000,11509857.250000000000000
FS( 178 ),4053722.149999999441206,4007070.750000000000000,3571280.379999999888241,11632074.279999999329448
FS( 179 ),4043200.399999999441206,4076859.000000000000000,3569771.199999999720603,11689831.599999999627471
FS( 180 ),4035484.449999999720603,4050729.750000000000000,3510913.180000000167638,11597128.379999998956919
FS( 181 ),4088093.199999999720603,4099350.000000000000000,3560716.120000000111759,11748160.320000000298023
FS( 182 ),4067751.149999999906868,4065944.250000000000000,3534053.939999999944121,11667750.339999999850988
FS( 183 ),4048811.999999999534339,4077520.500000000000000,3569268.140000000130385,11695601.640000000596046
FS( 184 ),4026365.599999999627471,4005086.250000000000000,3533550.879999999888241,11565003.730000000447035
FS( 185 ),4384105.099999999627471,3848972.250000000000000,3556188.579999999608845,11789266.929999999701977
FS( 186 ),4283797.750000000000000,3727587.000000000000000,3380620.640000000130385,11392006.390000000596046
FS( 187 ),4197519.399999999441206,3777861.000000000000000,3447527.620000000111759,11422909.019999999552965
FS( 188 ),4313258.649999999441206,3837065.250000000000000,3504373.399999999906868,11654698.299999998882413
FS( 189 ),4343421.000000000000000,3856910.250000000000000,3520974.379999999888241,11721306.629999998956919
FS( 190 ),4391821.049999999813735,3930336.750000000000000,3555182.459999999962747,11877341.259999999776483
FS( 191 ),4358852.899999999441206,3957458.250000000000000,3633659.820000000298023,11949971.969999998807907
FS( 192 ),4320974.599999999627471,3838388.250000000000000,3626113.919999999925494,11785477.769999999552965
FS( 193 ),4282394.849999999627471,3850956.750000000000000,3683462.759999999776483,11816815.359999999403954
FS( 194 ),4381299.299999999813735,3839380.500000000000000,3717670.840000000316650,11938351.640000000596046
FS( 195 ),4382000.750000000000000,3944889.750000000000000,3721695.320000000298023,12048586.820000000298023
FS( 196 ),4434609.500000000000000,4052052.750000000000000,3772504.379999999888241,12259167.629999998956919
FS( 197 ),4412864.549999999813735,4101003.750000000000000,3773007.439999999944121,12286876.740000000223517
FS( 198 ),4413566.000000000000000,4037499.750000000000000,3732762.640000000130385,12183829.390000000596046
FS( 199 ),4517380.599999999627471,3974657.250000000000000,3790111.479999999981374,12282150.330000000074506
FS( 200 ),4576302.399999999441206,3968373.000000000000000,3823313.439999999944121,12367989.839999997988343
FS( 201 ),4672401.049999999813735,3993179.250000000000000,3873116.379999999888241,12538697.679999999701977
FS( 202 ),4642940.149999999441206,3982926.000000000000000,3837399.120000000111759,12463266.269999999552965
FS( 203 ),4646447.399999999441206,3906522.750000000000000,3796148.199999999720603,12349119.349999997764826
FS( 204 ),4644343.049999998882413,3764300.250000000000000,3844441.959999999962747,12253086.259999997913837
FS( 205 ),4578406.749999999068677,3834088.500000000000000,3877140.859999999403954,12289637.109999999403954
FS( 206 ),4607867.649999999441206,3854264.250000000000000,3932980.520000000484288,12395113.419999998062849
FS( 207 ),4588227.049999999813735,3948197.250000000000000,3899778.559999999590218,12436203.859999999403954
FS( 208 ),4605061.849999999627471,3961758.000000000000000,3967691.660000000149012,12534512.509999999776483
FS( 209 ),4598748.799999999813735,3959442.750000000000000,3949581.500000000000000,12507774.050000000745058
FS( 210 ),4595942.999999999068677,3895608.000000000000000,3902796.919999999925494,12394348.919999999925494
FS( 211 ),4601554.599999999627471,3925706.250000000000000,3784074.759999999776483,12311336.609999999403954
FS( 212 ),4608569.099999999627471,3891639.000000000000000,3918894.840000000316650,12419103.939999999478459
FS( 213 ),4572093.700000000186265,3791752.500000000000000,3941532.539999999571592,12305379.740000000223517
FS( 214 ),4624702.450000000186265,3844341.750000000000000,3987311.000000000000000,12456356.199999999254942
FS( 215 ),4621896.649999999441206,3797375.250000000000000,3961654.939999999944121,12380927.839999997988343
FS( 216 ),4576302.399999999441206,3779184.000000000000000,3925937.680000000167638,12281425.080000000074506
FS( 217 ),4559467.599999999627471,3833096.250000000000000,3998378.320000000298023,12390943.169999999925494
FS( 218 ),4468980.549999999813735,3788445.000000000000000,3983286.520000000484288,12240713.070000000298023
FS( 219 ),4418476.149999999441206,3731556.000000000000000,3939520.300000000279397,12089553.449999999254942
FS( 220 ),4273977.449999999254942,3684920.250000000000000,3929459.100000000093132,11888357.799999998882413
FS( 221 ),4330093.449999999254942,3764631.000000000000000,3969200.840000000316650,12063926.289999999105930
FS( 222 ),4299229.649999999441206,3783483.750000000000000,3965679.419999999925494,12048393.820000000298023
FS( 223 ),4411461.649999999441206,3878078.250000000000000,4047678.199999999720603,12337219.099999999627471
FS( 224 ),4411461.649999999441206,3659121.750000000000000,4032083.340000000316650,12102667.740000000223517
FS( 225 ),4652760.449999999254942,3736517.250000000000000,4034095.579999999608845,12423374.279999999329448
FS( 226 ),4645745.950000000186265,3709726.500000000000000,4030071.100000000093132,12385544.550000000745058
FS( 227 ),4647850.299999999813735,3743793.750000000000000,4013973.180000000167638,12405618.230000000447035
FS( 228 ),4704667.749999999068677,3784145.250000000000000,4002402.800000000279397,12491216.800000000745058
FS( 229 ),4711682.250000000000000,3781830.000000000000000,4016488.479999999981374,12510001.730000000447035
FS( 230 ),4639432.899999999441206,3727917.750000000000000,3974734.500000000000000,12342086.149999998509884
FS( 231 ),4675908.299999999813735,3845334.000000000000000,4020009.899999999906868,12541253.200000001117587
FS( 232 ),4652760.449999999254942,3890977.500000000000000,3976243.680000000167638,12519982.629999998956919
FS( 233 ),4528603.799999999813735,3803659.500000000000000,3938514.180000000167638,12270778.480000000447035
FS( 234 ),4641537.250000000000000,3894285.000000000000000,4044659.840000000316650,12580483.089999999850988
FS( 235 ),4615583.599999999627471,3833757.750000000000000,4001899.739999999757856,12451242.089999999850988
FS( 236 ),4619090.849999999627471,3832765.500000000000000,3977752.859999999403954,12429610.209999999031425
FS( 237 ),4518783.500000000000000,3805313.250000000000000,3917888.719999999739230,12241986.469999998807907
FS( 238 ),4511768.999999999068677,3843680.250000000000000,3929962.160000000149012,12285412.410000000149012
FS( 239 ),4429699.349999999627471,3836073.000000000000000,3828847.100000000093132,12094620.449999999254942
FS( 240 ),4484412.449999999254942,3831773.250000000000000,3867079.660000000149012,12183266.359999999403954
FS( 241 ),4511067.549999999813735,3889985.250000000000000,3955115.160000000149012,12356168.960000000894070
FS( 242 ),4592435.750000000000000,3930336.750000000000000,4017494.600000000093132,12540268.099999999627471
FS( 243 ),4567183.549999999813735,3943236.000000000000000,3958636.579999999608845,12469057.130000000819564
FS( 244 ),4507560.299999999813735,3830781.000000000000000,3839411.359999999403954,12177753.660000000149012
FS( 245 ),4552453.099999999627471,3883370.250000000000000,3882171.459999999962747,12317995.809999998658895
FS( 246 ),4624702.450000000186265,3884362.500000000000000,3892735.719999999739230,12401801.669999998062849
FS( 247 ),4514574.799999999813735,3925706.250000000000000,3952096.800000000279397,12392378.850000001490116
FS( 248 ),4431803.699999999254942,3914130.000000000000000,3937005.000000000000000,12282939.699999999254942
FS( 249 ),4475995.049999999813735,3913799.250000000000000,3950587.620000000111759,12340382.920000001788139
FS( 250 ),4507560.299999999813735,3963081.000000000000000,3984795.699999999720603,12455438.000000000000000
FS( 251 ),4436713.849999999627471,3933313.500000000000000,3941532.539999999571592,12311560.889999998733401
FS( 252 ),4384105.099999999627471,3890977.500000000000000,3901287.739999999757856,12176371.339999999850988
