代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12782984.820000000298023
真實報酬,2782984.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10258.811918906179926
風險,250223.592935751774348
起點值,0.040998579704434
找到最佳解世代,2067
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,2
IBM[10](2),MCD[15](3),
FS( 71 ),5558365.939999999478459,5018929.460000000894070,10577295.400000000372529
FS( 72 ),5592945.980000000447035,5030678.780000000260770,10623624.760000001639128
FS( 73 ),5634984.459999999962747,5050913.720000000670552,10685898.179999999701977
FS( 74 ),5625830.919999999925494,5026109.600000000558794,10651940.519999999552965
FS( 75 ),5607523.839999999850988,5000000.000000000000000,10607523.839999999850988
FS( 76 ),5585487.540000000037253,5117493.200000001117587,10702980.740000002086163
FS( 77 ),5705161.599999999627471,5020234.940000000409782,10725396.539999999105930
FS( 78 ),5684481.379999999888241,5034595.220000000670552,10719076.600000001490116
FS( 79 ),5712281.020000000484288,5022193.160000000149012,10734474.179999999701977
FS( 80 ),5776016.780000000260770,5082897.980000000447035,10858914.760000001639128
FS( 81 ),5789916.599999999627471,5093341.820000000298023,10883258.419999999925494
FS( 82 ),5783136.200000000186265,5111618.540000000968575,10894754.740000002086163
FS( 83 ),5836362.339999999850988,5133158.960000000894070,10969521.300000000745058
FS( 84 ),5860771.780000000260770,5152741.160000000149012,11013512.940000001341105
FS( 85 ),5784492.280000000260770,5161226.780000000260770,10945719.060000000521541
FS( 86 ),5711263.959999999962747,5130548.000000000000000,10841811.960000000894070
FS( 87 ),5725841.819999999366701,5137075.400000000372529,10862917.219999998807907
FS( 88 ),5732961.240000000223517,5176892.540000000968575,10909853.780000001192093
FS( 89 ),5776355.799999999813735,5203002.140000000596046,10979357.940000001341105
FS( 90 ),5746522.040000000037253,5189947.340000000782311,10936469.380000000819564
FS( 91 ),5839413.520000000484288,5265012.440000000409782,11104425.960000000894070
FS( 92 ),5760760.879999999888241,5270234.360000000335276,11030995.240000000223517
FS( 93 ),5724824.760000000707805,5296343.960000000894070,11021168.720000002533197
FS( 94 ),5780424.040000000037253,5282636.420000000856817,11063060.460000000894070
FS( 95 ),5778389.919999999925494,5319842.600000000558794,11098232.519999999552965
FS( 96 ),5783475.219999999739230,5385769.340000000782311,11169244.560000000521541
FS( 97 ),5768897.360000000335276,5374020.020000000484288,11142917.380000000819564
FS( 98 ),5704483.559999999590218,5385116.600000000558794,11089600.160000000149012
FS( 99 ),5695330.020000000484288,5394254.960000000894070,11089584.980000000447035
FS( 100 ),5687193.540000000037253,5399476.880000000819564,11086670.420000001788139
FS( 101 ),5667869.400000000372529,5380547.420000000856817,11048416.820000000298023
FS( 102 ),5678718.040000000037253,5327675.480000000447035,11006393.519999999552965
FS( 103 ),5727197.900000000372529,5322453.560000000521541,11049651.460000000894070
FS( 104 ),5646850.160000000149012,5285900.120000001043081,10932750.280000001192093
FS( 105 ),5630916.219999999739230,5270887.100000000558794,10901803.320000000298023
FS( 106 ),5595658.140000000596046,5257179.560000000521541,10852837.700000001117587
FS( 107 ),5585487.540000000037253,5267623.400000000372529,10853110.940000001341105
FS( 108 ),5549551.419999999925494,5296343.960000000894070,10845895.380000000819564
FS( 109 ),5571587.719999999739230,5296996.700000001117587,10868584.420000001788139
FS( 110 ),5588538.719999999739230,5304176.840000000782311,10892715.560000000521541
FS( 111 ),5532261.400000000372529,5245430.240000000223517,10777691.640000000596046
FS( 112 ),5531922.379999999888241,5269581.620000001043081,10801504.000000000000000
FS( 113 ),5564129.280000000260770,5317884.380000000819564,10882013.660000000149012
FS( 114 ),5503444.700000000186265,5302871.360000000335276,10806316.060000000521541
FS( 115 ),5514971.379999999888241,5340077.540000000968575,10855048.920000001788139
FS( 116 ),5574977.919999999925494,5386422.080000000074506,10961400.000000000000000
FS( 117 ),5594641.080000000074506,5397518.660000000149012,10992159.740000000223517
FS( 118 ),5635323.480000000447035,5404698.800000000745058,11040022.280000001192093
FS( 119 ),5617016.400000000372529,5394907.700000001117587,11011924.100000001490116
FS( 120 ),5631933.280000000260770,5371409.060000000521541,11003342.339999999850988
FS( 121 ),5596336.179999999701977,5342035.760000000707805,10938371.940000001341105
FS( 122 ),5682786.280000000260770,5373367.280000000260770,11056153.560000000521541
FS( 123 ),5763812.059999999590218,5505873.500000000000000,11269685.559999998658895
FS( 124 ),5781780.120000000111759,5520233.780000000260770,11302013.900000000372529
FS( 125 ),5816021.140000000596046,5503915.280000000260770,11319936.420000001788139
FS( 126 ),5917388.120000000111759,5590729.700000001117587,11508117.820000000298023
FS( 127 ),5947560.900000000372529,5590076.960000000894070,11537637.860000001266599
FS( 128 ),6024857.459999999962747,5604437.240000000223517,11629294.699999999254942
FS( 129 ),5983158.000000000000000,5617492.040000000968575,11600650.040000000968575
FS( 130 ),5983497.020000000484288,5587466.000000000000000,11570963.019999999552965
FS( 131 ),5932644.020000000484288,5571147.500000000000000,11503791.519999999552965
FS( 132 ),5900776.140000000596046,5547648.860000000335276,11448425.000000000000000
FS( 133 ),5909929.679999999701977,5545690.640000000596046,11455620.320000000298023
FS( 134 ),5906878.500000000000000,5601173.540000000968575,11508052.040000000968575
FS( 135 ),5951290.120000000111759,5579633.120000001043081,11530923.240000002086163
FS( 136 ),5942475.599999999627471,5574411.200000001117587,11516886.800000000745058
FS( 137 ),6279122.459999999962747,5627283.140000000596046,11906405.600000001490116
FS( 138 ),6226235.339999999850988,5631199.580000000074506,11857434.919999999925494
FS( 139 ),6268612.839999999850988,5648823.560000000521541,11917436.400000000372529
FS( 140 ),6278105.400000000372529,5780677.040000000968575,12058782.440000001341105
FS( 141 ),6227930.439999999478459,5751956.480000000447035,11979886.919999999925494
FS( 142 ),6201825.900000000372529,5745429.080000000074506,11947254.980000000447035
FS( 143 ),6148260.740000000223517,5684724.260000000707805,11832985.000000000000000
FS( 144 ),6163516.640000000596046,5664489.320000000298023,11828005.960000000894070
FS( 145 ),6165211.740000000223517,5644907.120000001043081,11810118.860000001266599
FS( 146 ),6127919.540000000037253,5639032.460000000894070,11766952.000000000000000
FS( 147 ),6036384.140000000596046,5552218.040000000968575,11588602.180000001564622
FS( 148 ),6062827.700000000186265,5583549.560000000521541,11646377.260000001639128
FS( 149 ),5813648.000000000000000,5501304.320000000298023,11314952.320000000298023
FS( 150 ),5864501.000000000000000,5553523.520000000484288,11418024.519999999552965
FS( 151 ),5635323.480000000447035,5359659.740000000223517,10994983.220000000670552
FS( 152 ),5784153.260000000707805,5610964.640000000596046,11395117.900000002235174
FS( 153 ),5510564.120000000111759,5488249.520000000484288,10998813.640000000596046
FS( 154 ),5652613.500000000000000,5631852.320000000298023,11284465.820000000298023
FS( 155 ),5702449.439999999478459,5646212.600000000558794,11348662.039999999105930
FS( 156 ),5864840.020000000484288,5667100.280000000260770,11531940.300000000745058
FS( 157 ),5805511.520000000484288,5657309.180000000633299,11462820.700000001117587
FS( 158 ),5813648.000000000000000,5711486.600000000558794,11525134.600000001490116
FS( 159 ),5554297.700000000186265,5588118.740000000223517,11142416.440000001341105
FS( 160 ),5341054.120000000111759,5693862.620000001043081,11034916.740000002086163
FS( 161 ),5389873.000000000000000,5728457.840000000782311,11118330.839999999850988
FS( 162 ),5570909.679999999701977,5843992.820000000298023,11414902.500000000000000
FS( 163 ),5653630.559999999590218,5883157.220000000670552,11536787.780000001192093
FS( 164 ),5613626.200000000186265,5790468.140000000596046,11404094.339999999850988
FS( 165 ),5734317.319999999366701,5870102.420000000856817,11604419.740000000223517
FS( 166 ),5852296.280000000260770,5926238.060000000521541,11778534.339999999850988
FS( 167 ),5848567.059999999590218,5925585.320000000298023,11774152.379999998956919
FS( 168 ),5828225.860000000335276,5901433.940000000409782,11729659.800000000745058
FS( 169 ),5774660.700000000186265,5879240.780000000260770,11653901.480000000447035
FS( 170 ),5661089.000000000000000,5815272.260000000707805,11476361.260000001639128
FS( 171 ),5597692.260000000707805,5797648.280000000260770,11395340.540000000968575
FS( 172 ),5672276.660000000149012,5828327.060000000521541,11500603.720000000670552
FS( 173 ),5602438.540000000037253,5783940.740000000223517,11386379.280000001192093
FS( 174 ),5470898.780000000260770,5550259.820000000298023,11021158.600000001490116
FS( 175 ),5506495.879999999888241,5625977.660000000149012,11132473.539999999105930
FS( 176 ),5540736.900000000372529,5621408.480000000447035,11162145.380000000819564
FS( 177 ),5669903.520000000484288,5662531.100000000558794,11332434.620000001043081
FS( 178 ),5766524.219999999739230,5748692.780000000260770,11515217.000000000000000
FS( 179 ),5864840.020000000484288,5763053.060000000521541,11627893.080000001937151
FS( 180 ),5869586.299999999813735,5796995.540000000968575,11666581.839999999850988
FS( 181 ),5923490.480000000447035,5829632.540000000968575,11753123.020000001415610
FS( 182 ),5865857.080000000074506,5712792.080000000074506,11578649.160000000149012
FS( 183 ),5716688.280000000260770,5612922.860000000335276,11329611.140000000596046
FS( 184 ),5741097.719999999739230,5703000.980000000447035,11444098.699999999254942
FS( 185 ),5916371.059999999590218,5831590.760000000707805,11747961.820000000298023
FS( 186 ),6024857.459999999962747,5857700.360000000335276,11882557.820000000298023
FS( 187 ),6019433.140000000596046,5746081.820000000298023,11765514.960000000894070
FS( 188 ),6074354.379999999888241,5795037.320000000298023,11869391.699999999254942
FS( 189 ),5928575.780000000260770,5732374.280000000260770,11660950.060000000521541
FS( 190 ),5875010.620000000111759,5614881.080000000074506,11489891.699999999254942
FS( 191 ),5924168.520000000484288,5644907.120000001043081,11569075.640000000596046
FS( 192 ),5995701.740000000223517,5602479.020000000484288,11598180.760000001639128
FS( 193 ),6159787.419999999925494,5686029.740000000223517,11845817.160000000149012
FS( 194 ),6183518.819999999366701,5691904.400000000372529,11875423.219999998807907
FS( 195 ),6326924.280000000260770,5777413.340000000782311,12104337.620000001043081
FS( 196 ),6272003.040000000037253,5831590.760000000707805,12103593.800000000745058
FS( 197 ),6309973.280000000260770,5767622.240000000223517,12077595.519999999552965
FS( 198 ),6333704.679999999701977,5829632.540000000968575,12163337.220000000670552
FS( 199 ),6459481.099999999627471,5870755.160000000149012,12330236.259999999776483
FS( 200 ),6325907.219999999739230,5787204.440000000409782,12113111.660000000149012
FS( 201 ),6065200.839999999850988,5851172.960000000894070,11916373.800000000745058
FS( 202 ),6014008.819999999366701,5849867.480000000447035,11863876.300000000745058
FS( 203 ),6009262.540000000037253,5810050.340000000782311,11819312.880000000819564
FS( 204 ),6157753.299999999813735,6026107.280000000260770,12183860.580000000074506
FS( 205 ),6178772.540000000037253,6005872.340000000782311,12184644.880000000819564
FS( 206 ),6114697.760000000707805,5990206.580000000074506,12104904.339999999850988
FS( 207 ),6169279.980000000447035,5990859.320000000298023,12160139.300000000745058
FS( 208 ),6317431.719999999739230,6103783.340000000782311,12421215.060000000521541
FS( 209 ),6355062.939999999478459,6089423.060000000521541,12444486.000000000000000
FS( 210 ),6259459.299999999813735,6060702.500000000000000,12320161.800000000745058
FS( 211 ),6148260.740000000223517,5999344.940000000409782,12147605.679999999701977
FS( 212 ),6235388.879999999888241,6039814.820000000298023,12275203.699999999254942
FS( 213 ),6349977.640000000596046,6070493.600000000558794,12420471.240000002086163
FS( 214 ),6318787.799999999813735,6123365.540000000968575,12442153.339999999850988
FS( 215 ),6350655.679999999701977,6176237.480000000447035,12526893.160000000149012
FS( 216 ),6348282.540000000037253,6174932.000000000000000,12523214.539999999105930
FS( 217 ),6178433.520000000484288,6047647.700000001117587,12226081.220000002533197
FS( 218 ),6216064.740000000223517,6087464.840000000782311,12303529.580000001937151
FS( 219 ),6352689.799999999813735,6185375.840000000782311,12538065.640000000596046
FS( 220 ),6351672.740000000223517,6139684.040000000968575,12491356.780000001192093
FS( 221 ),6399135.540000000037253,6166446.380000000819564,12565581.920000001788139
FS( 222 ),6326924.280000000260770,6080284.700000001117587,12407208.980000000447035
FS( 223 ),6296751.500000000000000,6024149.060000000521541,12320900.560000000521541
FS( 224 ),6280139.520000000484288,6053522.360000000335276,12333661.880000000819564
FS( 225 ),6152668.000000000000000,6023496.320000000298023,12176164.320000000298023
FS( 226 ),6146904.660000000149012,6047647.700000001117587,12194552.360000001266599
FS( 227 ),6032993.939999999478459,5996733.980000000447035,12029727.919999999925494
FS( 228 ),6002821.160000000149012,6011747.000000000000000,12014568.160000000149012
FS( 229 ),6177416.459999999962747,6120101.840000000782311,12297518.300000000745058
FS( 230 ),6134360.919999999925494,6100519.640000000596046,12234880.560000000521541
FS( 231 ),6373709.040000000037253,6234984.080000000074506,12608693.120000001043081
FS( 232 ),6422866.939999999478459,6233678.600000000558794,12656545.539999999105930
FS( 233 ),6429986.360000000335276,6246733.400000000372529,12676719.760000001639128
FS( 234 ),6469990.719999999739230,6223887.500000000000000,12693878.219999998807907
FS( 235 ),6541184.919999999925494,6266968.340000000782311,12808153.260000001639128
FS( 236 ),6578816.140000000596046,6295688.900000000372529,12874505.040000000968575
FS( 237 ),6495078.200000000186265,6326367.680000000633299,12821445.880000000819564
FS( 238 ),6596106.160000000149012,6398821.820000000298023,12994927.980000000447035
FS( 239 ),6515419.400000000372529,6428195.120000001043081,12943614.520000001415610
FS( 240 ),6480500.339999999850988,6396863.600000000558794,12877363.940000001341105
FS( 241 ),6398118.480000000447035,6371406.740000000223517,12769525.220000000670552
FS( 242 ),6356080.000000000000000,6406001.960000000894070,12762081.960000000894070
FS( 243 ),6223523.179999999701977,6363573.860000000335276,12587097.039999999105930
FS( 244 ),6200469.819999999366701,6347255.360000000335276,12547725.179999999701977
FS( 245 ),6347943.520000000484288,6450388.280000000260770,12798331.800000000745058
FS( 246 ),6152328.980000000447035,6475192.400000000372529,12627521.380000000819564
FS( 247 ),6171653.120000000111759,6436028.000000000000000,12607681.120000001043081
FS( 248 ),6263527.540000000037253,6537202.700000001117587,12800730.240000002086163
FS( 249 ),6270307.939999999478459,6563312.300000000745058,12833620.240000000223517
FS( 250 ),6237762.020000000484288,6499996.520000000484288,12737758.540000000968575
FS( 251 ),6312007.400000000372529,6580283.540000000968575,12892290.940000001341105
FS( 252 ),6234032.799999999813735,6548952.020000000484288,12782984.820000000298023
