代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13610552.199999999254942
真實報酬,3610552.199999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14567.294010103600158
風險,170518.921757755277213
起點值,0.085429193780608
找到最佳解世代,2029
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](6),DD[7](1),MRK[17](15),PFE[20](19),UNH[23](9),
FS( 36 ),2316006.200000000186265,2270422.879999999888241,2038781.699999999953434,1990291.279999999795109,2121754.849999999627471,10737256.910000000149012
FS( 37 ),2316710.000000000000000,2281168.160000000149012,2134383.100000000093132,1995839.120000000111759,2132268.500000000000000,10860368.879999998956919
FS( 38 ),2297472.800000000279397,2239082.479999999515712,2106424.200000000186265,2031900.080000000074506,2112258.650000000372529,10787138.209999999031425
FS( 39 ),2340170.000000000000000,2238187.040000000037253,2134383.100000000093132,2018723.959999999962747,2114971.849999999627471,10846435.950000001117587
FS( 40 ),2346035.000000000000000,2236843.879999999888241,2126716.949999999720603,2013869.599999999860302,2104797.349999999627471,10828262.779999999329448
FS( 41 ),2348615.600000000093132,2234157.559999999590218,2147460.649999999906868,2011789.160000000149012,2148208.549999999813735,10890231.519999999552965
FS( 42 ),2324686.399999999906868,2227889.479999999515712,2113639.399999999906868,1961165.120000000111759,2148547.700000000186265,10775928.099999997764826
FS( 43 ),2358703.400000000372529,2218935.080000000074506,2122658.399999999906868,1959084.679999999934807,2192976.349999999627471,10852357.910000000149012
FS( 44 ),2323044.199999999720603,2196996.799999999813735,2105973.250000000000000,1888349.719999999972060,2124128.900000000372529,10638492.870000001043081
FS( 45 ),2363395.399999999906868,2189385.559999999590218,2184889.500000000000000,1924410.679999999934807,2129894.450000000186265,10791975.589999999850988
FS( 46 ),2336885.600000000093132,2207294.360000000335276,2229533.549999999813735,1918169.359999999869615,2114971.849999999627471,10806854.720000000670552
FS( 47 ),2310610.399999999906868,2145956.719999999739230,2197516.099999999627471,1905686.719999999972060,2094283.699999999953434,10654053.639999998733401
FS( 48 ),2340404.600000000093132,2160731.479999999515712,2191653.750000000000000,1949375.959999999962747,2100049.250000000000000,10742215.039999999105930
FS( 49 ),2404450.399999999906868,2190281.000000000000000,2173164.799999999813735,1959778.160000000149012,2122094.000000000000000,10849768.359999999403954
FS( 50 ),2398585.399999999906868,2188937.839999999850988,2185340.450000000186265,1967406.439999999944121,2159739.650000000372529,10900009.780000001192093
FS( 51 ),2387090.000000000000000,2167895.000000000000000,2144754.950000000186265,1970873.840000000083819,2168218.400000000372529,10838832.190000001341105
FS( 52 ),2366679.799999999813735,2154463.399999999441206,2130775.500000000000000,1971567.319999999832362,2164826.899999999441206,10788312.919999998062849
FS( 53 ),2396708.600000000093132,2209085.240000000223517,2160087.250000000000000,2016643.519999999785796,2175679.700000000186265,10958204.309999998658895
FS( 54 ),2388966.799999999813735,2168342.719999999739230,2162342.000000000000000,2017337.000000000000000,2163809.450000000186265,10900797.969999998807907
FS( 55 ),2417118.799999999813735,2176849.399999999441206,2155577.750000000000000,2022191.359999999869615,2183141.000000000000000,10954878.309999998658895
FS( 56 ),2441751.799999999813735,2207294.360000000335276,2153323.000000000000000,2038834.879999999888241,2227569.650000000372529,11068773.689999999478459
FS( 57 ),2398820.000000000000000,2174163.080000000074506,2145656.850000000093132,2018030.479999999981374,2213325.350000000558794,10949995.760000001639128
FS( 58 ),2337589.399999999906868,2116407.200000000186265,2088386.200000000186265,1986130.399999999906868,2163809.450000000186265,10692322.649999998509884
FS( 59 ),2345565.800000000279397,2080589.599999999860302,2119501.750000000000000,1973647.760000000009313,2167200.950000000186265,10686505.859999999403954
FS( 60 ),2295596.000000000000000,2062680.800000000046566,2092895.699999999953434,1921636.760000000009313,2192637.200000000186265,10565446.460000000894070
FS( 61 ),2314833.200000000186265,2072082.920000000158325,2084778.599999999860302,1941054.199999999720603,2161435.399999999441206,10574184.320000000298023
FS( 62 ),2363630.000000000000000,2053278.679999999934807,2105522.299999999813735,1948682.479999999981374,2197046.150000000372529,10668159.609999999403954
FS( 63 ),2419934.000000000000000,2062680.800000000046566,2132128.350000000093132,1954230.319999999832362,2241474.799999999813735,10810448.269999999552965
FS( 64 ),2403277.399999999906868,2051040.080000000074506,2094699.500000000232831,1942441.160000000149012,2220786.650000000372529,10712244.790000000968575
FS( 65 ),2422045.399999999906868,2072082.920000000158325,2088837.149999999906868,1926491.120000000111759,2225873.899999999441206,10735330.489999998360872
FS( 66 ),2380521.200000000186265,2068501.160000000149012,2099209.000000000000000,1920943.279999999795109,2213664.500000000000000,10682839.140000000596046
FS( 67 ),2413834.399999999906868,2067605.719999999972060,2099209.000000000000000,1917475.879999999888241,2222821.549999999813735,10720946.550000000745058
FS( 68 ),2444567.000000000000000,2084171.359999999869615,2126716.949999999720603,1939667.239999999757856,2244188.000000000000000,10839310.549999998882413
FS( 69 ),2448555.200000000186265,2109691.399999999441206,2137990.699999999720603,1950762.919999999925494,2291329.849999999627471,10938330.069999998435378
FS( 70 ),2455827.800000000279397,2169238.160000000149012,2147460.649999999906868,1966019.479999999981374,2305235.000000000000000,11043781.090000001713634
FS( 71 ),2475065.000000000000000,2154463.399999999441206,2162792.950000000186265,1972260.800000000046566,2295738.799999999813735,11060320.949999999254942
FS( 72 ),2507439.799999999813735,2180431.160000000149012,2178576.200000000186265,1995145.639999999897555,2318461.849999999627471,11180054.650000000372529
FS( 73 ),2389905.200000000186265,2175506.240000000223517,2188948.049999999813735,1997919.559999999823049,2306252.450000000186265,11058531.500000000000000
FS( 74 ),2478818.600000000093132,2193415.040000000037253,2188046.150000000372529,1996532.599999999860302,2293364.750000000000000,11150177.140000000596046
FS( 75 ),2445270.800000000279397,2166104.120000000111759,2174968.599999999627471,1988904.319999999832362,2269285.099999999627471,11044532.939999999478459
FS( 76 ),2458408.400000000372529,2214457.879999999888241,2170459.100000000093132,1988904.319999999832362,2246222.900000000372529,11078452.600000001490116
FS( 77 ),2525034.799999999813735,2205055.759999999776483,2137539.750000000000000,1975728.199999999720603,2392735.700000000186265,11236094.210000000894070
FS( 78 ),2509316.599999999627471,2210428.399999999441206,2155126.799999999813735,2017337.000000000000000,2423259.200000000186265,11315468.000000000000000
FS( 79 ),2506970.600000000093132,2205503.479999999515712,2151970.149999999906868,2035367.479999999981374,2448017.150000000372529,11347828.860000001266599
FS( 80 ),2528788.400000000372529,2202817.160000000149012,2161440.100000000093132,2040221.840000000083819,2465313.799999999813735,11398581.300000000745058
FS( 81 ),2509082.000000000000000,2191624.160000000149012,2154224.900000000372529,2030513.120000000111759,2459887.400000000372529,11345331.580000000074506
FS( 82 ),2503217.000000000000000,2231023.519999999552965,2172262.899999999906868,2024271.800000000046566,2462939.750000000000000,11393714.970000000670552
FS( 83 ),2477411.000000000000000,2212667.000000000000000,2186693.300000000279397,2036754.439999999944121,2449034.599999999627471,11362560.339999999850988
FS( 84 ),2458877.600000000093132,2231471.240000000223517,2179929.050000000279397,2048543.599999999860302,2468705.299999999813735,11387526.789999999105930
FS( 85 ),2480460.800000000279397,2235500.719999999739230,2166851.500000000000000,2057558.840000000083819,2451069.500000000000000,11391441.359999999403954
FS( 86 ),2465681.000000000000000,2234157.559999999590218,2172262.899999999906868,2027045.719999999972060,2470740.200000000186265,11369887.379999998956919
FS( 87 ),2503217.000000000000000,2256991.280000000260770,2190751.850000000093132,2018723.959999999962747,2481253.849999999627471,11450937.939999999478459
FS( 88 ),2531369.000000000000000,2309374.519999999552965,2188948.049999999813735,2036754.439999999944121,2450730.350000000558794,11517176.359999999403954
FS( 89 ),2521985.000000000000000,2325940.160000000149012,2188497.100000000093132,2024271.800000000046566,2487358.549999999813735,11548052.609999999403954
FS( 90 ),2511193.400000000372529,2299076.959999999962747,2184438.549999999813735,2034674.000000000000000,2483967.049999999813735,11513349.960000000894070
FS( 91 ),2496648.200000000186265,2313851.719999999739230,2189399.000000000000000,2029126.160000000149012,2473114.250000000000000,11502139.330000000074506
FS( 92 ),2483041.399999999906868,2353251.080000000074506,2185791.399999999906868,2020110.919999999925494,2481932.150000000372529,11524126.950000001117587
FS( 93 ),2471076.799999999813735,2425334.000000000000000,2182183.799999999813735,2025658.760000000009313,2473453.400000000372529,11577706.759999999776483
FS( 94 ),2445505.399999999906868,2389516.399999999441206,2185791.399999999906868,2024271.800000000046566,2455139.299999999813735,11500224.300000000745058
FS( 95 ),2492190.800000000279397,2415036.439999999478459,2183987.600000000093132,2029819.639999999897555,2487697.700000000186265,11608732.179999999701977
FS( 96 ),2443628.600000000093132,2406977.479999999515712,2190300.899999999906868,2013176.120000000111759,2458530.799999999813735,11512613.900000002235174
FS( 97 ),2410080.800000000279397,2368921.280000000260770,2163243.899999999906868,1997226.080000000074506,2421563.450000000186265,11361035.510000001639128
FS( 98 ),2427441.200000000186265,2351907.919999999925494,2151068.250000000000000,1967406.439999999944121,2422580.900000000372529,11320404.710000000894070
FS( 99 ),2456766.200000000186265,2335342.280000000260770,2145656.850000000093132,1973647.760000000009313,2432077.099999999627471,11343490.189999999478459
FS( 100 ),2454654.799999999813735,2355937.399999999441206,2144754.950000000186265,1978502.120000000111759,2457513.349999999627471,11391362.619999999180436
FS( 101 ),2437763.600000000093132,2368025.839999999850988,2140245.450000000186265,1958391.199999999720603,2436825.200000000186265,11341251.289999999105930
FS( 102 ),2466619.399999999906868,2371159.879999999888241,2156028.700000000186265,1952843.359999999869615,2440895.000000000000000,11387546.339999999850988
FS( 103 ),2474595.800000000279397,2470106.000000000000000,2152421.099999999627471,1965326.000000000000000,2460226.549999999813735,11522675.449999999254942
FS( 104 ),2475768.799999999813735,2464285.639999999664724,2147460.649999999906868,1943134.639999999897555,2454800.149999999441206,11485449.879999998956919
FS( 105 ),2421341.599999999627471,2394889.040000000037253,2124462.200000000186265,1941747.679999999934807,2425633.250000000000000,11308073.769999999552965
FS( 106 ),2422749.199999999720603,2387725.519999999552965,2123560.300000000279397,1956310.760000000009313,2426311.549999999813735,11316657.329999998211861
FS( 107 ),2461692.800000000279397,2392202.719999999739230,2124011.250000000000000,1948682.479999999981374,2456835.049999999813735,11383424.300000000745058
FS( 108 ),2437998.200000000186265,2384591.479999999515712,2132579.299999999813735,1956310.760000000009313,2433094.549999999813735,11344574.289999999105930
FS( 109 ),2463569.600000000093132,2387277.799999999813735,2128971.700000000186265,1942441.160000000149012,2460904.849999999627471,11383165.110000001266599
FS( 110 ),2495475.200000000186265,2408768.360000000335276,2150166.350000000093132,1967406.439999999944121,2487697.700000000186265,11509514.050000000745058
FS( 111 ),2502044.000000000000000,2449063.160000000149012,2142500.199999999720603,1960471.639999999897555,2511099.049999999813735,11565178.050000000745058
FS( 112 ),2488437.199999999720603,2458465.280000000260770,2141598.300000000279397,1961165.120000000111759,2511777.349999999627471,11561443.250000001862645
FS( 113 ),2514712.399999999906868,2474583.200000000186265,2152872.050000000279397,1962552.080000000074506,2518221.200000000186265,11622940.929999999701977
FS( 114 ),2537703.200000000186265,2549352.439999999478459,2163694.849999999627471,1972954.279999999795109,2531108.899999999441206,11754813.669999998062849
FS( 115 ),2562570.800000000279397,2540845.759999999776483,2170910.049999999813735,1988210.840000000083819,2549762.150000000372529,11812299.600000001490116
FS( 116 ),2575943.000000000000000,2477717.240000000223517,2157832.500000000000000,1963245.559999999823049,2534839.549999999813735,11709577.850000001490116
FS( 117 ),2611836.799999999813735,2542188.919999999925494,2155126.799999999813735,1977115.160000000149012,2526021.650000000372529,11812289.330000000074506
FS( 118 ),2713653.200000000186265,2537711.719999999739230,2173164.799999999813735,1990984.760000000009313,2547727.250000000000000,11963241.730000000447035
FS( 119 ),2747435.600000000093132,2531891.360000000335276,2165047.699999999720603,1986130.399999999906868,2520256.099999999627471,11950761.160000000149012
FS( 120 ),2777699.000000000000000,2605317.439999999478459,2182634.750000000000000,2013869.599999999860302,2477184.049999999813735,12056704.839999999850988
FS( 121 ),2792713.400000000372529,2589199.519999999552965,2176321.449999999720603,2000000.000000000000000,2402571.049999999813735,11960805.419999998062849
FS( 122 ),2736174.799999999813735,2531443.639999999664724,2165047.699999999720603,2009015.239999999757856,2393414.000000000000000,11835095.379999998956919
FS( 123 ),2756819.600000000093132,2501894.120000000111759,2150166.350000000093132,1997226.080000000074506,2435807.750000000000000,11841913.900000000372529
FS( 124 ),2791775.000000000000000,2493835.160000000149012,2143402.100000000093132,1990984.760000000009313,2452765.250000000000000,11872762.269999999552965
FS( 125 ),2780279.600000000093132,2541293.479999999515712,2149715.399999999906868,1975728.199999999720603,2441234.150000000372529,11888250.830000000074506
FS( 126 ),2800689.799999999813735,2549800.160000000149012,2150166.350000000093132,1977808.639999999897555,2447338.849999999627471,11925803.800000000745058
FS( 127 ),2785675.399999999906868,2488014.799999999813735,2155126.799999999813735,2002773.919999999925494,2441573.299999999813735,11873164.219999998807907
FS( 128 ),2756585.000000000000000,2448615.439999999478459,2147009.700000000186265,1992371.719999999972060,2428685.599999999627471,11773267.459999999031425
FS( 129 ),2762450.000000000000000,2442795.080000000074506,2197967.050000000279397,2003467.399999999906868,2461583.149999999441206,11868262.679999999701977
FS( 130 ),2764561.399999999906868,2467419.679999999701977,2181281.899999999906868,2011789.160000000149012,2461244.000000000000000,11886296.140000000596046
FS( 131 ),2703565.399999999906868,2471896.879999999888241,2180830.950000000186265,1995145.639999999897555,2459548.250000000000000,11810987.119999999180436
FS( 132 ),2749547.000000000000000,2549800.160000000149012,2174968.599999999627471,2011095.679999999934807,2475488.299999999813735,11960899.739999998360872
FS( 133 ),2737582.399999999906868,2509057.639999999664724,2159636.299999999813735,1984743.439999999944121,2447678.000000000000000,11838697.779999999329448
FS( 134 ),2708257.399999999906868,2456226.679999999701977,2153323.000000000000000,1958391.199999999720603,2424276.650000000372529,11700474.929999999701977
FS( 135 ),2685501.200000000186265,2481746.719999999739230,2131677.400000000372529,1961858.599999999860302,2420885.149999999441206,11681669.070000000298023
FS( 136 ),2789429.000000000000000,2575767.919999999925494,2141598.300000000279397,1995145.639999999897555,2509064.150000000372529,12011005.010000001639128
FS( 137 ),2767845.800000000279397,2618749.040000000037253,2132579.299999999813735,1991678.239999999757856,2518899.500000000000000,12029751.879999998956919
FS( 138 ),2802566.599999999627471,2602631.120000000111759,2108228.000000000000000,2035367.479999999981374,2534161.250000000000000,12082954.449999999254942
FS( 139 ),2772537.800000000279397,2578006.519999999552965,2100110.899999999906868,2022191.359999999869615,2505333.500000000000000,11978180.080000000074506
FS( 140 ),2823211.399999999906868,2622330.799999999813735,2127167.899999999906868,2066574.080000000074506,2550101.299999999813735,12189385.480000000447035
FS( 141 ),2868958.400000000372529,2638896.439999999478459,2124462.200000000186265,2098474.160000000149012,2420546.000000000000000,12151337.199999999254942
FS( 142 ),2874354.199999999720603,2633971.519999999552965,2101914.700000000186265,2115811.160000000149012,2332027.850000000558794,12058079.429999999701977
FS( 143 ),2849721.200000000186265,2637105.559999999590218,2097405.199999999720603,2108182.879999999888241,2313035.450000000186265,12005450.289999999105930
FS( 144 ),2873415.800000000279397,2649194.000000000000000,2095601.399999999906868,2127600.320000000298023,2335419.349999999627471,12081230.870000001043081
FS( 145 ),3026844.200000000186265,2616510.439999999478459,2099659.950000000186265,2122052.480000000447035,2306591.600000000558794,12171658.670000001788139
FS( 146 ),3025905.799999999813735,2590094.959999999962747,2084327.649999999906868,2122745.959999999962747,2293025.599999999627471,12116099.970000000670552
FS( 147 ),3077752.399999999906868,2519802.919999999925494,2098758.049999999813735,2122745.959999999962747,2293364.750000000000000,12112424.080000000074506
FS( 148 ),3047019.799999999813735,2493835.160000000149012,2045095.000000000000000,2131761.200000000186265,2270302.549999999813735,11988013.710000000894070
FS( 149 ),3041858.600000000093132,2515773.439999999478459,2055466.849999999860302,2167128.679999999701977,2308965.649999999441206,12089193.219999998807907
FS( 150 ),3042327.800000000279397,2503237.280000000260770,2040134.550000000046566,2144937.320000000298023,2306591.600000000558794,12037228.550000000745058
FS( 151 ),3061565.000000000000000,2516668.879999999888241,2033370.300000000046566,2128293.799999999813735,2315070.350000000558794,12054968.330000001937151
FS( 152 ),3120918.799999999813735,2483537.599999999627471,2039683.599999999860302,2161580.839999999850988,2327618.899999999441206,12133339.739999998360872
FS( 153 ),3115288.399999999906868,2448615.439999999478459,2061780.149999999906868,2167822.160000000149012,2338471.700000000186265,12131977.850000001490116
FS( 154 ),3133587.199999999720603,2468762.839999999850988,2045545.949999999953434,2166435.200000000186265,2330671.250000000000000,12145002.439999999478459
FS( 155 ),3122326.399999999906868,2503237.280000000260770,2072602.949999999953434,2147711.240000000223517,2383917.799999999813735,12229795.670000001788139
FS( 156 ),3085259.599999999627471,2465628.799999999813735,2066289.649999999906868,2143550.360000000335276,2365942.850000000558794,12126671.260000001639128
FS( 157 ),3131710.400000000372529,2529205.040000000037253,2110482.750000000000000,2171983.040000000037253,2391039.950000000186265,12334421.179999999701977
FS( 158 ),3109188.799999999813735,2528757.320000000298023,2119501.750000000000000,2166435.200000000186265,2391039.950000000186265,12314923.019999999552965
FS( 159 ),3104496.800000000279397,2508162.200000000186265,2146107.800000000279397,2176143.919999999925494,2372386.700000000186265,12307297.420000001788139
FS( 160 ),3124203.199999999720603,2524727.839999999850988,2134834.050000000279397,2210124.440000000409782,2408336.600000000558794,12402226.130000002682209
FS( 161 ),3169246.399999999906868,2556963.679999999701977,2156479.649999999906868,2219139.679999999701977,2422920.049999999813735,12524749.460000000894070
FS( 162 ),3192471.800000000279397,2565022.639999999664724,2167753.399999999906868,2233009.280000000260770,2437503.500000000000000,12595760.620000001043081
FS( 163 ),3245960.600000000093132,2542188.919999999925494,2165047.699999999720603,2219833.160000000149012,2431059.650000000372529,12604090.029999999329448
FS( 164 ),3213585.799999999813735,2531443.639999999664724,2167753.399999999906868,2195561.360000000335276,2428685.599999999627471,12537029.799999998882413
FS( 165 ),3107311.999999999534339,2503237.280000000260770,2170459.100000000093132,2213591.839999999850988,2441234.150000000372529,12435834.369999999180436
FS( 166 ),3118572.800000000279397,2526966.439999999478459,2192555.649999999906868,2217059.240000000223517,2472775.099999999627471,12527929.230000000447035
FS( 167 ),3189891.200000000186265,2528757.320000000298023,2206986.049999999813735,2227461.439999999478459,2500924.549999999813735,12654020.559999998658895
FS( 168 ),3120215.000000000000000,2487119.360000000335276,2239454.449999999720603,2228848.400000000372529,2512116.500000000000000,12587753.710000000894070
FS( 169 ),3161973.799999999813735,2473240.040000000037253,2235846.850000000093132,2211511.400000000372529,2527378.250000000000000,12609950.339999999850988
FS( 170 ),3160566.200000000186265,2492939.719999999739230,2247120.600000000093132,2210817.919999999925494,2521951.849999999627471,12633396.289999999105930
FS( 171 ),3149540.000000000000000,2490701.120000000111759,2247120.600000000093132,2200415.719999999739230,2526021.650000000372529,12613799.090000001713634
FS( 172 ),3147428.600000000093132,2549352.439999999478459,2262903.850000000093132,2207350.519999999552965,2515168.849999999627471,12682204.259999997913837
FS( 173 ),3096755.000000000000000,2468762.839999999850988,2243963.949999999720603,2165048.240000000223517,2500585.400000000372529,12475115.429999999701977
FS( 174 ),3085025.000000000000000,2479508.120000000111759,2223671.200000000186265,2168515.639999999664724,2497872.200000000186265,12454592.160000000149012
FS( 175 ),3113880.799999999813735,2461599.320000000298023,2201123.700000000186265,2167128.679999999701977,2467348.700000000186265,12411081.199999999254942
FS( 176 ),3171357.800000000279397,2503685.000000000000000,2227278.799999999813735,2187239.599999999627471,2492784.950000000186265,12582346.149999998509884
FS( 177 ),3159627.800000000279397,2601287.959999999962747,2234944.950000000186265,2190013.519999999552965,2500246.250000000000000,12686120.480000000447035
FS( 178 ),3136636.999999999534339,2663968.759999999776483,2229082.600000000093132,2173370.000000000000000,2511438.200000000186265,12714496.559999998658895
FS( 179 ),3109892.600000000093132,2617405.879999999888241,2207437.000000000000000,2125519.879999999888241,2446660.549999999813735,12506915.910000000149012
FS( 180 ),3119276.600000000093132,2599049.360000000335276,2179027.149999999906868,2097780.679999999701977,2408336.600000000558794,12403470.390000000596046
FS( 181 ),3139686.800000000279397,2647403.120000000111759,2181732.850000000093132,2097780.679999999701977,2390361.650000000372529,12456965.099999999627471
FS( 182 ),3160566.200000000186265,2652328.040000000037253,2168655.300000000279397,2097780.679999999701977,2410032.349999999627471,12489362.570000000298023
FS( 183 ),3187779.799999999813735,2690831.959999999962747,2160087.250000000000000,2090152.399999999906868,2398840.400000000372529,12527691.810000000521541
FS( 184 ),3178630.400000000372529,2774107.879999999888241,2205182.250000000000000,2133841.639999999664724,2454800.149999999441206,12746562.320000000298023
FS( 185 ),3171123.199999999720603,2799180.200000000186265,2200221.799999999813735,2129680.759999999776483,2455139.299999999813735,12755345.260000001639128
FS( 186 ),3206313.199999999720603,2791568.959999999962747,2224122.149999999906868,2097780.679999999701977,2487697.700000000186265,12807482.690000001341105
FS( 187 ),3199979.000000000000000,2797837.040000000037253,2225925.950000000186265,2104715.480000000447035,2521612.700000000186265,12850070.170000001788139
FS( 188 ),3210066.800000000279397,2832311.479999999515712,2228180.699999999720603,2100554.599999999627471,2514151.399999999441206,12885264.979999996721745
FS( 189 ),3243849.200000000186265,2860070.120000000111759,2242160.149999999906868,2118585.080000000074506,2538570.200000000186265,13003234.750000000000000
FS( 190 ),3211709.000000000000000,2843504.479999999515712,2245316.799999999813735,2124826.400000000372529,2533143.799999999813735,12958500.480000000447035
FS( 191 ),3188718.199999999720603,2843504.479999999515712,2252081.049999999813735,2128293.799999999813735,2536196.150000000372529,12948793.679999999701977
FS( 192 ),3202090.400000000372529,2830968.320000000298023,2257041.500000000000000,2124132.919999999925494,2553831.950000000186265,12968065.089999999850988
FS( 193 ),3206313.199999999720603,2796941.599999999627471,2231788.300000000279397,2112343.759999999776483,2529074.000000000000000,12876460.859999999403954
FS( 194 ),3228600.200000000186265,2784405.439999999478459,2242611.099999999627471,2116504.639999999664724,2547048.950000000186265,12919170.329999998211861
FS( 195 ),3247133.600000000093132,2779480.519999999552965,2243062.050000000279397,2118585.080000000074506,2517882.049999999813735,12906143.300000000745058
