代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12700260.429999999701977
真實報酬,2700260.429999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11115.320288867393174
風險,419308.341253264690749
起點值,0.026508703012311
找到最佳解世代,1994
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](3),NKE[19](2),
FS( 79 ),5041540.799999999813735,5725184.019999999552965,10766724.820000000298023
FS( 80 ),4990134.059999999590218,5674963.519999999552965,10665097.579999998211861
FS( 81 ),4987018.500000000000000,5611685.689999999478459,10598704.189999999478459
FS( 82 ),5054003.040000000037253,5699069.359999999403954,10753072.399999998509884
FS( 83 ),5099697.919999999925494,5771386.879999999888241,10871084.800000000745058
FS( 84 ),5149546.879999999888241,5776408.929999999701977,10925955.809999998658895
FS( 85 ),5185375.820000000298023,5786453.029999999329448,10971828.849999999627471
FS( 86 ),5162528.379999999888241,5767369.239999999292195,10929897.619999999180436
FS( 87 ),5147989.099999999627471,5814576.509999999776483,10962565.609999999403954
FS( 88 ),5182260.259999999776483,5863792.599999999627471,11046052.859999999403954
FS( 89 ),5158893.559999999590218,5781430.979999999515712,10940324.539999999105930
FS( 90 ),5136565.379999999888241,5751298.679999999701977,10887864.059999998658895
FS( 91 ),5160970.599999999627471,5793483.899999999441206,10954454.500000000000000
FS( 92 ),5130853.520000000484288,5748285.449999999254942,10879138.969999998807907
FS( 93 ),5103332.740000000223517,5677976.750000000000000,10781309.490000000223517
FS( 94 ),5159932.080000000074506,5705095.819999999366701,10865027.899999998509884
FS( 95 ),5154739.479999999515712,5743263.399999999441206,10898002.879999998956919
FS( 96 ),5226916.620000000111759,5774400.109999999403954,11001316.730000000447035
FS( 97 ),5232109.220000000670552,5766364.829999999143183,10998474.050000000745058
FS( 98 ),5249764.059999999590218,5773395.699999999254942,11023159.759999997913837
FS( 99 ),5180183.220000000670552,5639809.169999998994172,10819992.390000000596046
FS( 100 ),5043617.839999999850988,5367614.059999999590218,10411231.899999998509884
FS( 101 ),4822413.080000000074506,5216952.559999999590218,10039365.640000000596046
FS( 102 ),4736215.919999999925494,5199877.589999999850988,9936093.509999999776483
FS( 103 ),4940804.360000000335276,5462028.599999999627471,10402832.960000000894070
FS( 104 ),5054003.040000000037253,5655879.729999999515712,10709882.769999999552965
FS( 105 ),4997922.959999999962747,5649853.269999999552965,10647776.230000000447035
FS( 106 ),4934053.979999999515712,5612690.099999999627471,10546744.079999998211861
FS( 107 ),4853568.679999999701977,5456002.139999999664724,10309570.820000000298023
FS( 108 ),4987018.500000000000000,5559456.370000000111759,10546474.870000001043081
FS( 109 ),4985460.720000000670552,5567491.649999999441206,10552952.370000001043081
FS( 110 ),4925226.559999999590218,5509235.870000000111759,10434462.429999999701977
FS( 111 ),5025443.740000000223517,5612690.099999999627471,10638133.839999999850988
FS( 112 ),4955343.640000000596046,5517271.149999999441206,10472614.789999999105930
FS( 113 ),4945996.959999999962747,5543385.809999999590218,10489382.769999999552965
FS( 114 ),5058157.120000000111759,5615703.329999999143183,10673860.449999999254942
FS( 115 ),5035309.679999999701977,5619720.969999999739230,10655030.649999998509884
FS( 116 ),5098659.399999999441206,5717148.739999999292195,10815808.139999998733401
FS( 117 ),5124622.399999999441206,5804532.409999999217689,10929154.809999998658895
FS( 118 ),5080485.299999999813735,5789466.259999999776483,10869951.559999998658895
FS( 119 ),5039463.759999999776483,5778417.750000000000000,10817881.509999999776483
FS( 120 ),5083600.860000000335276,5853748.500000000000000,10937349.359999999403954
FS( 121 ),5047252.660000000149012,5824620.609999999403954,10871873.269999999552965
FS( 122 ),5056599.339999999850988,5797501.539999999105930,10854100.879999998956919
FS( 123 ),5051926.000000000000000,5765360.419999998994172,10817286.419999998062849
FS( 124 ),5067503.799999999813735,6277609.519999999552965,11345113.320000000298023
FS( 125 ),4982864.419999999925494,6133978.889999999664724,11116843.309999998658895
FS( 126 ),5061791.940000000409782,6010436.459999999962747,11072228.400000000372529
FS( 127 ),5116314.240000000223517,6176164.109999999403954,11292478.349999999627471
FS( 128 ),5129295.740000000223517,6219353.739999999292195,11348649.480000000447035
FS( 129 ),5181741.000000000000000,6288658.029999999329448,11470399.029999999329448
FS( 130 ),5253398.879999999888241,6241450.759999999776483,11494849.640000000596046
FS( 131 ),5291304.860000000335276,6187212.620000000111759,11478517.480000000447035
FS( 132 ),5284554.479999999515712,6131970.069999999366701,11416524.549999998882413
FS( 133 ),5345827.160000000149012,6273591.879999999888241,11619419.039999999105930
FS( 134 ),5335961.220000000670552,6274596.289999999105930,11610557.509999999776483
FS( 135 ),5360885.699999999254942,6349927.039999999105930,11710812.739999998360872
FS( 136 ),5368155.339999999850988,6318790.329999999143183,11686945.669999998062849
FS( 137 ),5339076.779999999329448,6319794.739999999292195,11658871.519999999552965
FS( 138 ),5382694.620000000111759,6468447.419999999925494,11851142.039999999105930
FS( 139 ),5442928.779999999329448,6552817.859999999403954,11995746.639999998733401
FS( 140 ),5425793.199999999254942,6690422.029999999329448,12116215.229999998584390
FS( 141 ),5392041.299999999813735,6648236.809999999590218,12040278.109999999403954
FS( 142 ),5324537.500000000000000,6653258.859999999403954,11977796.359999999403954
FS( 143 ),5757081.080000000074506,6650245.629999998956919,12407326.709999999031425
FS( 144 ),5846393.799999999813735,6555831.089999998919666,12402224.889999998733401
FS( 145 ),5825104.140000000596046,6598016.309999999590218,12423120.449999999254942
FS( 146 ),5797064.099999999627471,6569892.829999999143183,12366956.929999999701977
FS( 147 ),5864567.899999999441206,6593998.669999999925494,12458566.570000000298023
FS( 148 ),5847951.580000000074506,6584958.979999999515712,12432910.559999998658895
FS( 149 ),5828738.959999999962747,6580941.339999998919666,12409680.299999998882413
FS( 150 ),5821469.320000000298023,6588976.619999999180436,12410445.939999999478459
FS( 151 ),5819911.540000000037253,6599020.719999999739230,12418932.259999999776483
FS( 152 ),5836527.860000000335276,6546791.400000000372529,12383319.260000001639128
FS( 153 ),5859894.559999999590218,6622122.150000000372529,12482016.710000000894070
FS( 154 ),5883780.520000000484288,6618104.509999999776483,12501885.030000001192093
FS( 155 ),5864048.640000000596046,6552817.859999999403954,12416866.500000000000000
FS( 156 ),5879107.179999999701977,6528712.019999999552965,12407819.199999999254942
FS( 157 ),5911820.559999999590218,6399143.129999999888241,12310963.689999999478459
FS( 158 ),5821469.320000000298023,6326825.609999999403954,12148294.929999999701977
FS( 159 ),5710347.679999999701977,6119917.149999999441206,11830264.829999998211861
FS( 160 ),5766947.020000000484288,6200269.949999999254942,11967216.969999998807907
FS( 161 ),5760715.899999999441206,6156075.909999999217689,11916791.809999998658895
FS( 162 ),5843278.240000000223517,6316781.509999999776483,12160059.750000000000000
FS( 163 ),5883261.259999999776483,6316781.509999999776483,12200042.769999999552965
FS( 164 ),5914936.120000000111759,6662298.549999999813735,12577234.669999999925494
FS( 165 ),5944014.679999999701977,6652254.450000000186265,12596269.129999998956919
FS( 166 ),5934148.740000000223517,6655267.679999999701977,12589416.419999999925494
FS( 167 ),5940379.860000000335276,6736624.889999998733401,12677004.750000000000000
FS( 168 ),5931552.440000000409782,6746668.989999999292195,12678221.429999999701977
FS( 169 ),5927917.620000000111759,6643214.759999999776483,12571132.379999998956919
FS( 170 ),5942976.160000000149012,6695444.079999999143183,12638420.239999998360872
FS( 171 ),5905070.179999999701977,6662298.549999999813735,12567368.730000000447035
FS( 172 ),5887934.599999999627471,6484517.979999999515712,12372452.579999998211861
FS( 173 ),6033846.660000000149012,6646227.989999999292195,12680074.649999998509884
FS( 174 ),6045270.379999999888241,6609064.819999999366701,12654335.199999999254942
FS( 175 ),6050982.240000000223517,6614086.869999999180436,12665069.109999999403954
FS( 176 ),6053578.540000000037253,6470456.239999999292195,12524034.779999999329448
FS( 177 ),6085772.660000000149012,6460412.139999998733401,12546184.799999998882413
FS( 178 ),6027615.540000000037253,6342896.169999998994172,12370511.709999999031425
FS( 179 ),6036962.220000000670552,6421240.149999999441206,12458202.370000001043081
FS( 180 ),6071752.640000000596046,6459407.729999999515712,12531160.370000001043081
FS( 181 ),6119005.299999999813735,6575919.289999999105930,12694924.589999999850988
FS( 182 ),6101350.459999999962747,6539760.529999999329448,12641110.989999998360872
FS( 183 ),6057732.620000000111759,6454385.679999999701977,12512118.300000000745058
FS( 184 ),6111216.399999999441206,6518667.919999999925494,12629884.320000000298023
FS( 185 ),6112774.179999999701977,6622122.150000000372529,12734896.330000000074506
FS( 186 ),6168854.259999999776483,6464429.779999999329448,12633284.039999999105930
FS( 187 ),6156911.279999999329448,6345909.399999999441206,12502820.679999999701977
FS( 188 ),6166257.959999999962747,6409187.229999999515712,12575445.189999999478459
FS( 189 ),6234800.279999999329448,6454385.679999999701977,12689185.959999999031425
FS( 190 ),6201567.640000000596046,6352940.269999999552965,12554507.910000000149012
FS( 191 ),6134583.099999999627471,6277609.519999999552965,12412192.619999999180436
FS( 192 ),6105504.540000000037253,6179177.339999999850988,12284681.879999998956919
FS( 193 ),6189624.660000000149012,6265556.599999999627471,12455181.259999999776483
FS( 194 ),6148083.860000000335276,6176164.109999999403954,12324247.969999998807907
FS( 195 ),6005806.620000000111759,6011440.870000000111759,12017247.490000000223517
FS( 196 ),5996459.940000000409782,5913008.689999999478459,11909468.629999998956919
FS( 197 ),6059290.399999999441206,5981308.569999999366701,12040598.969999998807907
FS( 198 ),6098234.899999999441206,6020480.559999999590218,12118715.459999999031425
FS( 199 ),5977766.580000000074506,5903969.000000000000000,11881735.580000000074506
FS( 200 ),6055655.580000000074506,5876849.929999999701977,11932505.509999999776483
FS( 201 ),5980882.140000000596046,5781430.979999999515712,11762313.120000001043081
FS( 202 ),6101350.459999999962747,5857766.139999999664724,11959116.599999999627471
FS( 203 ),6012037.740000000223517,5930083.659999999217689,11942121.399999998509884
FS( 204 ),6119005.299999999813735,6082753.979999999515712,12201759.279999999329448
FS( 205 ),6148083.860000000335276,6114895.099999999627471,12262978.960000000894070
FS( 206 ),6189624.660000000149012,6096815.719999999739230,12286440.379999998956919
FS( 207 ),6253493.640000000596046,6137996.529999999329448,12391490.169999999925494
FS( 208 ),6276341.080000000074506,5984321.799999999813735,12260662.879999998956919
FS( 209 ),6354749.339999999850988,6147036.219999999739230,12501785.559999998658895
FS( 210 ),6427445.740000000223517,6228393.429999999701977,12655839.169999999925494
FS( 211 ),6470544.320000000298023,6343900.579999999143183,12814444.899999998509884
FS( 212 ),6436273.160000000149012,6282631.569999999366701,12718904.730000000447035
FS( 213 ),6307496.679999999701977,6276605.109999999403954,12584101.789999999105930
FS( 214 ),6265436.620000000111759,6043581.989999999292195,12309018.609999999403954
FS( 215 ),5992305.860000000335276,5742258.989999999292195,11734564.849999999627471
FS( 216 ),6026057.759999999776483,5528319.659999999217689,11554377.419999998062849
FS( 217 ),6075906.720000000670552,5592601.899999999441206,11668508.620000001043081
FS( 218 ),6103427.500000000000000,5766364.829999999143183,11869792.329999998211861
FS( 219 ),6061367.440000000409782,5624743.019999999552965,11686110.460000000894070
FS( 220 ),6123678.640000000596046,5666928.239999999292195,11790606.879999998956919
FS( 221 ),6188586.140000000596046,5804532.409999999217689,11993118.550000000745058
FS( 222 ),6160546.099999999627471,5842699.989999999292195,12003246.089999999850988
FS( 223 ),6084214.879999999888241,5885889.620000000111759,11970104.500000000000000
FS( 224 ),6050982.240000000223517,5957202.729999999515712,12008184.969999998807907
FS( 225 ),6110177.879999999888241,6043581.989999999292195,12153759.869999999180436
FS( 226 ),6070194.860000000335276,6047599.629999999888241,12117794.490000000223517
FS( 227 ),6078503.020000000484288,6066683.419999998994172,12145186.439999999478459
FS( 228 ),6146526.080000000074506,6265556.599999999627471,12412082.679999999701977
FS( 229 ),6078503.020000000484288,6287653.620000000111759,12366156.640000000596046
FS( 230 ),6085253.399999999441206,6186208.209999999962747,12271461.609999999403954
FS( 231 ),6171450.559999999590218,6319794.739999999292195,12491245.299999998882413
FS( 232 ),6152237.940000000409782,6249486.039999999105930,12401723.980000000447035
FS( 233 ),6059290.399999999441206,6174155.289999999105930,12233445.689999997615814
FS( 234 ),6084734.140000000596046,6153062.679999999701977,12237796.820000000298023
FS( 235 ),6083176.360000000335276,5951176.269999999552965,12034352.629999998956919
FS( 236 ),6149122.379999999888241,6007423.229999999515712,12156545.609999999403954
FS( 237 ),6212472.099999999627471,5858770.549999999813735,12071242.649999998509884
FS( 238 ),6230126.940000000409782,5914013.099999999627471,12144140.039999999105930
FS( 239 ),6311650.759999999776483,6034542.299999999813735,12346193.059999998658895
FS( 240 ),6381750.860000000335276,6107864.229999999515712,12489615.089999999850988
FS( 241 ),6409271.640000000596046,6167124.419999998994172,12576396.059999998658895
FS( 242 ),6413944.979999999515712,6213327.279999999329448,12627272.259999997913837
FS( 243 ),6395251.620000000111759,6345909.399999999441206,12741161.019999999552965
FS( 244 ),6443023.540000000037253,6326825.609999999403954,12769849.149999998509884
FS( 245 ),6429003.520000000484288,6500588.539999999105930,12929592.059999998658895
FS( 246 ),6429522.779999999329448,6518667.919999999925494,12948190.699999999254942
FS( 247 ),6448735.399999999441206,6271583.059999999590218,12720318.459999999031425
FS( 248 ),6402002.000000000000000,6192234.669999998994172,12594236.669999998062849
FS( 249 ),6395770.879999999888241,6161097.959999999962747,12556868.839999999850988
FS( 250 ),6437311.679999999701977,6176164.109999999403954,12613475.789999999105930
FS( 251 ),6533894.040000000037253,6231406.659999999217689,12765300.699999999254942
FS( 252 ),6526105.140000000596046,6174155.289999999105930,12700260.429999999701977
