代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12253874.339999999850988
真實報酬,2253874.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9454.950272271116773
風險,180053.537024399614893
起點值,0.052511883012828
找到最佳解世代,1643
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MRK[17](5),PG[21](2),WMT[28](19),
FS( 13 ),2627988.640000000130385,2602795.139999999664724,2611534.659999999683350,2289172.840000000316650,10131491.279999999329448
FS( 14 ),2618597.439999999944121,2551650.759999999776483,2586170.080000000074506,2285283.040000000037253,10041701.320000000298023
FS( 15 ),2619670.719999999739230,2561778.360000000335276,2556983.439999999944121,2281004.260000000242144,10019436.779999999329448
FS( 16 ),2670651.520000000018626,2633684.319999999832362,2600763.399999999441206,2291117.739999999757856,10196216.979999998584390
FS( 17 ),2691580.479999999981374,2677739.379999999888241,2676509.679999999701977,2267778.939999999944121,10313608.479999998584390
FS( 18 ),2681652.640000000130385,2679258.519999999552965,2692492.839999999850988,2256887.500000000000000,10310291.500000000000000
FS( 19 ),2688360.640000000130385,2707615.799999999813735,2685543.640000000130385,2235882.580000000074506,10317402.660000000149012
FS( 20 ),2696141.920000000391155,2790155.740000000223517,2658441.759999999776483,2242106.260000000242144,10386845.679999999701977
FS( 21 ),2720022.400000000372529,2778509.000000000000000,2676162.219999999739230,2254553.620000000111759,10429247.240000000223517
FS( 22 ),2710899.520000000018626,2767875.019999999552965,2653924.779999999795109,2226547.060000000055879,10359246.379999998956919
FS( 23 ),2741488.000000000000000,2790662.120000000111759,2661568.899999999441206,2240939.319999999832362,10434658.339999999850988
FS( 24 ),2735853.279999999795109,2790662.120000000111759,2677204.599999999627471,2260388.319999999832362,10464108.320000000298023
FS( 25 ),2735316.640000000130385,2811930.080000000074506,2677552.060000000055879,2270501.799999999813735,10495300.580000001937151
FS( 26 ),2745781.120000000111759,2787623.839999999850988,2654272.239999999757856,2279837.319999999832362,10467514.519999999552965
FS( 27 ),2734780.000000000000000,2765343.120000000111759,2625780.519999999552965,2286449.979999999981374,10412353.619999999180436
FS( 28 ),2705801.439999999944121,2746607.060000000055879,2619873.700000000186265,2275169.560000000055879,10347451.759999999776483
FS( 29 ),2722168.959999999962747,2756228.279999999795109,2632729.719999999739230,2282560.180000000167638,10393687.140000000596046
FS( 30 ),2733170.080000000074506,2720275.299999999813735,2639331.459999999497086,2239772.379999999888241,10332549.219999998807907
FS( 31 ),2690507.199999999720603,2685335.080000000074506,2594161.659999999683350,2215266.640000000130385,10185270.580000000074506
FS( 32 ),2680042.719999999739230,2685335.080000000074506,2569839.459999999497086,2194650.700000000186265,10129867.960000000894070
FS( 33 ),2715997.600000000093132,2719262.540000000037253,2616399.099999999627471,2251052.799999999813735,10302712.039999999105930
FS( 34 ),2723510.560000000055879,2719768.919999999925494,2608407.519999999552965,2330793.700000000186265,10382480.699999999254942
FS( 35 ),2754904.000000000000000,2746100.679999999701977,2637246.700000000186265,2370080.680000000167638,10508332.060000000521541
FS( 36 ),2750074.239999999757856,2748632.580000000074506,2648365.419999999925494,2361134.140000000130385,10508206.380000000819564
FS( 37 ),2749805.920000000391155,2739517.740000000223517,2634467.019999999552965,2336628.399999999906868,10460419.080000000074506
FS( 38 ),2757587.199999999720603,2734960.319999999832362,2639678.919999999925494,2344019.020000000018626,10476245.459999999031425
FS( 39 ),2737999.840000000316650,2708122.179999999701977,2656357.000000000000000,2330793.700000000186265,10433272.719999998807907
FS( 40 ),2735853.279999999795109,2720275.299999999813735,2637246.700000000186265,2343241.060000000055879,10436616.339999999850988
FS( 41 ),2746854.400000000372529,2732428.419999999925494,2630297.500000000000000,2329626.760000000242144,10439207.080000000074506
FS( 42 ),2716534.239999999757856,2684322.319999999832362,2600415.939999999944121,2288783.860000000335276,10290056.359999999403954
FS( 43 ),2746586.080000000074506,2763317.600000000093132,2638636.539999999571592,2294618.560000000055879,10443158.779999999329448
FS( 44 ),2738268.160000000149012,2725339.100000000093132,2633424.640000000130385,2269723.840000000316650,10366755.740000000223517
FS( 45 ),2704459.840000000316650,2663054.360000000335276,2631687.339999999850988,2296563.459999999962747,10295765.000000000000000
FS( 46 ),2762416.959999999962747,2716224.259999999776483,2704306.479999999981374,2320680.219999999739230,10503627.919999998062849
FS( 47 ),2772344.799999999813735,2718249.779999999795109,2723069.319999999832362,2353354.540000000037253,10567018.440000001341105
FS( 48 ),2748196.000000000000000,2707615.799999999813735,2701526.799999999813735,2318735.319999999832362,10476073.919999999925494
FS( 49 ),2740951.360000000335276,2674701.100000000093132,2699789.500000000000000,2300064.280000000260770,10415506.240000002086163
FS( 50 ),2754099.040000000037253,2718756.159999999683350,2702916.640000000130385,2316790.419999999925494,10492562.259999999776483
FS( 51 ),2728340.320000000298023,2640773.639999999664724,2702569.179999999701977,2309010.819999999832362,10380693.959999999031425
FS( 52 ),2740951.360000000335276,2643305.540000000037253,2720289.640000000130385,2349075.760000000242144,10453622.300000000745058
FS( 53 ),2794078.719999999739230,2678752.139999999664724,2768586.580000000074506,2319902.260000000242144,10561319.699999999254942
FS( 54 ),2824130.560000000055879,2735466.700000000186265,2814103.839999999850988,2345574.939999999944121,10719276.039999999105930
FS( 55 ),2780931.040000000037253,2666599.019999999552965,2789781.640000000130385,2294229.580000000074506,10531541.279999999329448
FS( 56 ),2735584.959999999962747,2614948.259999999776483,2714730.279999999795109,2289172.840000000316650,10354436.339999999850988
FS( 57 ),2725657.120000000111759,2626595.000000000000000,2743222.000000000000000,2316401.439999999944121,10411875.560000000521541
FS( 58 ),2755977.279999999795109,2638241.740000000223517,2765806.899999999441206,2354910.459999999962747,10514936.379999998956919
FS( 59 ),2776906.239999999757856,2682803.179999999701977,2776925.619999999646097,2376304.360000000335276,10612939.399999998509884
FS( 60 ),2783077.600000000093132,2676220.240000000223517,2772408.640000000130385,2366190.879999999888241,10597897.359999999403954
FS( 61 ),2769661.600000000093132,2675713.860000000335276,2776925.619999999646097,2363079.040000000037253,10585380.120000001043081
FS( 62 ),2791395.520000000018626,2701032.860000000335276,2792213.859999999869615,2396531.319999999832362,10681173.560000000521541
FS( 63 ),2784687.520000000018626,2696475.439999999944121,2782137.519999999552965,2399254.180000000167638,10662554.660000000149012
FS( 64 ),2756245.600000000093132,2674701.100000000093132,2759205.159999999683350,2384472.939999999944121,10574624.799999998882413
FS( 65 ),2696141.920000000391155,2657484.179999999701977,2723069.319999999832362,2390696.620000000111759,10467392.039999999105930
FS( 66 ),2707411.360000000335276,2691411.639999999664724,2731755.819999999832362,2447487.700000000186265,10578066.519999999552965
FS( 67 ),2693727.040000000037253,2654445.899999999906868,2705348.859999999869615,2471993.439999999944121,10525515.239999998360872
FS( 68 ),2662333.600000000093132,2631152.419999999925494,2681721.580000000074506,2529562.479999999981374,10504770.080000000074506
FS( 69 ),2633891.680000000167638,2586590.979999999981374,2639678.919999999925494,2471604.459999999962747,10331766.039999999105930
FS( 70 ),2618060.799999999813735,2595199.439999999944121,2664001.119999999646097,2498055.100000000093132,10375316.459999999031425
FS( 71 ),2636038.239999999757856,2621024.819999999832362,2658441.759999999776483,2474716.299999999813735,10390221.119999999180436
FS( 72 ),2603303.199999999720603,2565323.019999999552965,2635509.399999999441206,2408589.700000000186265,10212725.319999998435378
FS( 73 ),2653479.040000000037253,2623050.339999999850988,2645933.200000000186265,2452933.419999999925494,10375396.000000000000000
FS( 74 ),2602766.560000000055879,2589629.259999999776483,2605280.379999999888241,2408978.680000000167638,10206654.880000000819564
FS( 75 ),2616182.560000000055879,2599756.860000000335276,2666085.879999999888241,2433484.419999999925494,10315509.719999998807907
FS( 76 ),2569226.560000000055879,2559752.839999999850988,2634814.479999999981374,2366579.860000000335276,10130373.740000002086163
FS( 77 ),2574324.640000000130385,2578488.899999999906868,2665738.419999999925494,2407033.780000000260770,10225585.740000000223517
FS( 78 ),2596058.560000000055879,2600263.240000000223517,2687975.859999999869615,2438541.160000000149012,10322838.820000000298023
FS( 79 ),2586667.360000000335276,2578488.899999999906868,2670255.399999999441206,2468103.640000000130385,10303515.299999998882413
FS( 80 ),2714924.320000000298023,2605327.040000000037253,2738357.560000000055879,2489497.540000000037253,10548106.460000000894070
FS( 81 ),2741219.680000000167638,2550638.000000000000000,2738010.099999999627471,2487552.640000000130385,10517420.419999999925494
FS( 82 ),2744171.199999999720603,2491391.540000000037253,2773451.019999999552965,2498055.100000000093132,10507068.859999999403954
FS( 83 ),2802396.640000000130385,2565829.399999999906868,2838426.039999999571592,2581296.819999999832362,10787948.900000000372529
FS( 84 ),2800518.400000000372529,2569880.439999999944121,2818620.819999999832362,2625640.540000000037253,10814660.199999999254942
FS( 85 ),2774759.680000000167638,2552663.519999999552965,2787349.419999999925494,2600745.819999999832362,10715518.439999999478459
FS( 86 ),2794347.040000000037253,2534433.839999999850988,2817925.899999999441206,2577796.000000000000000,10724502.779999999329448
FS( 87 ),2787907.360000000335276,2460502.360000000335276,2804027.500000000000000,2583630.700000000186265,10636067.920000001788139
FS( 88 ),2697751.840000000316650,2500506.379999999888241,2821400.500000000000000,2606191.540000000037253,10625850.260000001639128
FS( 89 ),2736926.560000000055879,2472655.479999999981374,2870739.819999999832362,2602301.740000000223517,10682623.599999999627471
FS( 90 ),2736121.600000000093132,2489366.019999999552965,2871434.739999999757856,2559902.919999999925494,10656825.279999999329448
FS( 91 ),2729681.920000000391155,2508102.080000000074506,2835993.819999999832362,2559124.960000000428408,10632902.780000001192093
FS( 92 ),2728876.959999999962747,2473668.240000000223517,2776230.700000000186265,2540842.899999999906868,10519618.800000000745058
FS( 93 ),2732096.799999999813735,2482783.080000000074506,2814103.839999999850988,2574295.180000000167638,10603278.900000000372529
FS( 94 ),2745512.799999999813735,2520761.580000000074506,2830781.919999999925494,2563403.740000000223517,10660460.039999999105930
FS( 95 ),2750342.560000000055879,2562284.740000000223517,2864833.000000000000000,2571572.319999999832362,10749032.620000001043081
FS( 96 ),2797030.239999999757856,2548106.100000000093132,2848502.379999999888241,2494165.300000000279397,10687804.019999999552965
FS( 97 ),2794883.680000000167638,2537978.500000000000000,2841900.640000000130385,2515170.219999999739230,10689933.039999999105930
FS( 98 ),2810714.560000000055879,2570893.200000000186265,2853714.279999999795109,2552901.279999999795109,10788223.319999998435378
FS( 99 ),2792737.120000000111759,2559246.459999999962747,2842595.560000000055879,2585964.580000000074506,10780543.720000000670552
FS( 100 ),2816349.279999999795109,2560259.220000000204891,2833909.060000000055879,2610859.300000000279397,10821376.860000001266599
FS( 101 ),2854450.719999999739230,2582539.939999999944121,2861010.939999999944121,2646645.460000000428408,10944647.060000000521541
FS( 102 ),2838351.520000000018626,2564310.259999999776483,2817925.899999999441206,2587131.520000000018626,10807719.199999999254942
FS( 103 ),2823057.279999999795109,2542535.919999999925494,2789781.640000000130385,2580518.860000000335276,10735893.699999999254942
FS( 104 ),2876989.600000000093132,2620518.439999999944121,2822442.879999999888241,2585186.619999999646097,10905137.539999999105930
FS( 105 ),2872159.840000000316650,2646850.200000000186265,2868307.599999999627471,2575462.119999999646097,10962779.759999999776483
FS( 106 ),2861695.360000000335276,2638241.740000000223517,2878383.939999999944121,2572739.260000000242144,10951060.300000000745058
FS( 107 ),2857670.560000000055879,2637228.979999999981374,2900968.839999999850988,2597633.979999999981374,10993502.359999999403954
FS( 108 ),2864110.239999999757856,2665586.259999999776483,2887417.899999999441206,2640810.760000000242144,11057925.159999998286366
FS( 109 ),2850157.600000000093132,2655965.040000000037253,2886028.060000000055879,2646645.460000000428408,11038796.160000002011657
FS( 110 ),2866793.439999999944121,2651407.620000000111759,2882553.459999999497086,2626807.479999999981374,11027562.000000000000000
FS( 111 ),2874843.040000000037253,2685841.459999999962747,2858926.179999999701977,2622139.719999999739230,11041750.399999998509884
FS( 112 ),2890137.279999999795109,2693943.540000000037253,2840510.799999999813735,2612804.200000000186265,11037395.820000000298023
FS( 113 ),2888795.680000000167638,2687866.979999999981374,2820358.119999999646097,2620194.819999999832362,11017215.599999999627471
FS( 114 ),2891478.880000000353903,2654445.899999999906868,2825222.560000000055879,2648590.360000000335276,11019737.699999999254942
FS( 115 ),2882087.680000000167638,2630139.659999999683350,2826264.939999999944121,2644700.560000000055879,10983192.839999999850988
FS( 116 ),2864110.239999999757856,2609378.080000000074506,2875256.799999999813735,2623695.640000000130385,10972440.759999999776483
FS( 117 ),2884502.560000000055879,2645837.439999999944121,2889155.200000000186265,2604246.640000000130385,11023741.839999999850988
FS( 118 ),2878599.520000000018626,2673688.339999999850988,2895062.019999999552965,2643922.600000000093132,11091272.479999998584390
FS( 119 ),2881282.719999999739230,2685335.080000000074506,2874909.339999999850988,2640032.800000000279397,11081559.940000001341105
FS( 120 ),2911334.560000000055879,2687866.979999999981374,2877689.019999999552965,2624084.619999999646097,11100975.179999997839332
FS( 121 ),2906236.479999999981374,2687360.600000000093132,2880121.239999999757856,2645089.540000000037253,11118807.859999999403954
FS( 122 ),2904089.920000000391155,2675207.479999999981374,2870739.819999999832362,2649757.300000000279397,11099794.520000001415610
FS( 123 ),2928507.040000000037253,2700020.100000000093132,2876994.099999999627471,2646256.479999999981374,11151777.720000000670552
FS( 124 ),2924213.920000000391155,2694956.299999999813735,2872824.580000000074506,2676207.939999999944121,11168202.740000000223517
FS( 125 ),2903284.959999999962747,2679258.519999999552965,2859968.560000000055879,2664149.560000000055879,11106661.599999999627471
FS( 126 ),2929848.640000000130385,2719262.540000000037253,2902358.679999999701977,2686321.419999999925494,11237791.279999999329448
FS( 127 ),2913749.439999999944121,2754709.139999999664724,2891239.959999999497086,2687877.339999999850988,11247575.879999998956919
FS( 128 ),2923408.959999999962747,2746607.060000000055879,2889502.659999999683350,2669984.260000000242144,11229502.939999999478459
FS( 129 ),2936020.000000000000000,2816993.879999999888241,2912087.560000000055879,2685543.460000000428408,11350644.900000000372529
FS( 130 ),2931995.199999999720603,2806359.899999999906868,2892282.339999999850988,2653647.100000000093132,11284284.539999999105930
FS( 131 ),2927433.759999999776483,2803321.620000000111759,2890892.500000000000000,2647423.419999999925494,11269071.299999998882413
FS( 132 ),2923945.600000000093132,2787623.839999999850988,2874561.879999999888241,2621750.740000000223517,11207882.060000000521541
FS( 133 ),2940849.759999999776483,2802308.860000000335276,2878036.479999999981374,2676207.939999999944121,11297403.039999999105930
FS( 134 ),2948094.400000000372529,2833704.419999999925494,2865180.459999999497086,2689822.240000000223517,11336801.519999999552965
FS( 135 ),2947289.439999999944121,2858517.040000000037253,2849544.759999999776483,2676207.939999999944121,11331559.179999999701977
FS( 136 ),2956412.320000000298023,2842819.259999999776483,2859621.099999999627471,2686321.419999999925494,11345174.099999999627471
FS( 137 ),2976536.320000000298023,2861555.319999999832362,2878036.479999999981374,2717439.819999999832362,11433567.940000001341105
FS( 138 ),3023492.320000000298023,2879278.620000000111759,2893672.179999999701977,2713939.000000000000000,11510382.120000001043081
FS( 139 ),3047641.120000000111759,2865099.979999999981374,2833561.599999999627471,2692156.119999999646097,11438458.819999998435378
FS( 140 ),3047372.799999999813735,2866112.740000000223517,2807502.099999999627471,2663371.600000000093132,11384359.240000000223517
FS( 141 ),3040664.799999999813735,2873202.060000000055879,2812714.000000000000000,2673096.100000000093132,11399676.959999999031425
FS( 142 ),3045762.880000000353903,2846870.299999999813735,2828697.159999999683350,2702269.600000000093132,11423599.939999999478459
FS( 143 ),3029663.680000000167638,2837755.459999999962747,2764069.599999999627471,2695656.939999999944121,11327145.679999999701977
FS( 144 ),3025907.199999999720603,2851427.720000000204891,2775883.239999999757856,2700324.700000000186265,11353542.859999999403954
FS( 145 ),3018125.920000000391155,2822564.060000000055879,2771366.259999999776483,2680486.719999999739230,11292542.960000000894070
FS( 146 ),3007393.120000000111759,2776989.860000000335276,2783874.819999999832362,2601134.800000000279397,11169392.600000001490116
FS( 147 ),3025370.560000000055879,2800283.339999999850988,2813408.919999999925494,2629141.360000000335276,11268204.179999999701977
FS( 148 ),3023760.640000000130385,2789142.979999999981374,2817925.899999999441206,2606191.540000000037253,11237021.059999998658895
FS( 149 ),3011149.600000000093132,2775470.720000000204891,2835298.899999999441206,2613582.160000000149012,11235501.379999998956919
FS( 150 ),3028858.719999999739230,2739011.360000000335276,2824875.099999999627471,2614360.119999999646097,11207105.299999998882413
FS( 151 ),3025102.239999999757856,2714198.740000000223517,2853714.279999999795109,2654814.040000000037253,11247829.300000000745058
FS( 152 ),3051397.600000000093132,2739517.740000000223517,2853366.819999999832362,2682042.640000000130385,11326324.800000000745058
FS( 153 ),3076888.000000000000000,2768887.779999999795109,2865875.379999999888241,2675818.960000000428408,11387470.120000001043081
FS( 154 ),3068838.400000000372529,2750151.720000000204891,2854409.200000000186265,2583241.719999999739230,11256641.039999999105930
FS( 155 ),3065081.920000000391155,2740530.500000000000000,2863443.159999999683350,2600356.839999999850988,11269412.419999999925494
FS( 156 ),3047104.479999999981374,2728377.379999999888241,2822442.879999999888241,2526061.660000000149012,11123986.399999998509884
FS( 157 ),3070716.640000000130385,2767368.639999999664724,2836341.279999999795109,2568071.500000000000000,11242498.059999998658895
FS( 158 ),3054349.120000000111759,2750658.100000000093132,2801247.819999999832362,2532285.339999999850988,11138540.380000000819564
FS( 159 ),3047909.439999999944121,2768381.399999999906868,2774493.399999999441206,2456434.239999999757856,11047218.479999998584390
FS( 160 ),3028053.759999999776483,2763823.979999999981374,2786307.039999999571592,2691767.140000000130385,11269951.919999999925494
FS( 161 ),3022419.040000000037253,2790662.120000000111759,2780400.219999999739230,2717439.819999999832362,11310921.199999999254942
FS( 162 ),3009539.680000000167638,2781040.899999999906868,2786654.500000000000000,2703436.540000000037253,11280671.620000001043081
FS( 163 ),3023760.640000000130385,2815474.740000000223517,2813408.919999999925494,2732221.060000000055879,11384865.360000001266599
FS( 164 ),3041469.759999999776483,2864593.600000000093132,2831129.379999999888241,2741556.580000000074506,11478749.319999998435378
FS( 165 ),3029395.360000000335276,2855478.759999999776483,2822095.419999999925494,2755948.839999999850988,11462918.379999998956919
FS( 166 ),3033688.479999999981374,2860036.179999999701977,2829392.080000000074506,2752059.040000000037253,11475175.780000001192093
FS( 167 ),3023760.640000000130385,2848895.819999999832362,2815841.140000000130385,2753225.979999999981374,11441723.580000000074506
FS( 168 ),3026175.520000000018626,2852440.479999999981374,2841900.640000000130385,2742334.540000000037253,11462851.179999999701977
FS( 169 ),3072058.239999999757856,2877253.100000000093132,2847460.000000000000000,2759838.640000000130385,11556609.980000000447035
FS( 170 ),3079302.880000000353903,2868138.259999999776483,2865527.919999999925494,2756726.800000000279397,11569695.860000001266599
FS( 171 ),3106403.199999999720603,2894976.399999999906868,2875951.719999999739230,2763728.439999999944121,11641059.759999999776483
FS( 172 ),3105329.920000000391155,2886367.939999999944121,2860316.019999999552965,2762950.479999999981374,11614964.359999999403954
FS( 173 ),3107208.160000000149012,2917763.500000000000000,2871782.200000000186265,2772674.979999999981374,11669428.839999999850988
FS( 174 ),3139406.560000000055879,2895482.779999999795109,2889850.119999999646097,2765284.360000000335276,11690023.820000000298023
FS( 175 ),3139674.880000000353903,2876746.720000000204891,2890892.500000000000000,2767229.260000000242144,11674543.360000001266599
FS( 176 ),3133771.840000000316650,2841300.120000000111759,2869002.519999999552965,2743501.479999999981374,11587575.960000000894070
FS( 177 ),3142626.400000000372529,2848389.439999999944121,2896104.399999999441206,2759838.640000000130385,11646958.879999998956919
FS( 178 ),3123575.680000000167638,2840287.360000000335276,2882206.000000000000000,2766451.300000000279397,11612520.340000001713634
FS( 179 ),3129747.040000000037253,2911686.939999999944121,2898189.159999999683350,2773452.939999999944121,11713076.080000000074506
FS( 180 ),3098621.920000000391155,2830159.759999999776483,2888460.279999999795109,2759838.640000000130385,11577080.599999999627471
FS( 181 ),3127063.840000000316650,2842819.259999999776483,2885333.140000000130385,2765673.339999999850988,11620889.580000000074506
FS( 182 ),3117404.320000000298023,2848389.439999999944121,2898189.159999999683350,2779676.619999999646097,11643659.539999999105930
FS( 183 ),3124917.279999999795109,2888393.459999999962747,2903748.519999999552965,2790957.040000000037253,11708016.300000000745058
FS( 184 ),3149602.719999999739230,2920801.779999999795109,2925985.959999999497086,2804571.339999999850988,11800961.799999998882413
FS( 185 ),3102646.719999999739230,2829653.379999999888241,2858231.259999999776483,2799125.619999999646097,11589656.979999998584390
FS( 186 ),3127332.160000000149012,2800789.720000000204891,2822442.879999999888241,2781232.540000000037253,11531797.300000000745058
FS( 187 ),3172409.920000000391155,2814461.979999999981374,2865180.459999999497086,2781621.520000000018626,11633673.879999998956919
FS( 188 ),3201925.120000000111759,2888899.839999999850988,2915562.159999999683350,2818574.619999999646097,11824961.739999998360872
FS( 189 ),3254784.160000000149012,2917257.120000000111759,2941969.119999999646097,2840357.500000000000000,11954367.900000000372529
FS( 190 ),3254515.840000000316650,2933967.659999999683350,2945791.179999999701977,2832188.919999999925494,11966463.599999999627471
FS( 191 ),3280811.199999999720603,2937005.939999999944121,2968723.539999999571592,2845025.260000000242144,12031565.939999999478459
FS( 192 ),3290739.040000000037253,2995746.019999999552965,2954477.679999999701977,2871475.899999999906868,12112438.639999998733401
FS( 193 ),3287250.880000000353903,2976503.580000000074506,2947528.479999999981374,2860195.479999999981374,12071478.420000001788139
FS( 194 ),3296373.759999999776483,3005367.240000000223517,2980189.719999999739230,2872253.860000000335276,12154184.579999998211861
FS( 195 ),3298520.320000000298023,3004860.860000000335276,2979494.799999999813735,2880811.419999999925494,12163687.400000000372529
FS( 196 ),3298252.000000000000000,3018026.740000000223517,2979494.799999999813735,2850082.000000000000000,12145855.539999999105930
FS( 197 ),3300398.560000000055879,3015494.839999999850988,2984359.239999999757856,2863696.300000000279397,12163948.940000001341105
FS( 198 ),3305228.320000000298023,3020558.639999999664724,2983664.319999999832362,2866808.140000000130385,12176259.419999999925494
FS( 199 ),3300398.560000000055879,3019545.879999999888241,2988528.759999999776483,2865641.200000000186265,12174114.399999998509884
FS( 200 ),3304155.040000000037253,2988656.700000000186265,2985749.080000000074506,2872253.860000000335276,12150814.679999999701977
FS( 201 ),3360770.560000000055879,2970427.019999999552965,2994088.119999999646097,2865252.219999999739230,12190537.919999998062849
FS( 202 ),3357819.040000000037253,2977009.959999999962747,2964554.019999999552965,2870308.960000000428408,12169691.980000000447035
FS( 203 ),3358087.360000000335276,2977009.959999999962747,2962469.259999999776483,2859806.500000000000000,12157373.080000000074506
FS( 204 ),3354867.520000000018626,2978529.100000000093132,2978452.419999999925494,2860973.439999999944121,12172822.479999998584390
FS( 205 ),3351111.040000000037253,2965363.220000000204891,2981232.099999999627471,2868753.040000000037253,12166459.399999998509884
FS( 206 ),3358087.360000000335276,2955235.620000000111759,2962816.719999999739230,2867975.080000000074506,12144114.779999999329448
FS( 207 ),3347891.199999999720603,2967388.740000000223517,2934672.459999999497086,2852026.899999999906868,12101979.299999998882413
FS( 208 ),3339573.279999999795109,2958780.279999999795109,2946833.560000000055879,2848915.060000000055879,12094102.179999999701977
FS( 209 ),3360233.920000000391155,2970427.019999999552965,2973935.439999999944121,2838412.600000000093132,12143008.979999998584390
FS( 210 ),3364795.360000000335276,2970427.019999999552965,3002427.159999999683350,2869919.979999999981374,12207569.519999999552965
FS( 211 ),3350037.759999999776483,2953716.479999999981374,3014588.259999999776483,2844636.279999999795109,12162978.779999999329448
FS( 212 ),3324547.360000000335276,2919282.639999999664724,2987138.919999999925494,2837245.660000000149012,12068214.580000000074506
FS( 213 ),3323474.080000000074506,2928903.860000000335276,2989918.599999999627471,2851248.939999999944121,12093545.479999998584390
FS( 214 ),3333670.239999999757856,3233744.620000000111759,2980537.179999999701977,2869142.020000000018626,12417094.059999998658895
FS( 215 ),3317839.360000000335276,3183106.620000000111759,2979842.259999999776483,2852804.860000000335276,12333593.100000001490116
FS( 216 ),3311936.320000000298023,3164370.560000000055879,2987833.839999999850988,2860584.460000000428408,12324725.180000001564622
FS( 217 ),3310058.080000000074506,3171966.259999999776483,2998952.560000000055879,2876532.640000000130385,12357509.540000000968575
FS( 218 ),3321059.199999999720603,3222097.879999999888241,3013545.879999999888241,2870697.939999999944121,12427400.900000000372529
FS( 219 ),3306301.600000000093132,3207919.240000000223517,3024317.140000000130385,2874198.760000000242144,12412736.740000000223517
FS( 220 ),3281884.479999999981374,3206400.100000000093132,3023622.219999999739230,2852026.899999999906868,12363933.700000001117587
FS( 221 ),3228757.120000000111759,3192221.459999999962747,3008333.979999999981374,2835300.760000000242144,12264613.320000000298023
FS( 222 ),3255052.479999999981374,3204880.959999999962747,3021537.459999999497086,2836856.680000000167638,12318327.579999998211861
FS( 223 ),3239221.600000000093132,3222097.879999999888241,3038215.539999999571592,2890146.939999999944121,12389681.959999999031425
FS( 224 ),3217756.000000000000000,3208425.620000000111759,3033698.560000000055879,2832188.919999999925494,12292069.099999999627471
FS( 225 ),3196558.719999999739230,3218046.839999999850988,3017715.399999999441206,2827910.140000000130385,12260231.099999999627471
FS( 226 ),3204876.640000000130385,3219565.979999999981374,3036825.700000000186265,2799514.600000000093132,12260782.919999999925494
FS( 227 ),3185289.279999999795109,3176523.679999999701977,3033698.560000000055879,2809628.080000000074506,12205139.599999999627471
FS( 228 ),3181532.799999999813735,3155762.100000000093132,3054198.700000000186265,2770341.100000000093132,12161834.700000001117587
FS( 229 ),3194143.840000000316650,3182600.240000000223517,3043079.979999999981374,2767229.260000000242144,12187053.320000000298023
FS( 230 ),3217756.000000000000000,3190702.319999999832362,3068097.099999999627471,2777342.740000000223517,12253898.160000000149012
