代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13591235.679999999701977
真實報酬,3591235.679999999701977

夏普值報酬,0.350423568000000
夏普值風險,0.114102485548428
夏普值,3.071130013651388

二次趨勢線,63.755677984963114 x^2 + 536.119661230534689 x + 10000000.000000000000000
二次平均預期報酬,16602.550513441241492
風險,389557.117496633203700
二次平均趨勢值,0.042619040360839
一次趨勢線,12561.986889575093301 x + 10000000.000000000000000
一次預期報酬,12561.986889575093301
一次風險,596183.990218196064234
一次趨勢值,0.021070654522235
找到最佳解世代,2048
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MRK[17](1),
FS( 62 ),9475277.600000001490116,9475277.600000001490116
FS( 63 ),9621132.640000000596046,9621132.640000000596046
FS( 64 ),9701175.039999999105930,9701175.039999999105930
FS( 65 ),9699396.320000000298023,9699396.320000000298023
FS( 66 ),9491286.080000000074506,9491286.080000000074506
FS( 67 ),9989327.679999999701977,9989327.679999999701977
FS( 68 ),10048025.440000001341105,10048025.440000001341105
FS( 69 ),9996442.560000000521541,9996442.560000000521541
FS( 70 ),10092493.440000001341105,10092493.440000001341105
FS( 71 ),10168978.400000000372529,10168978.400000000372529
FS( 72 ),10432228.959999999031425,10432228.959999999031425
FS( 73 ),10542509.600000001490116,10542509.600000001490116
FS( 74 ),10480254.400000000372529,10480254.400000000372529
FS( 75 ),10430450.240000000223517,10430450.240000000223517
FS( 76 ),10464245.919999999925494,10464245.919999999925494
FS( 77 ),10716824.160000000149012,10716824.160000000149012
FS( 78 ),10688364.640000000596046,10688364.640000000596046
FS( 79 ),10606543.520000001415610,10606543.520000001415610
FS( 80 ),10567411.679999999701977,10567411.679999999701977
FS( 81 ),10578084.000000000000000,10578084.000000000000000
FS( 82 ),10471360.799999998882413,10471360.799999998882413
FS( 83 ),10313054.719999998807907,10313054.719999998807907
FS( 84 ),10192101.759999999776483,10192101.759999999776483
FS( 85 ),10233012.320000000298023,10233012.320000000298023
FS( 86 ),10272144.160000000149012,10272144.160000000149012
FS( 87 ),10206331.520000001415610,10206331.520000001415610
FS( 88 ),10096050.879999998956919,10096050.879999998956919
FS( 89 ),10307718.560000000521541,10307718.560000000521541
FS( 90 ),10327284.480000000447035,10327284.480000000447035
FS( 91 ),10617215.839999999850988,10617215.839999999850988
FS( 92 ),10615437.119999999180436,10615437.119999999180436
FS( 93 ),10530058.560000000521541,10530058.560000000521541
FS( 94 ),10627888.160000000149012,10627888.160000000149012
FS( 95 ),10506935.200000001117587,10506935.200000001117587
FS( 96 ),10519386.240000000223517,10519386.240000000223517
FS( 97 ),10417999.200000001117587,10417999.200000001117587
FS( 98 ),10396654.560000000521541,10396654.560000000521541
FS( 99 ),10524722.400000000372529,10524722.400000000372529
FS( 100 ),10517607.520000001415610,10517607.520000001415610
FS( 101 ),10510492.640000000596046,10510492.640000000596046
FS( 102 ),10387760.959999999031425,10387760.959999999031425
FS( 103 ),10622552.000000000000000,10622552.000000000000000
FS( 104 ),10588756.320000000298023,10588756.320000000298023
FS( 105 ),10771964.480000000447035,10771964.480000000447035
FS( 106 ),11031657.600000001490116,11031657.600000001490116
FS( 107 ),10919598.240000000223517,10919598.240000000223517
FS( 108 ),11015649.119999999180436,11015649.119999999180436
FS( 109 ),11026321.440000001341105,11026321.440000001341105
FS( 110 ),11131265.919999999925494,11131265.919999999925494
FS( 111 ),11086797.919999999925494,11086797.919999999925494
FS( 112 ),11106363.839999999850988,11106363.839999999850988
FS( 113 ),11133044.640000000596046,11133044.640000000596046
FS( 114 ),10949836.480000000447035,10949836.480000000447035
FS( 115 ),11033436.320000000298023,11033436.320000000298023
FS( 116 ),10848449.440000001341105,10848449.440000001341105
FS( 117 ),10855564.320000000298023,10855564.320000000298023
FS( 118 ),10900032.320000000298023,10900032.320000000298023
FS( 119 ),10882245.119999999180436,10882245.119999999180436
FS( 120 ),10933828.000000000000000,10933828.000000000000000
FS( 121 ),10864457.919999999925494,10864457.919999999925494
FS( 122 ),10800424.000000000000000,10800424.000000000000000
FS( 123 ),10651011.520000001415610,10651011.520000001415610
FS( 124 ),10725717.759999999776483,10725717.759999999776483
FS( 125 ),10796866.560000000521541,10796866.560000000521541
FS( 126 ),10754177.280000001192093,10754177.280000001192093
FS( 127 ),10798645.280000001192093,10798645.280000001192093
FS( 128 ),10964066.240000000223517,10964066.240000000223517
FS( 129 ),11063674.560000000521541,11063674.560000000521541
FS( 130 ),11031657.600000001490116,11031657.600000001490116
FS( 131 ),11081461.759999999776483,11081461.759999999776483
FS( 132 ),11010312.959999999031425,11010312.959999999031425
FS( 133 ),11145495.679999999701977,11145495.679999999701977
FS( 134 ),11186406.240000000223517,11186406.240000000223517
FS( 135 ),11133044.640000000596046,11133044.640000000596046
FS( 136 ),11122372.320000000298023,11122372.320000000298023
FS( 137 ),11195299.839999999850988,11195299.839999999850988
FS( 138 ),11118814.879999998956919,11118814.879999998956919
FS( 139 ),11120593.600000001490116,11120593.600000001490116
FS( 140 ),11150831.839999999850988,11150831.839999999850988
FS( 141 ),11280678.400000000372529,11280678.400000000372529
FS( 142 ),11471001.439999999478459,11471001.439999999478459
FS( 143 ),11385622.880000000819564,11385622.880000000819564
FS( 144 ),11293129.440000001341105,11293129.440000001341105
FS( 145 ),11527920.480000000447035,11527920.480000000447035
FS( 146 ),11716464.800000000745058,11716464.800000000745058
FS( 147 ),11648873.439999999478459,11648873.439999999478459
FS( 148 ),11600848.000000000000000,11600848.000000000000000
FS( 149 ),11727137.120000001043081,11727137.120000001043081
FS( 150 ),11778720.000000000000000,11778720.000000000000000
FS( 151 ),11842753.919999999925494,11842753.919999999925494
FS( 152 ),11862319.839999999850988,11862319.839999999850988
FS( 153 ),11739588.160000000149012,11739588.160000000149012
FS( 154 ),11752039.199999999254942,11752039.199999999254942
FS( 155 ),11867656.000000000000000,11867656.000000000000000
FS( 156 ),11821409.279999999329448,11821409.279999999329448
FS( 157 ),11983272.800000000745058,11983272.800000000745058
FS( 158 ),12246523.359999999403954,12246523.359999999403954
FS( 159 ),12283876.480000000447035,12283876.480000000447035
FS( 160 ),12481314.400000000372529,12481314.400000000372529
FS( 161 ),12303442.400000000372529,12303442.400000000372529
FS( 162 ),12280319.040000000968575,12280319.040000000968575
FS( 163 ),12267868.000000000000000,12267868.000000000000000
FS( 164 ),12280319.040000000968575,12280319.040000000968575
FS( 165 ),12271425.439999999478459,12271425.439999999478459
FS( 166 ),12207391.519999999552965,12207391.519999999552965
FS( 167 ),12239408.480000000447035,12239408.480000000447035
FS( 168 ),12191383.040000000968575,12191383.040000000968575
FS( 169 ),12200276.640000000596046,12200276.640000000596046
FS( 170 ),12086438.560000000521541,12086438.560000000521541
FS( 171 ),12205612.800000000745058,12205612.800000000745058
FS( 172 ),12340795.519999999552965,12340795.519999999552965
FS( 173 ),12392378.400000000372529,12392378.400000000372529
FS( 174 ),12372812.480000000447035,12372812.480000000447035
FS( 175 ),12287433.919999999925494,12287433.919999999925494
FS( 176 ),12426174.080000000074506,12426174.080000000074506
FS( 177 ),12598709.919999999925494,12598709.919999999925494
FS( 178 ),12447518.720000000670552,12447518.720000000670552
FS( 179 ),12525782.400000000372529,12525782.400000000372529
FS( 180 ),12525782.400000000372529,12525782.400000000372529
FS( 181 ),12447518.720000000670552,12447518.720000000670552
FS( 182 ),12589816.320000000298023,12589816.320000000298023
FS( 183 ),12646735.359999999403954,12646735.359999999403954
FS( 184 ),12589816.320000000298023,12589816.320000000298023
FS( 185 ),12566692.960000000894070,12566692.960000000894070
FS( 186 ),12509773.919999999925494,12509773.919999999925494
FS( 187 ),12579144.000000000000000,12579144.000000000000000
FS( 188 ),12618275.839999999850988,12618275.839999999850988
FS( 189 ),12723220.320000000298023,12723220.320000000298023
FS( 190 ),12762352.160000000149012,12762352.160000000149012
FS( 191 ),12694760.800000000745058,12694760.800000000745058
FS( 192 ),12668080.000000000000000,12668080.000000000000000
FS( 193 ),12634284.320000000298023,12634284.320000000298023
FS( 194 ),12710769.279999999329448,12710769.279999999329448
FS( 195 ),12867296.640000000596046,12867296.640000000596046
FS( 196 ),12531118.560000000521541,12531118.560000000521541
FS( 197 ),12161144.800000000745058,12161144.800000000745058
FS( 198 ),12417280.480000000447035,12417280.480000000447035
FS( 199 ),12355025.279999999329448,12355025.279999999329448
FS( 200 ),12668080.000000000000000,12668080.000000000000000
FS( 201 ),12774803.199999999254942,12774803.199999999254942
FS( 202 ),12844173.279999999329448,12844173.279999999329448
FS( 203 ),12869075.359999999403954,12869075.359999999403954
FS( 204 ),12908207.199999999254942,12908207.199999999254942
FS( 205 ),12824607.359999999403954,12824607.359999999403954
FS( 206 ),12547127.040000000968575,12547127.040000000968575
FS( 207 ),12443961.279999999329448,12443961.279999999329448
FS( 208 ),12522224.960000000894070,12522224.960000000894070
FS( 209 ),12708990.560000000521541,12708990.560000000521541
FS( 210 ),12961568.800000000745058,12961568.800000000745058
FS( 211 ),13093194.080000000074506,13093194.080000000074506
FS( 212 ),13006036.800000000745058,13006036.800000000745058
FS( 213 ),12854845.599999999627471,12854845.599999999627471
FS( 214 ),13006036.800000000745058,13006036.800000000745058
FS( 215 ),13039832.480000000447035,13039832.480000000447035
FS( 216 ),13354665.919999999925494,13354665.919999999925494
FS( 217 ),13425814.720000000670552,13425814.720000000670552
FS( 218 ),13315534.080000000074506,13315534.080000000074506
FS( 219 ),13285295.839999999850988,13285295.839999999850988
FS( 220 ),13271066.080000000074506,13271066.080000000074506
FS( 221 ),13178572.640000000596046,13178572.640000000596046
FS( 222 ),13311976.640000000596046,13311976.640000000596046
FS( 223 ),13528980.480000000447035,13528980.480000000447035
FS( 224 ),13580563.359999999403954,13580563.359999999403954
FS( 225 ),13301304.320000000298023,13301304.320000000298023
FS( 226 ),13303083.040000000968575,13303083.040000000968575
FS( 227 ),13281738.400000000372529,13281738.400000000372529
FS( 228 ),13418699.839999999850988,13418699.839999999850988
FS( 229 ),13578784.640000000596046,13578784.640000000596046
FS( 230 ),13737090.720000000670552,13737090.720000000670552
FS( 231 ),13858043.679999999701977,13858043.679999999701977
FS( 232 ),14112400.640000000596046,14112400.640000000596046
FS( 233 ),14091056.000000000000000,14091056.000000000000000
FS( 234 ),13911405.279999999329448,13911405.279999999329448
FS( 235 ),13939864.800000000745058,13939864.800000000745058
FS( 236 ),13646376.000000000000000,13646376.000000000000000
FS( 237 ),13770886.400000000372529,13770886.400000000372529
FS( 238 ),13715746.080000000074506,13715746.080000000074506
FS( 239 ),13875830.880000000819564,13875830.880000000819564
FS( 240 ),14053702.880000000819564,14053702.880000000819564
FS( 241 ),13603686.720000000670552,13603686.720000000670552
FS( 242 ),13381346.720000000670552,13381346.720000000670552
FS( 243 ),13221261.919999999925494,13221261.919999999925494
FS( 244 ),13121653.599999999627471,13121653.599999999627471
FS( 245 ),13071849.439999999478459,13071849.439999999478459
FS( 246 ),12966904.960000000894070,12966904.960000000894070
FS( 247 ),12655628.960000000894070,12655628.960000000894070
FS( 248 ),13162564.160000000149012,13162564.160000000149012
FS( 249 ),13408027.519999999552965,13408027.519999999552965
FS( 250 ),13406248.800000000745058,13406248.800000000745058
FS( 251 ),13591235.679999999701977,13591235.679999999701977
