代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,20112887.800000004470348
真實報酬,10112887.800000004470348

夏普值報酬,1.002588780000001
夏普值風險,0.208130201712286
夏普值,4.817122992010334

預期報酬,40782.849168354106951
風險,572154.973497107042931
趨勢值,0.071279375444528
找到最佳解世代,2484
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),IBM[10](2),
20090220,5340163.880000000819564,5275068.300000000745058,10615232.180000001564622
20090223,5090163.920000000856817,5012476.100000000558794,10102640.020000001415610
20090224,5282786.840000000782311,5133078.400000000372529,10415865.240000002086163
20090225,5336065.520000000484288,5103373.400000000372529,10439438.920000001788139
20090226,5221311.440000000409782,5285762.100000000558794,10507073.540000000968575
20090227,5229508.160000001080334,5467556.700000000186265,10697064.860000001266599
20090302,5147540.960000000894070,5290514.900000000372529,10438055.860000001266599
20090303,5172131.120000000111759,5214470.100000000558794,10386601.220000000670552
20090304,5336065.520000000484288,5316655.299999999813735,10652720.820000000298023
20090305,5200819.640000000596046,5197241.200000000186265,10398060.839999999850988
20090306,4995901.640000000596046,5098026.500000000931323,10093928.140000000596046
20090309,4864754.120000000111759,4959601.200000000186265,9824355.320000000298023
20090310,5188524.560000000521541,5183576.900000000372529,10372101.460000000894070
20090311,5426229.440000000409782,5264968.600000000558794,10691198.040000000968575
20090312,5639344.160000001080334,5370718.400000000372529,11010062.560000002384186
20090313,5614754.000000000000000,5368342.000000000000000,10983096.000000000000000
20090316,5586065.480000001378357,5419434.600000000558794,11005500.080000001937151
20090317,5836065.440000000409782,5519837.500000000000000,11355902.940000001341105
20090318,5942622.800000000745058,5462803.900000000372529,11405426.700000001117587
20090319,5950819.520000000484288,5504985.000000000000000,11455804.519999999552965
20090320,5946721.160000001080334,5496073.500000000931323,11442794.660000002011657
20090323,6303278.480000001378357,5864415.500000000000000,12167693.980000000447035
20090324,6233606.360000001266599,5840057.400000000372529,12073663.760000001639128
20090325,6233606.360000001266599,5819263.900000000372529,12052870.260000001639128
20090326,6434426.000000000000000,5868574.200000000186265,12303000.199999999254942
20090327,6254098.160000001080334,5593505.900000000372529,11847604.060000002384186
20090330,6118852.280000000260770,5615487.600000000558794,11734339.880000000819564
20090331,6155737.520000000484288,5756289.300000000745058,11912026.820000000298023
20090401,6364753.880000000819564,5799064.500000000000000,12163818.380000000819564
20090402,6598360.400000001303852,5989770.599999999627471,12588131.000000000000000
20090403,6790983.320000001229346,6072944.600000000558794,12863927.920000001788139
20090406,6934425.920000001788139,6033734.000000000931323,12968159.920000001788139
20090407,6733606.280000000260770,5866791.900000000372529,12600398.179999999701977
20090408,6811475.120000001043081,6011752.299999999813735,12823227.420000001788139
20090409,6999999.679999999701977,6042051.400000000372529,13042051.080000000074506
20090413,7036884.920000001788139,5938083.900000000372529,12974968.820000002160668
20090414,6926229.200000000186265,5897685.100000000558794,12823914.300000000745058
20090415,6889343.959999999962747,5872732.900000000372529,12762076.859999999403954
20090416,7110655.400000001303852,6026010.700000001117587,13136666.100000001490116
20090417,7225409.480000000447035,6016505.100000000558794,13241914.580000001937151
20090420,7053278.360000001266599,5966600.700000001117587,13019879.060000002384186
20090421,7127048.840000000782311,6078291.500000000931323,13205340.340000001713634
20090422,7114753.760000000707805,6092549.900000000372529,13207303.660000000149012
20090423,7340163.560000000521541,6025416.600000000558794,13365580.160000000149012
20090424,7254098.000000000000000,5945807.200000000186265,13199905.199999999254942
20090427,7303278.320000001229346,5938083.900000000372529,13241362.220000002533197
20090428,7254098.000000000000000,6056309.799999999813735,13310407.800000000745058
20090429,7327868.480000000447035,6181070.800000000745058,13508939.280000001192093
20090430,7368852.080000001005828,6131760.500000000000000,13500612.580000001937151
20090501,7450819.280000000260770,6214934.500000000000000,13665753.780000001192093
20090504,7733606.120000001043081,6308802.299999999813735,14042408.420000001788139
20090505,7770491.360000001266599,6288602.900000000372529,14059094.260000001639128
20090506,7758196.280000000260770,6215528.600000000558794,13973724.880000000819564
20090507,7557376.640000001527369,6094926.300000000745058,13652302.940000001341105
20090508,7565573.360000001266599,6029575.299999999813735,13595148.660000000149012
20090511,7586065.160000001080334,6113343.400000000372529,13699408.560000002384186
20090512,7282786.520000000484288,6175129.799999999813735,13457916.320000000298023
20090513,6995901.320000001229346,6075321.000000000931323,13071222.320000002160668
20090514,7196720.959999999962747,6003434.900000000372529,13200155.859999999403954
20090515,7168032.440000000409782,6022446.100000000558794,13190478.540000000968575
20090518,7413934.040000000968575,6213152.200000000186265,13627086.240000002086163
20090519,7463114.360000001266599,6268403.500000000931323,13731517.860000003129244
20090520,7368852.080000001005828,6181664.900000000372529,13550516.980000000447035
20090521,7270491.440000000409782,6108590.599999999627471,13379082.039999999105930
20090522,7172130.800000000745058,6053339.300000000745058,13225470.100000001490116
20090526,7655737.280000000260770,6239292.600000000558794,13895029.880000000819564
20090527,7790983.160000001080334,6115125.700000001117587,13906108.860000003129244
20090528,7909835.600000001490116,6219687.299999999813735,14129522.900000002235174
20090529,7950819.200000000186265,6314149.200000000186265,14264968.400000000372529
20090601,8159835.560000000521541,6438316.100000000558794,14598151.660000000149012
20090602,8168032.280000000260770,6346824.700000000186265,14514856.980000000447035
20090603,8254097.840000000782311,6326625.299999999813735,14580723.140000000596046
20090604,8413933.880000000819564,6317119.700000000186265,14731053.580000001937151
20090605,8471310.920000001788139,6371182.799999999813735,14842493.720000002533197
20090608,8422130.600000001490116,6386035.299999999813735,14808165.900000002235174
20090609,8356556.840000000782311,6424651.800000000745058,14781208.640000000596046
20090610,8213114.240000000223517,6437127.900000000372529,14650242.140000000596046
20090611,8192622.440000000409782,6499508.400000000372529,14692130.839999999850988
20090612,8020491.320000001229346,6428810.500000000000000,14449301.820000000298023
20090615,7967212.640000001527369,6393758.600000000558794,14360971.240000002086163
20090616,7983606.080000001005828,6375935.599999999627471,14359541.679999999701977
20090617,7938524.120000001043081,6356924.400000000372529,14295448.520000001415610
20090618,7954917.560000000521541,6317119.700000000186265,14272037.260000001639128
20090619,8168032.280000000260770,6290979.300000000745058,14459011.580000001937151
20090622,8040983.120000001043081,6209587.600000000558794,14250570.720000002533197
20090623,7844261.840000000782311,6204834.799999999813735,14049096.640000000596046
20090624,7975409.360000001266599,6187605.900000000372529,14163015.260000001639128
20090625,8188524.080000001005828,6301079.000000000931323,14489603.080000001937151
20090626,8340163.400000001303852,6278503.200000001117587,14618666.600000001490116
20090629,8311474.880000000819564,6287414.700000000186265,14598889.580000001937151
20090630,8340163.400000001303852,6203646.600000000558794,14543810.000000001862645
20090701,8360655.200000000186265,6228598.800000000745058,14589254.000000000000000
20090702,8196720.800000000745058,6043833.700000000186265,14240554.500000000000000
20090706,8114753.600000001490116,6039080.900000000372529,14153834.500000001862645
20090707,7926229.040000000968575,5952342.299999999813735,13878571.339999999850988
20090708,8032786.400000001303852,5981453.200000001117587,14014239.600000001490116
20090709,7983606.080000001005828,6064627.200000000186265,14048233.280000001192093
20090710,8110655.240000000223517,5990364.700000000186265,14101019.940000001341105
20090713,8331966.679999999701977,6156118.600000000558794,14488085.280000001192093
20090714,8327868.320000001229346,6134136.900000000372529,14462005.220000002533197
20090715,8598360.080000000074506,6369994.600000000558794,14968354.679999999701977
20090716,8635245.320000000298023,6573176.800000000745058,15208422.120000001043081
20090717,8885245.280000001192093,6857156.600000000558794,15742401.880000002682209
20090720,8950819.040000000968575,6917754.799999999813735,15868573.839999999850988
20090721,8868851.840000001713634,6953400.800000000745058,15822252.640000002458692
20090722,9176228.840000001713634,6866068.099999999627471,16042296.940000001341105
20090723,9241802.600000001490116,6954589.000000000931323,16196391.600000001490116
20090724,9368851.759999999776483,6989046.800000000745058,16357898.560000000521541
20090727,9372950.120000001043081,6988452.700000000186265,16361402.820000000298023
20090728,9368851.759999999776483,6967659.200000000186265,16336510.960000000894070
20090729,9368851.759999999776483,6966471.000000000931323,16335322.760000001639128
20090730,9532786.160000002011657,7002117.000000000000000,16534903.160000002011657
20090731,9565573.040000000968575,7006275.700000001117587,16571848.740000002086163
20090803,9745900.880000000819564,7124501.600000000558794,16870402.480000000447035
20090804,9692622.199999999254942,7105490.400000000372529,16798112.600000001490116
20090805,9668032.040000000968575,7038357.100000000558794,16706389.140000000596046
20090806,9598359.920000001788139,6973600.200000000186265,16571960.120000001043081
20090807,9688523.840000001713634,7089449.700000000186265,16777973.540000002831221
20090810,9643441.880000000819564,7052021.400000000372529,16695463.280000001192093
20090811,9532786.160000002011657,6997958.300000000745058,16530744.460000002756715
20090812,9680327.120000001043081,7087073.300000000745058,16767400.420000001788139
20090813,9860654.960000000894070,7104302.200000000186265,16964957.160000000149012
20090814,9766392.679999999701977,7044298.099999999627471,16810690.780000001192093
20090817,9344261.600000001490116,6942707.000000000000000,16286968.600000001490116
20090818,9602458.280000001192093,6988452.700000000186265,16590910.980000000447035
20090819,9635245.160000002011657,7044298.099999999627471,16679543.260000001639128
20090820,9737704.160000002011657,7066873.900000000372529,16804578.060000002384186
20090821,9905736.920000001788139,7123313.400000000372529,17029050.320000000298023
20090824,9897540.199999999254942,7088855.599999999627471,16986395.799999997019768
20090825,9918032.000000000000000,7059744.700000000186265,16977776.699999999254942
20090826,9803277.920000001788139,7097767.100000000558794,16901045.020000003278255
20090827,9922130.360000001266599,7095390.700000001117587,17017521.060000002384186
20090828,9954917.240000000223517,7023504.600000000558794,16978421.839999999850988
20090831,9848359.880000000819564,7013404.900000000372529,16861764.780000001192093
20090901,9676228.759999999776483,6932607.299999999813735,16608836.059999998658895
20090902,9672130.400000002235174,6896961.300000000745058,16569091.700000002980232
20090903,9749999.240000000223517,6911219.700000000186265,16661218.940000001341105
20090904,9971310.679999999701977,6978353.000000000000000,16949663.679999999701977
20090908,10122950.000000000000000,6960530.000000000000000,17083480.000000000000000
20090909,10020491.000000000000000,6936766.000000000931323,16957257.000000000000000
20090910,10102458.199999999254942,6990829.100000000558794,17093287.300000000745058
20090911,10077868.040000000968575,7013404.900000000372529,17091272.940000001341105
20090914,10172130.320000000298023,7062715.200000000186265,17234845.519999999552965
20090915,10254097.520000001415610,7090637.900000000372529,17344735.420000001788139
20090916,10647540.080000000074506,7237380.599999999627471,17884920.679999999701977
20090917,10803277.759999999776483,7240945.200000000186265,18044222.960000000894070
20090918,10831966.280000001192093,7254609.500000000000000,18086575.780000001192093
20090921,10774589.240000000223517,7222528.099999999627471,17997117.339999999850988
20090922,10799179.400000002235174,7224904.500000000000000,18024083.900000002235174
20090923,10860654.800000000745058,7177970.599999999627471,18038625.399999998509884
20090924,10762294.160000002011657,7185099.799999999813735,17947393.960000000894070
20090925,10676228.600000001490116,7193417.200000000186265,17869645.800000000745058
20090928,10897540.040000000968575,7089449.700000000186265,17986989.740000002086163
20090929,10852458.080000000074506,7058556.500000000931323,17911014.580000001937151
20090930,10852458.080000000074506,7106084.500000000000000,17958542.579999998211861
20091001,10590163.040000000968575,7004493.400000000372529,17594656.440000001341105
20091002,10823769.560000000521541,7071032.600000000558794,17894802.160000000149012
20091005,10889343.320000000298023,7114401.900000000372529,18003745.219999998807907
20091006,11122949.840000001713634,7209457.900000000372529,18332407.740000002086163
20091007,11139343.280000001192093,7294414.200000000186265,18433757.480000000447035
20091008,11081966.240000000223517,7265303.300000000745058,18347269.539999999105930
20091009,11151638.360000001266599,7481555.700000001117587,18633194.060000002384186
20091012,11172130.160000002011657,7547500.800000000745058,18719630.960000000894070
20091013,11127048.199999999254942,7546312.600000000558794,18673360.800000000745058
20091014,11200818.679999999701977,7625327.900000000372529,18826146.579999998211861
20091015,11155736.720000000670552,7603346.200000000186265,18759082.920000001788139
20091016,11008195.759999999776483,7226686.800000000745058,18234882.560000002384186
20091019,11114753.120000001043081,7311049.000000000931323,18425802.120000001043081
20091020,11635244.840000001713634,7296790.599999999627471,18932035.440000001341105
20091021,11995900.520000001415610,7180941.100000000558794,19176841.620000001043081
20091022,12012293.960000000894070,7289067.299999999813735,19301361.260000001639128
20091023,11938523.480000000447035,7150642.000000000000000,19089165.480000000447035
20091026,11856556.280000001192093,7135789.500000000000000,18992345.780000001192093
20091027,11557376.000000000000000,7167870.900000000372529,18725246.899999998509884
20091028,11266392.439999999478459,7218369.400000000372529,18484761.839999999850988
20091029,11495900.600000001490116,7299761.100000000558794,18795661.700000002980232
20091030,11036884.280000001192093,7165494.500000000000000,18202378.780000001192093
20091102,11081966.240000000223517,7162524.000000000931323,18244490.240000002086163
20091103,11049179.360000001266599,7198170.000000000000000,18247349.359999999403954
20091104,11172130.160000002011657,7205893.300000000745058,18378023.460000000894070
20091105,11360654.720000000670552,7313425.400000000372529,18674080.120000001043081
20091106,11377048.160000002011657,7336595.299999999813735,18713643.460000000894070
20091109,11795080.880000000819564,7485714.400000000372529,19280795.280000001192093
20091110,11885244.800000000745058,7539777.500000000000000,19425022.300000000745058
20091111,11901638.240000000223517,7556412.299999999813735,19458050.539999999105930
20091112,11827867.759999999776483,7501161.000000000931323,19329028.760000001639128
20091113,11971310.360000001266599,7546906.700000000186265,19518217.060000002384186
20091116,12098359.520000001415610,7617010.500000000931323,19715370.020000003278255
20091117,12118851.320000000298023,7641962.700000000186265,19760814.019999999552965
20091118,12057375.920000001788139,7613445.900000000372529,19670821.820000000298023
20091119,11737703.840000001713634,7577205.800000000745058,19314909.640000000596046
20091120,11704916.960000000894070,7542748.000000000000000,19247664.960000000894070
20091123,12053277.560000000521541,7616416.399999999441206,19669693.960000000894070
20091124,11971310.360000001266599,7600375.700000001117587,19571686.060000002384186
20091125,11954916.920000001788139,7561759.200000000186265,19516676.120000001043081
20091127,11745900.560000000521541,7467891.400000000372529,19213791.960000000894070
20091130,11704916.960000000894070,7506507.900000000372529,19211424.859999999403954
20091201,11532785.840000001713634,7600969.799999999813735,19133755.640000000596046
20091202,11487703.880000000819564,7557600.500000000000000,19045304.380000002682209
20091203,11504097.320000000298023,7577799.900000000372529,19081897.219999998807907
20091204,11319671.120000001043081,7559976.900000000372529,18879648.020000003278255
20091207,11061474.439999999478459,7547500.800000000745058,18608975.240000002086163
20091208,11114753.120000001043081,7533242.400000000372529,18647995.520000003278255
20091209,11581966.160000002011657,7627704.299999999813735,19209670.460000000894070
20091210,11499998.960000000894070,7684143.800000000745058,19184142.760000001639128
20091211,11397539.960000000894070,7704343.200000001117587,19101883.160000003874302
20091214,11532785.840000001713634,7719195.700000001117587,19251981.540000002831221
20091215,11368851.439999999478459,7633645.300000000745058,19002496.740000002086163
20091216,11418031.759999999776483,7646715.500000000931323,19064747.260000001639128
20091217,11233605.560000000521541,7568888.400000000372529,18802493.960000000894070
20091218,11442621.920000001788139,7599187.500000000000000,19041809.420000001788139
20091221,11606556.320000000298023,7643150.900000000372529,19249707.219999998807907
20091222,11729507.120000001043081,7719195.700000001117587,19448702.820000000298023
20091223,11831966.120000001043081,7723354.400000000372529,19555320.520000003278255
20091224,12237703.759999999776483,7757218.099999999627471,19994921.859999999403954
20091228,12389343.080000000074506,7860591.500000000931323,20249934.580000001937151
20091229,12241802.120000001043081,7833262.900000000372529,20075065.020000003278255
20091230,12389343.080000000074506,7876038.099999999627471,20265381.179999999701977
20091231,12336064.400000002235174,7776823.400000000372529,20112887.800000004470348
