代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11386143.929999999701977
真實報酬,1386143.929999999701977

夏普值報酬,0.129914393000000
夏普值風險,0.037192629846780
夏普值,3.493014436870933

二次趨勢線,160.371358457184868 x^2 + 11314.326152421268489 x + 10000000.000000000000000
二次加權預期報酬,24892.434501796255063
風險,67281.498762305243872
二次加權趨勢值,0.369974435167344
一次趨勢線,18951.538561468882108 x + 10000000.000000000000000
一次預期報酬,18951.538561468882108
一次風險,98957.744043410973973
一次趨勢值,0.191511424847713
找到最佳解世代,2173
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](11),MRK[17](23),MSFT[18](3),NKE[19](1),XOM[29](4),
FS( 54 ),2148995.600000000093132,2036432.179999999934807,2373900.600000000558794,2464071.679999999701977,2186337.759999999776483,11209737.820000000298023
FS( 55 ),2122921.370000000111759,2033890.399999999906868,2333750.200000000186265,2444165.120000000111759,2190468.399999999906868,11125195.490000000223517
FS( 56 ),2126646.260000000242144,2036432.179999999934807,2304892.099999999627471,2420526.080000000074506,2189779.959999999962747,11078276.580000001937151
FS( 57 ),2108021.810000000055879,2038973.960000000195578,2326222.000000000000000,2421148.160000000149012,2172798.439999999944121,11067164.369999999180436
FS( 58 ),2133236.450000000186265,2059731.829999999841675,2346297.200000000186265,2429235.200000000186265,2173027.919999999925494,11141528.599999999627471
FS( 59 ),2127792.380000000353903,2073287.989999999990687,2356962.150000000372529,2453496.320000000298023,2180371.279999999795109,11191910.119999999180436
FS( 60 ),2143838.060000000055879,2103789.350000000093132,2361353.599999999627471,2461583.360000000335276,2182207.120000000111759,11252771.490000002086163
FS( 61 ),2183379.200000000186265,2100400.310000000055879,2343160.450000000186265,2475891.200000000186265,2163389.759999999776483,11266220.919999999925494
FS( 62 ),2234668.069999999832362,2110991.060000000055879,2358844.200000000186265,2467804.160000000149012,2152604.199999999720603,11324911.689999999478459
FS( 63 ),2276214.919999999925494,2110991.060000000055879,2392093.750000000000000,2461583.360000000335276,2145260.839999999850988,11386143.929999999701977
