代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11254235.939999997615814
真實報酬,1254235.939999997615814

夏普值報酬,0.116723594000000
夏普值風險,0.036319608519560
夏普值,3.213789981715780

二次趨勢線,241.572912249450667 x^2 + 4113.078082110651849 x + 10000000.000000000000000
二次加權預期報酬,24888.348535563411133
風險,73955.796092969452729
二次加權趨勢值,0.336530060528000
一次趨勢線,15798.465465339890216 x + 10000000.000000000000000
一次預期報酬,15798.465465339890216
一次風險,134859.664986212475924
一次趨勢值,0.117147447066216
找到最佳解世代,1627
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),DD[7](13),GS[8](2),MRK[17](10),XOM[29](1),
FS( 10 ),2032993.500000000000000,2130861.919999999925494,2005785.880000000121072,1918342.339999999850988,2037207.999999999767169,10125191.639999998733401
FS( 11 ),2043895.699999999953434,2110701.120000000111759,1982768.139999999897555,1910956.219999999972060,2018371.450000000186265,10066692.629999998956919
FS( 12 ),2053937.200000000186265,2146990.559999999590218,2040878.500000000000000,1935576.619999999878928,2030464.050000000046566,10207846.929999999701977
FS( 13 ),2067708.399999999906868,2160553.280000000260770,1991446.959999999962747,1933114.579999999841675,2034417.400000000139698,10187240.619999999180436
FS( 14 ),2085783.100000000093132,2156521.120000000111759,1996100.820000000065193,1912597.579999999841675,2036045.250000000000000,10187047.870000001043081
FS( 15 ),2136851.300000000279397,2159087.040000000037253,2009685.060000000055879,1908494.179999999701977,2028603.650000000139698,10242721.230000000447035
FS( 16 ),2130826.399999999906868,2168984.160000000149012,2003144.500000000000000,1906852.819999999832362,2046044.900000000139698,10255852.780000001192093
FS( 17 ),2151483.199999999720603,2142225.280000000260770,1984151.720000000204891,1910545.879999999888241,2037440.550000000046566,10225846.630000000819564
FS( 18 ),2180173.199999999720603,2120598.240000000223517,2012074.880000000121072,1896594.319999999832362,2056277.100000000093132,10265717.739999998360872
FS( 19 ),2155786.700000000186265,2063048.319999999832362,2038866.020000000018626,1909725.199999999720603,2045812.349999999860302,10213238.589999997988343
FS( 20 ),2171853.100000000093132,2041787.840000000083819,2030816.099999999860302,1860894.739999999990687,2051858.650000000139698,10157210.429999999701977
FS( 21 ),2117629.000000000000000,2059749.279999999795109,2039117.580000000074506,1870332.559999999823049,2068137.150000000139698,10154965.569999998435378
FS( 22 ),2151483.199999999720603,2049485.599999999860302,2038362.900000000139698,1856381.000000000000000,2065346.550000000046566,10161059.250000000000000
FS( 23 ),2142302.400000000372529,2060482.399999999906868,2023395.080000000074506,1850225.899999999906868,2084183.100000000093132,10160588.880000000819564
FS( 24 ),2131400.200000000186265,2033356.959999999962747,2038362.900000000139698,1855970.659999999683350,2088834.099999999860302,10147924.820000000298023
FS( 25 ),2158942.600000000093132,2004765.279999999795109,2052324.479999999981374,1876077.319999999832362,2141855.500000000000000,10233965.179999999701977
FS( 26 ),2153491.500000000000000,2021260.479999999981374,2037105.099999999860302,1861305.079999999841675,2139297.449999999720603,10212459.609999999403954
FS( 27 ),2135129.900000000372529,2049485.599999999860302,2056852.560000000055879,1885925.479999999981374,2167901.100000000093132,10295294.640000000596046
FS( 28 ),2100415.000000000000000,2018694.559999999823049,2008049.919999999925494,1880180.719999999972060,2138599.799999999813735,10145940.000000000000000
FS( 29 ),2133695.400000000372529,2070746.080000000074506,2052450.259999999776483,1920394.039999999804422,2156506.149999999906868,10333791.929999999701977
FS( 30 ),2127383.600000000093132,2070379.519999999785796,2060877.520000000018626,1928600.839999999850988,2161854.799999999813735,10349096.280000001192093
FS( 31 ),2131400.200000000186265,2053517.760000000009313,2048928.419999999925494,1952810.899999999906868,2155110.850000000093132,10341768.129999998956919
FS( 32 ),2133982.299999999813735,2067080.479999999981374,2049557.320000000065193,1942552.399999999906868,2153250.450000000186265,10346422.949999999254942
FS( 33 ),2164680.600000000093132,2093472.799999999813735,2052827.599999999860302,1962248.719999999972060,2167901.100000000093132,10441130.820000000298023
FS( 34 ),2151770.100000000093132,2100070.879999999888241,2067921.200000000186265,1972507.219999999972060,2215573.850000000093132,10507843.250000000000000
FS( 35 ),2125662.200000000186265,2081376.319999999832362,2084021.040000000037253,1970045.179999999701977,2219759.750000000000000,10480864.489999998360872
FS( 36 ),2129391.899999999906868,2072578.879999999888241,2095592.799999999813735,1972507.219999999972060,2219062.100000000093132,10489132.899999998509884
FS( 37 ),2110743.399999999906868,2049485.599999999860302,2075468.000000000000000,1974969.260000000009313,2201853.400000000372529,10412519.660000000149012
FS( 38 ),2135990.600000000093132,2068913.279999999795109,2101504.459999999962747,1995075.919999999692664,2202085.949999999720603,10503570.209999999031425
FS( 39 ),2130539.500000000465661,2070379.519999999785796,2114459.799999999813735,2008206.799999999813735,2209527.550000000279397,10533113.169999999925494
FS( 40 ),2146605.899999999906868,2036289.439999999711290,2131817.439999999944121,2037751.279999999795109,2211387.950000000186265,10563852.009999997913837
FS( 41 ),2186198.100000000093132,2024926.080000000074506,2113705.120000000111759,2034468.559999999823049,2192318.850000000093132,10551616.709999999031425
FS( 42 ),2237553.199999999720603,2041054.719999999972060,2115969.160000000149012,2044727.059999999823049,2181389.000000000000000,10620693.140000000596046
FS( 43 ),2279153.700000000186265,2039221.919999999925494,2125025.319999999832362,2044727.059999999823049,2173947.399999999906868,10662075.400000000372529
FS( 44 ),2259357.600000000093132,2087241.279999999795109,2134836.160000000149012,2059088.959999999729916,2174877.600000000093132,10715401.599999999627471
FS( 45 ),2321041.100000000093132,2021260.479999999981374,2113830.900000000372529,2041854.679999999701977,2195109.450000000186265,10693096.609999999403954
FS( 46 ),2315590.000000000000000,2030057.919999999925494,2122006.599999999627471,2023389.379999999888241,2201620.850000000093132,10692664.749999998137355
FS( 47 ),2327639.799999999813735,2015395.519999999785796,2082511.679999999934807,2002872.379999999888241,2189063.149999999906868,10617482.529999999329448
FS( 48 ),2295220.100000000093132,2049852.159999999916181,2103265.379999999888241,2026672.099999999860302,2224410.750000000000000,10699420.490000000223517
FS( 49 ),2321614.900000000372529,2129762.240000000223517,2109051.259999999776483,2033647.879999999888241,2228829.200000000186265,10822905.480000000447035
FS( 50 ),2317885.200000000186265,2181080.639999999664724,2134961.939999999944121,2028313.459999999729916,2225806.049999999813735,10888047.289999999105930
FS( 51 ),2300671.200000000186265,2142958.400000000372529,2108170.799999999813735,2008617.139999999897555,2192086.300000000279397,10752503.840000001713634
FS( 52 ),2297515.299999999813735,2127929.439999999478459,2117352.740000000223517,1982765.719999999972060,2217666.799999999813735,10743230.000000000000000
FS( 53 ),2272268.100000000093132,2167517.919999999925494,2118107.419999999925494,1985227.760000000009313,2216504.050000000279397,10759625.250000000000000
FS( 54 ),2284891.700000000186265,2171550.080000000074506,2150307.099999999627471,1973327.899999999906868,2260921.100000000093132,10840997.879999998956919
FS( 55 ),2274563.300000000279397,2203074.240000000223517,2144521.220000000204891,1965531.439999999711290,2249991.250000000000000,10837681.450000001117587
FS( 56 ),2257349.300000000279397,2271254.400000000372529,2199235.520000000018626,2006565.439999999711290,2314872.700000000186265,11049277.359999999403954
FS( 57 ),2231528.300000000279397,2291781.759999999776483,2198355.060000000055879,2002051.699999999720603,2312314.650000000372529,11036031.470000000670552
FS( 58 ),2250176.800000000279397,2285550.240000000223517,2203260.479999999981374,2023799.719999999972060,2294873.400000000372529,11057660.640000002458692
FS( 59 ),2336533.700000000186265,2290682.080000000074506,2219737.660000000149012,2025441.079999999841675,2290920.050000000279397,11163314.570000000298023
FS( 60 ),2326779.100000000093132,2318907.200000000186265,2215838.479999999981374,2027492.779999999795109,2307431.100000000093132,11196448.660000000149012
FS( 61 ),2311286.500000000000000,2341633.919999999925494,2219486.099999999627471,2040213.319999999832362,2346499.500000000000000,11259119.339999999850988
FS( 62 ),2295507.000000000465661,2328071.200000000186265,2218228.299999999813735,2043085.699999999720603,2360685.050000000279397,11245577.250000001862645
FS( 63 ),2272841.899999999906868,2328071.200000000186265,2210429.939999999944121,2049240.799999999813735,2332779.050000000279397,11193362.890000000596046
FS( 64 ),2299523.600000000093132,2317807.519999999552965,2229674.279999999795109,2053754.539999999804422,2353476.000000000000000,11254235.939999997615814
