代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11254419.710000000894070
真實報酬,1254419.710000000894070

夏普值報酬,0.116741971000000
夏普值風險,0.039520354831492
夏普值,2.953970719589100

二次趨勢線,44.563743833808616 x^2 + 19354.132769098596327 x + 10000000.000000000000000
二次加權預期報酬,23067.778088582650525
風險,109117.431638549416675
二次加權趨勢值,0.211403235415167
一次趨勢線,21442.924570076822420 x + 10000000.000000000000000
一次預期報酬,21442.924570076822420
一次風險,110852.381638057704549
一次趨勢值,0.193436751229123
找到最佳解世代,2857
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](1),MRK[17](5),V[25](2),
FS( 17 ),3365633.370000000111759,3659810.709999999962747,3379526.429999999701977,10404971.509999999776483
FS( 18 ),3364038.290000000037253,3653914.950000000186265,3406305.230000000447035,10424259.470000000670552
FS( 19 ),3376400.159999999683350,3672339.200000000186265,3414338.870000000111759,10463079.230000000447035
FS( 20 ),3373608.769999999552965,3672339.200000000186265,3405635.759999999776483,10451584.730000000447035
FS( 21 ),3359651.819999999832362,3698133.150000000372529,3433084.030000000260770,10490870.000000000000000
FS( 22 ),3344498.560000000055879,3667180.410000000149012,3376848.549999999813735,10388528.519999999552965
FS( 23 ),3348486.259999999776483,3634016.760000000707805,3393585.299999999813735,10376089.320000000298023
FS( 24 ),3366032.139999999664724,3597168.260000000707805,3376179.080000000074506,10339380.480000000447035
FS( 25 ),3409498.069999999832362,3639912.520000000484288,3378856.959999999962747,10428268.550000000745058
FS( 26 ),3433025.500000000000000,3652441.010000000707805,3374170.669999999925494,10459638.179999999701977
FS( 27 ),3446184.909999999683350,3642860.400000000372529,3338019.290000000037253,10427065.600000001490116
FS( 28 ),3400725.129999999888241,3607485.840000000782311,3442456.610000000335276,10450668.580000001937151
FS( 29 ),3412289.459999999497086,3561056.730000000447035,3404966.290000000037253,10378313.480000000447035
FS( 30 ),3431430.419999999925494,3565478.550000000745058,3470574.350000000558794,10467484.320000000298023
FS( 31 ),3484466.829999999608845,3544106.420000000856817,3477269.049999999813735,10505843.300000000745058
FS( 32 ),3466123.409999999683350,3530103.990000000223517,3568986.440000000409782,10565214.839999999850988
FS( 33 ),3515969.659999999683350,3603800.990000000223517,3604468.350000000558794,10724240.000000000000000
FS( 34 ),3490847.149999999906868,3595694.320000000298023,3616518.810000000521541,10703061.280000001192093
FS( 35 ),3546276.180000000167638,3634753.730000000447035,3614510.400000000372529,10795541.310000000521541
FS( 36 ),3587349.489999999757856,3637701.610000000335276,3649322.839999999850988,10874374.939999999478459
FS( 37 ),3625232.639999999664724,3641386.459999999962747,3660703.830000000074506,10927323.929999999701977
FS( 38 ),3634803.120000000111759,3664232.530000000260770,3685474.219999999739230,10984510.870000001043081
FS( 39 ),3623637.560000000055879,3669391.320000000298023,3676771.110000000335276,10969800.990000002086163
FS( 40 ),3623637.560000000055879,3680445.870000000111759,3697524.679999999701977,11001609.109999999403954
FS( 41 ),3621244.939999999944121,3688552.540000000037253,3726981.360000000335276,11036779.839999999850988
FS( 42 ),3583760.560000000055879,3647282.220000000670552,3698863.620000000111759,10929907.400000002235174
FS( 43 ),3581766.709999999497086,3664969.500000000000000,3701541.500000000000000,10948278.709999999031425
FS( 44 ),3534711.849999999627471,3665706.470000000670552,3679448.990000000223517,10879868.310000000521541
FS( 45 ),3546276.180000000167638,3692974.360000000335276,3707566.730000000447035,10946818.270000001415610
FS( 46 ),3554650.349999999627471,3669391.320000000298023,3719617.190000000409782,10943659.859999999403954
FS( 47 ),3577380.239999999757856,3649493.130000000819564,3714261.429999999701977,10941135.800000000745058
FS( 48 ),3609281.839999999850988,3676024.050000000745058,3700872.030000000260770,10986178.920000001788139
FS( 49 ),3584558.099999999627471,3914802.330000000074506,3664051.179999999701977,11163412.609999999403954
FS( 50 ),3611275.689999999944121,3905958.690000000409782,3726311.889999999664724,11243547.269999999552965
FS( 51 ),3685048.139999999664724,3870584.130000000819564,3745057.049999999813735,11300690.320000000298023
FS( 52 ),3669097.339999999850988,3869110.190000000409782,3711583.549999999813735,11249792.080000000074506
FS( 53 ),3646367.449999999720603,3828576.840000000782311,3886315.219999999739230,11361260.510000001639128
FS( 54 ),3612870.769999999552965,3819733.200000000186265,3881628.929999999701977,11314233.899999998509884
FS( 55 ),3574588.849999999627471,3784358.640000000596046,3899704.620000000111759,11258653.109999999403954
FS( 56 ),3528331.529999999795109,3802782.890000000596046,3820037.690000000409782,11151153.109999999403954
FS( 57 ),3436215.659999999683350,3830787.750000000000000,3702880.440000000409782,10969884.850000001490116
FS( 58 ),3640385.899999999906868,3871321.100000000558794,3619196.690000000409782,11130904.690000001341105
FS( 59 ),3687440.759999999776483,3896378.080000000074506,3698194.150000000372529,11282013.990000000223517
FS( 60 ),3613668.310000000055879,3847738.060000000521541,3633925.030000000260770,11095332.400000002235174
FS( 61 ),3716550.969999999739230,3943544.160000000149012,3696855.209999999962747,11356951.339999999850988
FS( 62 ),3744863.639999999664724,3903747.780000000260770,3605807.290000000037253,11254419.710000000894070
