代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13506765.410000000149012
真實報酬,3506765.410000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15101.580186460629193
風險,171190.210053377086297
起點值,0.088215209162673
找到最佳解世代,2212
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PG[21](5),V[25](2),
FS( 23 ),5189571.839999999850988,5104231.819999999366701,10293803.660000000149012
FS( 24 ),5352178.719999999739230,5170561.160000000149012,10522739.879999998956919
FS( 25 ),5377509.439999999478459,5173719.699999999254942,10551229.139999998733401
FS( 26 ),5411011.359999999403954,5148451.379999999888241,10559462.739999998360872
FS( 27 ),5451867.359999999403954,5178457.509999999776483,10630324.869999999180436
FS( 28 ),5452684.480000000447035,5074225.690000000409782,10526910.170000001788139
FS( 29 ),5455952.959999999031425,5096335.469999999739230,10552288.429999999701977
FS( 30 ),5432256.480000000447035,5066329.339999999850988,10498585.820000000298023
FS( 31 ),5452684.480000000447035,5127920.869999999180436,10580605.349999999627471
FS( 32 ),5445330.399999999441206,5096335.469999999739230,10541665.869999999180436
FS( 33 ),5474746.719999999739230,5120024.519999999552965,10594771.239999998360872
FS( 34 ),5474746.719999999739230,5080542.769999999552965,10555289.489999998360872
FS( 35 ),5454318.719999999739230,5060012.259999999776483,10514330.980000000447035
FS( 36 ),5455952.959999999031425,5034743.939999999478459,10490696.899999998509884
FS( 37 ),5462489.919999998994172,5058432.990000000223517,10520922.910000000149012
FS( 38 ),5448598.879999999888241,5020530.509999999776483,10469129.390000000596046
FS( 39 ),5476380.959999999031425,5001579.269999999552965,10477960.229999998584390
FS( 40 ),5483735.040000000037253,5041061.019999999552965,10524796.059999998658895
FS( 41 ),5473929.599999999627471,5030006.129999999888241,10503935.730000000447035
FS( 42 ),5464124.160000000149012,5055274.449999999254942,10519398.609999999403954
FS( 43 ),5464941.279999999329448,5003158.540000000037253,10468099.820000000298023
FS( 44 ),5490272.000000000000000,5063170.799999999813735,10553442.800000000745058
FS( 45 ),5507431.520000000484288,5074225.690000000409782,10581657.210000000894070
FS( 46 ),5498443.200000000186265,5037902.479999999515712,10536345.679999999701977
FS( 47 ),5576069.599999999627471,5113707.440000000409782,10689777.039999999105930
FS( 48 ),5598948.959999999031425,5121603.790000000037253,10720552.750000000000000
FS( 49 ),5598131.839999999850988,5080542.769999999552965,10678674.609999999403954
FS( 50 ),5577703.839999999850988,5191091.669999998994172,10768795.509999997913837
FS( 51 ),5564629.919999998994172,5270055.169999998994172,10834685.089999997988343
FS( 52 ),5630816.639999999664724,5328488.160000000149012,10959304.800000000745058
FS( 53 ),5651244.639999999664724,5300061.299999999813735,10951305.939999999478459
FS( 54 ),5658598.719999999739230,5285847.869999999180436,10944446.589999999850988
FS( 55 ),5656147.359999999403954,5277951.519999999552965,10934098.879999998956919
FS( 56 ),5659415.839999999850988,5322171.080000000074506,10981586.919999999925494
FS( 57 ),5683929.439999999478459,5314274.729999999515712,10998204.169999998062849
FS( 58 ),5672489.759999999776483,5330067.429999999701977,11002557.189999999478459
FS( 59 ),5700271.839999999850988,5281110.059999999590218,10981381.899999998509884
FS( 60 ),5686380.799999999813735,5312695.459999999962747,10999076.259999999776483
FS( 61 ),5662684.319999999366701,5232152.690000000409782,10894837.009999999776483
FS( 62 ),5662684.319999999366701,5287427.139999999664724,10950111.459999999031425
FS( 63 ),5667587.040000000037253,5301640.569999999366701,10969227.609999999403954
FS( 64 ),5674941.120000000111759,5397976.040000000037253,11072917.160000000149012
FS( 65 ),5621011.200000000186265,5369549.179999999701977,10990560.379999998956919
FS( 66 ),5652061.759999999776483,5469043.190000000409782,11121104.949999999254942
FS( 67 ),5669221.279999999329448,5514842.019999999552965,11184063.299999998882413
FS( 68 ),5689649.279999999329448,5538531.069999999366701,11228180.349999997764826
FS( 69 ),5646341.919999998994172,5476939.540000000037253,11123281.459999999031425
FS( 70 ),5613657.120000000111759,5399555.309999999590218,11013212.429999999701977
FS( 71 ),5567898.399999999441206,5424823.629999999888241,10992722.029999999329448
FS( 72 ),5556458.719999999739230,5489573.699999999254942,11046032.419999998062849
FS( 73 ),5551556.000000000000000,5492732.240000000223517,11044288.240000000223517
FS( 74 ),5614474.239999999292195,5522738.369999999180436,11137212.609999999403954
FS( 75 ),5638170.719999999739230,5573275.009999999776483,11211445.730000000447035
FS( 76 ),5676575.359999999403954,5628549.459999999962747,11305124.820000000298023
FS( 77 ),5676575.359999999403954,5601701.869999999180436,11278277.229999998584390
FS( 78 ),5603034.559999999590218,5525896.910000000149012,11128931.469999998807907
FS( 79 ),5597314.719999999739230,5487994.429999999701977,11085309.149999998509884
FS( 80 ),5510700.000000000000000,5394817.499999999068677,10905517.500000000000000
FS( 81 ),5562995.679999999701977,5388500.419999998994172,10951496.099999997764826
FS( 82 ),5725602.559999999590218,5431140.709999999962747,11156743.269999999552965
FS( 83 ),5674124.000000000000000,5461146.839999999850988,11135270.839999999850988
FS( 84 ),5657781.599999999627471,5478518.809999999590218,11136300.410000000149012
FS( 85 ),5658598.719999999739230,5680665.369999999180436,11339264.089999999850988
FS( 86 ),5653696.000000000000000,5661714.129999999888241,11315410.129999998956919
FS( 87 ),5611205.759999999776483,5587488.440000000409782,11198694.199999999254942
FS( 88 ),5632450.879999999888241,5680665.369999999180436,11313116.250000000000000
FS( 89 ),5561361.439999999478459,5628549.459999999962747,11189910.899999998509884
FS( 90 ),5467392.639999999664724,5609598.219999999739230,11076990.859999999403954
FS( 91 ),5475563.839999999850988,5642762.889999999664724,11118326.730000000447035
FS( 92 ),5481283.679999999701977,5655397.049999999813735,11136680.730000000447035
FS( 93 ),5462489.919999998994172,5623811.649999999441206,11086301.569999998435378
FS( 94 ),5436342.080000000074506,5525896.910000000149012,10962238.990000000223517
FS( 95 ),5419182.559999999590218,5527476.179999999701977,10946658.739999998360872
FS( 96 ),5460038.559999999590218,5634866.540000000037253,11094905.099999999627471
FS( 97 ),5549921.759999999776483,5750153.249999999068677,11300075.009999997913837
FS( 98 ),5580972.319999999366701,5778580.110000000335276,11359552.429999999701977
FS( 99 ),5594863.359999999403954,5791214.269999999552965,11386077.629999998956919
FS( 100 ),5686380.799999999813735,5848067.990000000223517,11534448.789999999105930
FS( 101 ),5677392.480000000447035,5813324.049999999813735,11490716.530000001192093
FS( 102 ),5637353.599999999627471,5795952.080000000074506,11433305.679999999701977
FS( 103 ),5674124.000000000000000,5814903.319999999366701,11489027.320000000298023
FS( 104 ),5679026.719999999739230,5851226.529999999329448,11530253.250000000000000
FS( 105 ),5705991.679999999701977,5911238.790000000037253,11617230.469999998807907
FS( 106 ),5685563.679999999701977,5868598.499999999068677,11554162.179999999701977
FS( 107 ),5663501.439999999478459,5827537.479999999515712,11491038.919999998062849
FS( 108 ),5671672.639999999664724,5846488.719999999739230,11518161.359999999403954
FS( 109 ),5715797.120000000111759,5862281.419999998994172,11578078.539999999105930
FS( 110 ),5743579.200000000186265,5865439.959999999962747,11609019.160000000149012
FS( 111 ),5737859.359999999403954,5870177.769999999552965,11608037.129999998956919
FS( 112 ),5773812.639999999664724,5879653.389999999664724,11653466.029999999329448
FS( 113 ),5781983.839999999850988,5838592.369999999180436,11620576.209999999031425
FS( 114 ),5730505.279999999329448,5811744.779999999329448,11542250.059999998658895
FS( 115 ),5714162.879999999888241,5797531.349999999627471,11511694.230000000447035
FS( 116 ),5714162.879999999888241,5887549.740000000223517,11601712.620000001043081
FS( 117 ),5717431.359999999403954,5950720.540000000037253,11668151.899999998509884
FS( 118 ),5665952.799999999813735,5889129.009999999776483,11555081.809999998658895
FS( 119 ),5705174.559999999590218,6020208.419999998994172,11725382.979999998584390
FS( 120 ),5615291.359999999403954,5952299.809999999590218,11567591.169999998062849
FS( 121 ),5598948.959999999031425,5969671.779999999329448,11568620.739999998360872
FS( 122 ),5556458.719999999739230,5912818.059999999590218,11469276.779999999329448
FS( 123 ),5554007.359999999403954,5898604.629999999888241,11452611.989999998360872
FS( 124 ),5487003.520000000484288,5868598.499999999068677,11355602.019999999552965
FS( 125 ),5547470.399999999441206,5985464.479999999515712,11532934.879999998956919
FS( 126 ),5670038.399999999441206,6135495.129999999888241,11805533.529999999329448
FS( 127 ),5634085.120000000111759,6140232.940000000409782,11774318.060000000521541
FS( 128 ),5645524.799999999813735,6189190.309999999590218,11834715.109999999403954
FS( 129 ),5607120.160000000149012,6233409.869999999180436,11840530.029999999329448
FS( 130 ),5598131.839999999850988,6291842.860000000335276,11889974.699999999254942
FS( 131 ),5628365.279999999329448,6388178.330000000074506,12016543.609999999403954
FS( 132 ),5660232.959999999031425,6337641.690000000409782,11997874.649999998509884
FS( 133 ),5656147.359999999403954,6362910.009999999776483,12019057.369999999180436
FS( 134 ),5689649.279999999329448,6342379.499999999068677,12032028.779999997466803
FS( 135 ),5710077.279999999329448,6334483.149999999441206,12044560.429999999701977
FS( 136 ),5665952.799999999813735,6325007.529999999329448,11990960.329999998211861
FS( 137 ),5692917.759999999776483,6312373.369999999180436,12005291.129999998956919
FS( 138 ),5714980.000000000000000,6249202.569999999366701,11964182.570000000298023
FS( 139 ),5715797.120000000111759,6279208.699999999254942,11995005.820000000298023
FS( 140 ),5776264.000000000000000,6279208.699999999254942,12055472.699999999254942
FS( 141 ),5754201.759999999776483,6299739.209999999962747,12053940.969999998807907
FS( 142 ),5985446.719999999739230,6310794.099999999627471,12296240.820000000298023
FS( 143 ),6027936.959999999031425,6173397.610000000335276,12201334.570000000298023
FS( 144 ),6128442.719999999739230,6186031.769999999552965,12314474.489999998360872
FS( 145 ),6134979.679999999701977,6119702.429999999701977,12254682.109999999403954
FS( 146 ),6141516.639999999664724,6234989.139999999664724,12376505.779999999329448
FS( 147 ),6203617.759999999776483,6260257.459999999962747,12463875.219999998807907
FS( 148 ),6148870.719999999739230,6184452.499999999068677,12333323.219999998807907
FS( 149 ),6185641.120000000111759,6298159.940000000409782,12483801.060000000521541
FS( 150 ),6222411.520000000484288,6350275.849999999627471,12572687.370000001043081
FS( 151 ),6222411.520000000484288,6201824.469999999739230,12424235.990000000223517
FS( 152 ),6189726.719999999739230,6230251.330000000074506,12419978.050000000745058
FS( 153 ),6194629.439999999478459,6171818.339999999850988,12366447.779999999329448
FS( 154 ),6208520.480000000447035,6190769.580000000074506,12399290.060000000521541
FS( 155 ),6255913.439999999478459,6110226.809999999590218,12366140.250000000000000
FS( 156 ),6273890.080000000074506,6157604.910000000149012,12431494.990000000223517
FS( 157 ),6254279.200000000186265,6238147.679999999701977,12492426.879999998956919
FS( 158 ),6322917.279999999329448,6222354.979999999515712,12545272.259999997913837
FS( 159 ),6298403.679999999701977,6135495.129999999888241,12433898.809999998658895
FS( 160 ),6295135.200000000186265,6216037.899999999441206,12511173.099999999627471
FS( 161 ),6291049.599999999627471,6295001.399999999441206,12586051.000000000000000
FS( 162 ),6203617.759999999776483,6154446.369999999180436,12358064.129999998956919
FS( 163 ),6216691.679999999701977,6231830.599999999627471,12448522.279999999329448
FS( 164 ),6271438.719999999739230,6312373.369999999180436,12583812.089999999850988
FS( 165 ),6224862.879999999888241,6263415.999999999068677,12488278.879999998956919
FS( 166 ),6250193.599999999627471,6241306.219999999739230,12491499.820000000298023
FS( 167 ),6265718.879999999888241,6298159.940000000409782,12563878.820000000298023
FS( 168 ),6295952.319999999366701,6328166.069999999366701,12624118.389999998733401
FS( 169 ),6308209.120000000111759,6359751.469999999739230,12667960.589999999850988
FS( 170 ),6283695.520000000484288,6337641.690000000409782,12621337.210000000894070
FS( 171 ),6306574.879999999888241,6343958.769999999552965,12650533.649999998509884
FS( 172 ),6320465.919999998994172,6364489.279999999329448,12684955.199999999254942
FS( 173 ),6305757.759999999776483,6309214.830000000074506,12614972.589999999850988
FS( 174 ),6275524.319999999366701,6291842.860000000335276,12567367.179999999701977
FS( 175 ),6323734.399999999441206,6343958.769999999552965,12667693.169999998062849
FS( 176 ),6237936.799999999813735,6260257.459999999962747,12498194.259999999776483
FS( 177 ),6223228.639999999664724,6241306.219999999739230,12464534.859999999403954
FS( 178 ),6300855.040000000037253,6159184.179999999701977,12460039.219999998807907
FS( 179 ),6339259.679999999701977,6290263.589999999850988,12629523.269999999552965
FS( 180 ),6309026.239999999292195,6230251.330000000074506,12539277.570000000298023
FS( 181 ),6313928.959999999031425,6320269.719999999739230,12634198.679999999701977
FS( 182 ),6265718.879999999888241,6475038.179999999701977,12740757.059999998658895
FS( 183 ),6324551.520000000484288,6612434.669999998994172,12936986.189999999478459
FS( 184 ),6296769.439999999478459,6659812.769999999552965,12956582.209999999031425
FS( 185 ),6296769.439999999478459,6705611.599999999627471,13002381.039999999105930
FS( 186 ),6349065.120000000111759,6607696.860000000335276,12956761.980000000447035
FS( 187 ),6452022.239999999292195,6631385.910000000149012,13083408.149999998509884
FS( 188 ),6383384.160000000149012,6505044.309999999590218,12888428.469999998807907
FS( 189 ),6417703.200000000186265,6572952.919999998994172,12990656.119999999180436
FS( 190 ),6392372.480000000447035,6520837.009999999776483,12913209.490000000223517
FS( 191 ),6438131.200000000186265,6565056.569999999366701,13003187.769999999552965
FS( 192 ),6394823.839999999850988,6505044.309999999590218,12899868.149999998509884
FS( 193 ),6474901.599999999627471,6593483.429999999701977,13068385.029999999329448
FS( 194 ),6510037.759999999776483,6618751.749999999068677,13128789.509999997913837
FS( 195 ),6543539.679999999701977,6544526.059999999590218,13088065.739999998360872
FS( 196 ),6508403.520000000484288,6367647.819999999366701,12876051.339999999850988
FS( 197 ),6545173.919999998994172,6503465.040000000037253,13048638.959999999031425
FS( 198 ),6460193.439999999478459,6405550.299999999813735,12865743.739999998360872
FS( 199 ),6526380.160000000149012,6372385.629999999888241,12898765.789999999105930
FS( 200 ),6653850.879999999888241,6473458.910000000149012,13127309.789999999105930
FS( 201 ),6651399.520000000484288,6456086.940000000409782,13107486.460000000894070
FS( 202 ),6744551.200000000186265,6541367.519999999552965,13285918.719999998807907
FS( 203 ),6301672.160000000149012,6596641.969999999739230,12898314.129999998956919
FS( 204 ),6257547.679999999701977,6662971.309999999590218,12920518.989999998360872
FS( 205 ),6300037.919999998994172,6602959.049999999813735,12902996.969999998807907
FS( 206 ),6347430.879999999888241,6629806.639999999664724,12977237.519999999552965
FS( 207 ),6273072.959999999031425,6651916.419999998994172,12924989.379999998956919
FS( 208 ),6291049.599999999627471,6555580.949999999254942,12846630.549999998882413
FS( 209 ),6353967.839999999850988,6925130.129999999888241,13279097.969999998807907
FS( 210 ),6389104.000000000000000,7089374.209999999962747,13478478.210000000894070
FS( 211 ),6353150.719999999739230,7062526.619999999180436,13415677.339999999850988
FS( 212 ),6368676.000000000000000,7098849.830000000074506,13467525.830000000074506
FS( 213 ),6409532.000000000000000,7078319.319999999366701,13487851.320000000298023
FS( 214 ),6390738.239999999292195,7051471.729999999515712,13442209.969999998807907
FS( 215 ),6435679.839999999850988,7057788.809999999590218,13493468.649999998509884
FS( 216 ),6421788.799999999813735,7064105.889999999664724,13485894.689999999478459
FS( 217 ),6493695.359999999403954,7119380.339999999850988,13613075.699999999254942
FS( 218 ),6592566.879999999888241,7176234.059999999590218,13768800.939999999478459
FS( 219 ),6553345.120000000111759,7098849.830000000074506,13652194.949999999254942
FS( 220 ),6538636.959999999031425,7286782.959999999962747,13825419.919999998062849
FS( 221 ),6462644.799999999813735,7169916.979999999515712,13632561.779999999329448
FS( 222 ),6438948.319999999366701,7168337.709999999962747,13607286.029999999329448
FS( 223 ),6440582.559999999590218,7113063.259999999776483,13553645.820000000298023
FS( 224 ),6430777.120000000111759,7032520.490000000223517,13463297.609999999403954
FS( 225 ),6690621.279999999329448,7124118.149999999441206,13814739.429999999701977
FS( 226 ),6607275.040000000037253,7108325.449999999254942,13715600.489999998360872
FS( 227 ),6447119.520000000484288,7034099.759999999776483,13481219.280000001192093
FS( 228 ),6462644.799999999813735,7147807.199999999254942,13610452.000000000000000
FS( 229 ),6272255.839999999850988,7034099.759999999776483,13306355.599999999627471
FS( 230 ),6345796.639999999664724,7114642.529999999329448,13460439.169999998062849
FS( 231 ),6322100.160000000149012,7114642.529999999329448,13436742.689999999478459
FS( 232 ),6264084.639999999664724,6997776.549999999813735,13261861.189999999478459
FS( 233 ),6277158.559999999590218,7081477.860000000335276,13358636.419999999925494
FS( 234 ),6353150.719999999739230,7105166.910000000149012,13458317.629999998956919
FS( 235 ),6379298.559999999590218,7198343.839999999850988,13577642.399999998509884
FS( 236 ),6383384.160000000149012,7094112.019999999552965,13477496.179999999701977
FS( 237 ),6340893.919999998994172,7073581.509999999776483,13414475.429999999701977
FS( 238 ),6408714.879999999888241,7195185.299999999813735,13603900.179999999701977
FS( 239 ),6376030.080000000074506,7143069.389999999664724,13519099.469999998807907
FS( 240 ),6452022.239999999292195,7199923.110000000335276,13651945.349999999627471
FS( 241 ),6458559.200000000186265,7264673.179999999701977,13723232.379999998956919
FS( 242 ),6341711.040000000037253,7210977.999999999068677,13552689.039999999105930
FS( 243 ),6148870.719999999739230,7046733.919999998994172,13195604.639999998733401
FS( 244 ),6327002.879999999888241,7087794.940000000409782,13414797.820000000298023
FS( 245 ),6257547.679999999701977,7038837.569999999366701,13296385.250000000000000
FS( 246 ),6266536.000000000000000,7125697.419999998994172,13392233.419999998062849
FS( 247 ),6324551.520000000484288,7210977.999999999068677,13535529.519999999552965
FS( 248 ),6346613.759999999776483,7275728.069999999366701,13622341.829999998211861
FS( 249 ),6291049.599999999627471,7215715.809999999590218,13506765.410000000149012
