代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11454812.390000000596046
真實報酬,1454812.390000000596046

夏普值報酬,0.136781239000000
夏普值風險,0.043048799946505
夏普值,3.177353124128282

預期報酬,13190.440290692471535
風險,76852.497852508589858
趨勢值,0.171633202033419
找到最佳解世代,3535
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,5
DIS[6](20),KO[14](11),MCD[15](6),MMM[16](5),V[25](3),
Stock#,DIS[6](20),KO[14](11),MCD[15](6),MMM[16](5),V[25](3),
張數,19190,48239,16431,11200,25634,
20170126,2073689.600000000093132,2016883.650000000139698,2002628.959999999962747,1980400.000000000000000,2133809.479999999515712,10207411.689999999478459
20170127,2097485.200000000186265,1999517.610000000102445,2018731.339999999850988,1987792.000000000000000,2147395.500000000000000,10250921.650000000372529
20170130,2128956.799999999813735,1996140.880000000121072,2021360.299999999813735,1964719.999999999767169,2145601.120000000111759,10256779.099999999627471
20170131,2123391.700000000186265,2005306.290000000037253,2013966.349999999860302,1958000.000000000000000,2120223.459999999962747,10220887.800000000745058
20170201,2135865.200000000186265,1990352.199999999953434,2011501.699999999953434,1961919.999999999767169,2113302.280000000260770,10212941.380000000819564
20170202,2122624.099999999627471,1997105.659999999916181,2024646.500000000000000,1950832.000000000000000,2109713.519999999552965,10204921.779999999329448
20170203,2116675.200000000186265,2003859.120000000111759,2041406.119999999878928,1960464.000000000000000,2206610.040000000037253,10329014.480000000447035
20170206,2102666.500000000000000,2004823.900000000139698,2044856.629999999888241,1961136.000000000000000,2200201.540000000037253,10313684.570000000298023
20170207,2091728.199999999953434,2021225.159999999916181,2047156.969999999972060,1968528.000000000000000,2198919.839999999850988,10327558.169999999925494
20170208,2091728.199999999953434,2027013.840000000316650,2048471.449999999953434,1983200.000000000000000,2181232.379999999888241,10331645.870000001043081
20170209,2101131.299999999813735,1989869.810000000055879,2045349.560000000055879,1995632.000000000000000,2193793.040000000037253,10325775.710000000894070
20170210,2096717.600000000093132,1957549.679999999934807,2067367.099999999860302,2004816.000000000000000,2201995.919999999925494,10328446.300000000745058
20170213,2104201.700000000186265,1959479.239999999990687,2062766.419999999925494,2027440.000000000000000,2215838.280000000260770,10369725.640000000596046
20170214,2117250.900000000372529,1955137.730000000214204,2067202.790000000037253,2033936.000000000000000,2226348.219999999739230,10399875.640000000596046
20170215,2114372.400000000372529,1950796.219999999972060,2078211.560000000055879,2035055.999999999767169,2244035.680000000633299,10422471.859999999403954
20170216,2124543.099999999627471,1987457.860000000102445,2081826.379999999888241,2054208.000000000000000,2240703.259999999776483,10488738.599999999627471
20170217,2112069.599999999627471,1988905.029999999795109,2099900.479999999515712,2049055.999999999767169,2241984.959999999962747,10491916.070000000298023
20170221,2111110.099999999627471,2000000.000000000000000,2103843.919999999925494,2053760.000000000000000,2253776.600000000558794,10522490.620000001043081
20170222,2113221.000000000000000,2006753.460000000195578,2100722.030000000260770,2083664.000000000000000,2250700.519999999552965,10555061.009999999776483
20170223,2105736.900000000372529,2009647.799999999813735,2107623.049999999813735,2096544.000000000000000,2260441.440000000409782,10579993.190000001341105
20170224,2117059.000000000000000,2015436.480000000214204,2113866.830000000074506,2099008.000000000000000,2266849.940000000409782,10612220.250000000000000
20170227,2115331.900000000372529,2010130.190000000176951,2086591.369999999878928,2093408.000000000000000,2255827.320000000298023,10561288.780000001192093
20170228,2112645.299999999813735,2024119.500000000000000,2097435.830000000074506,2087136.000000000000000,2254289.280000000260770,10575625.910000000149012
20170301,2130875.799999999813735,2033767.299999999813735,2120439.230000000447035,2126448.000000000000000,2281204.979999999515712,10692735.309999998658895
20170302,2122240.299999999813735,2048721.389999999897555,2106965.809999999590218,2126784.000000000000000,2269413.339999999850988,10674124.839999999850988
20170303,2134713.799999999813735,2049203.779999999795109,2101543.580000000074506,2120288.000000000000000,2276078.180000000633299,10681827.339999999850988
20170306,2123775.500000000000000,2034732.080000000074506,2103679.610000000335276,2115696.000000000000000,2279923.280000000260770,10657806.470000000670552
