代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11215399.879999998956919
真實報酬,1215399.879999998956919

夏普值報酬,0.112839988000000
夏普值風險,0.035820192642799
夏普值,3.150178144636118

預期報酬,11054.886075185500886
風險,143282.558114295214182
趨勢值,0.077154443783500
找到最佳解世代,2411
找到最佳解實驗#,1
找到最佳解次數,25

stock[index](rank)
投資組合檔數,4
JNJ[12](3),JPM[13](4),MRK[17](1),PG[21](7),
20160601,2605820.899999999906868,2773131.050000000279397,2661595.000000000000000,2484206.560000000055879,10524753.509999999776483
20160602,2645330.449999999720603,2778196.850000000093132,2684747.500000000000000,2489066.079999999608845,10597340.879999998956919
20160603,2651568.800000000279397,2728805.300000000279397,2676242.500000000000000,2504859.519999999552965,10561476.120000001043081
20160606,2674904.850000000093132,2755822.900000000372529,2701285.000000000000000,2513971.119999999646097,10645983.869999999180436
20160607,2673980.649999999906868,2746535.600000000093132,2693252.500000000000000,2500303.719999999273568,10614072.469999998807907
20160608,2675598.000000000000000,2754556.450000000186265,2722547.500000000000000,2510326.479999999981374,10663028.429999999701977
20160609,2703324.000000000000000,2733448.950000000186265,2701757.500000000000000,2526119.919999999925494,10664650.370000001043081
20160610,2703555.050000000279397,2695033.300000000279397,2684275.000000000000000,2527031.079999999608845,10609894.429999999701977
20160613,2698471.950000000186265,2670970.750000000465661,2651200.000000000000000,2507896.719999999273568,10528539.419999999925494
20160614,2706096.600000000093132,2620734.899999999906868,2657815.000000000000000,2531586.879999999422580,10516233.379999998956919
20160615,2689692.049999999813735,2616091.250000000000000,2650255.000000000000000,2519438.079999999608845,10475476.379999998956919
20160616,2695006.200000000186265,2626645.000000000000000,2716877.500000000000000,2533409.199999999720603,10571937.900000000372529
20160617,2668204.399999999906868,2629177.900000000372529,2640805.000000000000000,2524905.039999999571592,10463092.339999999850988
20160620,2692695.700000000186265,2632977.250000000000000,2652617.500000000000000,2522171.560000000055879,10500462.009999999776483
20160621,2684377.900000000372529,2657461.950000000186265,2657815.000000000000000,2533409.199999999720603,10533064.050000000745058
20160622,2690847.299999999813735,2647330.350000000093132,2695142.500000000000000,2538268.719999999273568,10571588.869999999180436
20160623,2712103.899999999906868,2703898.450000000186265,2725382.500000000000000,2557706.799999999348074,10699091.649999998509884
20160624,2671670.149999999906868,2516041.700000000186265,2640332.500000000000000,2498481.399999999906868,10326525.750000000000000
20160627,2692926.750000000000000,2432033.850000000093132,2613400.000000000000000,2467198.239999999757856,10205558.839999999850988
20160628,2731743.149999999906868,2512664.500000000465661,2626157.500000000000000,2504555.799999999348074,10375120.949999999254942
20160629,2757158.649999999906868,2583585.700000000186265,2695615.000000000000000,2548595.199999999720603,10584954.549999998882413
20160630,2802675.500000000000000,2623267.800000000279397,2722075.000000000000000,2571677.919999999925494,10719696.220000000670552
20160701,2802444.450000000186265,2586118.600000000093132,2737667.500000000000000,2575018.839999999850988,10701249.390000000596046
20160705,2825087.350000000093132,2513930.950000000186265,2740502.500000000000000,2595064.359999999403954,10674585.160000000149012
20160706,2833636.200000000186265,2540948.550000000279397,2795312.500000000000000,2582611.839999999850988,10752509.089999999850988
20160707,2830632.550000000279397,2540948.550000000279397,2777357.500000000000000,2576537.439999999478459,10725476.039999999105930
20160708,2838488.250000000000000,2610181.149999999906868,2804290.000000000000000,2605087.119999999646097,10858046.519999999552965
20160711,2840336.650000000372529,2628755.750000000465661,2803817.500000000000000,2604479.679999999701977,10877389.580000000074506
20160712,2840105.600000000093132,2668015.700000000186265,2816102.500000000000000,2604479.679999999701977,10928703.480000000447035
20160713,2841954.000000000000000,2666327.100000000093132,2813740.000000000000000,2608731.759999999776483,10930752.859999999403954
20160714,2846112.900000000372529,2706853.500000000465661,2818465.000000000000000,2608124.319999999832362,10979555.720000000670552
20160715,2841954.000000000000000,2709386.400000000372529,2817520.000000000000000,2612376.399999999906868,10981236.800000000745058
20160718,2845188.700000000186265,2700099.100000000093132,2788697.500000000000000,2609946.640000000130385,10943931.940000001341105
20160719,2893940.250000000000000,2695877.600000000093132,2771687.500000000000000,2617235.919999999925494,10978741.269999999552965
20160720,2891398.700000000186265,2698832.650000000372529,2777830.000000000000000,2591419.719999999273568,10959481.070000000298023
20160721,2891629.750000000000000,2688701.050000000279397,2777830.000000000000000,2589597.399999999906868,10947758.200000001117587
20160722,2888857.149999999906868,2703476.300000000279397,2779247.500000000000000,2603568.519999999552965,10975149.469999998807907
20160725,2885622.450000000186265,2696299.750000000000000,2766962.500000000000000,2605998.279999999795109,10954882.980000000447035
20160726,2891629.750000000000000,2707275.649999999906868,2757512.500000000000000,2589901.119999999646097,10946319.019999999552965
20160727,2882849.850000000093132,2715718.649999999906868,2768852.500000000000000,2565299.799999999348074,10932720.799999998882413
20160728,2875687.299999999813735,2706009.199999999720603,2760820.000000000000000,2575930.000000000000000,10918446.500000000000000
20160729,2893478.149999999906868,2700521.250000000000000,2771687.500000000000000,2599620.159999999683350,10965307.060000000521541
20160801,2897406.000000000000000,2693344.700000000186265,2771687.500000000000000,2624525.199999999720603,10986963.400000000372529
20160802,2884698.250000000000000,2687012.450000000186265,2756095.000000000000000,2635155.399999999906868,10962961.099999999627471
20160803,2862748.500000000000000,2729649.600000000093132,2723965.000000000000000,2611161.519999999552965,10927524.619999999180436
20160804,2861824.299999999813735,2725428.100000000093132,2732942.500000000000000,2613591.279999999795109,10933786.179999999701977
20160805,2870604.199999999720603,2798882.200000000186265,3017387.500000000000000,2605390.839999999850988,11292264.740000000223517
20160808,2856972.250000000000000,2790439.199999999720603,2970137.500000000000000,2604783.399999999906868,11222332.349999999627471
20160809,2851889.150000000372529,2780729.750000000465661,2952655.000000000000000,2611768.959999999497086,11197042.859999999403954
20160810,2850271.799999999813735,2755822.900000000372529,2959742.500000000000000,2621488.000000000000000,11187325.199999999254942
20160811,2859744.850000000093132,2763421.600000000093132,3006520.000000000000000,2634244.239999999757856,11263930.689999999478459
20160812,2847037.100000000093132,2757511.500000000000000,2993290.000000000000000,2643659.560000000055879,11241498.160000000149012
20160815,2826011.550000000279397,2774397.500000000000000,2991872.500000000000000,2643052.119999999646097,11235333.669999999925494
20160816,2780263.649999999906868,2773975.350000000093132,2978642.500000000000000,2629688.439999999478459,11162569.939999999478459
20160817,2802906.550000000279397,2781574.050000000279397,2990455.000000000000000,2641229.799999999348074,11216165.400000000372529
20160818,2789274.600000000093132,2784106.950000000186265,3006520.000000000000000,2655808.359999999403954,11235709.910000000149012
20160819,2770790.600000000093132,2780307.600000000093132,2993762.500000000000000,2651860.000000000000000,11196720.699999999254942
20160822,2752537.649999999906868,2777774.700000000186265,3002740.000000000000000,2637888.879999999422580,11170941.229999998584390
20160823,2759700.199999999720603,2776508.250000000000000,3004157.500000000000000,2654593.479999999981374,11194959.429999999701977
20160824,2742833.549999999813735,2784106.950000000186265,2963995.000000000000000,2651860.000000000000000,11142795.500000000000000
20160825,2739598.849999999627471,2789172.750000000000000,2944622.500000000000000,2669779.479999999981374,11143173.580000000074506
20160826,2750458.200000000186265,2795505.000000000000000,2969665.000000000000000,2660060.439999999478459,11175688.639999998733401
20160829,2770790.600000000093132,2826321.950000000186265,2977225.000000000000000,2681928.279999999795109,11256265.830000000074506
20160830,2760393.350000000093132,2849540.200000000186265,2963050.000000000000000,2658845.560000000055879,11231829.110000001266599
20160831,2757389.700000000186265,2849540.200000000186265,2966830.000000000000000,2651860.000000000000000,11225619.900000000372529
20160901,2751382.399999999906868,2837297.850000000093132,2972027.500000000000000,2682232.000000000000000,11242939.750000000000000
20160902,2756927.599999999627471,2849118.049999999813735,2975807.500000000000000,2678891.079999999608845,11260744.229999998584390
20160906,2766862.750000000000000,2847007.300000000279397,2988092.500000000000000,2692254.759999999776483,11294217.310000000521541
20160907,2763628.049999999813735,2835187.100000000093132,2970610.000000000000000,2671298.079999999608845,11240723.230000000447035
20160908,2760393.350000000093132,2838986.450000000186265,2988092.500000000000000,2666134.839999999850988,11253607.140000000596046
20160909,2731743.149999999906868,2813657.450000000651926,2952655.000000000000000,2619361.959999999497086,11117417.560000000521541
20160912,2753230.799999999813735,2830965.600000000093132,2985730.000000000000000,2680409.679999999701977,11250336.080000000074506
20160913,2717418.049999999813735,2808591.650000000372529,2920525.000000000000000,2643963.279999999795109,11090497.979999998584390
20160914,2723194.299999999813735,2803103.700000000651926,2898790.000000000000000,2642748.399999999906868,11067836.400000000372529
20160915,2740985.149999999906868,2813235.300000000279397,2947457.500000000000000,2674639.000000000000000,11176316.949999999254942
20160916,2732205.250000000000000,2778619.000000000000000,2942732.500000000000000,2674335.279999999795109,11127892.029999999329448
20160919,2718573.299999999813735,2794238.550000000279397,2897845.000000000000000,2684054.319999999832362,11094711.169999999925494
20160920,2725273.750000000000000,2805636.600000000093132,2926667.500000000000000,2690432.439999999478459,11148010.289999999105930
20160921,2747454.549999999813735,2821678.300000000279397,2962577.500000000000000,2666742.279999999795109,11198452.629999998956919
20160922,2760162.299999999813735,2844896.550000000279397,2977697.500000000000000,2702884.959999999497086,11285641.309999998658895
20160923,2745144.050000000279397,2838986.450000000186265,2974862.500000000000000,2665527.399999999906868,11224520.400000000372529
20160926,2721345.899999999906868,2776930.400000000372529,2936590.000000000000000,2668260.879999999422580,11103127.179999999701977
20160927,2754617.100000000093132,2801415.100000000093132,2956435.000000000000000,2683750.599999999627471,11196217.799999998882413
20160928,2758544.950000000186265,2816190.350000000093132,2990927.500000000000000,2717159.799999999348074,11282822.599999999627471
20160929,2709562.350000000093132,2771442.450000000651926,2925250.000000000000000,2679802.239999999757856,11086057.040000000968575
20160930,2729432.649999999906868,2811124.550000000279397,2948875.000000000000000,2725967.679999999701977,11215399.879999998956919
